 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
20 2.16545 1.540706 1.409107 1.615623 2.433799 1.864499 2.755587 3.778637 7.029078 3.44703 4.578604 3.519073 5.208187 4.09134 3.67245 5.036275 4.36073 7.824861 5.437011 5.425687 5.928037 6.567378 6.047891 13.686985 6.343355 5.970451 6.893829 13.995094 13.065455 12.926022 7.410244 7.538226 
21 2.075917 1.443306 1.153498 2.139306 2.97646 3.15687 3.062682 3.176522 3.161756 2.968002 3.75353 3.018788 10.010878 9.287992 5.348443 3.790157 5.041868 5.973919 6.651635 4.470034 5.959107 7.940933 5.327051 7.266582 10.51065 6.785637 7.424669 8.972033 11.888346 7.404683 7.635323 9.526177 
22 3.435496 3.0629 2.030438 2.791294 2.637432 3.218025 3.851942 3.159921 2.721912 3.718604 3.355586 4.450358 4.19775 3.384952 4.605498 6.398292 5.616083 7.804486 4.69741 31.55996 6.915095 4.954454 5.947659 5.575291 13.543453 8.321285 9.464834 7.377878 7.162244 8.78638 9.850986 25.612504 
23 8.13844 4.702736 3.506918 3.08546 3.639266 2.622516 3.767926 3.993219 3.512234 3.819068 9.934323 4.217056 3.874136 5.297924 4.933888 5.258446 4.457418 5.097278 4.892214 11.63966 6.650508 5.496886 9.678441 6.978395 6.869577 8.978568 6.699088 15.642101 7.352595 8.321063 10.043919 9.923988 
24 10.107576 5.937183 4.058988 4.416501 4.028034 3.482465 4.05019 3.461425 3.789719 3.440426 4.139521 5.11526 4.924783 4.228253 4.457121 3.787014 4.568954 5.791764 5.044476 5.188007 6.934361 6.71509 13.500759 9.276252 6.590865 7.787682 14.5145 30.9897 12.615 9.032834 28.243249 18.615712 
25 14.134057 7.951128 5.266509 7.403526 5.625501 4.691671 5.628552 5.084358 4.537965 4.640266 5.485098 5.086032 4.882113 5.600774 4.156244 4.979929 7.098218 6.203208 6.568002 6.515814 4.927426 8.838536 6.897667 9.19652 7.313057 6.75678 11.999081 7.767907 17.240394 15.652465 23.474943 14.646272 
26 21.812483 11.361627 9.244698 7.043989 7.010279 6.27514 6.085594 6.131489 6.44638 6.229608 11.920109 5.75768 6.539153 6.38826 6.651672 5.357517 5.264082 7.470067 9.032476 6.784098 7.439996 7.34531 7.753692 6.664314 10.08607 7.896929 9.946158 8.218067 9.057885 8.35388 9.650004 11.098006 
27 31.720745 17.174188 14.145251 10.897924 9.272526 12.235664 7.274411 6.85087 10.663673 14.57811 10.214222 8.06844 10.220284 5.416502 5.883199 6.590814 7.476559 8.435996 8.697021 8.852955 7.321468 9.212069 8.494684 8.483215 15.863145 7.953816 9.249537 16.369707 9.525314 9.803306 10.216877 10.408179 
28 51.026493 27.088239 14.617642 12.025838 8.777144 10.197002 7.939678 8.417261 8.94266 7.111329 6.758467 8.250998 8.615519 7.354789 8.725603 8.593212 8.155376 13.386803 7.283346 8.753911 7.420142 10.832916 7.868978 9.008716 12.35898 8.060009 7.672629 14.307818 6.963047 9.658601 14.652781 9.012702 
29 59.558271 33.408019 23.942562 20.049605 16.248082 13.137929 12.895138 12.653926 13.390479 11.618179 9.516396 10.024314 12.328301 12.634252 10.311996 28.643219 9.381801 10.389845 10.892952 8.746668 10.007847 10.916014 8.886408 9.854993 9.480896 12.467805 9.825496 29.469231 15.147354 10.856788 10.523926 12.023762 
30 94.894361 50.929512 34.552581 26.832257 24.480545 20.078382 23.626842 15.564807 18.056765 15.331991 13.074304 12.546049 12.64669 16.945783 20.209822 13.589788 14.917396 13.380637 14.624041 11.697785 11.219974 12.880619 15.240375 11.634707 9.9718 11.510225 13.384993 13.996328 12.950927 12.06967 13.403494 11.137219 
31 158.710776 79.890919 55.924904 43.063968 39.121535 30.332296 29.955501 22.743974 24.710124 26.036742 19.215721 29.3204 19.085524 17.787672 18.665916 20.890327 17.413737 15.304901 17.549454 17.263905 16.173737 17.102375 14.801547 16.78284 16.114582 18.996604 17.026543 20.681864 15.944109 16.275482 15.129163 18.390806 
32 250.017092 128.646361 87.489515 66.305891 55.209577 49.171477 40.526702 38.12059 34.710715 39.21362 29.848511 30.747316 26.570605 27.020915 27.932018 24.215602 24.428489 25.665605 23.040565 21.070103 22.628948 21.315743 20.393893 23.607191 19.259586 22.081887 19.713255 21.470111 26.28534 22.360009 24.307204 23.932915 
33 401.064303 203.753756 137.055133 107.128579 86.264823 74.627394 71.78232 67.264685 58.084367 46.926208 64.540822 43.497948 42.237447 43.89842 38.711182 33.471944 35.190095 34.863598 36.372188 32.18525 32.728934 33.607725 29.960525 28.886523 30.680788 30.089907 30.916485 29.275372 30.29944 30.862704 31.804474 35.171041 
34 690.479722 337.163392 221.682046 168.575545 135.729654 113.983039 104.306232 91.746666 79.543143 80.349974 68.308046 65.601529 61.789396 68.018831 56.141048 54.480277 57.783127 50.230603 55.518529 46.653456 48.93121 49.359473 46.39805 45.043421 47.006691 46.387285 66.893953 48.707784 46.918289 52.911273 47.127755 60.97492 
35 1080.626431 542.335229 363.063466 271.66093 221.021812 191.001993 163.313497 144.631525 130.675911 130.957322 129.259554 137.23086 93.681786 110.958073 102.88299 80.846728 81.619996 87.901594 84.567917 75.606728 86.525127 72.734441 69.152797 69.163217 72.388171 75.99621 67.606713 72.568698 69.534429 67.950568 67.020673 70.63773 
