 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
100000 31.638054 45.055306 27.851962 28.884544 21.684779 32.22153 26.810699 24.062572 22.940029 62.098849 59.74904 22.684698 24.10345 28.713968 87.849285 18.085356 33.017277 21.167428 22.514225 94.055074 20.983739 31.761533 23.148679 29.173196 24.42746 23.054644 29.472574 21.346187 39.757775 29.314773 29.105307 51.976381 
200000 71.290255 103.340167 78.19694 67.154044 54.672055 53.574964 53.293218 44.482617 43.729593 38.701773 33.758267 51.756375 36.936265 72.939318 60.351124 72.14153 30.305295 38.684561 32.091413 51.378405 40.378304 121.631823 92.719497 101.331171 79.72278 85.624316 31.715972 42.920562 27.986675 53.952162 85.813094 106.935907 
300000 81.45466 162.425983 78.7445 73.937322 65.93311 61.034577 52.284024 47.624813 49.362354 51.929831 83.936641 103.22008 124.221192 43.101207 111.218447 37.900642 39.191803 102.120621 105.306074 40.286767 91.994777 43.446853 53.943261 111.334409 126.842388 30.238294 43.533998 40.621867 37.117658 37.673494 40.222468 44.833349 
400000 142.239484 228.611775 97.426376 87.345861 83.962295 65.730798 63.762738 75.351957 101.888407 50.648556 64.810414 62.26413 47.802049 48.414948 134.407943 43.74104 46.942546 66.009475 93.194754 45.792287 52.202306 42.114813 45.029726 44.107246 46.330879 38.488413 40.972292 141.550182 40.992278 40.0393 96.163594 40.347811 
500000 131.978758 184.264293 112.860352 114.752859 104.457703 201.89198 71.681515 63.428148 85.29144 68.712594 86.512173 61.697397 71.446846 143.857191 128.029763 53.396713 107.979356 52.81475 52.219883 80.579961 125.784035 56.319138 117.528729 49.455014 123.641142 51.580727 50.147917 44.903233 135.998126 44.325787 46.047063 48.676612 
600000 160.894725 372.956932 156.345892 136.797864 99.383413 110.922887 98.186536 105.156295 93.298168 80.850173 73.031356 65.142115 76.386306 188.964154 146.802043 162.384376 64.74008 156.244288 62.409797 61.570382 61.461073 54.143779 53.178374 133.37379 183.51127 56.548157 50.663192 52.944889 64.673347 56.839408 95.807262 107.56361 
700000 189.083531 342.038453 159.085572 158.888497 146.025294 123.04078 105.115977 181.84838 112.975762 103.116787 79.83002 84.758521 77.871938 80.774608 84.086618 66.715406 67.006476 141.478481 124.664045 68.479547 59.575361 72.844651 142.501694 59.541575 75.596483 61.827962 56.707205 62.060513 65.902469 171.775425 128.651765 182.334712 
800000 210.688823 339.058622 195.747057 177.408158 147.401491 127.276251 121.179299 111.772999 110.984298 161.72779 94.854136 86.758627 177.604638 208.557959 81.409686 163.395632 74.749285 85.112114 81.942285 77.923768 92.205113 135.064295 63.639843 139.087413 144.491084 69.624414 72.842342 72.215377 100.348328 187.902763 144.018034 59.70259 
900000 242.869205 641.921597 225.733558 196.602019 161.448993 150.487846 130.91772 135.136092 225.761616 102.55667 105.279977 175.961817 101.290443 94.077363 136.636195 193.564049 81.37728 82.187913 79.684876 81.851448 86.010114 87.291484 179.059712 75.361869 178.05357 74.12707 167.229063 80.108909 159.9743 74.800783 84.62704 128.3813 
1000000 264.821887 432.506529 249.268878 221.382773 192.731075 175.707638 143.111675 138.799019 139.715745 136.957755 128.916485 220.110641 105.860101 106.443661 132.011486 206.474513 96.510199 160.74169 115.297456 144.517308 218.348066 88.246558 86.94651 163.387295 159.636844 215.61807 81.881728 84.726366 80.940641 78.857574 189.867453 154.822853 
