 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
100000 36.798283 36.936998 26.51012 26.700356 22.970048 24.917383 24.482115 21.883931 27.096354 21.249833 20.778572 16.140802 22.938336 20.300558 20.125017 19.196136 22.24001 21.601451 20.889244 18.500862 43.519756 21.99919 20.099276 51.071501 23.633601 83.062195 20.276795 111.455421 18.129992 38.343286 30.487611 172.814151 
200000 74.490587 69.852104 62.474416 60.667999 59.874551 52.609818 40.388728 39.352962 37.900511 30.335725 39.98638 34.887827 30.859318 30.455856 25.840417 36.811184 32.353819 50.279854 77.213054 30.444262 29.890777 30.312969 130.891099 160.266536 144.626514 45.764209 116.616533 55.997409 27.129619 26.778597 33.679782 35.697882 
300000 89.152737 77.622667 76.883787 65.91994 68.698741 51.155665 53.495149 48.337066 46.02241 33.964207 36.530984 37.058593 32.202943 36.649738 35.014005 31.219158 35.693023 37.938791 39.962157 107.109545 51.622742 39.160635 185.568984 94.8696 37.606046 45.820641 87.565225 74.267508 38.718119 145.315394 196.451337 60.905653 
400000 143.387439 102.293136 95.675299 104.363397 77.747043 70.763521 58.63712 59.593797 52.770913 59.478723 46.002236 44.955694 45.897015 48.81157 46.263675 41.974697 71.364595 52.959813 97.040641 38.178363 49.609555 44.068999 50.757107 112.719355 49.086139 46.447013 39.810605 163.502912 38.882692 145.638287 145.352364 101.471059 
500000 133.353663 124.048675 110.083089 133.354691 123.574771 80.311673 68.661412 64.808089 90.588997 64.884471 60.260223 53.009864 59.763709 53.345858 49.581767 49.150832 52.473387 53.475636 53.102173 48.925336 136.58815 57.686978 151.186391 58.730767 96.02539 60.044727 56.464222 48.737522 151.689984 138.969479 51.98318 62.720167 
600000 165.541991 147.873052 133.536559 138.077788 133.155192 106.402458 93.034513 74.957915 83.942321 65.044274 71.574035 61.753803 62.637816 65.791371 58.249704 56.784208 61.495903 78.158539 52.863661 58.769041 58.848034 69.033383 131.971188 146.536893 173.89065 56.934627 58.129241 54.062791 58.235377 61.442531 50.575354 177.002575 
700000 185.314491 170.293031 158.622007 141.513132 152.002425 102.862801 98.555527 80.986101 91.65978 78.809023 81.999754 72.522567 71.484458 66.810114 66.048991 68.130225 63.021808 69.808538 104.010076 62.829146 64.90487 94.60675 69.061034 157.411547 188.38352 65.437317 69.954972 70.915911 64.438514 58.264151 205.670104 149.787097 
800000 206.112878 192.530838 175.805124 164.82095 139.53731 129.789935 111.021286 103.133958 138.363573 89.950123 89.243279 79.508484 82.068843 90.700973 83.052637 71.246791 76.316599 80.517811 81.351188 71.630708 82.882569 81.93159 73.080926 67.329589 147.474694 117.819585 88.404099 178.648748 111.539704 212.733493 151.571898 95.517577 
900000 236.68462 218.573554 196.443296 200.728276 169.026641 152.457464 136.090001 108.849334 122.166561 119.222959 113.815643 90.008188 81.874398 85.900902 86.321782 88.926571 76.039375 82.535447 86.019896 79.760661 80.616799 79.219411 82.486174 75.772809 73.302696 212.14599 127.143434 189.491381 88.351728 73.742461 72.912549 221.880256 
1000000 257.665018 256.95284 213.964647 226.825411 181.159831 173.955097 146.220024 134.796734 124.212789 106.8963 104.16802 111.377645 108.60928 98.622322 96.679119 95.107965 166.620073 80.879558 82.705355 93.028693 160.946119 86.782557 79.262691 78.169067 161.868754 230.730286 89.726391 181.029861 181.625999 87.078666 213.32935 217.209186 
1100000 297.401533 294.336307 248.790238 236.210372 229.467997 176.3409 174.922711 140.0739 148.880791 124.558415 111.414183 119.366129 129.517556 96.175776 107.169927 117.820295 102.453095 100.6227 164.330274 121.999061 92.974678 88.294419 94.974086 106.08711 86.244776 90.268999 122.706637 119.189259 208.972134 83.662788 97.739605 100.281174 
1200000 331.369073 379.920054 279.317274 268.979747 219.839367 169.693822 167.060767 149.005592 165.708248 137.853893 146.616609 113.677281 116.898778 96.419121 119.846975 102.4472 103.808744 101.333351 213.310776 93.945816 115.938583 93.097945 99.468401 97.533094 174.664142 158.777509 148.812325 99.872022 92.405546 92.815394 154.186128 94.320038 
1300000 340.114394 366.647952 304.060739 311.726493 248.854188 190.517302 165.586511 144.94976 164.086566 153.619805 122.901148 123.79891 129.798986 122.776587 121.92354 111.955072 103.075363 109.374435 153.461484 156.309514 148.039325 120.716143 206.002788 106.771879 111.492009 223.787307 218.774009 106.386874 89.907957 100.834612 127.037244 171.39383 
1400000 369.425322 425.060544 333.915165 338.893813 254.580082 227.80246 178.901378 170.501703 152.45675 172.233246 137.058874 138.311147 122.701754 147.620396 112.838773 123.850014 117.460641 126.78473 132.434765 205.794851 109.86731 115.526846 159.419484 118.535569 113.601116 147.037672 170.615009 113.353618 105.34629 107.227231 98.971879 205.787901 
1500000 385.617374 461.441318 357.574556 319.451254 255.993348 255.812575 196.622275 228.541166 199.183746 160.831378 160.709891 150.55016 127.166437 150.415229 126.563853 131.21405 130.678774 136.270774 122.771364 158.654563 131.867774 118.745753 112.397523 170.150375 234.85425 224.449995 225.047952 118.759333 111.70404 113.303778 165.954145 104.924783 
1600000 424.600172 499.560736 386.106099 361.651522 290.303634 233.008524 210.096109 191.053646 187.678919 174.144369 169.230363 171.226859 145.615464 151.56331 126.629757 144.16935 152.684999 138.67499 120.377021 131.520634 146.595521 163.764972 130.481738 114.763684 123.361195 132.446865 126.774031 121.191607 129.285141 154.626939 128.072067 111.974611 
1700000 450.834466 536.394429 417.369902 405.082322 320.450461 257.752107 209.161153 208.792532 233.953316 181.286277 166.837964 193.469746 162.30232 160.942957 166.777829 132.348331 161.038472 224.420342 188.730002 222.49582 246.704388 140.690715 253.322852 193.531687 135.339265 199.950487 131.397131 114.917132 117.789676 118.624072 200.017408 120.097247 
1800000 461.182775 581.866931 449.339161 412.391919 339.461657 321.344439 229.276661 222.171283 201.928088 209.154852 179.366086 185.088789 159.722059 164.158053 153.484177 141.293658 147.723707 149.542285 148.361587 232.473301 170.435814 198.261118 134.910807 171.923845 180.992033 129.783807 244.143878 206.260313 153.550813 166.102138 320.136506 123.515618 
1900000 504.118149 579.206677 513.807335 428.263127 273.743024 405.265044 270.020304 222.227123 200.190337 224.685634 211.944985 202.621881 181.125072 178.800274 176.816439 154.92672 165.656418 278.300254 157.978403 244.459688 169.165558 165.889457 232.062522 219.431806 242.275677 220.541613 144.910368 152.942104 139.621878 268.094772 136.326732 213.802475 
2000000 516.220573 663.369569 504.807089 470.602132 418.014261 363.425231 283.439821 266.50643 300.038028 196.139454 200.028828 189.977896 191.450801 174.994349 192.512311 173.638286 142.946409 162.452682 164.022088 226.692638 173.044248 222.771812 152.144453 265.756351 160.580213 141.301735 152.775662 161.277259 260.863535 180.523906 147.295091 297.213553 
2100000 535.036934 707.645685 522.799713 486.922014 398.23739 412.840961 304.555553 271.670625 292.447415 233.699766 197.339083 200.240753 204.921713 211.327458 196.153328 167.831628 166.873749 185.675604 162.920618 216.882994 239.476963 166.424344 239.133782 194.751796 222.445956 187.70836 178.568259 214.5064 148.877828 231.772294 161.428964 283.581037 
2200000 562.918899 710.042435 576.66173 636.71036 392.031446 336.070507 295.085493 308.01014 312.813308 230.458349 223.715056 214.392048 212.690653 213.802568 190.022657 174.068796 180.49895 190.873807 228.241718 188.641203 230.888785 194.422408 176.560534 259.474669 163.170573 196.61356 233.359469 162.134992 157.503563 191.875989 243.20252 239.521287 
2300000 589.375383 807.105791 651.331447 583.320763 566.871739 431.8155 378.615665 296.774897 379.109017 309.75372 229.724876 212.659113 195.612981 233.058192 204.08983 187.51788 198.088698 251.246684 180.771349 183.243904 249.577363 271.096543 246.72221 284.079878 159.87121 191.872184 184.049039 202.482945 158.368856 163.363947 336.497395 251.536599 
2400000 619.580137 805.022413 666.341559 598.71998 505.238105 360.319945 397.323738 346.349717 461.11293 267.913297 273.377326 227.59047 205.239395 221.719261 206.109913 197.446296 194.51453 190.471451 201.562027 190.940332 172.360622 262.067165 321.124868 291.700598 279.013829 160.561218 274.083022 179.666827 356.760976 166.953812 242.71743 220.165614 
2500000 646.878218 840.905594 671.013798 741.159815 526.444074 345.071498 358.76796 408.566417 272.074595 336.598526 251.034396 246.08208 237.974001 242.34697 232.318156 231.778459 244.915355 230.167996 253.618791 194.517423 200.757526 219.493884 191.167956 191.125605 267.347306 190.410897 191.027004 242.209867 203.051514 177.52558 331.551865 184.192945 
2600000 682.338586 837.693978 705.063004 640.2321 749.073618 444.162551 427.648679 331.367359 405.488097 314.779721 307.229091 237.885192 273.799804 268.547015 197.560002 196.584644 202.072034 214.59131 204.80913 263.659984 277.006443 204.041904 300.618866 180.366194 237.587494 279.605707 189.268799 183.736332 213.513606 212.986662 176.580977 200.546322 
2700000 689.505344 959.920595 761.840831 850.375069 567.338714 385.971617 435.624557 485.467901 347.227928 336.206422 251.261854 274.426878 273.711168 237.987795 226.717916 226.419279 236.315854 241.03467 223.278866 235.369761 213.725562 265.405978 215.620287 204.369036 201.059612 219.023689 286.514687 201.026884 203.596901 383.977377 186.891565 290.737542 
2800000 713.150667 976.863568 787.256282 787.900904 793.422281 485.675204 608.499328 544.532819 410.695567 348.917937 315.20291 297.757131 302.912823 256.804423 256.187491 236.457186 212.456084 273.206303 258.3987 228.502236 225.392951 216.598801 267.285599 311.820924 278.035148 202.635484 259.10074 223.690748 207.170457 206.426178 220.107123 278.12834 
2900000 786.26888 972.45267 817.723352 808.228598 611.590238 546.756345 445.273755 294.389588 409.90826 315.839627 295.272524 322.904571 237.11108 294.984914 318.134507 247.182907 298.518095 336.717404 256.128306 217.746909 238.826059 257.460861 206.044382 253.730946 291.382857 210.643872 222.821642 296.43545 237.071705 222.234446 264.766403 217.551234 
3000000 886.088438 1035.256928 847.485749 813.576645 728.120988 584.759168 630.908807 429.79265 462.694073 329.514248 278.190037 305.727034 282.074829 298.516961 259.713165 353.456072 276.473496 288.730329 269.072695 230.216825 289.008984 240.917644 231.656087 200.169557 236.115482 236.779832 311.829175 311.029933 311.487773 384.236208 268.234161 283.127639 
