 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
1024 2.566503 14.046628 3.53666033333 19.758843 7.80261333333 6.792332 5.00864533333 15.1730806667 15.314565 13.5265643333 10.2835326667 7.28549066667 15.4586646667 23.1501393333 16.6561466667 28.378467 23.1597903333 21.2596903333 17.587718 22.252711 34.7250816667 23.9019723333 34.7577323333 69.6816763333 48.404044 35.517665 29.042725 51.9843126667 49.3924993333 61.3771863333 57.7026333333 14.936918 
2048 3.08258166667 14.8956103333 30.6995206667 13.1275673333 4.15878066667 8.21145433333 6.113343 7.62465166667 8.806979 11.9829933333 9.279775 10.0516373333 17.9543866667 19.4741893333 11.2259673333 15.4444453333 14.1225506667 13.0890923333 11.6547986667 36.6177286667 15.9484513333 18.4854073333 28.4077333333 13.877004 35.5867683333 21.0851166667 34.3325993333 16.782763 23.9932986667 40.3147026667 39.1430986667 59.3944496667 
4096 3.868936 7.63339566667 7.535638 5.47757533333 4.64696933333 11.8851056667 10.27462 13.817048 20.6810216667 22.4943963333 12.575643 48.7051936667 51.8438516667 14.6398126667 9.85631433333 11.8423546667 19.1819173333 10.656916 16.719876 15.515631 12.2546183333 13.951714 47.8282 22.0881093333 42.3233163333 48.0177163333 43.2857086667 36.9697196667 51.363005 22.4180736667 23.14812 39.761674 
8192 6.54445666667 12.9192843333 8.071643 7.71139533333 6.66087933333 8.410908 11.929983 10.546661 9.41501466667 11.984141 22.1939816667 14.6316726667 12.6111643333 44.777074 32.845926 18.788903 23.4961126667 47.434633 34.5735026667 23.6879863333 28.427332 18.5781366667 21.791566 21.0646933333 26.5115233333 14.08677 13.8866973333 13.9150263333 22.82115 26.1903663333 41.7134336667 29.734805 
16384 10.3842313333 17.7860866667 17.175961 14.633151 8.81956033333 10.6714023333 10.3520993333 47.2965146667 12.6064493333 12.7076923333 29.8283756667 14.2953926667 12.412693 21.3649863333 30.4189923333 12.8397893333 23.579648 11.9428123333 27.2011563333 31.590677 18.6201333333 41.673879 27.3618613333 55.2483266667 25.3964876667 17.9045843333 27.0680133333 38.7398783333 16.693601 74.083136 47.2815056667 19.567575 
32768 17.2097046667 32.0603213333 20.0941713333 16.3261993333 13.110943 16.164315 26.567182 47.897423 13.8420303333 13.890778 16.301753 15.58736 24.648278 31.056398 24.7841446667 24.1366993333 21.1328576667 29.623831 14.3473116667 24.3189946667 18.212362 45.853307 41.0610283333 16.829641 25.6961916667 30.4930453333 40.7506766667 29.4195213333 40.1202813333 26.4642363333 26.0419423333 47.3631823333 
65536 26.8070766667 49.628503 26.3712136667 53.6257806667 23.3472716667 27.2799223333 23.6110346667 51.959026 26.7461173333 26.8874636667 18.8983923333 18.171382 15.7794553333 27.3227726667 31.403358 33.2710713333 49.3969623333 19.1621543333 41.2563933333 35.9997636667 31.4749723333 52.274364 21.9912993333 40.0471253333 22.3063216667 34.0423586667 47.8834936667 25.716958 53.0202563333 18.7187146667 70.9908843333 33.2848113333 
131072 46.0627396667 78.1244423333 43.6955356667 52.491097 35.124807 32.9247806667 32.6073583333 27.1724253333 31.2689396667 76.589609 51.9612826667 43.0926633333 28.3438213333 71.138094 37.005024 64.314178 67.2805266667 44.5651386667 45.9799506667 57.76817 44.28339 67.2680686667 63.7160013333 51.2176343333 52.3376703333 63.4856223333 43.7064013333 28.9469456667 26.643327 34.2875246667 29.8450906667 65.589428 
262144 78.2276713333 134.423879667 74.6711433333 68.9530046667 93.5825613333 47.741266 45.0016146667 67.795909 46.2135493333 65.2556516667 56.7727726667 74.524624 64.039819 63.3319856667 54.785913 33.533177 43.125176 50.6821513333 107.895930667 49.7613426667 80.06236 82.1514896667 88.8027283333 64.6506203333 35.8328463333 35.6752283333 61.3034393333 34.8623506667 33.421703 37.8044146667 36.533915 56.7633586667 
524288 138.644341 241.027025667 122.662099 118.788310667 137.507752 133.326591333 80.5463456667 164.600607667 105.386744 125.893681333 79.5402006667 60.1172386667 61.7479636667 86.6339773333 106.555397667 79.0527606667 93.8509006667 101.384882333 74.1868126667 86.6393806667 90.7103993333 83.589893 54.1001443333 77.2748446667 55.646363 98.047428 50.6677493333 55.1794283333 72.55141 71.1768473333 50.556887 46.812908 
1048576 273.448353 483.851907333 251.420686333 255.29913 182.762710667 237.778454333 152.220612 176.504441 167.239700667 158.702869 207.822425 136.204679667 183.911342667 133.647132333 171.161219333 217.360021 96.5535066667 100.351162 157.268094667 130.460563333 135.72892 136.257555333 89.9388853333 123.863541 111.021113667 113.162400333 95.791715 123.069934 82.9806353333 90.4469496667 83.301373 117.622982333 
2097152 577.239879 1053.59406967 603.264029667 607.104481 448.376912 391.062312 346.253585 323.18778 277.661146333 311.186088 307.328404667 274.688973667 295.593909667 220.248518333 238.387425333 224.505374333 221.259395 260.22759 252.33615 187.635290333 177.388296333 168.917764333 162.332666 213.172914 219.684475667 189.779136667 169.770658333 173.45756 157.902165 159.189416667 166.712349 190.194031667 
4194304 1137.992982 2235.43315433 1349.632411 1193.82717433 1011.84733533 928.675197333 796.913558333 727.533856667 662.686488333 587.001876 620.341886333 526.031445 542.777836333 517.894290333 479.367215333 427.464017333 447.430066333 418.726386 434.320789667 381.851557 376.628093333 368.671231667 346.541074 325.256252667 313.714727667 343.448771333 347.569961667 299.8617 315.557036333 270.743342333 350.827660667 301.232173 
