 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
100000 207.723797 228.655865 223.3521 226.347499 182.490322 157.683417 154.995448 155.689605 138.907471 127.476577 128.384952 124.581451 115.950798 115.283586 112.258163 114.11327 106.569338 112.343746 98.682112 110.22778 104.991573 102.982045 102.594418 109.05849 102.736458 102.803886 106.374627 105.588599 99.369856 107.210889 108.669326 106.774699 107.072506 108.260724 104.22864 111.969205 107.701996 115.666913 114.556837 112.408092 109.879997 117.153321 110.648191 115.341584 111.356462 121.985351 116.762553 117.479615 111.766349 118.671745 123.204041 121.567319 117.158006 116.615061 130.058883 122.179551 119.274097 127.623045 130.761062 134.774667 121.782815 129.185026 126.114567 138.03214 130.60215 131.047387 134.655018 128.656582 141.186775 139.563715 143.877693 141.123323 146.14641 144.846179 135.687593 142.512859 158.296163 153.265826 158.627458 149.205453 150.11453 156.733728 164.072491 153.729026 167.475727 158.176834 169.624729 166.402218 162.361477 158.578893 180.746716 159.186505 169.342447 167.875925 173.987274 168.023675 174.821547 171.112036 171.685133 174.894362 167.854369 166.72633 179.284815 178.800059 189.680504 173.573153 188.680196 189.866039 184.303088 200.980842 186.721157 198.991905 198.728741 195.34129 193.356011 202.566626 207.114323 205.527896 193.869378 198.312889 195.895717 198.890735 214.956062 193.965934 229.922413 202.921467 208.598101 212.586236 215.736827 209.989944 216.471405 221.48506 212.689977 202.758708 213.239081 221.142726 223.176574 230.176339 225.902457 234.800958 235.625223 224.219604 232.896257 235.387976 225.924528 231.237337 232.592547 240.424728 225.199255 246.577775 251.213044 250.26804 254.297107 248.289112 263.945516 253.487984 242.118933 261.273523 245.591519 268.0329 239.675269 246.751316 271.805668 283.063728 264.488782 251.837658 278.274037 259.295941 254.378712 279.012528 285.764207 276.265536 269.279946 270.190628 291.654221 284.31918 290.69972 275.653625 285.92299 274.74936 320.080501 280.041126 287.709327 286.477547 282.110384 280.093349 304.322601 296.550729 306.125872 269.473567 302.719558 290.759899 310.993961 317.802674 296.131731 295.102811 316.66251 315.010646 321.400233 322.803112 312.062013 305.45667 303.932667 340.161807 315.813419 302.707817 322.605321 337.840742 317.648895 322.380393 296.096254 326.672241 308.034229 323.187657 293.897402 348.970555 342.037509 335.807729 357.316168 327.198825 363.04759 333.381 337.787299 341.113483 359.513992 336.621216 337.94974 361.271264 346.338978 374.582158 375.238529 357.257914 364.885375 334.170428 363.826688 360.71722 374.570032 366.614994 383.389687 358.24154 
200000 399.182036 626.552682 570.197775 607.452498 389.954933 330.154898 284.458779 249.326051 261.559781 223.204606 212.621844 207.376203 193.712327 195.619724 188.911924 185.811118 176.125497 167.839869 170.524311 173.31217 158.985315 161.486594 161.119626 151.386854 159.365434 152.785241 157.33313 155.563156 146.353182 158.704125 147.165064 146.743052 145.116464 143.371512 150.194659 146.910947 142.435232 144.920278 144.195519 148.252749 143.63692 151.71353 149.174594 152.034113 147.399423 155.284209 152.669122 152.617733 151.837094 154.558231 150.955794 151.520295 155.085265 151.162246 162.639268 158.474063 157.94273 164.357148 161.485245 167.262347 159.604797 163.422344 157.970126 171.094713 164.663361 156.126951 165.383757 168.802903 166.000672 167.797208 174.437193 174.044436 176.246558 174.935036 174.26128 170.317282 183.407034 177.714106 184.764878 175.976144 170.482096 164.406036 176.89414 179.756548 182.624022 191.9829 185.394045 181.75209 206.228343 175.83154 199.172245 198.106244 206.705142 193.247782 202.747864 201.117364 204.184875 182.682532 186.867174 199.012114 200.546769 206.093295 207.63366 199.02751 207.555197 197.754162 205.780025 209.410177 210.671017 214.309893 217.530539 219.029458 220.325777 216.131126 233.303899 216.799108 220.7007 214.782715 222.803447 234.15947 220.857175 219.30552 210.648306 222.396126 233.477439 225.804364 231.176067 248.203402 230.020313 222.484788 242.510537 236.628991 237.448702 242.619214 246.073453 232.293201 261.57691 237.268489 250.045166 286.379326 248.810628 259.40244 241.383845 250.835428 255.286635 252.63748 266.936041 267.520237 261.401447 262.661773 252.137775 300.883762 255.374269 266.484518 286.667768 282.687072 268.757532 279.625209 268.691836 292.061221 287.377066 290.404416 275.73337 275.280949 287.50281 294.716533 292.1622 288.509917 310.233145 298.632817 299.522006 264.849012 303.66777 306.740927 326.959847 307.941334 272.954685 317.136037 287.267363 318.980049 318.448588 305.836661 315.881742 317.18486 306.043368 319.112398 322.840066 311.701591 325.435714 335.966258 330.297965 317.690917 348.177983 307.728339 334.907185 328.168207 307.79134 332.133055 321.682323 341.556216 343.292767 337.822648 342.789791 351.0674 326.582424 324.850558 360.185696 337.889177 345.754012 334.963193 348.64978 358.054977 351.747507 345.833372 369.707912 330.373668 312.641846 319.093923 366.560272 367.410199 356.209108 349.326937 361.941684 375.722259 390.337103 364.561969 365.462579 381.098197 354.252571 346.461579 360.771753 371.756833 369.004838 376.264946 383.481236 386.043846 361.225009 381.665519 381.56563 389.067924 
300000 602.577673 1015.650438 995.710208 1012.491827 631.930415 600.490774 513.164878 500.556673 399.983525 372.379715 344.753578 329.600471 266.911727 281.185717 268.618572 257.355572 236.013746 233.713656 217.587768 231.115506 220.022389 213.182943 212.804749 210.555921 206.945336 195.598873 204.736993 195.642048 182.70242 186.590602 189.361588 203.549998 174.717808 186.490584 187.093256 180.793357 191.057271 185.068073 185.987479 183.388173 185.043823 185.74151 186.626592 186.178278 177.530302 183.237473 191.288999 180.290253 182.810648 178.474216 183.944718 185.340411 184.210833 189.074365 182.131311 188.297447 189.031703 184.660817 179.4359 190.21363 191.217723 199.3667 188.726195 190.89637 198.414253 192.121732 191.422762 193.127941 192.873693 192.671411 196.240809 195.201368 194.155576 198.134859 191.759062 192.965883 205.974737 194.497521 203.918052 211.348109 202.184774 182.516306 201.071299 215.657276 232.105994 213.172741 208.51085 210.928213 219.051272 211.021494 217.85388 205.47638 222.653323 220.939806 212.652123 210.909223 227.408689 204.256405 217.801852 221.504819 230.546834 223.960611 219.44467 226.223746 225.595666 229.961997 220.645655 235.248245 241.296594 238.699212 222.670133 240.165156 241.632638 239.070222 234.404993 235.409404 254.637706 236.191518 239.497749 241.142686 234.072092 263.244494 253.398615 250.985806 247.614586 266.773793 251.031549 239.588209 248.159327 251.771578 258.530701 258.428308 252.914309 255.789482 259.294402 256.018708 279.872077 269.876782 266.961254 269.583529 280.534287 267.480845 271.032342 259.938455 282.833667 269.546832 274.721964 272.671311 288.136276 282.539519 272.00179 281.534014 312.998229 286.133034 304.37168 321.268715 310.991777 286.508343 312.832194 305.057179 284.234493 305.914674 323.297619 312.366109 284.878868 303.248517 308.225731 323.852755 318.521851 316.761564 328.972842 323.6719 319.099889 332.948273 329.661353 330.136293 336.063324 335.637848 320.446439 341.478012 324.316659 343.067583 346.337311 324.068185 337.276689 346.79788 353.866421 343.958696 361.865468 352.222961 332.613577 338.437768 330.001633 340.400848 329.122001 360.4751 358.625188 332.131131 356.3396 361.00919 370.728748 347.049046 356.461429 359.890839 354.919911 355.261025 364.007285 385.652499 363.846191 363.927604 349.828116 380.115276 372.367526 385.886153 391.888183 357.676205 355.452398 380.858384 386.612968 364.36572 380.905603 380.163841 375.541212 368.871586 376.97803 384.01706 391.570871 396.637387 387.310268 401.377743 396.518829 414.720074 397.592915 410.150628 399.949073 416.195255 411.742892 420.573004 417.568942 400.58915 
400000 791.919374 1473.309887 1417.222891 1330.595131 1062.84355 720.313909 686.958596 710.3777 542.879839 508.395398 481.514485 463.351863 431.797833 396.963234 381.855547 345.946542 314.74902 316.837331 281.022248 286.837907 275.080783 293.786223 259.891236 269.861768 253.147512 251.155883 254.772303 247.873259 246.553717 248.395032 228.148974 230.790304 213.281679 220.375304 219.289994 218.311756 217.087549 214.879204 224.951809 222.741665 221.89315 219.124922 216.844015 225.423474 217.487492 209.159521 221.075816 214.108702 204.478446 208.013583 219.924872 212.230242 214.690716 218.016002 209.488574 211.923644 224.786798 217.608874 213.050143 222.807552 217.779591 214.986534 219.404832 214.586528 222.420249 214.781817 230.235682 222.723572 202.872453 213.047448 219.006365 227.868361 218.562923 210.872784 223.701872 224.538007 230.36797 223.088488 221.252498 227.853668 220.930309 225.859473 227.853026 230.059643 223.573627 221.593097 229.426879 230.875694 229.373631 226.159012 249.737157 239.87819 241.390903 242.174493 239.344356 231.309638 236.454617 247.149463 236.330031 241.180987 232.816642 247.201426 253.738636 249.911273 236.946431 258.021887 258.694616 249.479318 258.952841 246.910997 257.891587 256.689707 243.84355 260.531439 262.260483 259.815341 246.169236 269.07619 255.022252 274.067968 273.404347 270.163169 277.847473 269.111475 267.464871 259.592531 267.185219 281.847924 293.021622 257.402212 282.974552 276.52761 268.198869 276.28106 286.793189 273.073564 280.224096 285.098214 292.621037 279.958365 289.830098 301.781485 274.894606 285.95077 308.916362 284.015405 310.278054 316.174354 298.697358 293.257713 325.679184 331.779369 317.512435 317.842256 328.218442 294.336608 344.720474 333.750725 325.372075 311.411672 302.048626 328.985544 321.375276 318.756786 327.358251 336.784427 342.379776 351.740385 339.427232 327.95329 357.309432 343.756095 330.33248 352.910895 343.782334 361.694559 353.078854 326.671213 361.749283 319.764472 367.764527 363.03418 365.47836 355.15273 355.709532 364.331653 352.471946 378.781299 375.964572 377.772397 359.613754 360.066047 361.385459 370.862832 377.140084 372.504559 384.539281 375.283822 383.30789 393.413981 364.383426 361.043578 376.943449 397.413089 379.494062 387.223209 385.960446 363.471398 353.211526 386.724017 361.878299 400.646888 405.608577 382.460145 400.373396 395.824353 409.191062 420.535731 398.547415 400.310716 401.250522 413.269655 395.097474 407.061305 398.210792 413.462184 406.382736 400.859114 394.812946 411.739686 431.128375 417.671786 411.447137 438.420754 416.500954 408.460077 425.785413 436.929341 422.896123 434.735237 
500000 993.101599 1793.234745 1755.922348 1821.71453 1168.030411 1042.682113 1021.71258 981.681866 788.636238 732.60788 636.943559 632.184342 523.560693 483.648925 540.466197 528.128984 398.773882 399.914943 402.11649 368.806342 366.72592 333.183531 328.091286 322.663959 296.491834 313.938869 309.03832 290.112124 269.792675 272.916962 264.212145 267.728356 257.294946 259.651361 258.047292 263.158783 258.268561 248.546567 254.815479 263.5015 260.027631 249.995574 257.312908 254.119654 248.625029 245.075265 250.674077 255.744574 239.200649 235.884087 241.98979 243.788698 242.180651 245.1527 243.847977 252.603157 243.196547 235.350446 241.591257 252.941766 253.839489 255.71487 248.305281 240.76244 239.747249 239.823275 252.849319 243.958645 232.476428 235.378801 231.948366 252.368413 245.167005 239.378935 253.785214 249.096183 239.533614 237.68075 235.769122 249.284093 247.557681 250.966432 255.834391 247.119631 252.777531 256.111412 252.79652 259.656493 246.02585 273.205852 259.296583 274.633623 256.153177 264.94935 266.608786 271.944822 260.37349 250.295883 263.613129 262.334583 271.388146 244.269861 263.058123 270.783998 273.597134 255.629671 267.241482 274.81422 266.39964 294.913877 273.258266 283.171316 273.786649 284.50542 293.137293 276.625317 283.422547 290.78383 286.955182 292.696034 276.950198 292.271457 276.065052 283.044097 299.902959 295.815768 311.396532 300.469255 280.471799 285.195924 319.796614 308.882551 305.983899 285.48231 315.686199 309.950607 333.568782 309.697836 291.905129 288.06237 306.073458 307.24878 319.911513 314.546804 296.34832 303.134387 315.083266 309.997374 309.299625 339.865154 311.13786 329.487749 355.227984 310.957711 341.81085 342.914187 302.993436 332.825033 354.502903 329.411854 341.122722 333.670211 354.286059 375.139408 380.760676 353.692624 392.476419 366.540449 345.824134 391.540142 383.337979 359.152158 390.279556 340.396165 351.693359 385.962692 358.70057 373.628492 388.730085 376.884492 376.968149 378.891199 390.020114 389.982262 376.09224 400.750626 394.716008 384.96739 381.327101 389.667965 381.761817 392.22679 361.346004 379.438441 371.634426 403.293477 408.223859 382.947082 402.812698 401.59555 412.567991 390.361675 410.626787 410.447345 414.032525 419.280023 428.73244 397.745797 407.313884 377.780866 421.573376 402.564356 437.855612 404.081624 395.371351 437.721142 413.473476 435.614354 435.216786 423.728729 421.375201 422.469107 431.98292 446.582948 424.237735 430.213396 434.827621 431.534092 419.096925 388.895474 449.286506 434.687441 425.910387 425.139628 437.808778 438.663645 416.035637 428.839192 455.10582 427.577713 
600000 1210.104913 2194.772747 2139.067091 2236.995959 1516.938288 1000.203435 1255.399676 1238.925616 941.632484 819.778971 824.485899 798.070112 663.233281 633.725089 610.672953 604.634549 494.373792 514.629474 537.918664 509.891942 458.82444 433.996298 439.917042 415.954675 392.359209 396.521013 348.108118 347.699451 341.016418 300.791507 322.172403 354.746692 284.240652 310.330403 294.254747 318.611476 282.620095 300.494918 306.577781 286.188978 267.966244 282.049949 271.583884 301.741067 291.094082 281.744827 281.453949 272.572577 265.714337 268.680288 265.512825 258.41721 281.737259 274.719335 278.165681 276.574956 272.205033 292.666974 272.143124 278.056487 268.227546 270.576971 273.799416 280.855704 266.84199 264.497186 272.188546 268.498923 270.031523 272.685169 267.387179 274.892232 284.354784 275.371792 284.001932 275.040495 265.091647 281.539405 283.645039 274.190375 273.067277 269.97975 292.441275 282.08286 280.77211 279.83198 289.968355 272.600036 281.60189 281.182445 288.997047 288.962979 294.829192 284.741575 292.180034 301.434021 279.731963 269.098772 287.983973 294.44888 292.118895 284.042992 296.368785 283.496711 300.166316 292.708225 305.340486 299.981292 290.077226 296.152132 300.678722 297.254125 289.37723 305.87323 331.722015 286.219258 318.242136 316.879996 300.731777 298.666947 313.803953 317.882419 325.254287 310.609862 319.751962 311.812835 308.67777 315.013534 291.858553 323.658493 319.28735 338.872868 309.097665 332.892588 339.106969 309.555347 321.597894 354.499952 315.342456 325.177428 318.737605 347.620154 336.676968 366.821575 338.299834 339.325032 335.442495 358.825415 360.980641 356.79433 351.910012 353.140185 352.816717 370.593509 370.875919 378.577222 350.446122 391.802084 363.639933 373.543552 372.079211 375.621534 372.957943 373.813901 392.765501 366.031827 392.829336 401.741182 403.09203 403.401258 418.605112 407.22105 379.543527 419.894052 403.485172 400.196842 400.220579 398.698692 399.442763 389.416095 405.447548 417.171696 420.869207 401.674524 410.544091 428.546197 432.134776 422.585228 408.019076 426.066217 422.799313 404.317779 420.915979 421.381872 430.538276 424.183845 431.132353 435.058451 437.822894 440.071528 433.246005 405.368895 440.330714 429.207188 418.200936 437.756556 458.864601 437.126232 437.286877 428.928049 465.963873 446.103196 452.155906 445.486986 462.263343 419.823929 445.90393 482.2685 462.169808 465.356838 417.841346 452.409062 470.874174 474.561359 446.037436 468.549515 464.706114 464.094971 472.216298 457.08712 477.882283 471.027377 443.922436 450.222208 469.57144 479.760743 486.613018 493.8159 488.94653 496.709873 
700000 1389.091406 2536.999513 2466.550059 2429.735825 1790.338144 1527.108853 1492.309475 1472.824809 1126.906946 989.566973 962.025137 913.208194 799.760919 785.012759 720.138957 739.68842 680.903254 577.406751 582.267974 578.914139 511.021521 519.197443 453.64379 509.90054 436.619535 425.969024 452.380833 437.993865 390.392343 419.550887 419.082362 371.810403 396.588822 357.766473 353.112918 364.824877 346.413269 342.803518 346.459332 351.473179 299.936962 322.959008 305.406309 327.73176 341.412124 322.380779 319.535436 314.803808 284.822218 303.931256 317.85496 306.919022 295.123791 305.350557 311.983744 304.73993 281.700304 302.326419 307.207013 308.827249 291.763412 303.169671 292.450962 321.826223 274.09703 300.515703 304.682704 305.966896 283.631628 296.336128 306.289789 297.463077 289.178027 301.616156 296.293274 298.46441 316.132461 316.95358 299.88121 291.440264 297.37525 281.584825 300.290006 302.032843 299.504364 288.164762 303.211757 304.418065 306.715072 321.794082 301.691475 291.911996 309.403172 311.23454 321.837708 315.693959 292.024203 299.563001 300.834427 305.506134 314.362935 332.011226 325.869661 309.264019 318.632519 309.034472 324.991186 314.698339 314.69372 331.101954 320.640637 348.607374 307.324803 324.013592 343.975247 319.867442 332.443631 335.050444 344.840444 334.180693 315.135939 329.170247 345.654764 352.593263 352.517112 337.321405 368.679059 340.024259 334.773937 331.067889 331.474955 348.286918 340.513569 346.261607 332.752024 363.351235 371.931719 348.791498 364.246262 362.949175 362.091487 369.622136 396.059866 406.030846 346.933375 371.714106 389.095126 351.333898 384.362726 423.111685 410.517274 381.251078 376.688306 376.212851 372.904438 405.248347 425.421267 416.458227 387.227252 422.745488 362.552185 422.626353 406.166341 381.726147 410.91369 423.644301 421.230659 417.382059 410.253148 418.014694 434.609109 448.519852 408.649849 423.140876 409.127355 428.393251 429.137964 421.146551 422.362419 437.252106 427.163912 421.843981 449.97643 421.702648 436.052469 438.783678 428.141315 445.041493 425.144374 448.020854 426.662476 442.71459 437.268849 429.867728 421.931295 453.069025 451.993657 437.111155 413.03318 451.402341 433.462465 477.53238 462.763626 470.76402 452.071669 455.591537 452.948672 436.565902 424.156002 459.766429 451.378731 465.908315 465.366334 469.878103 451.78804 445.212979 469.873226 481.42191 474.289405 467.777024 471.135287 482.608266 487.746767 494.402918 484.757846 470.475193 491.182848 484.352578 486.68455 504.89176 491.842747 492.475892 496.524527 511.375529 473.913073 504.338166 496.887582 496.674714 501.296447 501.615039 
800000 1598.243808 2847.872412 2726.495249 2818.732153 2070.508158 1679.377456 1588.442643 1501.726542 1347.032944 1165.220868 1097.179922 1158.66871 939.467058 894.100504 882.233676 839.548997 750.196635 716.398332 683.400555 688.930594 630.86448 574.889115 548.577836 619.157784 546.114665 521.879061 534.245208 499.077387 405.95123 437.167163 482.858406 423.485195 406.081016 439.950339 444.904075 440.832215 392.146277 395.829483 429.17928 388.919021 406.828102 386.890438 369.949713 349.582978 357.229816 352.732927 360.068483 340.070706 388.147555 331.247844 348.641055 348.745564 346.628126 346.774655 330.850211 348.604808 350.105009 328.263223 338.851312 329.025705 318.443391 325.218486 339.893703 326.339084 295.548048 308.580062 314.231289 318.580426 323.139671 329.061055 337.880517 331.087008 322.59756 321.266982 342.268404 338.987128 334.771562 311.871601 322.866048 347.861892 325.629335 327.911973 318.918844 327.129152 338.285398 332.132413 337.396531 342.191867 322.835896 340.411112 320.582834 334.125713 335.437556 326.353454 330.656336 332.602928 312.913222 327.967851 324.497833 360.774383 329.2983 351.791775 348.098365 327.303014 344.74203 328.639877 349.085777 347.077981 374.137306 371.877379 341.36664 346.215031 327.617758 340.512287 364.115128 380.863581 330.481897 350.263858 364.290595 355.731666 345.092253 347.956841 364.988859 348.347287 372.239664 392.931408 379.540961 392.331685 344.247907 353.066921 372.484288 369.112938 366.512412 375.911195 362.159876 390.490948 364.047254 383.539809 382.274481 392.772174 405.679084 405.84069 413.837362 405.601072 372.515146 368.128158 404.279991 430.845707 411.611054 398.782671 394.694004 429.652872 420.490887 446.611944 429.377903 438.434739 401.427142 398.111735 416.029608 423.072807 409.861737 431.577975 438.066682 446.549778 433.342109 424.651023 456.070904 419.11508 431.628593 413.558995 444.412581 448.641747 431.463135 405.473596 432.989129 457.509068 438.297384 437.968846 449.527856 441.639799 437.603867 445.647116 450.597706 482.24457 436.546655 459.345894 457.441063 459.664487 454.517454 461.004429 465.86392 478.602488 427.176486 459.596868 486.728305 449.547551 455.886908 503.206534 482.036259 480.731473 458.705882 487.419126 488.212918 478.899654 469.739464 486.18491 471.264366 503.826658 469.767948 468.180753 473.508381 474.317058 492.336741 492.580401 500.817721 474.327064 494.964277 495.354917 464.562984 508.418364 474.28498 484.827134 494.9696 491.644638 480.326718 477.780405 504.885601 479.834266 499.596979 495.368773 496.818422 505.738735 484.284446 515.424997 545.930541 535.040667 519.004914 527.991756 523.97674 512.689682 
900000 1792.695137 3239.618812 3215.688585 3215.169954 2419.650519 1750.507531 1872.365728 1856.754169 1476.189551 1275.977094 1339.494594 1234.078315 1101.623817 1006.850479 1040.215158 949.387359 854.599714 837.219335 811.123808 771.93802 773.356937 697.953171 639.067925 665.67175 577.131141 593.574214 594.724194 603.523511 566.631587 561.628967 565.14184 548.430023 471.073954 504.710008 513.514202 485.635872 462.91824 471.284061 426.942383 465.238151 414.304412 436.303379 416.60527 465.348433 421.896139 423.25443 422.208382 410.584575 392.728549 382.547779 379.656952 416.614125 390.114871 385.426291 377.758475 406.13959 353.489703 377.181018 380.406027 391.459626 367.675479 357.300515 377.859392 398.681241 381.46696 355.539008 350.214714 362.205747 368.095376 345.787886 345.6368 373.928802 365.130832 351.901287 364.093703 360.033457 357.320723 360.406004 358.331871 351.16344 353.591195 355.687269 383.654006 355.383431 375.689603 354.207148 348.267095 355.971732 354.614405 377.896536 375.232819 359.853115 343.949394 344.476108 353.753571 362.128182 337.965778 365.372826 358.367541 343.224505 350.533052 365.467197 374.441531 371.591891 355.332428 369.054941 367.790316 387.757428 402.860623 410.405773 370.342984 370.148658 391.434799 362.649314 379.940777 401.50817 368.540097 396.324634 377.983145 399.844822 382.312201 375.294216 362.126644 397.63314 399.571842 384.563661 392.209084 418.085391 359.864728 384.37017 408.08214 396.976642 384.281829 381.484923 425.666726 439.746519 412.794394 422.520367 427.129204 400.943349 435.711036 391.780978 435.889449 443.195559 392.551288 409.273244 405.571689 434.609109 408.800098 415.047713 440.992731 446.103453 416.00587 425.577293 450.986231 465.050306 443.232642 448.430036 451.747751 467.523292 425.489721 447.674095 438.361283 436.734631 418.012192 478.559825 471.135478 490.420172 459.724279 466.425792 433.352759 474.189517 454.49147 474.663044 476.09845 462.5353 449.489621 458.660974 474.835236 472.320872 471.11745 473.460138 477.747235 492.087241 474.224224 477.899669 504.133962 493.935099 475.413337 487.195802 503.154827 509.539603 476.485242 479.361376 468.787595 471.755601 452.923777 482.397069 472.900258 491.123374 489.189741 513.511637 515.808772 511.771431 457.471088 481.189669 481.308549 480.155938 466.145689 480.824433 510.030069 504.025794 493.8508 515.82943 519.726852 527.854914 515.225989 497.795826 545.963966 507.88716 496.612228 516.88414 496.981631 524.047823 520.320286 532.663402 541.151565 534.997876 514.496224 521.000265 541.95113 539.728798 522.887964 526.323853 543.598377 532.271798 528.232017 523.166013 556.626409 549.860168 
1000000 2035.648087 3587.128107 3531.066389 3374.341127 2613.763624 2211.458456 1833.251857 2049.218746 1632.044934 1525.817926 1384.610879 1355.513732 1318.814784 1222.326902 1075.544008 1068.043704 1062.832643 999.067313 904.515184 856.769117 793.624295 756.831295 809.708421 782.038273 743.043216 679.58256 654.70611 668.396996 602.688341 650.436716 621.09347 583.821104 520.309315 553.390943 542.564452 539.488154 550.774377 531.211827 507.352877 507.111848 459.384449 467.368549 515.198593 489.802808 464.111844 439.716238 407.35443 417.872717 416.63292 429.941571 448.417397 448.396356 444.714367 415.181926 397.3583 435.98793 392.734963 413.223463 431.262523 386.113903 417.378788 390.724859 409.689097 407.205078 361.053778 400.021761 385.465937 394.841561 381.797999 370.324121 402.93421 389.436752 391.284416 386.264605 378.722854 407.251525 375.668176 413.773207 392.737081 388.26066 399.589483 381.47158 402.384785 388.668687 395.847898 376.947299 385.132265 376.348795 390.176847 386.044231 378.437428 364.358726 398.100189 377.989948 379.355489 388.557506 377.612073 418.508175 386.343963 427.039387 382.506528 388.507403 422.184196 395.673329 372.096149 389.705946 404.482658 381.769324 393.424822 378.010927 393.151075 424.023265 376.493273 397.580469 418.189643 390.26634 407.712158 408.37783 411.311193 424.464652 405.448512 434.974214 407.54837 412.292896 415.862419 436.833365 426.669277 411.084661 392.196894 407.590456 399.067199 436.773251 417.942327 458.566087 429.663266 433.528609 439.735483 435.910556 423.45793 446.362767 410.889311 432.860242 428.649807 452.769293 444.024379 456.45776 433.790169 438.956705 423.715063 443.629055 476.592828 471.355401 480.577437 485.03936 486.715216 461.028872 487.998575 458.786398 495.647465 440.041247 434.343057 443.204925 449.366315 488.86358 455.271724 452.920249 474.247 502.439049 505.931843 504.253994 478.063454 451.376871 493.391708 493.904947 503.77867 495.037733 480.504555 479.288624 498.410044 483.122661 491.758318 510.375671 499.937706 498.22098 482.989732 488.003836 506.544265 503.732094 527.281304 512.582157 497.740074 505.02764 502.524181 495.431582 511.996101 497.391967 495.047871 508.050372 514.811288 535.317111 496.237624 497.77613 509.66862 535.945318 515.268586 496.987535 518.067609 527.123161 520.719201 480.214575 476.198018 530.685564 510.254097 531.87333 539.080063 516.628225 537.107871 535.841835 522.962128 529.494076 514.565511 537.964534 535.597596 529.152001 534.020472 514.198543 538.859947 536.651152 553.992461 547.872067 545.590968 561.621333 542.724968 543.949624 550.965368 560.984144 541.731849 572.439416 561.471724 566.070745 
