 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
100000 208.399478 187.853622 158.246699 165.636079 133.832422 112.528447 120.342983 106.447572 107.719253 92.971543 90.40489 83.880255 90.278505 92.394211 89.62098 89.480865 87.065297 84.324529 85.01426 85.465013 84.92207 86.768324 81.705654 96.123609 85.225973 90.29602 88.20405 89.832178 90.73561 85.716566 88.8184 89.255167 85.966129 91.681448 99.112208 92.773367 92.513218 97.721841 104.284712 100.629413 99.199461 98.842501 99.60524 106.78477 107.781934 104.861275 100.538249 100.80693 109.242937 104.874234 110.27269 110.958956 107.245084 102.811775 108.856403 112.830616 116.383461 114.2811 114.697272 120.147888 117.610618 119.40279 122.226255 118.749564 121.985481 120.965161 133.685955 127.995976 136.766746 130.717114 135.951847 128.839423 135.772663 133.422983 133.36582 140.598599 135.609262 146.584331 144.383942 150.82941 153.17402 141.615586 138.352211 149.533668 145.460271 155.064991 151.814447 156.977391 159.876109 152.514571 155.153781 164.43298 159.567458 169.658218 162.209621 154.603717 166.71799 160.395059 160.342004 166.764247 164.318334 161.227472 175.343896 175.464894 191.489035 177.853131 174.84182 178.726858 182.752846 166.106336 181.890602 183.700417 174.587701 171.438264 190.714041 186.922604 204.268723 190.747336 191.48217 194.758377 188.40959 188.153997 191.056051 202.01778 206.644131 197.886513 210.030298 209.120386 205.711571 221.406855 204.923299 198.494449 210.11768 204.627415 217.959162 212.161531 220.624226 222.502367 210.598262 225.721667 232.929489 215.948668 232.70604 225.856393 230.356165 239.079715 237.529345 234.405825 238.54665 233.501433 235.803767 244.080731 227.006759 246.516059 237.753181 238.72776 269.799218 259.257578 240.790348 235.817559 259.334178 247.369706 278.679562 257.412862 249.387641 274.120704 262.961891 276.008659 259.531134 282.642357 276.000832 280.356127 269.329474 258.855195 287.805495 285.48847 265.520011 266.886642 279.08592 275.008611 292.231167 282.612397 269.453871 304.427303 291.509358 293.577718 313.961902 281.511624 296.950223 280.532105 303.901937 281.591561 303.678484 307.428604 314.674279 310.618974 288.842816 283.489398 311.346748 274.588778 307.882761 318.476623 309.095355 328.882575 312.839315 319.656498 330.9041 324.821881 296.667875 313.7491 322.596276 327.311675 325.351481 346.158573 318.189144 309.461936 333.872236 343.325614 338.376243 313.731137 358.282022 337.505081 333.596497 354.779797 346.131115 361.892863 354.46178 330.980895 351.774452 320.621969 350.901879 354.239418 357.355173 355.24011 359.664436 352.243235 351.380219 347.647422 375.889511 373.99623 
200000 401.285233 445.514767 326.086504 328.367155 228.808104 207.156282 196.833215 169.448816 177.009684 151.188485 145.698673 144.479275 135.348661 128.757306 132.997893 124.154308 130.11502 131.052389 132.199868 124.838136 126.080563 115.808695 121.642829 123.212447 119.491773 125.492199 112.899262 116.898112 113.34328 118.570442 113.941847 119.265305 114.862856 122.64878 117.740854 113.883914 124.254197 119.049552 124.968693 128.07521 125.356381 122.222405 120.164313 127.249149 127.28867 128.582806 131.170948 124.029078 135.765927 133.411822 126.497317 129.07359 126.854789 130.707107 130.850429 140.331202 135.543118 141.347033 138.618711 147.308451 136.984809 143.377733 137.334004 147.338476 136.930279 150.134354 150.773082 145.411322 141.100743 151.891881 145.467265 154.846479 165.266996 160.233196 163.324893 159.217943 162.436601 161.29169 168.384932 168.058127 168.157118 170.503909 166.658968 163.095603 162.799463 166.536559 176.034397 165.9881 174.927915 175.893898 178.845801 180.40169 165.007681 181.45377 180.367624 175.24606 175.370907 179.975444 191.297209 185.601908 187.007162 185.864367 176.39078 174.399149 195.114695 186.497449 191.699976 192.104731 190.521769 186.321665 198.893236 198.096492 203.111751 195.591494 199.811935 200.64345 206.025932 203.654441 204.018007 202.242901 213.018643 224.312437 203.047341 216.716221 213.488963 219.431582 215.850063 228.277411 223.072128 232.863858 223.194728 221.86704 232.033179 218.708492 237.035608 236.944892 228.437158 228.224102 228.882075 247.31402 240.141676 224.563539 245.931542 242.610682 245.969137 245.680439 253.594736 248.871063 252.117695 249.926992 272.781402 269.093896 255.876925 251.910282 258.177399 248.336332 256.334095 281.467744 273.072731 273.244796 281.569557 285.720263 282.125846 255.351111 286.209123 294.173719 296.670635 290.759194 299.938502 301.966634 285.799492 287.586533 299.788636 291.956713 298.102 278.888708 290.610996 301.965097 300.566514 289.958601 296.799649 301.009955 287.907244 299.811729 306.87604 302.54294 318.878617 299.849967 302.420598 334.667823 329.774267 304.873245 337.50181 304.745768 305.079759 333.067026 310.727266 326.911794 311.734372 326.258695 330.355768 330.927517 319.415725 340.573489 343.911157 317.512181 354.596377 355.808523 343.845784 346.808786 347.576145 312.671872 365.483429 323.772882 368.948446 357.958168 315.61954 372.452787 339.264662 330.886203 379.630392 356.327858 374.193185 372.731539 366.471226 384.925753 386.023125 373.155541 371.896049 364.324532 362.943016 375.269644 377.544325 364.322029 389.434184 371.000573 377.599242 412.810241 389.065615 400.364413 
300000 604.666692 772.493922 544.505529 315.296903 308.518151 304.16818 341.253599 251.619659 204.15767 226.621954 213.75463 187.61875 192.173632 173.683435 170.337171 171.477206 163.238349 164.956229 174.257047 146.210372 166.215079 157.278728 146.432028 154.096507 157.398376 142.149934 146.81542 151.011031 154.005278 146.807978 145.298346 145.394192 140.92656 137.334582 142.818494 138.963545 141.965553 143.110336 151.585285 144.044946 152.597525 140.466891 150.309304 151.024571 146.983761 154.73068 157.856956 152.63762 145.863037 151.644116 150.175285 149.68193 162.297385 148.786263 160.446896 153.316702 151.462427 153.158688 154.965872 158.018756 160.788203 153.501212 161.089731 159.921403 169.965457 171.489268 175.601928 172.469043 165.79698 171.862458 175.045895 171.099397 166.0366 166.886782 165.543313 169.118288 173.218953 173.346494 186.3778 188.638945 175.286222 178.024874 182.482046 187.855163 182.290608 185.998514 180.604741 182.851323 190.045225 189.549242 183.560685 190.580919 195.925871 197.170413 185.189135 194.068517 200.642936 190.575786 215.251817 201.780726 217.627799 209.830265 213.142075 203.131255 201.92238 217.396779 212.789222 197.931809 208.277263 208.10815 207.897015 218.035569 223.241434 218.01921 235.457328 212.917022 215.076162 238.104431 232.739913 224.366007 228.45076 227.170996 226.638637 240.736842 232.579588 232.472321 224.81894 230.802106 238.367661 245.512995 260.912906 242.788391 247.631652 243.335442 262.068275 259.862559 249.376285 254.893813 249.368586 255.520545 250.527674 252.715429 266.592234 266.623543 272.472688 261.241252 276.093535 265.744296 258.202098 273.205211 274.443019 263.729571 279.482849 295.583912 268.645325 308.227915 262.174645 267.927366 293.935448 278.576401 310.526334 276.693001 273.601369 310.227821 279.198898 311.359902 305.078093 301.204345 312.998677 303.690226 322.341516 305.028179 311.894182 311.641347 310.5987 309.335935 319.198369 315.653287 327.734905 322.544117 320.627101 329.002994 322.361534 329.31421 328.992087 346.962181 349.900547 337.794678 326.870928 355.381892 340.658111 326.49761 340.900874 349.727649 354.542616 332.589776 354.607026 354.417578 361.004378 344.267089 350.278997 359.307798 355.836303 352.840326 364.468367 342.433281 372.230104 378.695205 369.400738 343.908207 355.232987 381.707607 354.078838 376.192516 366.040103 357.418111 372.056117 390.704971 362.63937 396.931155 392.419063 403.059952 396.898371 405.005071 401.551989 379.452105 384.838565 398.486209 402.12207 405.714945 384.980028 392.042732 397.837154 396.458781 404.846287 411.944598 416.801521 416.338834 406.211379 420.827766 
400000 799.401522 1058.98366 785.856269 701.352042 675.63022 508.239308 492.808407 354.681833 369.061548 314.378782 254.583815 241.680049 243.732564 254.540768 216.952118 208.510529 185.420221 224.186694 196.863753 197.148538 190.095201 185.277605 181.502655 190.664192 190.541655 188.697262 180.155398 172.594275 176.697954 170.824237 171.861624 170.251908 159.786741 174.977443 161.742508 166.079776 173.371513 165.993743 173.221904 173.077362 162.12391 178.348408 169.53363 174.98867 163.986204 168.567261 177.568923 177.8505 173.001275 179.237725 173.215616 173.260333 168.948406 173.129328 178.244475 171.072708 172.214606 173.197332 175.424283 178.233312 181.848835 179.331391 176.728043 179.480423 184.831214 175.667367 184.870027 189.75781 187.097555 188.451484 183.755654 194.595935 199.58348 183.689703 188.000153 191.341285 184.041079 189.033818 199.650073 207.130298 195.160757 204.539586 197.656839 205.016772 195.137213 217.106989 207.598951 207.115862 198.575474 198.023229 211.321549 202.485856 219.331437 220.399939 203.963025 206.173875 211.793408 208.274181 225.796728 219.503052 219.116068 223.200824 219.399057 224.981573 226.979237 227.480544 220.225373 242.663483 230.00004 248.785545 222.063931 216.385438 232.864949 240.811389 238.680673 247.575067 244.572353 246.984392 239.785614 238.37324 236.064621 239.598668 229.563208 239.541121 250.713019 249.72022 248.886139 238.735011 267.8575 256.257686 267.017902 254.758766 242.766452 261.428392 274.829745 256.833091 265.127894 269.873895 268.291894 264.944796 283.25382 269.779073 263.657588 276.134466 280.353112 278.324014 269.229778 270.715608 299.333198 293.600364 269.672383 285.584638 297.911328 299.342758 310.064288 294.428671 323.985488 330.367443 305.679545 273.853499 303.713772 298.021035 306.572583 326.283076 305.396943 330.031207 310.817533 296.786241 313.221873 330.721389 313.519359 299.327744 352.983006 309.823388 328.047084 319.301207 331.015346 348.269661 332.581692 334.716902 313.661975 341.559296 352.578764 329.348982 335.093748 355.092295 358.913501 342.539586 357.64894 333.588478 342.29259 354.666114 373.232401 351.539067 350.856266 385.047839 376.466393 368.09037 356.417612 383.765763 359.130793 379.174506 373.734479 394.797422 381.00639 380.121564 384.003589 356.452897 381.041419 371.926074 385.571472 387.596335 399.972427 385.658659 402.979248 381.89789 411.464974 406.153703 374.34517 399.894734 406.783833 422.402322 417.24419 393.77389 420.655316 410.933385 416.950873 415.487432 407.630489 411.842525 420.714275 420.215148 432.695941 407.003052 436.444456 429.022805 432.106675 419.763817 447.395726 427.414246 
500000 995.023298 1388.384161 1017.902665 1142.585996 708.816421 683.235099 576.134556 505.858064 458.650452 413.455321 310.136015 295.079138 286.000684 344.657153 251.149018 248.561964 268.301967 239.797933 237.681648 225.762919 201.381425 222.826158 217.12027 212.055227 224.246549 220.752665 207.617299 213.259482 206.838007 211.279655 197.184079 209.707791 196.338452 198.919667 203.965913 193.777061 188.839751 188.599361 200.533297 184.08958 194.073905 195.118736 188.402341 191.150231 194.829717 184.179654 186.086601 200.26994 192.261204 190.624865 184.907814 192.206481 198.9495 190.908046 193.09567 184.616678 194.95976 189.935263 196.707345 194.461468 201.915195 199.205221 192.082404 198.82414 199.539983 201.590955 206.242968 212.306393 214.710988 202.691281 208.538565 208.808657 208.428283 200.153241 210.637398 206.899212 220.677537 204.102564 204.687016 205.58942 222.396063 218.100558 220.200418 210.329712 230.001005 221.56538 216.829902 219.982354 204.40794 235.922068 213.19539 226.634081 226.276865 225.750858 228.717773 240.955033 223.781748 247.191228 231.804273 236.537893 231.033452 236.897225 231.434678 239.649925 249.971771 240.450646 237.23327 249.945789 248.670259 244.047373 248.536173 253.321308 247.4542 247.28977 261.257483 263.122536 248.554201 252.00074 253.829992 243.593025 257.510186 270.100489 266.38187 267.897532 257.614502 267.780194 259.525682 262.213137 268.221901 262.53866 278.642353 277.507195 280.940131 267.730153 280.524919 285.49636 285.236339 277.202905 281.265014 272.662716 283.995517 304.081508 295.346343 284.903951 311.351176 291.719787 284.605438 307.00409 295.431479 316.248196 290.113794 304.656593 295.3015 318.750499 318.686923 336.907797 320.697094 340.264905 347.04539 336.378647 321.754113 340.402068 317.04821 300.646901 316.223369 338.151636 342.231 347.577813 322.410226 308.50532 357.654458 355.939911 355.631519 354.297414 347.827634 351.36418 356.63452 336.870909 356.021582 371.978104 351.693617 374.379557 372.085563 371.686006 377.613678 378.094392 375.925117 384.070694 378.318742 368.959927 383.518319 394.492684 385.644544 398.158506 394.226186 394.945363 375.137677 384.794746 392.533197 389.49969 408.627137 404.332789 408.650748 408.844237 392.186118 395.832757 376.532537 409.939237 424.820071 396.657085 402.533688 412.177545 410.327696 413.946876 388.283564 426.741066 421.621812 435.419002 432.715827 422.825875 441.34321 399.597055 417.125698 407.148364 427.955522 441.52079 422.165334 438.411323 443.287751 445.779853 451.617452 422.986135 444.080771 452.733107 448.564376 466.584574 443.392001 456.585684 460.032545 437.920344 
600000 1193.999679 1659.455701 1261.191403 1377.514815 968.5082 847.941701 837.606574 546.335938 531.249679 467.460548 373.728577 383.130244 364.564408 308.301628 340.603515 313.476376 256.00748 279.184591 274.876772 244.947658 271.187276 251.790697 231.191207 241.918257 243.276419 246.482314 222.839821 249.485413 220.751509 235.591732 224.771211 213.622277 215.658751 218.377324 221.74418 220.275801 206.313987 216.06575 213.236577 220.597988 209.616949 210.735428 214.042941 214.592302 226.7196 216.636797 217.444188 218.031975 213.187883 210.678457 218.136743 225.399736 211.919024 218.584738 205.653127 205.911992 200.368288 206.955794 208.495837 219.03363 219.084762 206.194404 212.18283 213.465867 212.361182 225.253658 230.473953 217.90033 231.499024 235.295401 223.048133 234.865882 225.271042 227.354413 240.902746 232.602235 233.813802 245.633926 233.897461 245.442617 231.183061 243.732883 233.395898 241.810991 227.504664 241.70244 235.935989 236.032608 243.484091 247.162293 244.560869 240.164192 244.283525 240.257218 241.345353 237.215049 237.650404 258.26035 251.541645 238.549988 255.494817 260.558642 241.026118 251.972961 261.362505 265.476065 262.780526 280.779679 272.476921 249.888627 268.552301 269.549719 259.810401 272.827017 255.856268 268.073703 271.821193 285.529849 283.792338 281.38075 283.748198 276.224155 285.577003 283.404583 286.748603 285.684335 277.327432 276.70115 284.622761 300.2936 288.216727 291.014019 297.6209 290.471456 317.780345 310.594211 305.865786 308.526557 320.628449 288.964263 321.803704 300.509096 299.977829 316.696382 311.454399 313.945798 307.108663 331.294741 323.199526 327.156546 347.596546 333.002551 333.459462 354.487892 343.949009 339.501844 310.488867 334.434491 369.489015 370.269269 330.163495 343.194159 360.54413 342.963844 341.495527 352.620081 328.778515 379.266827 345.961489 366.909983 381.087545 380.209327 378.284931 371.691522 374.953809 375.699806 394.442966 386.935667 369.209492 337.658155 381.178518 389.731029 407.774004 386.112942 395.179915 383.954315 397.05998 401.801936 399.533158 411.57763 410.557757 415.307413 410.587653 410.671631 419.497831 411.501093 410.16609 404.036073 421.525004 417.198512 427.060495 441.599958 429.122567 412.138538 420.518921 420.303681 425.189154 432.294843 432.439512 430.893823 442.498002 431.830296 437.054572 442.590897 444.013087 448.436836 440.787818 458.43906 455.694636 464.745569 448.628468 440.986444 470.551665 469.789568 453.739252 449.905602 468.494664 454.269111 461.992867 472.360584 474.603573 474.011165 463.586673 465.264326 493.772018 474.495727 491.184772 467.188979 461.16578 461.284659 
700000 1402.497635 1939.30526 1499.583121 1234.718262 1185.353821 913.357293 1045.330371 774.542972 656.238516 622.3724 429.139503 439.50536 449.885587 389.275786 415.031225 315.108609 368.120524 345.497776 317.890888 314.629115 280.965728 310.063006 288.316745 280.533516 283.694181 267.441968 274.890437 262.969974 261.562733 237.184832 252.00151 270.529815 260.853242 241.385321 244.383801 254.006999 226.026212 242.391786 241.715784 240.590824 244.435637 237.308842 231.133339 229.536265 226.844254 243.63864 226.984433 229.851137 242.73572 240.792977 233.791348 245.358381 240.602115 226.211876 231.966075 232.983894 237.696916 232.061727 243.114301 244.268258 229.214399 232.779817 241.915564 226.649927 239.297267 235.991034 229.204197 242.035982 236.176443 243.12835 234.342571 242.427329 248.032942 241.941867 236.422155 240.286216 241.886436 242.144597 245.800024 257.335748 253.448014 259.671185 248.056935 265.392791 262.069301 263.849156 266.136155 253.486891 254.937566 257.03903 261.40844 256.236834 257.356085 265.142971 254.280491 271.165785 258.749532 272.076914 258.174832 255.834712 278.13925 268.860886 275.561947 269.614066 262.799514 278.440201 302.337195 272.754906 280.712702 271.85186 272.057797 276.34958 277.876213 287.713368 279.072191 280.933075 291.44546 279.991664 309.375521 300.442567 280.754144 294.845999 295.917645 291.148293 314.899145 291.070987 308.855864 308.931951 309.816393 300.049168 316.472932 322.863612 323.698075 302.968482 342.448231 308.801974 325.224903 305.930907 323.985939 342.613557 323.018994 353.231606 325.983023 340.272539 321.323054 348.433577 346.784023 334.098447 352.266714 348.778796 370.082835 364.862087 348.33959 356.366865 354.252892 383.81279 348.971389 341.148895 371.055684 356.444108 402.007425 364.631898 363.542032 377.377909 358.652453 371.24295 374.984603 406.635764 382.638688 369.492545 375.810986 395.623867 384.640262 391.79336 406.449203 393.986501 390.405814 388.392499 386.210329 393.26219 387.059548 392.290883 411.696573 420.32235 416.629199 416.549006 412.343641 410.837024 428.016018 426.663374 425.999626 424.687847 464.079511 429.001635 410.928956 444.088342 448.965217 441.865304 439.755629 404.826207 445.251343 446.729862 439.704882 457.534666 435.839283 468.111079 426.782895 462.208942 452.501317 455.272943 425.064696 453.056515 461.565723 459.898974 465.109906 473.330095 459.217327 466.643662 475.183857 476.514368 467.082417 480.736606 447.276271 467.328579 486.899151 473.173428 481.414851 491.436711 488.141257 474.487452 485.606873 504.022008 483.697169 503.736263 490.545016 476.413003 464.055324 477.96607 499.169706 518.010638 
800000 1587.100071 2296.020166 1706.313796 1651.742401 1196.462014 1398.583085 916.813581 820.371571 739.21348 693.171692 578.765686 542.28262 565.885079 463.985075 421.250033 407.825135 413.253619 379.404374 378.461871 372.866715 379.902603 324.292343 297.61673 307.485639 284.649321 311.089678 300.561512 310.396033 292.495229 311.334367 272.162499 279.429664 262.592101 268.523238 276.869683 277.815458 258.100028 267.171619 272.224535 268.186488 272.916706 266.537445 260.371694 258.953225 247.51553 255.867109 260.1161 245.05897 257.426591 247.536445 242.278104 252.917388 253.316883 238.612154 246.276375 245.308467 245.232508 255.425788 244.605778 248.828529 255.030783 249.53757 256.894233 245.397066 248.578324 251.133684 255.790957 259.376969 240.674739 266.225395 262.415097 252.537911 255.49469 254.132742 256.605856 262.955283 263.36042 255.151589 267.852817 245.051078 266.302959 266.670953 253.181515 278.469327 275.899597 273.640888 264.626457 267.762294 277.326661 267.355167 250.657591 267.172197 282.349939 273.361106 271.249188 281.351494 293.45794 279.36012 270.910063 271.537371 278.642224 286.72294 283.123393 287.460404 274.518466 283.502356 298.584316 301.989155 293.306726 301.308598 307.580588 302.327636 297.067496 275.871302 300.818517 300.68841 291.83963 297.551868 300.248178 312.656667 291.283083 302.562445 309.277042 307.078062 312.927208 311.624667 311.878593 311.643337 322.356337 329.713767 325.059961 336.739518 324.986821 319.054789 317.085548 341.198746 346.058813 317.585316 332.686587 374.237774 363.997853 365.753777 349.466922 332.633466 350.538826 356.973259 345.30685 402.149271 365.724204 387.418817 365.078868 363.761506 383.794249 373.387848 395.014778 356.824803 380.927159 380.2509 398.571793 381.028074 366.405208 377.166133 398.957558 392.208059 411.537596 404.662675 370.594151 400.400789 403.860929 399.553365 395.181517 423.060937 416.94587 408.510761 414.731043 423.31185 416.320229 421.788808 416.040514 430.121396 423.260013 442.526549 422.08251 417.687695 424.27302 445.477939 446.174664 449.29382 431.511124 442.949974 457.0272 457.402956 441.899435 445.896295 455.783874 430.446278 441.287973 435.111763 462.236143 458.439061 454.164665 465.964835 483.00795 439.779173 480.554662 470.416878 488.49738 472.408636 471.869155 476.632284 486.97697 454.115202 453.699927 442.517696 495.084309 471.877175 462.322303 456.257916 490.780788 447.209613 515.830521 505.479806 485.622016 492.775304 526.145117 527.226515 500.668496 489.614321 512.234951 464.704316 532.913927 511.309641 483.482187 517.408607 532.947608 521.982863 517.977534 526.580218 511.907439 517.539228 
900000 1781.571546 2487.702564 1949.982974 1621.86904 1469.289095 1261.004712 1220.293892 811.791793 906.193609 705.791125 689.802718 631.813012 656.137087 591.159547 492.629415 574.607475 447.810746 450.743788 435.510936 415.457665 386.385666 438.74865 340.582535 388.07583 343.184794 319.32424 337.668164 344.348758 305.448653 315.124905 318.480087 332.143321 298.36298 303.928689 294.999461 288.593319 292.17099 286.155875 297.888617 265.536627 269.50327 269.579422 279.144239 270.463286 271.146669 274.29296 270.091702 268.185461 277.173138 275.224491 255.859091 274.608411 255.812 264.78768 259.343545 266.669412 266.550149 265.462719 267.809447 260.588474 266.302894 260.78851 260.552739 262.051979 277.439382 268.499564 280.433692 272.893931 268.573215 271.555398 276.422717 280.472185 268.29722 278.703493 285.555768 284.043952 278.931564 288.907229 270.566512 283.234059 288.552645 282.546447 287.392336 286.393632 297.330726 289.706857 285.415203 274.285455 290.276362 277.445605 290.17192 287.926877 291.622786 302.493411 284.162447 296.485419 294.961993 299.051043 301.159053 305.296412 306.292034 307.698058 290.899309 305.495614 299.042383 301.3979 304.52251 295.141562 312.46651 300.661272 296.854887 306.09341 317.302265 302.761451 331.504785 310.994538 313.085927 315.56655 307.098977 309.389699 315.381011 319.936728 310.734195 320.039632 321.28456 319.192079 321.095175 332.40379 340.9887 354.059656 336.061399 376.927732 328.921004 324.793203 359.901746 362.979776 337.067736 353.392828 348.889463 370.480082 379.209277 361.728561 381.931058 376.201303 382.332156 373.061169 395.492671 383.188754 366.197669 366.935323 374.903062 379.884574 399.979739 403.680462 402.535548 368.941195 401.270155 372.673222 410.227744 407.624265 421.488113 422.229744 416.471316 407.032049 416.936439 412.840332 440.887901 409.739202 432.701457 445.781329 430.41311 427.250457 431.057419 428.297854 432.744056 433.214378 434.617384 437.543111 441.342377 445.364065 437.394787 435.646945 431.812267 440.122595 451.088879 449.467937 457.6377 452.804577 460.976523 466.337065 459.574286 467.899112 466.604141 459.272884 490.612639 453.12144 484.904247 477.518329 461.316801 458.180581 464.597177 493.964226 444.485781 439.685314 474.832478 463.362706 489.947733 482.386291 493.602843 487.131968 507.109987 483.009045 485.283725 505.888794 482.285952 507.816719 516.732478 518.44144 515.39401 504.217492 499.54867 511.276473 539.452418 519.010689 520.1828 540.241911 537.022481 523.018006 509.228385 530.304225 535.269316 536.85972 536.465806 529.511012 522.36061 537.70278 528.544067 525.683585 559.304693 538.903057 
1000000 2018.884046 2706.324575 2224.463137 1816.037189 1666.229643 1392.842295 1146.805796 1268.201179 1008.313794 899.243688 708.594509 777.301449 606.752951 636.119807 637.993777 548.237943 518.508161 551.425679 503.451158 450.793636 455.784389 443.548475 416.177164 415.235112 394.574932 386.434807 407.263458 358.511505 367.444648 347.156314 345.747276 373.55003 319.853584 330.297324 311.939027 321.66699 317.380662 313.850913 314.207421 320.104686 283.552462 295.097681 298.149664 309.056605 287.51333 310.519148 293.635715 274.192364 283.727861 279.474766 300.044421 279.284289 277.727502 282.22766 291.847583 273.61497 285.938902 262.933727 273.738531 281.550759 274.35904 274.197818 283.680772 292.606154 276.862434 276.309418 280.987605 285.185786 290.735198 293.955207 297.778655 296.327596 294.428156 294.315246 289.069669 286.786903 294.798333 295.941191 293.827344 304.916486 300.321122 301.884646 302.667723 286.699652 299.850929 301.197673 309.06411 300.844754 285.177061 314.625459 308.148553 319.943592 307.117837 301.596526 316.168771 316.965835 321.130076 308.728194 312.562551 312.732625 327.148273 308.082346 312.754312 324.938642 332.425539 331.867711 316.641209 324.365609 313.08362 331.625333 331.35402 318.268504 339.20038 327.445629 322.631243 333.862612 309.990447 327.879833 325.256017 334.831482 309.097598 329.44868 328.800843 363.818669 339.733828 339.126407 379.794821 333.525029 342.728396 345.303709 345.721806 355.68201 366.628532 342.719798 362.254699 358.531458 372.233825 358.289721 389.945116 371.375495 361.139105 405.569571 385.409546 385.371888 393.35791 396.991847 403.256588 397.640003 405.841396 384.165514 383.689227 386.732486 393.442147 428.876402 407.046807 385.808269 433.77028 411.986363 427.040091 402.739756 432.132786 443.544178 434.719583 443.838906 450.866837 455.592374 410.794745 439.660871 418.028229 451.02017 423.771073 417.324191 444.430031 470.206449 446.880049 458.330766 461.548464 458.601566 442.32677 461.450564 462.03091 466.017572 476.291621 445.081718 453.663872 456.854815 484.534908 475.513098 484.300997 471.349563 480.506161 479.21196 466.341554 484.274052 497.570449 500.844153 507.735177 480.706903 506.361231 507.564268 494.486128 504.91877 482.822544 513.700058 505.63647 489.116797 516.714707 517.878929 526.085774 524.876001 506.602969 527.914321 530.316672 510.30292 525.900365 514.469022 532.95768 492.483013 524.898455 522.650013 529.400986 528.183901 533.648245 531.96026 539.18688 539.559558 541.132576 558.062779 547.850638 547.305513 544.599132 557.219459 526.426373 564.374998 533.299434 550.298988 561.484553 568.290314 565.422583 554.133537 
