 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
1024 1.702932 4.100408 4.080712 5.76382 6.54324 6.930479 9.920492 9.307426 12.397007 13.630387 14.003384 16.927188 59.367884 16.475727 20.901594 20.925846 19.710811 23.043349 22.24866 22.843569 28.532325 28.49704 27.156136 29.794323 30.369986 34.125494 32.376629 35.344118 36.795885 35.875517 37.841483 37.980702 42.461675 40.645512 43.905039 46.92501 43.653612 47.526399 47.302755 48.655079 48.843247 47.641557 50.156756 53.610416 52.749648 54.720428 54.149897 59.469827 56.71071 58.485369 65.058377 60.625132 61.619405 66.276744 67.403501 68.026639 69.045871 67.683473 72.949258 72.983709 76.272812 74.17911 73.464936 75.025506 76.417096 78.227552 78.221714 78.561544 81.241556 81.889331 81.859884 85.660237 82.483856 85.67185 87.465241 93.62894 88.425194 92.558191 93.424348 94.714058 92.949536 96.02481 98.436529 100.248396 97.572166 101.421472 102.124674 107.739847 105.24242 105.769067 108.025401 109.255255 106.663966 112.752667 112.547053 113.251859 117.901371 116.080137 118.349943 120.248867 119.265049 124.651638 122.709794 125.376974 128.837885 130.569623 127.079586 189.887724 128.652412 132.644653 132.230918 137.406181 138.640714 135.312416 140.688481 138.491618 140.825902 145.149505 146.909472 147.182773 144.240877 147.377289 149.089652 181.24071 153.14406 148.429883 154.879519 156.150624 158.354286 153.632794 159.97542 163.220961 158.174268 160.012824 163.834414 161.838228 172.139672 165.716722 171.749352 170.44848 171.523462 176.71457 176.481944 173.268737 179.424672 183.035129 176.020285 183.470036 181.192914 177.324556 186.496615 184.904993 182.177566 190.631473 191.772408 255.927737 192.304636 191.912008 238.326535 193.523647 203.523565 202.770319 201.02575 198.998064 220.309546 205.970888 210.090926 211.584454 211.463716 208.372918 211.851213 216.550187 212.577064 215.163476 221.312932 213.050591 222.412548 218.108643 224.617944 219.11177 223.562722 222.963642 233.051705 235.089785 241.750621 233.503678 242.451002 235.21001 235.161187 246.545121 238.716021 240.401823 239.071955 245.659781 245.706166 247.410831 246.436442 251.896488 257.631631 251.986048 252.764634 254.546221 255.033157 261.102997 257.738513 257.339469 264.629666 263.542237 270.125639 280.528383 263.857881 272.708586 266.365445 269.983984 270.537385 269.249538 281.857421 274.358784 282.722233 274.927326 280.886561 283.79856 293.545576 289.330781 286.841114 282.781191 296.883822 290.415706 295.723961 292.707197 293.608448 299.483577 294.274377 298.822204 308.366038 306.459863 305.361657 315.086733 310.834084 335.663766 
2048 4.240523 5.455428 4.491881 6.295089 7.15252 8.240334 9.126637 14.072223 12.555085 12.804005 15.132128 16.136542 39.534346 17.825102 20.575493 20.558557 20.50858 22.437659 23.669628 24.876706 28.000483 116.691856 29.450129 28.965117 30.237699 32.644795 32.391064 34.394433 36.25801 37.121792 37.95087 38.44929 40.528492 43.251105 40.984636 45.67899 45.84887 46.416836 46.35063 46.57145 50.150469 51.816641 51.961759 53.006012 100.609909 55.009512 55.077644 55.871372 59.674868 60.513118 58.008374 62.494997 62.21143 64.95406 68.875538 67.537199 69.491618 65.854285 70.318002 75.400687 71.333127 73.37236 74.463253 76.950545 74.816298 79.814556 79.907837 79.656734 83.629987 83.756756 87.410901 84.962487 89.769434 86.776471 87.393323 89.384054 91.99722 94.346129 94.494328 92.51463 95.102645 94.827357 100.451703 97.981412 99.097134 99.973105 103.4625 106.545088 103.698463 108.76126 109.729103 113.2908 107.413747 112.781473 115.166504 115.483299 116.37942 117.835802 116.428752 122.108083 123.129303 123.945291 121.931976 123.197113 132.929503 125.697172 136.281605 126.306712 128.499467 130.501873 134.635386 132.206091 131.224259 135.237546 213.149841 138.074932 139.787037 137.423567 146.315329 143.642886 147.780505 148.757584 151.697363 153.893519 148.359311 153.219059 154.158095 157.847012 157.60303 155.474622 161.442969 161.948381 157.946837 167.57459 162.053725 163.442297 167.643748 165.417953 171.220843 166.852589 172.40059 174.921628 177.064856 177.883219 178.255703 178.693561 179.27455 183.464775 182.923498 183.373097 186.949741 188.522376 187.428787 188.93438 195.631334 198.976892 191.444703 197.37847 199.908681 201.126217 195.020771 198.246489 202.883679 204.140862 212.32179 209.747761 205.097417 212.662966 221.438868 207.847102 211.716167 215.117154 222.698361 214.501778 219.972733 224.639691 218.418512 226.744044 228.046326 225.996252 224.611659 232.494389 228.105284 223.721698 230.820135 240.094586 237.908437 234.005692 240.431912 239.792352 244.884917 244.387072 242.397625 245.011751 248.803893 249.01028 243.908989 258.161231 254.618845 249.116264 253.654401 257.888892 266.854885 254.168027 257.437049 266.452697 264.908741 265.040003 269.347181 266.073861 276.993376 283.25985 273.660263 276.966238 274.279616 287.04795 276.498227 284.81561 283.931426 289.265021 343.474774 284.896061 288.860138 297.313532 294.096731 295.11218 295.6242 300.788749 302.64084 293.03009 303.12656 310.414447 306.166485 306.554879 302.377676 306.385637 315.714106 308.254921 311.415264 309.592171 
4096 6.677773 6.340832 5.449524 7.122239 8.51479 9.978552 11.763539 10.338333 12.19434 15.088888 15.44899 17.347595 24.735629 20.153162 19.725376 22.493795 23.544976 23.44361 23.226188 26.396028 25.694105 27.592199 29.950283 30.592283 31.940309 32.384004 33.868169 32.602583 34.596136 36.47915 40.780173 39.975091 41.913213 43.99819 41.938428 45.783304 48.376067 44.480123 48.103664 47.800984 51.811957 50.815307 79.380034 53.29163 73.196126 53.794926 56.821956 60.403348 59.439676 61.397304 62.393183 63.412672 63.630926 66.869474 65.888093 66.536445 70.574046 69.660668 71.079394 75.238566 75.323764 72.812799 75.756297 78.181937 80.352688 78.602089 79.708572 82.87193 84.07625 82.556993 82.789169 86.864428 86.853137 89.988973 91.42162 90.071283 95.492259 94.572981 94.546678 94.458721 98.380264 96.203997 98.855975 100.281563 104.596121 104.397561 101.425513 106.463994 106.962865 107.300001 108.394614 109.056758 108.076662 112.351958 114.939331 114.744493 119.709451 119.561254 121.717827 121.480773 123.890376 121.219021 122.925032 123.512629 164.034705 126.795635 126.360473 131.400175 132.18075 132.198904 131.061819 131.710557 139.390818 138.343164 139.665785 137.092784 140.830778 143.007751 140.98212 177.696592 147.992281 148.246719 149.695021 148.959609 171.736843 150.816898 160.127341 156.412312 155.040228 242.758689 160.656811 162.126413 161.049634 169.072482 165.620298 168.543523 172.237893 169.250063 170.927655 174.54831 168.296655 176.272285 171.834229 182.169867 174.239981 179.948948 176.62719 177.164618 184.072129 185.334767 185.17008 187.399661 185.8584 191.268212 191.377918 189.618659 195.155431 190.788525 195.930362 195.895204 199.470503 213.139959 200.43488 200.02737 308.884926 205.599494 205.875873 206.515436 211.366711 215.708279 217.404283 213.066118 213.976542 215.442551 246.777234 219.443388 221.635822 219.923782 218.727482 230.807242 225.283619 229.000633 227.911347 235.617202 233.765302 235.575694 239.710679 239.507693 236.640542 236.649456 238.068954 245.118889 248.857333 247.357326 264.052206 248.717861 252.169018 241.990048 246.24032 260.921375 260.684193 256.001835 263.784743 263.350863 256.049631 263.374473 266.896136 269.13316 267.737851 269.753025 271.196194 343.73595 272.552048 273.628313 274.195123 284.984659 276.944938 283.640545 283.543801 283.362306 291.538485 282.367774 297.822859 294.68497 300.575369 292.480857 296.860918 310.816185 294.380234 298.820342 303.92003 303.447463 300.627784 304.848224 305.78957 320.376768 427.145371 310.463848 314.478672 317.33864 
8192 11.567546 8.740487 7.497995 8.708088 9.410971 10.255958 12.819916 12.329194 14.80282 16.319318 17.562773 17.983373 18.401986 20.927256 20.583322 20.670507 24.188387 24.866633 28.81955 26.848193 27.062597 30.775638 30.570086 31.588997 34.813686 37.302582 36.309652 34.513376 39.044328 39.963092 74.60914 44.583863 41.310734 42.392388 45.848039 47.747477 48.235246 47.491048 47.784687 49.028075 51.928078 53.42488 53.958971 56.989272 74.95314 58.335437 59.147769 59.692382 60.936733 63.054748 65.007886 64.859494 66.104041 66.038795 68.48323 70.469855 125.026687 70.21792 159.002572 74.169488 77.130629 84.895638 77.47142 79.757971 78.315765 81.338046 82.942435 83.905148 82.292929 85.768724 86.130943 89.125318 86.264066 90.589786 88.155613 103.382563 93.592179 95.964569 96.497955 95.446131 98.957596 99.309551 103.305385 142.52627 100.374525 104.285032 105.205145 108.247699 107.347797 111.279219 212.170834 113.511045 110.441546 112.664007 114.554656 113.496353 121.117912 117.100329 118.724158 119.099529 123.352307 121.574762 121.758435 223.356399 199.368432 128.767763 136.174915 130.962764 134.341429 132.767318 133.944242 136.929892 135.832008 137.678261 139.540426 142.72778 145.041468 149.204874 160.054717 152.37574 142.60274 150.013294 153.028645 150.240465 150.96805 154.284802 160.580787 154.725481 158.692961 162.314194 164.108484 164.921007 167.440184 168.59196 167.813438 166.659545 170.815575 170.913412 168.372872 180.549311 172.721751 176.9071 179.335048 206.752873 181.862501 178.366755 182.734305 185.77333 188.720486 186.527024 246.124135 190.991448 192.678854 187.810639 193.893437 197.75859 196.295597 195.078381 197.055706 200.893334 202.353246 208.868963 300.272814 215.508309 209.226757 206.619494 205.428585 272.486353 216.720839 211.100854 213.325305 211.86308 219.679864 216.025911 231.233744 222.315163 219.421383 227.498378 229.277464 225.875191 228.134733 225.964944 235.970312 241.804061 233.72745 238.558842 241.072437 236.205054 241.337269 235.662303 242.238198 252.555681 250.237503 306.394363 251.830537 260.916692 246.612677 255.29087 261.07432 250.831258 257.520385 265.425959 260.044247 267.421888 256.631324 276.166481 259.188611 266.42325 266.429472 273.461895 275.418113 267.573678 272.18431 274.663647 279.598713 285.298762 297.730989 303.993101 293.540828 287.808638 293.112208 293.976441 290.038603 289.229609 295.486012 296.731773 292.508639 312.58321 300.055008 306.380697 297.102912 302.360033 300.818838 309.621491 309.74672 301.852631 318.782515 317.658004 316.235748 327.838003 
16384 23.582057 14.624469 11.734347 14.26443 15.924957 13.794046 13.738039 15.668722 18.05991 20.072967 20.469575 23.055537 33.079381 25.348888 25.248485 27.511749 26.556158 48.668294 28.664487 32.107306 39.506502 33.955548 33.576775 55.093168 34.157828 76.644717 40.127457 39.277467 39.749905 59.359225 66.923813 42.873166 46.35512 47.981449 46.194346 48.445422 46.557142 58.670904 52.089043 50.965046 54.677636 55.969334 58.026786 59.276079 64.808426 84.586025 60.122347 62.173066 66.013261 64.966634 66.72012 95.361704 77.912486 94.00245 104.331096 70.025327 71.135465 86.679662 81.093873 77.49798 80.106077 80.037944 80.46265 84.01633 89.780789 83.025645 85.387322 85.872783 105.099867 87.330322 184.928665 85.73408 89.775529 91.172506 92.857025 97.280774 97.136426 98.071101 97.353526 98.357874 103.868219 103.494962 101.966275 104.797439 145.161822 145.897617 107.133004 150.636433 112.025408 111.847055 115.273963 116.591645 116.098805 146.170082 122.012043 120.701034 172.013607 170.38548 160.39089 178.840861 132.694951 150.93071 132.328178 130.004673 191.176919 130.309088 148.168897 136.613609 133.236997 138.827087 137.517488 143.673169 143.68523 149.419538 140.567805 146.704944 144.404406 151.263097 147.073708 178.702672 154.33279 149.492738 157.629784 156.939474 154.931741 198.964447 187.01531 157.584362 166.338385 165.168453 162.738388 207.726363 166.562158 165.328199 180.593899 175.545794 171.101001 178.225999 176.516652 255.260845 175.708361 196.994053 256.733204 234.914128 180.570418 186.304856 185.643737 229.114252 221.188534 193.334967 193.259456 187.537851 192.218349 196.630614 194.830808 197.307643 251.37401 198.922361 197.944766 194.438949 206.17644 207.248343 214.066101 214.192487 212.639035 215.752869 212.19393 216.218313 224.422143 254.036253 219.892346 259.7619 223.189083 275.607048 292.068792 265.213926 224.630967 295.728197 248.303097 270.715609 229.792756 276.761133 231.599106 240.245862 233.903557 234.837717 236.709186 250.030858 244.158808 247.480374 273.973403 250.019055 275.06898 247.323899 286.481333 253.65838 248.72633 251.935815 259.552561 266.963371 279.417474 288.885865 257.141807 376.397041 264.300999 260.898472 412.397212 385.257499 339.534114 338.82193 273.700681 332.426693 282.109102 282.209823 278.047635 284.578365 287.62727 298.228639 290.570834 302.078522 304.870935 293.118752 300.780599 295.944913 294.907782 299.604126 362.059215 297.392572 301.698532 325.068619 304.541051 304.727163 308.553951 307.885903 319.290815 305.970296 310.632639 371.911063 369.517243 312.56396 
32768 42.619111 25.840445 20.124677 20.522567 20.061163 20.580756 20.951121 22.071463 22.621976 46.833139 24.424157 26.384864 40.329099 30.094631 40.198221 34.01951 51.488166 56.013344 38.270361 64.60448 56.39045 36.627541 38.272157 39.093664 43.878092 40.3878 52.079933 49.911429 42.483938 53.049571 44.608239 45.909882 63.849053 51.959576 69.581438 74.061 112.317763 71.250173 54.995653 91.342131 80.382521 57.343345 61.74188 68.109464 131.494035 61.537418 106.222902 75.267052 71.245555 86.15327 70.54556 75.973077 111.823573 90.31302 150.63085 105.599698 83.599512 80.695533 106.178571 108.200416 84.575504 83.222472 124.893758 89.603466 197.688917 88.594947 109.98072 117.225302 148.059515 118.035261 117.050609 125.348939 129.8831 133.738436 107.20473 135.763682 131.016655 95.745736 127.380218 121.768124 146.03074 108.912988 161.510524 148.17923 129.903758 108.778582 156.370419 115.812416 114.627152 155.479625 150.419332 143.323907 143.159286 120.185612 162.533349 146.331563 134.337898 125.867762 152.853887 157.052259 152.309275 130.54486 167.913584 178.457471 152.072735 140.523794 168.667022 147.397755 140.879535 173.913239 179.530079 180.624243 203.659316 183.854194 163.627063 170.51719 190.599652 153.663781 153.158751 196.79992 191.493589 162.28308 155.729318 160.41296 203.529915 157.413965 162.945608 231.812229 164.653607 196.061366 202.357096 178.900911 207.816309 203.982786 176.178426 188.863167 204.613622 205.890499 199.07505 229.668231 183.383106 204.131241 183.52046 193.61045 182.867426 210.712012 226.550359 203.451517 259.133436 244.200446 217.103397 194.584068 194.535372 234.907905 203.299533 201.575879 200.637995 211.932178 234.302087 214.806003 266.180101 293.220759 245.802783 248.617587 342.597839 253.896587 281.11707 258.025286 260.19174 228.477833 278.341146 241.198375 263.857688 282.693298 307.981173 292.167912 311.53652 277.471587 270.506399 270.872725 286.399406 258.382823 280.053122 289.575403 309.281981 270.897039 258.834153 288.780138 317.360389 296.968765 315.572065 291.26775 297.244116 287.631762 277.47332 301.881373 315.400452 278.759757 283.421329 316.581546 268.567248 273.491984 269.859396 318.000077 283.98583 331.531154 328.642059 275.661387 339.422677 297.735864 303.937608 339.765329 328.438429 322.166887 315.494825 355.973273 337.92921 341.092055 288.918969 375.372742 430.597363 339.2143 323.641746 341.261168 348.666011 327.804063 328.498416 366.833508 319.021813 381.03943 341.360544 383.949824 320.319732 348.662482 366.824398 398.382856 321.306566 369.698994 319.850888 387.147763 
65536 86.360298 49.091717 36.514118 36.503658 35.403528 34.390584 32.802489 41.328056 34.272987 39.638147 34.2735 40.027441 48.878786 39.683312 34.739907 59.327788 41.10005 49.201809 47.27908 42.938219 71.076379 47.251236 57.448558 46.393868 43.346695 86.696406 84.658842 78.828108 124.552582 73.296913 114.246711 63.348835 150.919033 62.728455 64.384812 109.748543 94.440052 74.448626 126.354058 85.020997 86.471415 64.628151 69.610242 108.028803 87.137665 71.976024 69.566937 115.839105 136.4214 87.763947 87.47634 111.785274 95.374727 125.597413 111.16066 82.762033 78.442984 129.320394 200.272635 112.057484 112.691593 126.955447 115.602502 122.683553 108.789746 113.319285 100.229471 111.708352 108.678179 134.929346 267.681652 140.170366 132.602696 115.339593 102.535973 145.611548 118.753093 131.711584 145.391241 137.251054 137.750693 144.765857 147.46159 154.450963 147.085769 139.718904 153.977436 143.431368 135.921762 150.686472 157.038658 169.236975 154.372117 138.183674 163.49112 149.294435 164.066655 177.5346 183.503396 161.849326 164.993759 165.118669 151.77204 174.809998 187.307664 161.498783 193.350302 193.199793 180.996985 204.640247 218.96537 172.029389 183.8941 189.429594 182.910411 177.028545 189.177206 181.740607 189.422022 242.484748 181.701215 199.130737 185.389876 184.657673 272.123492 210.160022 201.34197 208.032575 200.1943 185.066085 223.046592 230.791072 208.092879 228.033112 203.109506 208.592327 220.087185 235.781504 321.757834 226.171842 209.207767 212.758942 223.563232 240.470342 235.013375 229.35079 220.253473 202.016881 275.254901 246.368885 237.28594 240.385272 226.325494 275.261573 242.880454 240.141931 266.697512 232.239565 241.929999 254.920565 258.989601 263.255849 258.366271 337.160889 258.001678 271.792322 270.456295 239.549524 276.704293 269.436035 382.992182 327.874828 282.225799 306.002889 276.071851 294.643848 266.635667 302.984456 256.910721 291.628495 292.551943 266.460909 296.410165 378.150656 312.356805 286.098841 299.744816 323.504648 319.953857 345.168981 301.442359 274.920589 305.533273 343.306304 314.992169 288.074753 317.757763 312.127515 299.744498 311.635831 310.292104 374.7335 350.807635 298.438234 291.452132 357.955281 304.133794 286.636269 327.784625 331.263047 341.382871 336.174761 344.696737 390.514108 335.163165 365.106517 374.305713 325.715174 342.23068 355.295412 326.769756 366.908249 394.02076 362.635136 365.150337 337.168908 340.622119 395.493633 354.48462 370.833707 333.572246 390.793374 381.290406 368.396775 399.090808 350.19829 377.167224 385.093709 328.715003 373.50198 
131072 176.299744 97.542526 69.996135 63.067324 63.593588 60.321038 55.351137 63.449817 58.300023 54.235221 56.025789 62.859975 53.86184 55.564066 68.565414 59.060967 57.575841 101.506861 75.891923 88.137265 73.13441 65.196117 90.272475 97.547147 102.412219 63.91109 68.667483 67.139759 157.024223 103.236161 109.158637 91.696332 90.611855 164.844727 108.093856 94.244443 143.503541 112.46378 80.003235 99.48309 98.255867 98.8221 86.961495 111.116008 134.66124 100.958529 99.545063 104.669771 102.57094 102.639263 112.186887 116.651501 107.367683 108.164298 109.958457 112.786478 112.692298 108.173985 128.844556 135.350651 122.850421 119.221936 136.86702 137.798551 116.348879 151.645206 142.911519 146.735546 176.519987 132.501203 140.060982 128.086499 108.824069 159.800598 132.416198 151.00635 127.709909 136.216617 160.143571 149.767001 160.14293 182.485895 187.084916 161.161905 144.107625 184.087976 165.867872 176.153663 179.124042 183.565305 165.335449 183.666862 177.06011 189.809967 154.851484 173.480513 175.658835 171.527762 165.499108 179.016326 173.697613 152.008451 193.728751 174.728264 176.629372 176.217048 179.50044 172.849164 181.795267 193.698343 187.760983 185.588948 187.046423 298.326667 198.955081 208.29067 254.938977 201.606673 204.25814 213.008571 197.204481 204.203672 214.566513 218.975313 219.079371 223.084893 213.89622 216.256228 220.451329 338.744301 212.329231 223.122618 228.554114 233.56963 218.46047 230.217912 252.569989 236.106513 233.014175 231.458863 233.899258 233.723666 241.698335 254.832033 249.967667 268.987464 268.157105 224.047027 280.394748 255.979895 273.89584 347.85586 248.761807 301.933916 257.014972 254.019637 257.86259 349.24886 241.093031 270.445452 253.736263 366.716169 291.010873 288.944504 267.37499 275.409772 280.491173 299.057009 306.042794 281.187707 295.521103 276.263612 305.006366 385.520856 309.627777 346.961859 300.912182 305.82723 301.627448 296.515955 388.522284 316.079082 333.571861 371.590735 305.768851 315.348357 344.902996 357.630656 309.888567 296.70162 339.008171 323.887398 318.073471 336.477958 333.827906 329.629148 336.853394 317.757252 323.837997 325.958707 372.425329 334.285395 324.795193 355.472671 343.51205 343.783745 357.900877 338.77734 322.059043 346.57 369.287632 473.311428 341.213437 347.372195 363.496483 416.511154 340.919287 339.431273 342.937861 368.516744 385.519764 331.394311 414.224091 336.172644 330.748975 402.193347 374.655103 412.979226 433.584424 366.126904 380.583672 405.301531 391.509538 394.457721 412.356345 356.648442 387.85719 433.024093 423.484042 379.256882 
262144 361.195817 194.430417 140.029225 116.923262 107.879962 106.659734 99.71578 108.667723 101.234075 90.221536 91.471277 82.887071 89.511852 90.553537 89.045123 84.271666 97.542143 83.285216 81.901777 82.387687 121.826953 92.509241 88.087865 96.393702 104.54807 101.478183 113.5156 143.926964 95.6581 137.437873 135.406467 132.247985 117.288497 102.851616 130.046887 115.989034 120.456987 118.000618 112.972784 123.162982 110.182551 106.741851 108.671187 133.545392 140.320039 130.437847 119.385599 126.699854 113.005568 116.660416 130.866467 127.623492 141.104206 166.136232 130.0866 130.260137 129.405142 145.698991 171.424664 153.46721 167.16804 161.823345 149.895121 146.686082 149.537518 141.617189 162.276535 160.52587 165.423148 184.952851 202.1033 208.388122 178.836883 163.089635 153.286548 168.528447 172.728295 163.10497 202.29525 176.401108 172.723353 159.944371 240.444359 164.893612 207.975219 198.701733 194.54583 191.414678 186.732384 195.727568 187.697854 177.183736 189.291466 177.687481 193.093231 194.667535 212.773892 260.906619 196.651786 188.517565 202.415222 192.671541 204.888206 199.902073 195.734241 194.479944 218.815183 199.288687 225.758236 203.267263 219.707386 216.639811 227.255935 226.567488 280.397636 227.784254 222.023127 230.294705 225.720512 259.425022 257.764624 240.041206 244.99956 247.823539 242.981243 245.830561 236.829221 241.49926 349.601392 223.765965 251.072546 266.707008 264.451635 274.602507 243.762074 235.898651 260.594761 252.071824 261.460149 251.565768 226.378551 262.501258 321.869399 285.683051 309.602886 276.00032 281.17744 286.230422 286.103716 306.648225 322.173046 316.208419 279.334008 345.080191 304.64665 260.957366 311.876924 304.862146 299.861898 259.129845 315.770497 320.618631 288.650094 288.611218 369.020939 331.286916 352.016831 302.599782 292.962791 333.234022 401.480648 401.998698 328.346304 404.037804 312.982254 314.386097 324.956607 329.357002 334.792604 345.575725 331.760058 367.781529 340.758193 405.399304 347.429358 454.368035 410.226076 326.395733 319.033168 319.141973 345.518884 341.929729 358.098667 339.920327 362.924668 360.048981 408.890624 419.286247 377.104222 349.353561 460.541679 343.380337 358.504833 359.934849 374.87028 380.610426 586.872449 361.400857 378.372887 387.979597 425.935472 475.895015 423.88097 401.967841 455.515193 406.221642 391.750378 392.065698 445.017178 415.308438 435.726176 411.196099 387.285377 436.347134 477.239064 429.077466 441.010886 401.614666 430.330156 467.036417 507.591021 422.621669 446.113909 453.902014 470.344188 470.615116 427.492707 537.838468 420.445786 668.884316 
524288 733.165711 391.953813 282.949211 228.8976 199.917406 181.697302 158.275118 155.369729 151.572006 156.512138 150.074433 131.332746 155.031759 137.599736 144.463559 131.8508 143.769463 151.549421 129.401551 134.400515 138.289787 167.635922 147.89688 142.593311 142.730152 133.109071 147.225563 154.585175 186.586047 134.305243 143.000501 156.829192 148.840732 185.017711 143.949419 168.849992 175.859063 161.224649 149.688284 193.634316 186.22511 155.004492 158.466557 163.973052 182.350722 189.292493 184.673969 156.009225 172.494577 182.772863 170.000742 189.56483 166.163369 176.962658 165.140481 177.303065 175.187295 174.585006 176.280559 177.216391 184.535523 201.817488 176.425872 197.443138 208.281239 181.941989 219.169316 204.969041 184.686351 179.051033 191.784211 209.322283 200.80294 191.562299 188.002846 218.053467 183.910909 196.798765 313.891074 200.455987 226.782534 224.681713 207.76293 239.46657 260.271225 226.090944 205.085226 228.845506 212.650522 245.767496 217.389144 234.035588 281.663672 254.747605 223.719707 253.999043 198.213512 243.846246 268.618571 259.243078 253.039989 263.272016 252.382271 284.27568 234.398384 235.411842 255.897969 290.711076 274.342936 236.907873 265.174535 261.729023 267.225893 354.024499 260.791974 288.036131 281.14684 282.385161 249.279218 305.452117 350.358998 256.053481 345.300373 287.475802 255.916252 269.371625 283.566255 293.22743 280.555391 291.602126 282.121866 309.247276 308.589169 307.125279 327.345291 306.311665 295.953701 307.025455 331.332273 315.735725 296.960616 332.972654 394.015435 336.550389 361.206339 371.748878 351.456436 460.252403 370.694424 358.1421 383.529224 367.448306 335.182987 405.557896 340.084949 326.849885 326.7763 492.96007 382.165736 410.447794 378.603718 388.810341 397.587782 436.108606 360.89031 412.981343 404.588319 474.7868 406.216125 453.005961 520.900248 356.64485 467.846761 428.869603 436.42797 599.568416 377.713697 434.287049 413.393667 428.334677 421.36487 374.456478 439.062818 472.322988 502.416464 548.052598 446.249918 464.999688 485.711447 473.18812 536.745844 510.086524 550.838983 406.226648 401.688829 501.646731 481.88774 445.955832 424.705041 438.359549 401.618452 422.423429 503.534175 528.120966 584.279236 475.19842 535.489624 431.630646 513.968868 489.890828 487.182009 487.405204 505.696009 487.741505 516.872334 467.044759 533.215199 539.788975 487.268618 493.300542 562.851891 501.203872 672.467762 609.424882 660.699924 665.728142 678.909378 496.139212 598.25144 684.732479 578.924661 503.541488 602.642665 627.663014 564.056979 522.300304 510.872939 518.201885 575.689899 711.956171 
