 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
1024 18.055419 24.22765 22.422134 25.589919 27.232417 29.760896 29.201143 32.644666 34.772753 35.893673 37.10941 33.211412 35.867754 41.4998 44.157936 41.014723 43.655089 44.197841 43.320904 44.63371 44.7975 49.203476 48.021997 53.741806 49.923811 55.183628 56.062679 56.10855 55.702963 63.636057 64.961631 60.693969 64.391228 66.348728 65.733288 66.538689 67.561577 71.504806 68.417536 68.359733 79.079211 78.752469 82.051129 84.271089 81.747356 85.379944 83.217726 84.454508 82.83703 89.872404 83.830471 93.235091 102.828455 91.496681 89.465084 89.866565 100.158579 87.030141 96.318576 103.553216 103.778144 97.41518 102.617513 101.438794 103.500672 103.968365 111.787905 98.155785 97.386567 116.330533 122.967054 120.835951 111.437682 126.289068 120.765831 114.483892 121.49572 125.598309 125.773198 128.355568 118.811795 128.504406 120.988641 130.459982 148.288357 136.031656 135.402426 136.576207 144.756295 138.021427 150.222375 138.985806 131.962043 139.321979 141.347099 144.341152 153.746286 148.642044 154.28942 141.753839 156.992083 154.164833 162.92649 145.585116 148.120784 158.419468 158.560417 155.656695 167.666011 151.571235 165.336603 169.038801 159.297814 168.295564 164.643345 170.601426 182.919906 164.884503 169.253592 183.62343 176.058521 173.976239 184.227257 175.042561 168.125938 176.518 172.321039 187.319595 183.668273 193.425619 188.144694 199.12028 193.730549 196.282124 194.433238 205.081505 183.811083 193.407976 196.467595 199.456195 198.126517 193.244766 183.574416 210.080788 225.972576 223.57472 213.608292 205.230537 218.321443 212.038865 213.661543 207.463519 228.658814 244.834362 230.646274 226.043662 229.874876 210.532697 203.76947 227.681799 201.683789 243.091398 245.209734 231.425116 246.18643 246.730657 224.919281 253.927637 230.526818 245.866552 220.63539 226.397989 246.199004 242.458121 260.758806 248.691429 258.976065 250.646234 250.996392 248.521866 267.477573 264.722371 268.94371 274.518658 269.085877 271.276067 303.294838 283.864832 264.624727 277.5743 259.832983 261.89018 289.419379 301.450892 273.946201 283.774759 296.234124 264.823029 306.013345 278.973714 283.783612 290.913487 296.103632 322.554897 307.49584 284.011234 290.693499 309.544185 306.296526 292.232964 291.205519 331.773083 296.567407 325.891537 297.212231 301.650285 290.788 310.523894 318.255736 313.776107 328.614729 318.253684 303.17551 319.285105 328.045416 296.349732 309.039091 330.15676 326.238552 319.336622 318.459237 340.673829 354.182578 327.520435 306.865774 319.317952 337.228636 325.608358 356.42531 339.313934 
2048 19.999124 23.940428 26.220627 25.059613 31.008586 32.039429 33.297957 32.826995 32.225348 35.757858 36.022302 35.898162 38.691283 40.997275 40.156713 40.251086 42.554766 49.768746 44.862808 50.467524 47.781543 45.986354 52.767097 46.459692 52.891174 56.109707 57.614657 54.575375 57.814948 61.165062 61.805458 61.283492 66.5342 58.653326 72.086757 63.393423 69.478276 67.670707 69.129721 72.313417 73.844606 79.432512 77.919993 84.283534 87.283682 73.572523 85.460459 85.097342 89.555157 83.901492 92.318315 86.660352 88.626128 86.50856 97.51154 88.80281 96.002228 100.00326 100.29927 99.046386 90.414578 98.212113 97.319845 98.389631 101.810701 99.901701 110.506214 108.082629 111.774432 115.315341 116.569511 109.163577 111.538085 112.114647 124.217309 119.373728 108.806554 118.2088 121.983173 133.217817 122.765221 121.169108 120.288068 135.637425 131.667635 137.431648 131.390039 136.321701 135.955827 133.911844 140.123788 140.65897 131.430006 140.378998 130.839331 142.447164 146.612303 158.470214 152.049576 151.587531 159.241744 143.162427 148.138744 154.64343 152.519446 157.47517 150.019196 159.929743 160.250583 156.770361 154.646574 151.483662 159.193755 179.840846 188.417482 167.99102 176.721756 187.610025 187.579873 172.889067 177.282855 192.003879 172.747478 185.410597 195.462479 190.208434 173.0415 184.164707 191.624851 179.98603 174.525792 176.046844 188.433712 197.440443 201.689498 202.158857 198.693006 214.119031 207.701148 191.183206 201.653507 211.96759 210.823256 193.862259 200.708246 211.649317 214.727349 202.874505 227.984354 214.45161 205.091962 210.596852 215.585745 216.477306 215.241552 216.518365 217.570381 215.53288 219.879708 211.625516 218.026972 216.357978 230.738595 232.245532 237.021491 219.156296 221.896551 225.389602 245.013612 259.110213 229.452286 251.272259 247.206432 249.144876 231.38021 270.195568 266.12076 261.008882 242.62069 260.005241 271.361136 264.09102 255.584313 263.565783 272.018663 269.797037 262.159568 257.207887 281.878978 309.016251 284.910113 268.066839 281.426233 275.305326 287.01908 272.046506 258.043699 285.067226 282.345062 307.231138 295.375216 297.35087 273.847082 298.441057 271.824849 317.699319 319.9681 269.978146 296.294623 303.270203 296.148733 290.77568 305.00502 290.170828 326.601671 299.926952 306.724119 305.016697 307.386712 334.810825 327.264136 323.031569 307.458631 311.871153 304.105243 320.28785 325.620484 327.349975 320.724295 336.994022 305.926736 351.276994 336.641298 314.996724 323.785969 329.66732 339.272682 317.069766 345.944039 319.895476 
4096 23.670141 28.702468 27.649939 31.387355 30.831515 31.405062 33.819987 34.502211 33.268897 36.046746 38.434279 36.041293 43.622304 39.209207 42.654464 42.822547 40.054706 45.254733 44.95301 52.204585 47.66061 52.201124 53.864921 49.610092 56.951996 60.796557 54.544067 61.039575 54.200579 61.666691 60.913639 62.805442 60.041833 63.609178 62.148556 61.533951 69.545958 71.80858 73.444151 77.770511 76.097539 75.356805 77.442936 76.580434 82.305312 84.687325 82.46538 84.115832 84.390801 88.631196 87.195662 80.048337 93.909425 87.681379 88.281165 88.602775 90.141663 96.081588 99.069803 96.122583 100.607022 104.370745 102.735046 103.518764 111.031515 108.836387 103.97959 105.938502 109.563264 112.303648 117.680162 116.500673 116.469622 121.896114 122.765157 120.568105 114.434878 123.16863 109.591619 115.030108 119.457067 129.022333 131.430583 128.073798 135.255765 128.365573 132.676602 134.911895 129.687875 133.79566 136.29777 146.48008 138.416366 147.375174 143.316403 145.267997 154.876761 158.914425 140.608352 142.899203 165.08627 148.600854 157.723129 170.613872 160.594775 157.682391 155.660286 158.070722 162.459955 158.860535 156.981561 167.847569 152.940048 175.656461 167.78335 167.164253 167.785596 177.815471 172.11125 173.214717 183.525593 177.207859 182.144975 180.797528 174.898469 175.669036 179.350446 194.722836 198.976123 189.332846 179.708559 182.702419 194.924604 196.180758 199.021931 205.976663 202.078727 189.703213 200.06798 196.196348 203.210294 202.328804 207.810918 214.582486 205.374692 222.623747 207.463583 237.706798 204.183334 209.051099 214.224436 208.013583 220.564498 208.919775 214.030112 227.75211 219.449869 220.456588 220.389033 227.385656 231.333955 224.139796 228.134156 225.838622 249.370189 232.516458 220.433042 226.358535 232.623342 230.93908 260.790691 241.418296 241.166937 246.233134 248.154771 249.48304 236.820367 230.51617 247.632037 250.435164 262.912619 249.213971 265.902759 254.196384 275.528588 264.41449 262.252272 257.50486 258.676075 280.743752 264.414939 300.625154 276.650082 279.08451 297.157827 267.746767 288.130952 265.008566 315.598111 268.927799 287.586532 305.251309 290.050986 282.425321 298.891555 295.680017 284.652209 308.001126 308.959602 329.503147 295.151248 312.635495 306.309549 297.072181 316.449836 293.830489 308.491978 328.833048 314.87547 308.541055 318.134995 296.935145 302.954879 322.967478 308.040132 307.257504 314.522746 338.239464 320.656099 334.417937 319.63026 307.527917 319.253669 355.288418 324.665919 336.856793 341.690686 343.210392 318.984665 334.734032 
8192 30.911647 33.395603 36.089795 37.095426 36.831619 35.261552 34.419772 36.597904 39.00853 37.763473 38.688461 41.666731 44.136895 41.301625 44.342897 45.057135 46.111202 46.703868 48.338088 48.458893 45.952288 52.587208 50.801003 55.680318 55.269914 53.349433 55.530192 64.262403 58.198788 61.502838 62.887946 59.625404 65.186108 67.700731 70.818347 70.70646 74.625758 69.223772 69.398466 74.596054 70.420458 76.719972 80.2877 78.405004 84.354104 85.904092 82.617364 84.487034 78.902013 84.939647 96.013968 82.82715 91.033288 89.091572 87.603559 87.709159 94.081169 95.535178 91.363303 96.30055 106.379439 106.120638 100.581103 97.506921 107.36345 117.670732 115.326185 112.246292 101.806979 107.539105 111.086626 98.92186 114.712928 124.012653 123.890565 119.033385 122.782801 122.691764 127.319205 130.610105 133.679284 127.777015 131.75213 132.407024 125.280806 135.19283 134.279068 132.043971 132.693413 140.350128 138.991322 139.875188 138.319362 137.059358 148.492881 142.411172 142.853909 141.569332 140.320102 150.137562 150.865723 152.983479 163.387894 154.26716 158.175998 147.841707 156.774853 153.26153 152.677141 170.382401 160.607092 150.371535 149.896147 161.185322 178.560312 170.52861 169.305878 177.851847 179.653514 179.19981 174.503273 181.673051 192.692326 176.808878 193.430689 183.631192 177.766713 204.012296 183.763095 192.361093 189.252396 179.818328 182.416929 196.380473 209.900129 193.039727 194.724567 209.156186 189.064551 208.860945 194.679018 208.592714 186.951089 190.370939 208.368362 211.797514 210.377314 206.042357 228.737532 216.949617 196.36405 227.76539 206.19434 204.998423 221.657766 221.387545 217.955054 207.637187 226.887686 235.722545 225.67971 228.194717 241.400719 220.764789 227.355247 249.287301 262.87015 238.814114 241.300573 235.675968 237.980933 250.113362 242.379917 240.979025 240.395151 259.459537 237.476161 245.04511 249.320596 245.096628 257.299949 254.019252 249.476431 279.098496 277.495454 280.880081 267.811309 291.933038 276.303965 298.425789 271.23982 261.140272 265.373095 287.24606 271.947385 279.692636 265.839759 288.790596 284.972983 281.172179 277.85068 280.614801 306.060883 283.38489 286.99111 299.529061 307.150365 311.612477 284.700901 306.305121 329.305355 306.688128 295.884157 307.486986 297.808231 290.422828 290.787871 305.454042 307.615103 326.037235 299.312542 326.277815 345.429451 315.099819 319.199779 312.847271 311.100522 330.865738 322.267289 329.782542 305.450386 328.850881 330.546308 303.775746 340.758899 324.815016 320.938254 338.946902 347.95004 341.603371 
16384 45.984431 49.060283 47.814905 48.458185 45.397476 48.229795 43.134918 43.779358 43.722453 45.117824 44.465368 44.47929 48.194254 47.043951 51.138651 47.23103 48.758753 48.657709 52.443309 56.548142 49.711904 53.657956 56.797896 53.808464 59.245222 57.581935 55.479061 56.036119 63.156884 60.307499 62.415314 63.061935 71.10127 68.062885 68.231166 67.156502 73.22769 75.403766 73.73984 80.40876 83.66893 75.262753 88.469268 81.138331 88.443542 83.729427 78.202402 84.959921 90.936992 88.355264 94.123382 95.287475 93.672821 86.228652 86.773329 95.752793 101.067848 95.213826 99.512536 103.476871 95.355738 108.675293 97.438403 102.327855 103.382115 109.574876 108.654377 107.040108 116.298839 109.729809 123.481962 128.349281 114.536051 117.272842 117.858129 118.388626 126.335965 123.994945 121.815728 128.45225 128.658892 124.581836 128.385526 130.939477 122.359507 133.246876 129.539485 164.16449 132.799911 139.140034 120.944246 142.357989 139.031677 146.617566 148.971158 141.574911 155.134279 155.154425 141.070141 151.245262 142.635524 150.068273 159.990946 152.950247 153.366743 159.473729 149.951383 155.852047 163.75037 167.462318 170.048921 158.533727 167.625786 166.420568 177.909779 168.89458 168.100276 168.339895 179.895185 178.959035 170.105827 165.30645 168.14249 182.317939 186.883149 179.299763 201.916415 171.703352 176.18869 185.195614 204.161971 185.247194 195.161335 184.753457 200.183521 182.331859 193.655679 190.503741 218.499922 213.501346 200.437126 203.549353 207.234742 202.896383 204.139453 200.155678 198.338999 207.230827 208.24435 226.700159 210.451926 216.74958 217.684255 211.128763 218.508584 219.395143 217.954283 222.565365 229.242179 223.406505 241.531852 227.97627 242.359452 238.462673 224.590164 217.64679 216.545822 225.976939 221.881536 242.327758 228.113496 246.260658 243.030258 240.094392 251.385109 257.566128 260.515273 240.952916 250.711543 255.148124 259.10476 259.496555 264.923369 246.611585 272.511952 267.371396 259.383128 303.574298 272.466658 267.725149 255.066455 274.847516 272.941212 285.440354 277.13657 260.782093 268.554737 296.814343 301.380836 273.849071 276.194003 294.585981 284.097201 285.286639 290.085823 303.834318 290.582253 287.747882 301.46135 276.666185 289.290941 306.187973 312.374258 301.556876 306.407001 282.873572 320.22331 305.572086 332.042981 306.307433 330.215205 309.004576 309.00002 334.648128 320.331922 316.167361 297.699232 286.944595 320.156522 326.070465 342.874539 315.455175 335.830441 306.052351 324.50919 320.037259 359.402618 324.689719 353.855837 329.04662 
32768 77.359919 73.49541 67.455787 65.775309 60.181629 68.943927 54.903014 55.370384 52.984263 53.448745 52.648092 53.851128 52.679974 61.089486 57.895461 57.347064 56.080386 56.421884 59.246376 56.916457 59.694884 57.775877 59.048651 60.051714 62.901034 61.958722 65.300177 69.725786 61.587264 69.376332 62.228687 66.391071 70.066384 70.724166 72.512104 75.524379 73.689798 79.710368 72.719967 79.458752 80.138603 82.493223 80.959339 81.165598 83.706395 81.518515 82.715199 85.181962 87.091473 93.129236 97.382653 93.717473 95.384223 95.141782 95.050808 99.051133 97.406967 103.980616 94.115941 98.942839 95.755359 101.012483 114.485047 116.286265 105.755337 106.477532 109.041554 107.80118 108.947438 105.785299 120.238538 115.299176 115.470341 115.986598 121.304732 116.469814 138.457874 115.649912 128.74858 136.531105 129.300188 114.958705 134.044839 139.547292 126.604455 129.419706 141.269533 129.552829 134.710062 141.190558 135.584432 143.142926 143.026934 144.247932 149.386947 138.056197 145.554324 142.618266 162.030564 142.555843 160.526384 156.054071 148.012487 156.025008 159.290759 174.132778 164.417326 166.281224 163.843459 170.411784 170.87139 164.38775 161.285019 173.308256 173.854088 163.535835 184.324645 164.199456 180.32772 155.932176 175.23541 183.80531 165.638775 176.746456 176.051592 175.403175 197.286599 189.619683 190.113357 172.801624 195.225681 200.909566 197.521921 190.347587 196.409022 187.868956 191.158378 192.482732 204.801532 195.635505 195.739564 205.624257 211.87912 210.001043 203.908364 215.033304 208.954548 202.285691 220.039774 196.921686 212.394991 222.259218 223.844107 218.464447 220.616079 228.478476 215.897344 213.921305 219.824213 225.757721 226.189102 233.734765 225.260073 249.455836 231.820827 242.455428 238.631465 229.169746 236.579977 232.687176 247.989829 235.975829 245.50292 251.183854 229.073706 259.301587 252.704714 246.121249 254.863147 246.553204 249.991789 249.154693 280.209276 273.304137 267.849288 266.246696 259.010836 260.792423 257.547907 267.803418 285.148639 280.679597 268.690105 282.147466 279.444868 283.55477 295.334604 304.76726 284.807656 288.222887 278.630677 290.01724 300.274032 299.22561 321.319783 312.742635 318.192096 292.671976 282.477414 320.122328 299.630429 296.230275 309.512041 296.332857 312.179545 322.349922 327.112278 334.237342 316.021151 309.970493 299.254673 300.827563 321.416593 331.051595 328.839656 326.955293 330.377388 341.583355 315.947822 330.991415 338.915018 326.545022 306.766461 337.745343 349.959506 344.767306 338.421151 364.841877 342.251079 308.742632 
65536 138.658293 130.241662 115.168879 107.107663 99.015977 99.215948 84.703173 82.263354 75.289827 78.245452 75.970128 80.212253 65.929924 76.206411 70.699467 78.970917 69.51818 64.913963 69.394808 74.00743 74.094105 75.712481 70.808018 71.71132 76.063922 79.946522 76.547395 78.999851 82.05389 77.08187 80.808382 82.431121 78.515288 78.229027 83.471909 87.617736 85.639772 82.76877 85.403168 87.740722 92.308306 93.561127 93.789648 87.648597 91.549481 88.638316 95.828367 96.999647 90.290951 103.801111 100.133879 97.268584 97.098895 107.341572 106.613092 112.722902 106.60565 114.205781 112.968613 103.216144 108.045675 114.071184 105.683551 112.184768 102.681733 115.009835 118.760471 121.688124 119.443273 114.449827 117.363815 112.897209 119.790289 124.597364 123.142262 120.034463 138.628527 131.937537 124.815106 128.652029 143.896426 126.483651 130.968605 129.802262 144.773171 132.3736 146.857376 133.847241 144.985717 142.069034 138.915747 146.705138 148.291564 158.414336 151.369852 154.463858 158.291222 154.663702 151.482572 149.336265 168.002824 160.925814 159.572399 166.789396 171.947591 159.837487 163.851799 168.765821 159.780583 161.141888 172.334895 164.72604 181.36639 179.561515 171.475539 180.19447 179.358465 175.606868 176.874573 174.711584 183.08735 180.922117 196.426473 195.397426 197.074248 203.451325 197.689365 199.675287 191.801405 183.805053 202.725024 214.943358 190.811685 201.29148 214.052371 214.546625 199.186487 204.640312 199.628002 201.57402 208.253458 214.181197 205.258316 222.325106 216.688057 222.50628 211.391222 214.828074 212.051121 229.552367 234.904504 226.483573 218.380916 217.404991 217.923748 236.67313 221.747454 227.421649 220.043047 224.517349 234.614136 243.38497 247.473124 236.104332 222.233171 251.652635 228.094892 225.315632 245.21307 272.054332 252.741795 242.686771 236.632713 246.120479 297.937056 239.046804 252.630423 254.623399 258.494517 259.302357 259.709036 285.721545 280.0895 266.298597 284.907288 272.245323 301.140189 290.560119 284.229491 280.809448 286.613557 284.7043 272.451516 281.442336 319.684213 269.161004 284.062495 310.774741 287.319649 303.492884 299.5247 282.430709 295.638829 315.809503 321.926626 289.754973 295.351476 311.892451 308.279046 319.510482 302.788718 304.208086 294.360217 309.729401 315.063574 321.959473 305.275947 310.415923 322.861749 313.010418 299.246716 332.274326 326.275699 334.636196 342.608618 318.727661 326.748136 330.783809 335.335549 343.792343 339.813638 328.634999 337.835737 350.15659 329.047134 322.077967 332.449149 358.424126 355.701513 328.227232 
131072 265.01094 239.261917 205.102227 188.36635 180.052558 150.000911 141.091312 132.891394 119.261905 111.885997 103.727589 104.042335 108.634875 115.719969 105.911492 101.409795 101.074714 92.047645 88.621828 98.850905 95.863846 101.284822 99.362542 93.289945 93.379183 97.595198 97.235995 94.45269 92.53471 95.846459 101.14926 97.537845 88.708501 101.198019 101.959731 100.418791 104.530428 101.838222 98.061093 117.144595 106.038007 99.438887 95.91581 108.025978 106.378797 104.689724 109.30074 115.329906 112.609602 110.662818 112.812526 113.179876 107.736895 117.462484 119.339406 117.565261 123.312016 119.389767 127.896281 125.067877 122.41487 123.513848 127.13957 136.340562 124.419782 123.920975 127.908405 123.849893 126.799228 129.512026 135.59784 138.286131 133.536218 132.135649 141.242588 139.982199 134.366 140.398694 141.549378 141.364291 133.697761 153.622976 172.845314 155.334379 160.31833 142.785518 146.509977 151.649375 163.34228 155.347915 156.454527 158.66268 156.779214 164.085901 154.251697 153.406647 156.983164 165.973471 165.69414 162.712084 176.419842 169.390563 166.414793 179.699385 177.431439 185.898882 169.757401 191.608042 171.739921 177.032586 183.220022 179.03044 184.52019 184.087143 190.492257 195.526249 173.671952 185.412073 190.288437 204.526885 184.162846 193.016245 196.739293 197.28275 195.475823 192.094401 205.27429 205.689696 208.07389 210.820049 202.676587 212.827588 203.757537 204.25121 213.627089 202.977026 233.685366 228.218199 216.298957 218.44244 226.630103 227.611803 218.898262 229.868009 221.562685 226.821413 222.875427 235.938491 257.347937 226.407486 234.603681 239.794725 226.393372 242.194959 228.309042 240.527953 232.960606 238.206951 234.448552 238.496995 233.603698 246.551858 235.247091 249.712136 247.685284 262.850133 243.434691 257.935277 268.496679 265.504934 256.655318 288.080848 255.873524 291.324913 272.93191 284.350424 266.772509 268.705887 277.109624 260.01435 293.628273 278.448605 290.662766 286.25294 278.827311 283.066937 276.020592 277.040978 322.296224 289.477695 290.909188 298.161727 302.268679 320.562689 315.017572 298.875964 337.792432 286.420065 305.895684 301.405214 305.827102 311.725969 321.079715 334.692395 331.155847 328.890466 291.268647 311.178983 303.61478 310.373902 321.204238 347.40004 320.748931 342.643838 352.251895 330.433269 295.620672 311.545308 304.449116 341.314481 350.072034 342.91624 337.272326 328.881678 334.842133 339.725616 317.868368 356.470861 323.276577 349.396095 354.659122 366.131781 363.682853 347.214822 344.097849 377.539129 361.473801 361.438066 366.569382 362.281642 
262144 524.296039 623.613673 468.792408 461.075321 312.609321 308.504102 233.632309 220.283821 223.727023 180.294038 196.942664 170.641715 168.647775 172.523255 168.659388 163.700649 162.844372 154.991149 144.078178 146.818691 143.395505 145.522118 136.625795 141.926868 137.104521 138.31622 138.997868 139.386325 136.093824 131.323508 138.341561 141.745886 134.2076 137.039148 133.790914 132.642732 139.031741 136.034414 134.455046 133.343686 138.253988 140.939072 132.835195 137.758007 141.935464 131.114813 147.215747 135.974623 138.987089 138.934032 134.685553 139.89899 142.952258 134.496683 143.902908 143.816555 143.600802 138.886557 148.70363 149.585571 153.540859 147.99985 163.183238 154.593772 151.337775 152.935749 158.289875 155.63732 155.01232 159.788728 153.038845 152.016407 157.43982 156.149662 166.919566 155.694738 159.967273 167.6961 170.399209 183.772654 171.347743 166.031018 179.725303 174.321521 173.523048 177.010517 176.784434 171.108379 182.993362 178.125854 178.915025 179.026976 176.339199 181.950266 173.738352 183.468048 191.547288 185.241486 184.730875 187.828089 189.222949 200.561333 190.27631 202.910691 197.501199 192.451039 188.740119 198.556935 196.363792 206.513448 196.156828 196.542851 202.490668 210.057822 199.870188 208.11527 206.155911 223.192163 194.439783 212.499755 209.262621 208.066898 194.118751 224.034196 213.742891 224.525624 221.306259 201.937395 220.768766 228.465773 218.283272 236.661584 237.506571 237.528191 231.26845 224.142299 238.118225 228.256949 237.153266 230.209314 257.886776 247.148692 241.113176 233.290683 242.39217 228.392573 254.067753 251.74829 248.580889 247.404285 241.582728 245.83069 278.68739 273.025511 236.21654 274.771236 269.727235 255.843757 287.994173 264.370544 261.508585 266.675956 260.996051 254.252198 281.595989 280.922489 285.824257 265.749686 278.208024 269.030769 301.496187 297.406493 277.898668 275.452883 288.677809 304.341398 287.262679 289.219471 273.903217 303.76304 315.214657 316.875569 316.004598 336.854036 306.863016 328.949169 311.366702 307.041685 330.179728 325.210533 343.546821 326.738129 339.922316 322.337217 349.90985 330.994946 323.588243 321.051037 335.17176 326.466303 323.024704 348.584406 360.80537 323.739135 333.53061 334.192627 343.256262 340.07616 354.251608 337.143311 357.744852 342.270199 353.735993 356.338508 379.028232 363.605801 325.33621 352.03999 367.364198 368.397866 365.572412 380.197202 371.814123 352.28147 351.193014 377.732815 324.377734 376.287206 381.962301 398.713704 384.791604 369.935406 381.508403 385.728075 377.879857 393.530101 362.150444 383.529289 378.29725 375.754976 
524288 1045.261917 1443.472646 1070.943705 941.754958 764.245891 646.532626 604.41668 469.797716 542.615071 405.029961 426.635018 311.274445 360.443727 268.150176 293.083916 258.46802 267.153654 279.223471 280.045553 255.096029 226.68534 236.98377 218.004709 231.980637 221.784728 212.419883 212.929724 211.475072 211.923067 201.656074 212.366571 197.705212 197.508896 198.068779 197.44115 208.669956 192.904872 192.627786 195.966674 201.337158 182.426938 192.397663 192.533928 192.309064 175.131095 182.759774 196.525145 186.358297 196.551319 190.927548 186.498219 201.015806 187.943889 186.763691 190.929732 182.690743 191.326081 191.171404 194.138446 193.706106 186.545885 197.953172 194.125936 211.039137 197.249197 189.551102 183.281484 208.68163 202.103747 196.794337 203.027322 204.479859 198.638859 205.030181 197.5318 209.742243 202.557645 211.88252 216.079481 214.287565 213.044304 214.393229 207.900926 226.657241 220.478978 226.021336 206.278768 212.01917 211.800978 207.317695 231.562602 222.71427 232.785015 211.814709 220.667275 237.94847 225.443171 228.778912 236.430945 226.653776 232.95727 222.242025 237.976827 229.298376 234.999134 247.447397 245.047036 241.561426 241.417014 242.375683 236.037804 246.053309 254.52537 248.21187 229.304215 246.902208 251.678234 252.283279 252.281098 258.259902 251.688755 260.978601 255.904831 240.530262 267.857566 286.145161 248.756481 266.323745 268.424824 253.649205 248.37181 258.343688 256.983921 268.518748 263.626666 290.605029 295.123664 280.72348 265.783879 261.928608 285.943392 274.872474 277.331664 286.141438 286.785298 294.287273 285.280221 286.055408 277.68824 279.268442 290.794544 301.113885 318.302442 295.257811 286.544013 295.369698 325.275007 308.58699 309.945216 329.937413 315.174688 331.457889 320.147349 308.354363 294.680672 303.177818 300.74275 322.495167 341.062866 348.899407 356.280897 353.672289 331.078155 361.761986 337.485707 342.681753 336.546989 339.78868 364.505129 354.325194 354.068318 356.155409 364.71081 377.185892 365.049676 369.761353 365.542709 364.253384 384.626855 376.921317 386.071497 369.895566 389.856327 363.845229 339.618991 387.104202 384.574247 397.729758 400.802272 377.463105 386.03307 402.814303 411.992328 396.95008 412.44212 399.612837 371.266304 376.884427 397.479295 374.309306 372.091338 411.180702 404.864572 378.279865 372.957752 404.594607 406.569685 416.385667 425.800295 405.940644 442.44238 408.875481 428.375544 425.380594 428.382216 404.100549 409.800021 451.010866 440.31166 427.7653 446.876585 439.104134 430.274343 435.073782 414.929539 449.788967 469.390973 462.9133 450.694324 431.987796 
