 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
1000000 1435.053574 763.482765 544.383762 448.971056 372.349497 326.715545 324.37446 297.131202 281.555826 262.552132 232.436202 308.355709 237.237246 233.780572 211.238725 242.856012 194.061909 236.802082 219.928464 201.002461 195.809749 260.4107 201.187612 235.051803 194.544356 239.744171 186.493664 207.437665 205.544576 215.273565 199.083967 221.672711 198.544616 223.997756 207.94603 235.655055 208.17224 225.099107 202.6252 282.383172 212.253915 218.032682 217.691057 242.763502 228.963102 255.107578 216.627814 223.115688 219.576126 228.902927 217.210408 266.261515 235.884794 222.695859 296.755063 216.264505 251.625175 240.931167 255.795834 238.713775 275.225645 237.632249 303.79249 224.976764 248.897238 227.707138 261.128018 247.139902 251.295612 255.050544 295.369186 275.574329 275.257018 269.77426 246.287088 259.961422 270.668199 263.035669 266.572154 262.069943 285.958919 263.716996 285.029439 261.67956 264.665336 287.686358 294.417316 262.134804 281.724106 272.528374 308.910651 282.210658 296.621363 314.234561 307.091022 288.500357 304.751285 290.960254 377.903209 292.279989 278.958188 297.83492 306.094501 359.268791 279.44365 309.360444 297.553216 273.302406 378.460588 313.362243 342.656735 289.567577 307.532151 313.181134 342.496923 320.375036 297.50619 377.201226 371.196438 320.86781 329.997526 351.217457 354.60074 397.282661 354.117909 378.930397 399.165935 341.216067 374.836086 506.086071 362.923513 341.980283 384.331547 355.382341 378.357875 347.346406 374.621356 369.20577 389.754448 409.325018 421.131859 385.736095 396.525758 380.534658 370.549242 365.394061 423.512398 490.384952 405.158722 431.818427 449.638331 442.964728 423.969824 477.968635 394.638508 442.323757 424.982833 487.855957 450.53753 451.705602 399.874268 512.151292 434.087593 468.667881 506.668792 570.143499 518.918433 548.658094 552.155829 483.265085 489.462657 502.380089 520.517242 537.537261 538.941551 544.529522 510.323385 623.332738 567.529694 529.974148 552.406097 601.319722 529.463345 593.417164 597.163049 560.028875 590.987419 585.729396 663.931929 652.84869 624.714832 497.838102 614.101337 627.337618 617.448115 601.477093 664.95238 577.106827 658.144307 697.278067 756.235297 765.927523 694.746316 582.333668 741.282224 716.364779 569.804631 646.238538 730.203348 781.309856 660.135938 726.089212 734.695038 679.926944 677.243786 789.306852 796.264596 739.124689 708.561662 689.492914 697.051729 821.305026 787.841613 730.935231 877.978784 775.760828 794.853185 718.339985 713.428401 830.743842 799.19642 779.552008 676.784628 826.608024 820.71435 686.686385 722.953954 802.949619 770.338827 956.845706 
2000000 2919.411606 1549.781256 1108.649308 864.662822 734.174805 637.68211 570.240116 530.579772 494.250551 462.673233 451.496008 413.335094 411.464974 400.890228 382.924114 363.550051 360.080673 351.493325 354.333277 356.582939 334.705418 339.998276 335.399062 320.255578 316.150745 326.591919 346.403902 344.019901 317.798374 325.143296 332.284335 343.302197 339.775402 324.710891 320.64827 324.354832 325.685151 330.253824 332.615439 317.401448 318.332657 337.249617 315.207152 348.718169 333.400953 320.529199 335.755124 321.352758 334.885309 344.959066 331.932958 333.703059 342.350008 336.678379 346.212401 338.4429 347.953441 347.155031 345.323467 341.207535 343.291934 356.390025 379.293002 363.120149 356.554518 355.887755 366.503816 364.840018 362.318146 362.172771 352.775078 373.192366 389.563394 371.685429 393.806996 385.274691 402.259682 399.620343 377.510389 414.151658 447.062442 416.675136 390.536307 391.817545 384.639684 408.290004 404.014836 435.639376 402.566792 416.955686 426.241105 417.842372 424.111543 439.721241 422.408995 436.1215 439.690255 444.12863 460.359478 450.670972 445.653917 492.192392 439.975808 440.502971 448.113367 458.27694 461.158211 444.829012 435.224163 473.672941 444.720654 523.882496 465.792131 468.363594 465.70443 446.437892 492.716348 483.591827 461.567839 474.573357 458.907585 474.349069 457.783973 542.932639 464.898516 499.731895 478.806116 477.862393 487.929865 492.453951 630.198806 487.36915 517.549813 487.201961 498.750132 493.62337 501.110973 563.455205 526.417519 519.60688 485.47465 546.06732 552.551731 564.627703 497.526566 503.998207 521.029135 599.373963 694.918957 607.347155 565.178796 528.186082 564.981132 619.730045 547.779428 625.636868 525.663313 580.716255 656.139204 618.611309 581.592038 565.076082 595.816436 693.611669 554.591796 571.865167 558.72319 549.436167 583.589182 605.448421 582.206321 757.947403 679.923287 739.044688 602.010991 747.20502 603.876108 791.76925 569.650852 777.097884 692.735183 638.019438 803.876019 781.513549 745.329253 900.084121 671.995578 766.78579 781.278357 713.774583 660.372091 844.312385 776.597667 833.603234 849.216204 864.261788 805.278576 835.639003 1009.87263 1020.532189 782.215791 741.035611 842.694778 857.1255 768.119767 953.351051 997.600089 914.598114 932.888147 856.402599 1045.24113 896.748954 983.994017 909.200556 1042.563683 994.768796 922.802651 1027.117451 986.796372 953.137351 954.516812 1045.390226 1011.690271 1027.650002 984.571924 929.14297 1083.13009 1094.202742 1118.743083 1114.36373 1022.882253 1188.819349 1103.157443 1029.766414 1131.028203 1294.61767 1173.630186 1208.452148 1159.411562 1271.180542 
3000000 4393.145172 2341.607669 1663.321878 1297.41772 1086.329118 946.361162 860.122248 771.127548 705.958954 657.572942 630.192455 601.012417 588.59174 588.063104 551.221026 530.669717 533.211477 494.107486 475.187706 469.705206 489.477672 509.086218 460.549955 488.944797 463.096527 456.730867 465.611534 460.449039 433.648514 448.269007 419.139204 427.831702 430.809332 434.009708 422.115356 421.054297 439.702188 432.283038 438.212186 442.556125 441.277323 451.735112 430.846735 439.404893 454.901615 431.020785 455.401832 441.174418 452.730992 468.957348 438.652418 448.026179 443.296604 457.353685 462.756825 473.527627 474.565338 473.915062 463.951072 455.281605 471.188149 480.110708 487.028166 465.20742 469.96638 477.343571 489.74693 495.910755 498.25787 479.443109 520.643563 486.051211 486.921413 524.120832 487.170781 512.866429 545.539964 526.937368 506.124436 490.339079 551.928398 513.931081 499.150394 569.411168 543.020659 556.632761 543.12504 528.443665 527.42392 548.299532 569.769923 556.902405 552.107393 532.737885 558.066693 552.091994 596.905339 558.441101 550.244841 559.448529 617.688888 552.569564 564.015536 593.43859 579.81539 580.890051 616.52736 611.910632 582.084234 574.118292 593.941437 612.940964 594.139101 605.679829 614.712093 615.693602 609.241654 625.016038 588.630169 614.210849 611.446792 634.495015 626.700239 597.940544 616.770893 652.795635 611.849493 708.774913 647.936015 635.663343 631.781319 632.645552 640.694577 653.704263 659.716939 661.072089 646.80124 659.19799 699.292344 644.305288 681.591125 648.816609 661.218682 675.106586 680.3861 701.840262 675.997123 756.248449 684.898257 703.965785 646.828058 663.456474 756.268336 667.395212 668.454155 657.778557 735.358274 682.887443 723.905181 694.797126 735.711896 707.16693 747.949412 766.596724 704.659301 753.267417 778.681552 708.677654 758.644767 763.066143 757.08195 767.89426 772.777809 709.904041 718.863297 781.613245 738.370802 845.310893 922.595109 737.689089 738.252885 868.485887 850.007942 843.579989 829.880251 708.305939 928.803973 970.923894 938.821465 780.502209 956.616608 769.554916 847.17415 751.33 840.535831 916.199874 905.511575 829.95371 983.764211 942.2451 1166.887231 1128.391109 995.395783 938.673526 977.821784 947.701618 1145.837632 1014.783447 1048.983297 971.927986 1040.058427 1057.161657 1050.206476 1026.437984 1103.971379 1237.804377 1000.982344 1138.710645 927.010581 1301.499907 1144.074651 1303.443293 1128.331829 1475.197392 997.319408 1201.29026 1261.491008 1224.377042 1184.144946 1305.234438 1162.423642 1504.384935 1204.850933 1383.605568 1430.231486 1464.449813 1360.041987 1331.466165 1375.149673 1519.487167 
4000000 5933.392666 3156.203103 2224.736053 1745.331885 1453.858516 1271.543657 1141.243359 1026.828559 958.910601 936.124578 839.671534 810.03914 755.585598 732.618916 696.724409 683.256142 655.762357 666.328121 650.500743 613.921638 594.192156 589.001883 633.933915 605.558576 594.534745 557.499946 603.235391 556.939809 565.591377 614.445208 561.908811 551.552836 552.271373 533.631887 545.062011 522.557757 532.825905 544.893474 538.984086 525.601146 532.304645 522.308515 561.6928 521.170854 529.966064 544.716663 540.349756 553.994127 555.526664 536.597968 557.331218 547.527233 541.485171 539.863846 548.885781 560.788216 550.681609 541.146497 554.141363 547.280107 558.239335 556.585672 561.644684 591.642315 579.10051 570.335838 590.020536 577.974269 606.468038 604.014043 599.011165 593.67712 598.08637 633.9062 602.910511 628.42402 613.131953 608.530495 616.22936 629.206904 636.080415 601.721974 622.710112 624.290701 640.50301 620.319567 634.994269 635.405824 648.440532 640.587629 622.927727 684.412088 648.348918 646.465324 658.462774 678.165308 681.562512 707.461081 642.257074 689.478864 693.167523 660.225496 677.604786 703.146652 693.057113 666.179603 674.920474 709.400553 732.29044 709.913923 728.195295 763.575471 773.953322 735.66859 717.015439 724.236157 730.031989 738.709991 700.255825 747.834444 732.715791 739.235291 730.613877 717.387281 762.549246 754.892915 765.082857 802.448632 741.663241 774.93714 788.566629 761.571906 751.851323 838.077666 751.677592 799.660517 754.547377 793.153012 785.737969 803.652823 826.666658 870.442937 806.563924 784.476551 803.11206 799.772148 835.583892 866.780708 832.588813 783.018114 797.48457 860.342619 864.664939 864.294444 838.672447 867.168784 841.772677 839.106198 812.490119 815.55173 855.59386 826.179721 885.44605 837.362978 851.183648 825.87383 825.066054 872.2464 827.347602 918.766015 909.816573 829.681176 1007.982238 849.893746 992.036366 926.027597 873.409147 878.296737 884.735404 883.119787 904.269276 927.684917 886.288855 923.184692 925.86105 945.055927 950.103263 893.931391 970.234997 942.478178 946.7042 908.478362 965.403736 954.862479 998.311951 1016.771097 1021.749467 976.446363 1009.61088 1117.25751 961.06204 1018.719423 1316.396843 1284.817214 1076.670957 991.204789 1079.907839 1050.421012 1265.187559 1102.25677 1012.753642 1192.78407 1050.730175 1140.941124 1121.994848 1100.126503 1017.459483 1049.03122 1239.675973 1261.908914 1392.714948 1098.743254 1322.687119 1244.398941 1428.642687 1252.918285 1553.071066 1503.356466 1550.316244 1473.917821 1393.402948 1341.182194 1303.708511 1572.733568 1441.028593 1655.443442 1481.710864 1688.794008 1568.494008 1505.729047 
5000000 7387.061347 3965.085142 2763.450111 2191.191547 1816.563583 1578.207792 1411.927274 1281.366957 1178.333651 1144.824174 1035.098085 1037.652612 968.237915 916.37181 866.223907 846.91278 806.228457 800.945992 758.23533 753.669798 745.791364 728.459357 752.835527 719.383787 714.684749 726.047959 698.704684 676.227442 666.066881 667.240984 673.99818 666.942598 651.959758 677.974641 642.898495 631.341152 645.382197 635.498529 636.353588 654.930266 653.76027 649.742174 645.919686 648.152411 650.319569 664.136455 645.490808 625.06608 638.369533 652.699273 649.715869 654.577605 661.205017 658.084322 645.686482 656.415006 636.073486 660.041245 676.973757 672.383847 674.921755 670.986613 701.291288 692.995909 694.299988 692.390349 714.088686 745.17708 695.44381 718.451871 711.100214 747.435081 713.185127 714.576585 709.908276 703.525746 711.557641 708.412951 718.63959 715.29076 714.442117 760.512193 763.473977 761.886076 732.606663 779.493691 723.559193 832.732971 759.591889 757.688088 830.771814 765.200262 766.412151 825.980778 766.280504 792.166435 807.23736 805.600764 833.735587 816.798262 808.510197 809.380011 794.182123 764.619915 788.234242 858.924791 816.762207 786.198858 800.189989 802.277402 824.063951 804.268583 852.467263 829.249285 859.041746 846.165183 876.427001 850.696711 887.228022 891.060902 933.133412 850.265139 884.769342 906.48468 867.936655 884.835229 922.183041 919.901751 910.254496 971.394857 985.296619 904.529298 904.008615 967.259934 941.357323 864.519499 949.871856 992.029823 922.535317 1082.499062 1010.65712 966.293053 931.627759 915.106801 1030.955209 954.058489 941.652565 1016.216543 1095.868978 946.121993 940.149027 995.911718 954.349432 980.255057 1005.840164 975.085442 1004.345608 1023.935359 958.343085 943.595759 1008.960474 1023.09865 1033.435829 966.582393 985.277438 985.675199 1016.501326 1051.162066 1010.139005 1160.864867 1071.499033 1105.123732 1169.836569 1144.427182 1079.628378 1036.391452 1105.142851 1078.858452 1046.070785 1055.499334 1109.237997 1076.164837 1124.469245 1110.943625 1094.490671 1082.365746 1128.150655 1223.151422 1106.361155 1669.411669 1081.872459 1126.191808 1064.190423 1105.286943 1178.983287 1175.010355 1186.044449 1180.008421 1104.031492 1200.687075 1252.994566 1140.339991 1200.703563 1461.202797 1393.984706 1424.128031 1219.130952 1349.027973 1463.780163 1190.875264 1218.972361 1223.29468 1214.693669 1306.601711 1243.189939 1659.428114 1211.021751 1251.452919 1701.261584 1239.152021 1344.632388 1314.435365 1586.636871 1698.212165 1322.982619 1339.803949 1475.301003 1546.722151 1660.723789 1891.352808 1818.728238 1479.624863 1655.191698 1858.635066 1575.38728 1568.662737 1402.996503 1817.212127 1920.000935 1931.390833 
6000000 8934.624184 4748.075797 3366.357799 2623.760076 2193.743187 1927.03804 1719.931095 1570.218241 1406.278484 1348.52333 1241.575477 1182.867939 1138.203756 1075.738143 1054.351857 1017.294218 970.655277 967.623629 929.406645 885.281491 919.448753 863.251539 849.36158 848.485606 819.20196 818.669666 817.682383 813.710028 827.300062 824.413019 771.824914 783.238039 772.912792 783.157972 739.08023 750.426246 764.353159 767.24219 748.61842 735.554332 746.582781 750.703782 727.389186 734.004664 753.027798 736.525319 745.225643 721.580844 744.514484 732.693848 720.494441 744.781371 739.489539 720.710771 757.990579 750.406551 743.931635 731.420819 745.626357 764.244736 782.120008 741.084754 768.984256 779.03479 780.718539 785.883666 792.527435 776.770886 780.648355 811.797695 803.806089 819.292034 849.518376 797.930897 801.127423 781.984383 805.771799 823.470902 782.078882 849.340601 812.453231 856.177543 863.22113 875.867955 825.363284 813.980826 853.502534 826.887673 833.087554 853.096494 838.230098 878.59339 852.29058 862.438051 878.768019 863.84356 918.211648 886.993855 883.096818 892.925954 894.376821 889.98098 909.870591 898.308565 866.942508 889.52336 854.463385 906.114377 946.481583 911.795949 889.082424 921.755384 938.447314 993.073433 913.600183 934.629251 993.269236 914.730981 1009.292927 956.000718 960.539947 944.038749 967.41474 932.861845 936.576488 943.21038 1009.695563 1039.040478 1024.383804 1076.790476 950.750653 1047.099768 1061.236787 998.491457 1091.613636 1045.438664 1003.987687 1030.214471 1015.691817 1064.643485 1034.669594 1034.501637 1093.614121 1090.081806 1041.142198 1099.302043 1044.614399 1060.187402 1111.297822 1069.55802 1132.879269 1075.475364 1097.254792 1099.549362 1095.662462 1068.566568 1110.065085 1151.870006 1057.331474 1113.554159 1111.445381 1125.932044 1141.988134 1190.205355 1157.84464 1149.138923 1084.472919 1145.762698 1081.514282 1177.953214 1119.757183 1179.508139 1268.507326 1191.415063 1217.99913 1159.473728 1106.818324 1146.901132 1237.794627 1167.317713 1225.58476 1307.939856 1253.598972 1220.490977 1157.805696 1312.208608 1208.111742 1236.424851 1225.855752 1245.316422 1334.627854 1201.647926 1292.822677 1201.933095 1253.261516 1292.571253 1548.265593 1302.613639 1242.300492 1321.391894 1411.043859 1288.389432 1340.57798 1383.270808 1409.575607 1443.774302 1247.664883 1292.523521 1351.66866 1367.60292 1369.378733 1402.101669 1217.191353 1359.573206 1289.127473 1354.657903 1613.615041 1413.94431 1381.822122 1743.257881 1417.751145 1471.066318 1470.976503 1556.53948 1499.315081 1448.575924 1489.990463 1524.705604 1757.882028 1391.308797 2016.157647 1987.438309 1482.907356 1553.491988 1771.994669 1556.951034 1634.65893 1926.376087 1867.727125 1649.320418 
7000000 10472.44482 5572.974278 3905.775702 3047.64483 2619.996547 2207.083722 2007.74525 1773.203991 1634.254755 1585.294554 1449.793782 1403.094213 1290.205086 1242.785955 1195.559801 1180.931034 1157.551321 1099.404884 1049.598799 1034.344968 1013.039646 988.39467 1001.806864 1001.679066 985.82853 924.836047 913.773081 912.009394 968.998602 884.387169 894.963904 906.033285 891.783415 876.020259 892.866674 857.001808 854.911955 852.24888 854.534661 871.044326 867.575526 846.013905 811.615815 815.492321 818.254133 840.66074 819.276509 806.656243 808.024415 841.873337 858.626856 818.65401 803.739176 825.094346 831.722848 812.535094 815.142418 843.306561 810.683707 819.086929 824.087881 843.375205 860.622271 868.578526 844.505104 839.916285 861.603202 877.628112 848.665818 858.218315 878.644521 874.539496 862.45223 912.495047 891.638874 888.122024 896.501316 899.075602 876.981429 904.799071 866.813043 913.020606 901.700828 924.583339 936.098597 958.955446 942.148548 905.054406 917.351523 923.762987 939.843585 947.345558 954.870756 1023.936451 978.422212 1000.635071 965.637132 950.754181 974.3202 953.401926 1023.122579 959.218096 995.272412 979.392749 1036.017876 1004.553663 1058.937662 1113.799677 1022.261103 1074.605356 966.889117 1047.229169 1072.444486 1010.74931 1103.209601 1075.105766 1072.376674 1108.320003 1107.684098 1068.16284 1054.754558 1134.408276 1098.522174 1071.853424 1138.515036 1108.78102 1065.454213 1117.126761 1107.596268 1104.767671 1176.954445 1231.53046 1149.343579 1124.981843 1133.199147 1163.809649 1147.44523 1160.471595 1199.479227 1126.85421 1188.217191 1225.997085 1183.621314 1142.499772 1170.738653 1166.838859 1205.245679 1204.804034 1339.540337 1202.976641 1188.222257 1249.196266 1231.91122 1301.852825 1194.778458 1236.091886 1323.297426 1286.27315 1191.534327 1203.18829 1239.869657 1348.27133 1387.189785 1255.420269 1314.169828 1218.575306 1381.615351 1289.254115 1267.159879 1245.02997 1369.543932 1376.796792 1279.728241 1307.770553 1327.987742 1328.669323 1401.928129 1415.159217 1345.170714 1373.46772 1382.096642 1352.432299 1317.727036 1371.717699 1282.218551 1416.260694 1365.565097 1361.613851 1475.448752 1434.013621 1636.501336 1445.88077 1429.100754 1404.853281 1322.599611 1445.841763 1559.909739 1449.635254 1417.978959 1438.802797 1538.151225 1511.251582 1486.81934 1582.971819 1435.437543 1440.849537 1437.147725 1521.503498 1407.578011 1520.329589 1476.410437 1534.78687 1525.332978 1497.679319 1556.264961 1652.60086 1508.533844 1673.514772 1582.734511 1692.381945 1564.889328 1716.410652 1653.255241 1878.925329 1750.783269 1763.637316 1646.607622 1831.26831 1587.96225 2125.315965 1610.281736 1983.567384 2131.074589 1798.278039 2005.705632 2247.464207 1873.034224 2105.473057 2110.891722 2211.8081 
8000000 12075.706258 6421.343188 4522.478334 3456.648236 2957.255657 2618.522135 2279.700784 2030.43292 1902.066834 1758.035103 1641.079571 1562.357512 1485.645623 1423.267389 1359.873518 1375.730792 1279.27505 1244.777906 1198.248861 1182.067541 1159.708793 1121.815598 1110.468875 1146.667414 1067.108516 1064.291082 1067.125901 1066.862032 1086.074807 1005.912082 1002.249276 974.98459 999.142824 998.129174 957.279009 956.41593 953.455879 966.504187 957.239232 935.387052 948.67517 918.527484 912.246191 912.622907 955.138475 933.239399 924.309268 931.558984 924.594117 936.453118 921.557079 920.400425 909.56239 936.726804 936.836379 927.649887 901.010198 913.781421 916.496913 917.586328 915.660714 929.992575 909.943665 981.011189 920.463556 954.265644 945.998173 924.777533 941.252815 956.918715 937.857536 1045.273208 987.632507 960.086115 949.778319 981.020364 1006.498074 990.103632 1001.098144 1027.558259 1011.928801 1069.671639 974.955464 966.452031 1029.480473 1025.346324 1021.770384 1042.299236 1039.63199 1046.569332 1018.775112 1050.400802 1026.689535 1046.976461 1068.591396 1125.616532 1031.411028 1031.825405 1076.022606 1093.29097 1074.554096 1062.326204 1096.033343 1054.102229 1076.338251 1048.839012 1128.350306 1126.404612 1068.064747 1075.005812 1122.591104 1092.370794 1211.205683 1079.050148 1173.644173 1189.69776 1190.518882 1180.24759 1146.283637 1196.487932 1207.953536 1134.271821 1209.123404 1331.83961 1195.849012 1168.648609 1188.725361 1236.789059 1214.063599 1239.057518 1257.471947 1215.473792 1243.391256 1305.073216 1181.794175 1259.963476 1313.974028 1285.159033 1325.803516 1234.87775 1414.04189 1221.136698 1250.504773 1246.338606 1258.494837 1296.112421 1263.915491 1226.440332 1304.602255 1289.860445 1316.661034 1443.903574 1363.569363 1469.569133 1378.536483 1390.787344 1368.64403 1323.030413 1420.566462 1470.618389 1262.869379 1461.225186 1356.056931 1342.772789 1343.830128 1464.980762 1457.107845 1496.097255 1438.454179 1436.854536 1428.353926 1446.613549 1403.119104 1357.495866 1516.074951 1451.0568 1501.130734 1528.040451 1397.905735 1447.117231 1339.808313 1524.218091 1525.336121 1500.07859 1372.064134 1381.512253 1423.477177 1566.216762 1426.840764 1406.798204 1591.813287 1482.011687 1606.981088 1706.78309 1630.585853 1555.609748 1742.177637 1719.541867 1490.049035 1524.024213 1567.661853 1687.986039 1640.773871 1681.644375 1641.857065 1662.345245 1601.409218 1614.162862 1633.673188 1580.188002 1518.05747 1528.690341 1659.514403 1627.659486 1587.074345 1594.237579 1729.402565 1795.800241 1692.436156 1669.035657 1920.678988 1653.336077 1686.344696 1895.809084 2023.572112 1751.761633 1948.866099 1784.840952 1682.115016 1869.679043 1921.435312 1892.526973 1890.234712 1923.279899 1975.032323 1949.508355 1865.878881 2170.25255 2024.899161 1975.621779 
9000000 13584.955495 7256.432446 5092.912265 3870.041775 3402.174615 2919.58213 2562.421218 2250.907985 2105.178779 1998.279939 1838.129696 1737.034195 1632.581333 1591.328788 1541.763412 1496.20125 1454.749889 1390.09293 1351.45714 1328.134207 1283.095228 1279.231103 1241.766339 1237.782051 1211.18663 1199.214781 1228.850511 1178.131884 1175.015487 1095.225697 1164.890854 1105.963972 1110.319844 1100.878914 1066.967887 1067.105756 1059.469315 1050.20019 1065.153839 1050.068479 1071.606171 1034.756844 1052.953083 1028.183003 1072.978064 1028.588397 1053.368872 994.622395 1020.526672 995.473089 1048.118036 1014.091788 1025.96067 1019.331785 1009.451004 1044.288811 1025.580168 1026.031307 1023.613622 1036.334868 1056.367736 1057.946337 1052.036628 1058.115322 1055.804135 1090.260797 1077.31533 1120.837298 1062.548052 1093.508007 1058.160102 1072.071744 1077.672932 1064.581832 1152.139969 1116.173161 1129.977215 1128.784122 1106.449562 1121.760554 1129.079556 1144.727622 1158.942782 1199.557819 1132.23913 1220.833309 1153.691304 1194.069863 1220.527995 1183.831487 1191.295608 1251.637174 1180.021956 1175.364043 1178.938184 1316.033918 1230.449384 1233.100656 1213.000228 1247.600729 1208.662192 1218.545474 1274.481639 1372.910468 1259.080958 1224.730344 1256.672641 1241.787125 1290.289131 1206.820685 1302.062033 1296.06655 1282.232151 1346.655261 1353.223972 1326.077908 1281.320634 1305.999101 1328.169812 1401.317181 1321.407035 1329.701259 1479.240831 1440.33854 1408.897616 1333.056056 1431.52806 1419.71198 1268.212086 1587.445674 1371.720714 1387.651316 1394.1134 1439.779173 1367.532415 1568.201717 1494.873432 1333.858379 1391.948294 1456.023816 1488.243006 1537.032876 1551.43203 1606.068287 1481.136549 1480.605471 1455.5091 1470.230121 1491.388786 1494.319709 1468.204232 1484.003639 1570.06613 1499.06571 1522.356245 1592.352959 1531.421422 1526.538129 1629.544939 1544.573597 1608.033292 1455.027808 1509.082498 1488.517205 1430.056407 1574.539917 1546.573438 1661.07844 1600.115082 1578.532354 1597.453352 1534.875339 1577.214224 1550.094333 1582.344703 1816.229399 1565.709678 1748.910004 1620.000397 1682.195851 1597.91732 1802.123685 1735.818073 1658.93226 1616.067688 1747.572052 1641.665244 1635.561271 1672.586512 1667.394314 1785.019752 1704.196295 1726.255373 1859.034884 1697.126213 1795.542788 1896.22436 1656.344757 1813.318619 1822.386362 1839.116145 1757.279419 1726.774197 1671.418697 1693.485796 1679.679432 1811.618125 1754.814454 1815.534407 2003.490806 1899.147777 1702.539296 2046.688533 1716.81367 1904.935463 2040.806025 1778.629523 1827.938981 1927.292222 1905.56925 2043.235514 1941.869667 2253.013172 2152.337953 2086.581954 2102.037681 2137.872072 2165.265265 2217.688619 2245.590686 2174.865942 2106.748652 2110.565108 2209.813135 2156.593165 2253.433258 2067.202247 2212.73328 2457.367478 2523.337882 
10000000 15041.869077 8083.651479 5619.924243 4437.163892 3668.217744 3180.274792 2849.181177 2574.396916 2322.338758 2182.12618 2042.590308 1916.752058 1844.136021 1777.730774 1697.51897 1647.986057 1573.685051 1551.30353 1494.736782 1487.618071 1427.769151 1371.734893 1366.194525 1325.980007 1334.553434 1320.000242 1308.48678 1295.459515 1248.188452 1278.694381 1213.452907 1264.759579 1214.475283 1213.04238 1184.296161 1175.855147 1172.812721 1159.315009 1178.1383 1165.602847 1186.081531 1146.28691 1132.869647 1173.357079 1125.484757 1126.369582 1168.650212 1144.302658 1119.324008 1129.17579 1105.21156 1158.342483 1094.770773 1098.018944 1129.342658 1132.289041 1119.872663 1108.316282 1108.773964 1095.782559 1134.572321 1117.568406 1143.16352 1175.206348 1146.312637 1204.984694 1120.026635 1161.079208 1168.050747 1207.930312 1155.855896 1181.323343 1131.648325 1156.261419 1188.996674 1152.47024 1156.744763 1195.552297 1169.292663 1183.986548 1212.410068 1248.839307 1210.549056 1229.22447 1239.939523 1202.067501 1251.197199 1316.284316 1281.863771 1273.5784 1216.524653 1241.439725 1291.270638 1334.055142 1264.254872 1229.860055 1237.084237 1276.783012 1317.29341 1323.603447 1286.561334 1308.459963 1332.782562 1277.091726 1300.011509 1289.640201 1283.469058 1339.404328 1382.094267 1363.492762 1325.176978 1386.342746 1327.215057 1407.103454 1351.05829 1382.261263 1359.762337 1414.256489 1345.498162 1512.813565 1406.929081 1425.461044 1481.711957 1478.843452 1389.402109 1403.454572 1527.421162 1438.261392 1383.182274 1617.446704 1446.432567 1482.025288 1461.617046 1467.94434 1482.432994 1487.140052 1516.620077 1473.432551 1525.45962 1608.029892 1588.43687 1555.12916 1623.515325 1564.349911 1684.971392 1503.800291 1606.432176 1654.972288 1605.302212 1489.700353 1497.150167 1545.744556 1656.055352 1632.940539 1701.676731 1775.183882 1677.132156 1594.288132 1704.360466 1542.831403 1653.223291 1655.98998 1668.772556 1602.636247 1611.64702 1647.337898 1795.665388 1820.059199 1666.790743 1629.345416 1620.484317 1682.217663 1697.120181 1661.488775 1609.154275 1684.194796 1712.794227 1734.644035 1731.964214 1688.17042 1742.394224 1723.546296 1709.164336 1813.013946 1722.78901 1750.017964 1750.252323 1802.534857 1839.028763 1793.79392 1947.112675 1829.156005 1824.688759 1797.319049 1674.474211 1956.387894 1860.162086 1777.301064 1854.367922 1886.238171 1897.664191 1815.061841 1738.673166 1980.570378 1878.983903 1925.13719 1847.645239 1866.594338 1872.836242 1812.061372 1899.300401 2052.939548 1953.950451 2029.439352 1917.257855 2219.84981 1936.02745 1968.12821 1986.357617 1902.225295 1860.03583 1945.846254 2127.45053 1997.213104 2009.174881 2004.944752 2113.355278 2111.14552 2221.493528 2111.349725 2162.055969 2023.662509 2247.766056 2147.020716 2109.909316 2148.045978 2248.564981 2408.112679 2272.15403 2458.439382 
