 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
1024 2.784345 10.557761 11.852157 8.69193166667 4.23393766667 9.76828433333 5.34530933333 10.1671846667 9.36190933333 35.0973573333 7.32858666667 11.8225456667 10.3898326667 23.6769886667 13.5815163333 44.052397 25.651809 61.7749603333 12.4308713333 11.502193 16.2426176667 50.6851633333 19.4020683333 25.6029576667 34.469256 24.6088826667 12.3647353333 22.1424536667 30.5066243333 18.087882 30.4871703333 27.1208526667 
2048 2.922944 10.957237 4.22310933333 5.618794 4.288704 8.949867 4.39958266667 5.327361 7.33467466667 7.67935933333 7.805338 15.3104046667 16.8723573333 11.0652906667 11.5791856667 20.1784816667 24.564232 36.4209736667 38.0685996667 33.2955883333 70.764284 24.515697 13.9088126667 36.2956233333 12.5764713333 80.9140046667 27.6080063333 44.6085706667 25.6387903333 34.9184953333 16.2218876667 59.9992176667 
4096 3.99574433333 8.43772733333 20.4281703333 6.73401366667 12.951054 5.26963966667 5.77174733333 14.7286233333 6.83759633333 11.326347 10.4070196667 10.4047173333 29.036528 26.5949523333 10.9459713333 22.914851 12.7690743333 31.3388726667 22.7424363333 44.8823673333 19.2916623333 31.1759863333 22.964761 20.81389 53.8133683333 28.4984743333 51.5248293333 48.9176156667 36.1621683333 19.8978043333 67.6440463333 43.9147073333 
8192 6.233443 11.3657486667 13.0584116667 8.249378 7.81369833333 8.61652366667 6.65198733333 8.35114666667 22.603482 17.624082 13.255834 14.586105 25.600475 18.791014 16.8321446667 24.6658496667 10.7789706667 11.416794 24.10959 13.1644416667 21.0250996667 18.129047 18.6277313333 13.550449 22.978761 29.0146536667 16.0104853333 17.1353713333 14.946632 23.5111613333 50.1058116667 47.948411 
16384 9.75847633333 64.819958 15.934055 10.746968 16.744918 42.3176 13.08153 22.6550306667 16.8663746667 18.410455 28.813832 24.534597 24.463918 61.799785 25.302077 30.8942 18.5374393333 27.46309 17.9285136667 24.5979433333 33.1592743333 20.0229526667 23.4205083333 35.266239 22.7371503333 50.76607 17.9440073333 40.033888 66.7292603333 56.7429543333 60.26887 42.9792236667 
32768 14.807363 22.525692 17.7268016667 16.387577 13.2850886667 16.9524936667 12.6765693333 29.554978 12.7691963333 12.621498 38.2492446667 21.3718296667 26.525936 18.8966773333 36.540593 27.28006 24.522364 13.919396 29.9547923333 29.3130256667 15.755866 23.429498 26.5789206667 35.8186016667 43.0182406667 60.7067883333 16.9390036667 32.3310143333 39.9138556667 28.6119843333 22.188732 42.3631016667 
65536 24.460382 56.7170553333 26.7380436667 23.393996 18.5282663333 20.060578 18.211755 22.0708286667 20.4363633333 43.8566013333 19.2763186667 56.9044306667 32.212408 34.3102303333 26.9318126667 31.1739713333 43.0148303333 52.1555016667 31.7450796667 24.5190526667 25.0666126667 45.0499733333 38.869591 40.1986663333 23.8185983333 45.56828 22.9436556667 28.8295006667 23.3800166667 63.2718696667 26.2734866667 23.7656953333 
131072 48.7549233333 106.649153667 51.100075 64.5652093333 67.8009656667 43.445113 32.7288383333 29.4212386667 71.883327 53.456056 41.1551236667 32.5116343333 48.2613886667 65.6650746667 53.5222173333 26.6857426667 49.6839633333 26.5128283333 52.3277566667 68.1751623333 47.7171323333 31.2782473333 65.9876266667 63.498471 56.3735433333 27.492944 42.0846366667 26.7627423333 28.7484756667 26.6293213333 67.1122886667 39.9504873333 
262144 76.9203693333 133.502777 76.2650443333 110.26658 50.8047826667 81.871014 45.6540833333 66.1391946667 65.9165596667 62.8505743333 37.5677963333 40.096288 55.3874906667 83.536491 91.3369863333 33.757266 68.103739 48.443527 39.131563 72.796208 86.2928573333 79.0565 35.534129 37.7195743333 85.2279323333 36.2331076667 34.5559623333 95.1126876667 32.9217183333 38.5844156667 79.9623683333 63.4612486667 
524288 134.507057667 282.738934667 129.186815667 142.829524 95.8045313333 143.142996667 77.7036186667 120.862327667 88.437996 113.987129 110.194196667 99.484823 90.390409 121.636919333 69.387659 92.532368 113.899781667 149.315294 110.398608333 100.759960333 110.79145 105.508011 85.300475 69.9455233333 53.1481786667 87.808068 51.601574 71.3572526667 56.1038946667 49.713906 88.4537506667 90.641789 
1048576 274.588014667 466.219747 257.453852667 262.718013 204.023796333 212.850624 183.138700333 152.231771667 144.626265 192.682526 225.134085667 186.619946333 123.779650667 126.143787 104.522748333 103.522664667 128.50904 171.154937667 129.393159 118.891291 115.923008667 124.876256 152.983019667 125.955117333 110.773061 124.708883333 121.067241 96.609075 114.589062667 110.835159667 152.821083 122.345797667 
2097152 565.391178333 1097.642056 630.782805667 560.612939333 464.783567 434.985297 346.969177667 376.081440667 290.314582 342.450831667 237.869825 230.762503333 287.848710333 235.580885667 207.011042 273.726991667 192.363248 262.185902 180.398068 230.190500333 178.031064667 228.018304333 195.121143333 178.039323667 185.258832667 169.483071333 183.668932333 215.906721333 147.925513333 152.695582667 167.009104333 169.249037667 
4194304 1157.80469933 2356.687752 1323.51871933 1288.47534933 970.440396 836.497822333 733.322138333 770.807310333 684.034649667 679.658846333 585.044051667 517.098893667 501.427661333 490.275803667 450.030649667 477.044656 413.303315 523.469510667 369.27422 378.879013 392.680946 400.037128333 346.540955 352.054223333 386.505154667 409.363205667 365.026150667 310.293531667 342.227161667 297.332033 269.480597667 298.261626333 
