 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
1024 19.904367 22.01725 23.156774 24.562731 25.235335 26.199777 28.810053 31.976748 38.555657 73.445561 61.476727 85.778219 57.036041 94.038827 89.682825 56.024572 70.85607 65.369784 75.56159 69.51138 81.262665 106.750448 76.445644 106.422872 83.404417 130.696135 134.396794 90.296533 109.405186 140.931436 103.318024 122.991305 115.89306 115.066229 127.424163 169.652252 98.945278 147.909713 111.182345 103.428371 134.239421 126.634993 150.706168 167.556562 162.958503 186.496615 193.30642 132.818578 162.0586 132.438909 143.949228 135.561079 109.980014 145.712657 141.502866 119.731584 166.502879 155.099058 137.955477 175.527893 131.010882 166.707854 167.716565 175.855918 178.797878 204.660391 207.231279 147.239613 163.218524 161.273984 181.583812 171.422483 200.326075 195.0592 169.417766 167.96446 146.211529 194.849283 190.598048 200.195967 202.666196 238.322686 175.406064 181.432342 186.85723 160.086602 200.595142 183.794852 195.190525 164.217867 181.350865 178.588412 223.007136 184.327724 191.751492 208.451506 178.950502 202.67043 203.786407 186.694533 203.011093 228.915693 176.210824 251.751177 179.283724 209.523925 208.141318 241.987417 199.838239 204.197062 203.046763 191.548057 209.075157 229.131512 217.500259 306.14082 278.173701 309.523526 253.647217 201.05353 227.396051 215.009761 267.574897 254.839795 209.272307 242.340911 236.423056 270.267614 235.684695 286.948702 335.728948 239.804027 234.414425 271.379935 243.08094 296.450005 399.632919 259.172507 276.067812 252.159651 251.463249 366.016367 322.306039 276.393333 294.406026 339.038451 277.795891 280.453835 281.78191 272.585921 317.100303 249.291152 297.680626 318.630721 285.756252 305.257277 258.87162 343.042177 313.605135 433.060468 298.882895 359.880061 367.028349 376.976105 310.854103 294.021158 291.268007 374.805866 350.591305 318.013231 380.385049 351.584682 369.271914 383.618144 252.685981 357.575226 372.987326 309.875223 320.874417 308.649349 339.314383 330.84155 403.350062 324.408723 256.045331 386.213665 364.484856 368.895003 421.913141 376.54543 324.619855 384.016417 381.217206 357.758132 448.525948 413.184137 384.588552 358.69903 491.192148 407.470613 353.118758 413.757619 383.798417 408.012405 393.637498 479.617292 392.676646 401.119262 389.064718 453.310697 429.022742 486.243419 403.492809 416.645688 408.701364 388.939102 527.587579 442.738325 463.58154 485.913665 438.756476 419.154472 458.320632 527.895781 386.845848 390.989819 495.210119 540.298623 447.494719 452.008029 441.623375 443.954385 492.822651 441.699656 414.994849 567.141748 408.771485 534.483095 450.42622 522.269125 
2048 22.71051 22.842734 23.254932 27.310814 25.887535 27.08576 29.55483 29.268762 34.848521 48.29504 57.7991 83.237357 57.5582 71.518022 47.242255 81.088741 83.815844 109.592453 65.488022 89.631821 102.116847 76.871507 118.779782 78.762028 128.630087 59.500173 91.482824 90.525181 142.606526 92.249157 106.490556 122.420968 95.633593 145.067386 95.969701 117.934023 131.342882 140.009398 92.601432 106.364618 136.462522 170.812945 136.272881 153.923289 138.530626 154.877339 160.091799 137.291472 137.444674 173.158069 168.177903 166.069447 168.630325 144.613619 121.360932 164.090392 144.156511 144.815001 174.17621 145.492411 133.011494 152.271166 165.019677 156.688691 207.753371 173.657773 196.40883 171.628997 188.525263 193.201782 187.380351 162.531039 199.675864 147.178022 164.128306 180.833711 184.334589 168.84858 191.187761 179.324912 178.909636 183.831227 241.627315 191.193921 202.719186 182.869222 194.249049 177.69518 188.721897 202.733044 209.888519 167.666395 203.837538 177.447093 186.606897 206.458208 231.363014 237.204976 251.136314 214.654213 186.209135 189.305581 237.61807 265.703238 181.36113 244.761353 197.951248 233.66535 214.653315 204.566275 218.349031 228.45923 211.676581 193.018233 210.932257 190.818422 235.744037 192.627978 204.11982 273.800826 227.132118 264.409421 243.913672 234.002483 212.105395 263.149866 228.89837 274.337227 216.537868 277.443616 245.206524 304.008241 255.457416 276.183033 268.747138 322.684106 253.41215 257.715545 285.148705 266.049354 287.587109 254.578171 277.52907 247.921632 301.525954 279.507613 292.556049 303.859019 309.690008 396.442743 307.376063 332.244236 244.354674 300.228226 277.098461 342.731474 310.045939 375.559496 269.79909 328.055874 355.788891 330.517376 332.61826 296.410871 292.860399 348.149371 339.024402 295.564088 280.450628 334.846623 319.818042 267.864558 321.066948 402.281111 364.304066 401.229929 337.433292 363.704217 395.43679 335.510629 326.374691 391.908518 348.509986 343.064631 357.463596 422.674084 355.922463 415.921379 342.637614 338.756618 390.849319 364.262365 347.165679 349.393209 348.350176 396.683387 313.973963 422.665358 393.02501 361.251698 357.05897 468.012345 396.502343 389.282651 337.135805 366.651887 378.03229 392.494767 418.250655 369.65646 422.59466 380.92716 357.526468 444.871995 419.858895 447.941559 411.275972 447.459049 495.631937 430.388732 545.791453 448.884125 469.068658 421.069309 537.308612 447.28025 413.820169 412.661915 456.458722 376.903161 440.249557 448.915625 391.859441 445.542031 485.754237 446.884732 425.320801 460.029786 460.048198 530.03702 
4096 25.498691 27.039694 26.48514 29.580493 30.815348 33.178244 29.539625 34.690764 63.579345 69.366709 66.056565 64.008543 76.814986 133.718804 71.634335 84.284818 83.183082 82.327639 67.004519 82.853261 116.155007 78.872183 95.467687 108.663616 82.20985 113.71769 95.766586 101.146117 121.067743 126.780624 121.955779 130.584186 121.376392 71.144063 107.265357 146.223139 131.674757 176.76923 158.914167 130.463896 103.840696 107.296728 136.296748 128.454173 139.606505 196.677512 139.477106 143.6187 140.992705 139.566089 122.053486 140.866127 178.789922 152.744247 180.399252 146.566689 141.327146 129.135434 188.332927 141.379046 163.979531 137.150199 140.329725 149.792149 158.915322 167.621615 158.843533 140.138544 176.322646 183.352117 153.032881 187.5664 242.667268 168.877708 185.731438 171.776683 181.383713 165.877112 168.601263 198.847686 175.866568 196.822052 153.17139 172.864687 209.165617 166.997836 183.853618 184.738252 204.279374 180.910698 194.460118 220.095013 188.910835 203.599266 185.975675 235.543746 191.722687 208.148822 214.742297 154.34081 195.942167 219.233985 213.829626 210.530387 195.000755 182.328332 197.179655 286.879029 203.258861 210.600959 244.05507 229.833303 210.620589 239.333128 236.578823 203.904966 273.202003 207.132992 283.450585 269.569992 291.399589 240.851165 235.94093 206.520374 218.858616 232.226863 236.355626 238.307352 268.770235 266.627903 263.245714 298.395187 236.020739 247.600664 235.097932 257.099465 267.01585 258.291338 272.758948 253.889017 277.387544 290.103785 306.329372 286.828091 295.296048 257.973769 297.455313 298.99401 307.218948 306.015335 323.678956 332.993118 308.609892 328.781595 298.746758 385.873449 345.814575 310.688646 290.086014 308.457524 337.732574 309.703545 325.254733 296.020999 313.51192 328.535561 268.370677 373.745318 317.503389 400.002322 346.916823 341.126507 321.951069 346.475628 324.787427 321.6974 329.651857 320.404547 394.350388 429.094081 351.636134 365.71105 342.71011 307.240118 340.849613 378.434541 383.925445 376.153186 392.801238 385.780617 365.89184 463.374961 366.211973 392.819262 364.577752 405.881492 351.069453 400.337083 309.492794 328.665345 410.977394 452.993644 395.380205 414.523696 361.422669 403.944909 355.794537 388.382877 435.231028 420.240938 399.597697 417.486439 366.795977 426.081616 461.991199 405.69692 423.978548 479.821946 481.257158 405.103868 568.6569 477.161756 425.254786 453.936464 449.253016 461.142555 463.609895 453.373761 427.369721 434.720289 518.160696 500.177132 442.964281 443.726185 470.359008 509.390379 360.150282 421.246699 469.487848 541.725627 
8192 33.116334 33.708937 31.503606 35.667847 30.953731 33.784895 39.022065 36.656283 73.671387 42.392326 62.012485 103.811698 74.1138 65.648858 70.344304 86.002185 90.034523 83.906495 77.074685 85.020034 66.699078 86.05755 116.576438 95.483598 117.634933 104.669965 107.917687 134.15172 98.516722 120.535063 97.664998 99.325846 107.228788 116.182783 79.349624 99.469874 117.067353 159.216659 128.75936 138.7467 130.825922 118.306896 169.610037 120.42446 115.702838 128.227064 140.699966 152.648592 146.314432 175.804402 134.603182 145.978194 136.856884 138.624614 162.349993 189.727271 160.103024 189.394243 131.995725 139.898733 145.969342 180.272931 133.842557 145.64337 143.497575 162.331644 149.27384 174.6056 185.477703 174.852405 196.543106 150.60769 169.205026 148.010822 171.08291 196.254409 156.129196 170.086772 183.715685 170.88172 189.62411 212.604521 210.146742 171.668131 199.744123 209.131745 165.895716 176.638098 241.182078 199.187899 174.178905 183.981159 193.835443 189.441398 192.232206 194.083658 226.85471 200.158821 200.754823 214.016383 208.778634 283.208141 200.914634 191.831624 195.815716 198.482386 202.80695 187.544716 211.871102 185.348689 200.014153 226.515072 199.081788 272.922928 216.250582 207.000578 214.075662 286.907515 242.329235 230.726404 258.55572 206.206788 200.379451 198.904077 263.437537 324.875449 229.972071 235.218287 270.438588 255.771582 237.972014 277.829766 217.693495 295.67963 307.682339 276.432275 272.092442 321.545544 273.183847 227.297251 274.807612 288.592611 279.050571 285.998053 265.497556 263.025149 299.734553 262.738951 288.425488 280.328862 292.103626 302.912667 266.974598 288.395206 308.923291 311.701399 328.37203 366.283315 364.427757 315.692356 337.776394 307.260518 349.943915 310.848007 337.165894 286.998743 314.329639 350.403459 377.679951 340.417145 442.864776 321.607453 337.770555 338.875818 376.081078 307.849464 345.735151 370.550717 392.66029 381.549399 410.133371 278.766428 427.293442 328.688763 325.993993 335.16233 380.849981 429.681294 354.504122 403.376558 375.480328 368.518094 411.795242 392.159174 399.094081 406.891294 433.240874 406.119767 416.648832 422.416629 379.352344 417.334522 418.861541 381.983536 461.91139 344.495546 286.892824 360.636385 486.080658 395.608278 409.255024 411.609129 525.538081 399.279295 382.654341 475.150238 408.208846 399.119034 398.639346 393.271044 406.575843 387.150458 438.348643 422.435427 455.208662 400.391422 425.616044 448.254058 472.990588 477.285255 475.449202 453.59484 445.723719 418.560781 415.441819 452.089697 520.989615 481.147584 491.694998 509.104504 
16384 47.688969 47.248991 41.379765 46.10312 42.22488 46.370387 43.988632 44.745019 61.075692 51.125689 68.407784 99.635843 127.63177 97.897625 86.089949 91.546401 81.66312 85.198257 85.059875 85.027477 92.75425 135.85196 71.308106 76.006568 88.485885 124.038829 95.401801 123.80941 111.036778 133.12877 133.053128 91.592978 139.721345 108.087633 184.231365 119.011574 98.692956 103.740035 139.87647 110.188006 133.866488 157.028136 123.475034 146.888171 175.319326 133.719828 120.051076 140.063291 132.583773 136.29232 153.968197 120.468791 128.995642 141.221224 125.876229 140.874981 169.278099 117.898805 132.458669 164.523952 155.716744 137.878682 185.44184 169.437075 150.360757 149.747883 152.468315 148.858823 169.803978 157.659681 148.559924 164.749457 194.771593 183.583591 186.200345 179.102229 188.132506 200.790364 173.287919 177.587335 164.55513 163.091561 184.889017 231.974478 186.661686 171.878304 173.889694 183.375984 211.552377 198.82369 239.185186 218.828013 207.0664 231.490491 243.063746 259.146204 178.981425 226.864848 223.801634 196.040386 200.552992 184.014712 210.149435 199.545948 222.500505 201.833012 217.297464 211.945201 257.903199 274.979932 222.747309 228.894393 197.746079 235.540794 213.517704 231.218089 260.442329 198.829466 210.404133 271.142176 276.722576 233.317049 224.745422 263.535886 203.086924 265.859328 233.178284 226.729671 256.539198 230.079528 263.498933 266.54925 253.64574 280.970604 291.510511 296.684491 262.88112 333.108342 351.297652 260.558963 271.189651 265.803191 263.200741 315.003267 275.015475 284.946359 301.411372 298.61248 302.390956 260.963459 303.6108 265.075864 336.916587 295.577881 285.773254 312.114812 315.017444 287.693863 336.944237 347.883768 272.355863 304.456687 329.368099 309.051663 288.354276 335.318741 299.708379 328.142611 395.550027 337.749447 291.65929 347.391762 354.76132 374.130187 383.836913 322.189535 325.165047 306.008726 350.520478 319.085327 358.546533 378.953621 381.662568 346.944281 400.944055 378.542899 363.251025 337.86095 388.21325 393.244226 371.761709 327.475014 463.985138 399.029346 335.965999 374.972541 420.757066 380.889306 386.756995 365.241243 417.724583 372.072412 438.978518 364.441165 419.603879 440.95212 439.87932 491.977409 403.650755 401.43234 396.754602 381.931635 530.954823 459.942086 486.674926 456.076935 329.976035 419.65007 378.473034 420.677449 422.099575 372.625171 382.720036 438.426592 406.930237 399.563375 466.499569 497.196936 543.292484 487.936986 485.564789 458.714607 482.858408 382.907947 477.987242 496.962256 498.440776 517.518762 468.333699 464.94894 
32768 78.409302 72.667937 64.988575 67.419861 53.976293 59.770906 66.263465 62.489093 61.505018 72.972738 84.715747 83.595021 134.108865 82.36857 62.522647 78.677023 87.575909 123.752889 138.704552 115.330484 70.66476 76.234767 79.545938 93.251258 100.233448 114.786896 130.42059 103.39039 100.488784 85.627262 109.914898 251.906945 119.821724 111.163548 132.39246 119.409333 119.193838 138.871289 115.768854 147.259629 123.219762 148.944535 170.859136 162.67558 121.760426 140.540412 118.112503 127.690344 173.83529 135.392544 146.547637 161.859527 115.09619 138.259379 146.855003 143.889756 161.010306 142.126259 137.63669 163.361205 183.255436 129.240456 139.063433 141.957085 152.258465 152.580459 162.967357 169.592074 142.581058 175.547975 145.836094 155.76178 200.078179 214.150467 234.088835 194.016039 163.915183 178.777477 171.565741 188.849695 223.336062 173.990225 151.617683 184.108826 161.859206 190.82798 181.354264 189.825685 194.877001 198.642901 191.739559 211.58189 177.896948 206.197869 211.517992 243.920025 199.111234 187.442325 183.138417 290.800317 218.164265 210.207432 201.738448 216.600292 211.429264 248.588203 205.828013 196.148041 226.616886 243.201166 190.400837 213.972821 207.921138 266.613469 290.664245 269.397736 235.341592 259.380113 313.034924 252.537205 283.83378 249.476174 237.529344 273.381958 242.095647 255.890848 270.879974 307.461134 235.583458 217.975455 304.285713 260.84997 237.687423 253.232839 280.999668 343.369753 273.160751 278.653772 277.13426 290.04457 262.059679 285.271816 265.662883 265.951004 308.182557 326.381106 271.266123 271.260542 297.023231 278.061237 308.364309 261.707274 261.056612 272.674263 296.536935 273.64987 307.740206 338.451305 314.817344 317.683859 333.814495 331.815423 267.390195 306.589456 313.903519 350.27534 382.089457 322.126277 301.004821 331.23668 371.640711 320.248264 384.685297 366.592284 340.435685 347.091903 352.094395 409.967401 355.426929 341.404234 322.733374 357.778469 383.946681 370.508503 363.2874 350.293496 393.961289 340.651502 343.655371 394.498074 398.6482 387.420228 454.451309 418.723221 348.871114 399.693865 415.515918 432.228441 418.059281 381.204372 316.588667 453.832728 386.734092 383.554501 410.2493 347.816598 398.808459 369.15079 445.359831 415.462732 371.901887 536.818533 373.112236 387.693273 421.824607 446.166772 442.920718 398.648394 436.243844 458.139009 418.323472 419.354444 388.243212 437.396454 419.955255 466.02078 506.912708 456.537312 478.598125 437.930994 498.011963 513.234743 430.484322 436.525485 477.285706 514.131245 516.206086 515.413064 450.683675 517.57913 
65536 141.873812 127.83931 111.791625 107.7598 99.655795 101.921752 99.84717 88.031601 96.307991 94.166366 104.581685 108.662589 95.009236 104.257832 97.782338 100.997919 107.03536 105.033788 97.182681 106.594744 119.243366 107.071095 96.896358 100.994198 119.891651 147.053883 122.553384 152.661231 140.875687 147.549159 135.579364 107.238796 121.726808 108.674458 201.777069 137.9719 116.316548 164.046702 148.087422 137.799898 112.027588 210.837691 243.494098 122.917012 141.427867 171.761862 116.549685 134.665091 134.099884 149.425248 171.182606 140.316445 145.592752 143.432588 149.074063 134.692419 179.029605 129.206648 137.814399 142.158019 160.657198 141.468734 178.474215 149.951448 152.854209 173.788907 173.250196 160.044709 176.165082 170.334669 178.146447 175.334081 186.156849 161.202579 173.07178 178.924841 199.750795 180.953425 177.008978 208.89129 201.44295 202.240077 193.175159 186.749451 190.797507 206.826458 183.293031 243.195136 225.721476 193.387447 194.439911 216.499376 199.592973 194.841135 237.879889 211.090845 216.885462 203.175586 200.601427 228.384872 223.940273 260.48217 195.796341 206.66389 273.230103 275.493686 207.733356 242.718527 228.288126 224.189709 248.381561 242.777679 212.206952 260.816033 219.199536 272.675226 229.629354 322.039925 219.690963 233.31718 263.493094 288.111833 246.486418 272.586755 243.734873 271.690316 264.597781 266.865535 238.599644 244.914941 280.514334 249.844167 237.048308 256.986168 280.735732 262.136023 307.405831 244.010675 261.584481 304.468427 302.415656 286.788187 269.205013 297.628727 319.729827 290.096728 278.265056 278.955173 270.46874 341.428229 273.685218 358.06165 323.597738 328.007564 319.982086 343.34685 324.074023 334.077726 302.626855 372.147217 330.671988 343.318044 330.077912 302.080511 384.841836 352.426973 351.774068 390.199877 297.401169 297.301022 365.978257 352.866051 312.437257 337.618442 325.50667 378.965362 305.900046 324.665857 372.144394 314.490091 450.529703 395.092727 351.038914 370.866682 338.583464 433.426538 346.54607 340.80618 370.667094 337.687667 402.539142 339.559262 410.074027 459.751931 415.56461 333.702033 402.936006 469.556492 381.993673 438.849822 403.041414 409.638801 451.980955 439.795597 375.237566 463.337685 414.09623 393.558204 482.049154 487.56168 398.139066 493.934331 438.136932 451.23451 427.484815 487.629361 485.923286 503.309825 541.805307 461.485081 527.79525 458.316718 426.406305 477.515186 434.166823 498.838408 449.263281 509.284458 503.809015 487.561038 489.751355 463.936573 508.965157 475.912464 461.669205 536.13759 500.905613 525.424527 558.654739 560.099958 
131072 266.48022 255.289265 200.412491 194.874433 176.247457 157.033526 158.576136 150.833837 148.701192 154.601919 140.400039 143.179046 143.18745 137.156745 134.924022 132.416583 133.793287 172.293708 152.771128 150.181124 135.431421 133.64143 129.401807 128.319577 121.862367 128.109531 149.516862 142.715204 166.508331 144.932852 170.105187 142.063325 172.312186 173.196561 152.348539 157.855161 164.305952 154.531479 171.128524 137.712971 143.497703 186.282273 169.215741 176.618915 154.787712 183.391188 147.671185 160.30691 207.397054 165.210604 157.401712 135.322359 154.001813 180.62155 163.477902 158.1266 139.163514 147.294656 185.131909 169.940628 165.165117 178.265968 197.283905 177.626919 163.407524 179.231117 157.871969 186.856268 169.537349 184.231876 194.224222 192.683344 190.320384 196.50782 186.950769 168.759855 176.884773 210.4271 213.433019 199.023661 174.732243 205.899032 186.429893 221.629409 240.901978 198.770122 186.101869 250.199908 207.130105 181.882839 212.198101 247.601498 221.074275 220.367798 213.853429 209.895317 222.378161 212.81418 202.005205 271.083282 244.194608 252.519754 288.523197 243.065092 321.441356 260.935682 263.251488 212.547422 269.945299 314.802526 255.844399 226.52322 247.252623 340.562456 229.149088 264.952623 293.464227 274.860732 265.191023 294.719488 290.196553 345.01578 278.500442 266.909032 347.904875 248.918217 314.51832 251.292277 319.212096 264.233316 358.458513 353.48733 303.802754 270.080859 264.787488 271.75691 332.091932 293.004749 314.492719 286.327168 285.113227 323.425032 279.611672 292.635281 260.721916 286.911814 322.972738 257.28468 302.999145 250.139025 346.04316 348.973827 319.404947 390.427819 329.47665 289.541466 380.58425 351.183714 406.647186 367.709224 284.590875 322.78425 332.568413 327.161423 456.169383 331.610256 362.848707 370.37429 362.735347 419.042971 406.5208 387.69199 359.165759 332.092189 364.826865 428.737573 334.585319 400.85642 341.687928 460.017018 355.31671 400.48477 439.257079 342.512321 390.443153 395.560932 373.784582 402.145359 428.422635 479.752017 387.355561 361.990634 378.165795 424.68913 347.102936 402.76516 418.868213 428.887951 422.94886 452.86809 420.174152 380.865889 404.453978 426.421767 446.63934 409.09579 443.760572 429.14515 530.708531 486.280566 444.59016 479.580081 449.698957 564.405022 432.741234 360.775537 412.118458 449.431239 463.182494 418.140437 463.326203 564.164502 471.004987 464.79144 493.551389 464.364681 514.081012 503.949451 427.201891 493.667316 581.922629 500.721168 462.143312 507.364554 474.742917 517.578747 517.121769 610.950617 494.722284 612.550836 
262144 523.469465 696.172226 458.946721 457.72495 398.626839 317.461498 302.467428 295.577752 269.781511 242.481283 247.579237 244.982817 223.529487 232.616798 252.693871 244.845396 182.24371 223.712845 221.698377 191.608427 175.097734 184.276785 198.901253 171.530647 169.982137 162.018248 203.058953 194.824391 258.669273 182.409358 204.266993 198.221019 211.43568 158.9789 179.379379 190.383449 188.623356 176.736703 196.548303 219.498624 222.811721 236.09131 173.377929 195.927348 193.113119 233.948015 179.301366 176.382695 156.215998 276.695695 183.214825 193.788609 247.892184 187.796781 202.819654 239.413965 205.476892 181.574638 281.352711 194.490913 230.826998 204.837972 218.385214 248.616752 197.884267 216.928445 203.119581 236.173878 221.648399 217.246334 236.996858 213.430454 215.364858 223.321754 284.001226 220.879436 241.458842 221.399476 323.834147 234.60522 222.094918 287.927067 224.455888 221.710758 223.306551 352.85957 222.753595 246.18194 226.671292 220.488411 213.222913 242.037715 283.272232 237.3832 239.960823 251.675153 248.172286 290.409484 250.913824 242.439325 237.652587 276.640073 248.59571 331.231165 307.713969 238.170896 255.028026 287.83802 274.066556 325.44271 247.024103 259.461334 397.565968 327.546097 259.113357 342.787225 269.815898 298.750477 302.411937 316.055538 320.490258 252.50487 278.637413 359.643906 260.444766 265.862919 296.941112 281.985602 341.93223 293.484757 262.481434 296.614499 298.775754 316.22016 319.852365 340.010017 334.099858 316.753416 313.54175 329.639478 329.085368 433.483701 307.911308 310.903567 334.243886 351.412618 331.242777 338.078627 386.813064 325.206232 396.09932 350.375936 343.798501 364.558889 339.266779 381.665262 336.044976 392.560591 351.812304 479.943585 302.711734 430.239442 414.494954 431.457041 333.115078 444.260085 333.935943 417.174133 391.899666 457.737268 418.595616 365.768663 370.313856 455.639398 382.962221 344.731893 364.011263 410.062094 401.270606 424.754374 378.649655 461.770764 369.541237 477.665503 364.015625 431.600493 391.373143 427.58772 347.673788 414.601194 449.368239 443.324959 433.379961 505.868843 450.189103 427.026684 474.612746 407.76515 427.111562 404.153413 414.754205 496.666503 487.10528 507.403496 476.272952 464.690843 509.063507 457.123882 502.82956 444.548141 494.898518 438.113259 507.46502 580.348969 513.879438 482.284797 599.488222 479.419375 502.794916 545.404661 517.692173 609.999453 468.867405 528.279236 489.599629 491.353821 567.45335 548.496938 573.895866 439.709308 497.335062 538.905239 472.927715 505.400125 507.649016 583.319925 492.889244 547.602423 587.481087 532.71896 
524288 1037.101263 1444.487964 1044.57334 1110.4538 870.403418 711.576757 677.87257 733.130554 488.089354 501.431171 524.976212 446.498197 542.8536 447.146036 402.30876 387.07963 305.47656 306.670679 269.657113 325.029807 348.725675 325.699071 287.424926 270.325161 329.54427 263.563602 289.141972 285.572769 252.390225 258.154238 219.530769 257.764175 240.830636 261.196343 340.931091 214.405099 255.241726 240.106646 224.696982 230.942157 281.538954 352.566126 300.855598 232.66177 260.269559 242.665151 235.74686 257.096834 297.912804 269.715495 302.897076 252.241771 239.769254 229.334303 233.117401 236.818506 265.128279 258.049794 293.587214 367.770814 241.485724 297.579903 289.827983 278.722353 284.905941 306.869237 224.904846 241.136591 235.063864 375.898813 262.40111 336.383137 265.531172 264.963335 315.679782 226.890318 316.514054 270.873173 268.432072 307.794738 250.423231 308.524118 242.126567 312.695031 273.65359 252.275257 276.545316 320.004732 276.943655 317.574473 348.745884 269.785361 279.673389 305.834544 278.618166 278.364498 297.366012 300.682764 267.708149 320.416478 281.542611 325.793636 302.40135 302.380821 399.572036 274.523726 305.510368 336.137423 355.743021 324.820597 319.373512 376.702676 327.189843 361.239378 349.725917 304.049044 390.959794 313.3838 327.371338 298.045735 313.325613 341.462937 310.362673 299.770031 346.554092 376.990732 356.737745 330.811078 395.991925 327.827609 371.675804 340.796494 297.611341 377.172741 442.336458 440.867115 377.028391 370.963555 380.952758 378.459369 348.201978 369.745891 502.107751 399.011513 405.018863 399.253311 351.629076 402.792877 469.818824 444.449086 401.29261 409.590169 408.100232 375.932557 399.951383 440.409496 407.963646 421.266521 378.930333 447.272294 485.62362 408.53636 416.39529 391.461613 460.439159 436.562822 471.346035 457.655536 465.374929 409.056014 435.557256 448.469811 438.200443 397.700886 486.533337 409.637066 565.476024 472.914819 486.649649 557.551271 431.265859 513.100273 505.273034 480.361427 434.01407 450.383044 464.533088 482.410925 501.759836 494.310086 574.765232 519.036222 520.833719 573.245077 518.025586 518.793652 487.737015 543.306406 557.849784 463.683546 589.957408 584.576273 602.375714 561.210547 509.719751 616.020791 606.151562 534.231159 508.839158 519.376307 618.390166 554.644916 522.679011 592.998551 597.404275 542.191006 546.009966 544.875255 563.07034 570.241336 553.123545 554.308424 622.351293 591.705762 660.92883 615.922314 587.2185 615.626817 622.997849 674.603227 583.709923 629.1772 636.984682 538.796176 566.183913 637.117931 637.948227 625.352276 619.254656 703.190599 
