 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
2 16.250993 21.022656 20.982621 24.229509 26.391022 26.569244 28.592248 28.586283 39.263291 30.006674 30.731112 31.940502 32.041544 36.487042 35.600548 33.129808 36.442584 35.095713 37.911157 38.346386 42.563812 40.554539 39.226273 40.202198 42.819727 44.561152 44.939473 46.110239 48.710188 51.008415 48.792307 49.091912 48.809629 50.947853 51.781804 49.590076 54.492357 67.888641 53.615612 57.096346 58.19789 58.933876 63.044355 57.809622 57.645836 61.341102 60.649447 62.284183 67.245743 65.141264 62.569608 65.984711 71.373352 71.970764 69.240196 85.471621 71.239076 70.049768 72.765645 72.4654 75.20264 75.670973 75.745328 80.016131 97.262234 73.707634 76.655303 78.606709 88.046934 82.025275 84.261849 81.45019 85.717785 95.402763 82.208374 81.397453 95.092956 85.43544 92.35745 94.872971 94.106766 93.621883 90.906261 89.809211 97.148551 94.48188 109.734684 101.202702 102.982556 100.456065 105.902767 108.891367 108.62846 106.170422 99.737144 110.646265 112.014564 111.477585 120.51492 107.099772 116.112341 108.469869 112.044589 112.035543 130.966872 113.191362 113.776648 115.114986 114.382399 136.451361 116.691725 119.538799 117.2339 116.706866 127.07901 128.787138 130.88873 127.345765 126.338596 129.755301 144.590971 120.848718 137.976582 133.910946 130.633906 140.004011 139.799998 149.958249 146.214415 159.604733 139.799997 138.17309 137.271456 138.751639 147.745924 137.500168 140.436159 150.115749 158.775656 149.86965 146.319244 151.402057 164.716352 147.211192 153.919502 146.826903 150.562654 157.844062 154.625787 173.726035 175.558112 175.314386 158.879781 164.163528 177.314164 157.774132 160.136131 163.584401 159.178871 174.595015 167.104012 167.863866 161.997076 168.563797 164.170842 178.133102 187.745072 173.271304 189.403931 176.150711 180.449294 167.728369 187.695095 176.909729 175.405487 192.177419 199.194123 185.232888 201.510955 190.918504 187.280525 211.400524 199.556214 207.614861 209.354297 197.403235 203.848508 198.574513 208.023207 212.157039 218.215588 203.550574 214.615847 208.610676 222.94927 224.964573 223.171889 217.445087 221.333653 222.118078 232.881438 208.545237 231.389769 213.444438 217.415767 231.183318 227.882603 221.306644 228.194718 224.89054 227.341969 224.853585 218.63157 231.465856 229.541269 227.428001 222.739483 222.075606 234.951529 232.038569 229.316468 241.699874 235.13142 233.672215 233.700762 239.088506 245.527429 237.234038 237.529986 251.704729 245.697441 240.358583 249.102278 233.746891 245.7768 247.789216 235.552535 250.024444 229.518814 237.851724 
3 16.392005 21.374224 22.639298 25.614106 26.107392 29.71047 27.153571 29.840706 31.06921 30.336688 30.876554 30.788852 32.138998 33.186522 37.194866 36.674566 38.77186 36.41211 36.777665 39.23474 41.576851 44.311653 44.076717 44.097759 40.819628 43.568737 45.683927 47.148589 48.650781 44.50572 62.662312 46.376738 52.33219 55.05891 51.104904 50.889984 52.368374 50.980508 53.161845 60.175406 54.589744 55.291215 57.970203 61.952821 63.009904 60.152245 63.495815 65.655147 65.243465 64.636684 67.659992 67.448088 64.125947 69.995238 68.155847 67.273587 72.543476 74.305366 71.825516 80.348903 79.637232 80.750899 77.999994 81.900494 78.19958 80.230087 81.169061 79.599189 78.422904 82.212351 83.638904 85.154696 81.751335 85.462447 88.524571 83.557683 89.360446 92.292845 93.640423 100.321533 95.958603 92.602007 92.752839 97.498388 97.583652 94.864116 91.358235 99.471543 97.465541 116.430358 104.399357 101.244402 101.614129 105.358923 107.236358 108.404109 104.316853 110.008627 112.978238 121.19291 111.738505 114.247097 117.993946 117.824255 112.744007 119.672948 116.771278 110.756932 120.370377 114.125138 122.245759 130.768632 140.537077 127.56184 122.42103 120.190936 128.303409 134.945897 127.766303 128.002328 156.041559 136.915778 132.276597 131.39857 142.748244 132.749804 147.877956 132.579793 159.055887 142.834918 151.727517 139.276363 139.805709 138.628463 156.324291 137.994161 148.671039 157.227659 146.587154 147.24481 142.573549 161.636909 141.584149 160.161791 157.173576 154.579275 167.351843 163.166109 158.156305 152.249481 158.535332 158.542196 178.026478 173.371129 162.350058 159.049214 169.529651 155.443571 161.32627 179.778361 162.189157 159.428307 168.222556 167.553289 167.715345 175.761675 173.250387 169.697158 173.443815 178.24794 171.738126 191.957816 182.553708 194.117467 174.697535 175.477917 184.754356 187.917521 180.119407 184.402464 193.7684 208.3427 185.293708 205.998796 191.534392 212.551337 212.795704 219.1885 196.689123 218.374757 222.377521 217.446881 219.190746 211.684153 213.463879 219.572597 232.019772 215.29326 218.865928 225.53504 218.702462 218.245036 231.237016 216.049969 228.000584 216.96187 215.745105 220.989847 225.085699 227.948619 224.023354 229.52632 217.360015 214.950417 232.177143 234.106801 240.73588 234.634539 236.557204 234.452339 232.274403 227.840902 229.059784 233.999467 239.017356 238.397746 233.003398 235.310606 232.616864 244.626948 243.065928 239.79447 233.221396 235.397406 253.040694 236.305842 259.690495 261.952154 246.239038 242.030977 
4 16.253751 21.522422 22.023602 24.067134 28.526873 29.417154 28.207125 32.076318 29.667488 34.255664 35.398524 35.924787 37.89223 37.661979 37.121086 38.026638 43.074038 41.588525 42.076232 47.765826 42.806381 45.324787 43.871805 52.806811 49.188401 45.649865 47.727974 50.551823 51.892536 53.146961 52.823235 60.156416 50.976658 53.705493 50.883632 61.979959 54.848736 53.324991 60.436066 57.280216 59.404069 61.506879 61.710508 64.056723 64.899913 64.44037 70.145938 65.477885 65.866473 66.847726 65.097126 69.085325 71.304771 75.081836 73.428752 73.393467 71.738716 77.517548 76.940345 69.99081 86.182653 81.183944 83.004219 81.028307 82.703331 76.448213 96.824441 83.152159 86.625707 90.40258 84.738393 89.370454 86.716038 90.197541 90.620515 94.732214 97.311634 87.019942 90.794632 90.342466 95.331293 96.294197 98.517557 94.40759 102.075084 95.577457 104.093787 100.529844 106.046091 100.403329 102.515316 102.298342 104.147998 106.57877 100.235052 106.04776 104.172824 105.667638 107.599475 116.360108 117.3642 119.807032 109.301063 122.837653 111.010024 116.75216 114.936827 126.118737 120.36268 126.988872 122.869473 125.442927 131.933495 125.695184 131.433728 123.816082 124.580363 127.982184 131.672385 129.605181 135.256343 139.17455 132.384634 122.841566 128.641058 138.212095 138.133119 144.215085 152.835733 145.892485 137.422988 135.321652 141.307834 155.004815 154.261258 145.439357 147.878468 143.715574 156.166856 164.699032 150.150009 158.040697 145.407217 157.710682 149.015683 152.489871 149.610079 153.797096 163.418175 153.710293 150.549371 158.027672 161.348209 154.770005 161.537083 157.544906 159.684542 158.885233 157.929965 157.372328 168.11362 178.849265 192.65531 175.953562 177.61845 171.856554 174.714279 183.213222 172.669594 172.327454 167.541422 191.563006 180.274279 181.053826 175.745698 186.655655 198.677354 189.52467 206.836724 187.190132 216.776461 209.499993 205.997448 200.009534 205.08343 207.299089 207.11413 221.671687 207.659577 226.980776 217.461059 204.929137 211.339639 212.819827 210.976522 207.426885 209.485688 214.375521 231.66448 227.966389 223.705337 217.047005 225.171538 216.709613 228.556874 224.329247 227.96408 218.432303 219.613207 225.340522 238.662709 227.223153 242.153192 231.118394 234.39524 227.662423 235.195833 236.854498 227.71394 235.074771 224.011037 236.472583 229.261359 236.503248 229.846903 234.539847 236.613146 242.779155 257.113963 232.096307 237.352725 241.286909 239.946643 258.881114 249.124155 248.452644 232.550846 246.943845 251.420393 247.131691 
5 16.654335 22.06851 21.477835 23.905078 27.605544 26.670161 31.626398 31.570517 29.643172 34.947385 34.308208 36.803776 36.371306 38.774364 41.0264 40.442716 39.662846 42.216346 44.144464 48.86294 47.089758 48.531322 55.633417 57.674832 52.424766 57.426296 62.458299 61.245768 57.817962 57.538825 62.202064 60.498362 63.770591 69.977017 67.417807 69.194005 68.605895 68.306805 77.224552 68.659721 75.744237 75.18904 83.413334 78.547107 83.402172 78.381652 85.976588 79.411534 90.862187 88.189489 87.812576 78.630509 83.436301 89.334654 84.090042 90.93603 86.022392 99.004301 92.212714 91.878082 96.067986 95.527353 90.729323 98.042807 97.554973 80.789648 98.591462 100.008134 100.415649 100.336995 92.975262 100.222349 103.885026 96.160433 108.737138 107.448841 102.548741 111.729842 101.110126 113.977837 114.501536 110.265312 112.607935 112.683445 110.768481 110.604823 114.732493 117.756891 120.561816 114.635298 112.662531 119.372893 126.277199 125.619738 130.577579 130.761318 136.618932 122.381318 127.603927 143.479612 138.44947 125.492134 131.161839 134.68408 134.382423 134.762221 130.896237 131.863823 143.158131 142.305383 131.247422 149.783362 138.75395 140.42442 137.927376 143.353161 149.169268 147.546081 153.184608 158.086375 145.011892 138.797703 154.94053 149.119741 153.47523 147.594837 164.31038 155.463009 159.734711 160.531708 160.987147 154.364484 165.854718 160.943009 184.422738 159.30128 165.913742 171.361341 174.222658 180.423889 157.716841 164.488537 168.807906 158.770076 161.364122 161.47094 181.08398 169.097631 171.420943 178.12906 179.089334 179.847839 175.304634 175.395927 179.646842 172.510808 174.471195 182.082361 174.537787 172.225962 173.066264 181.473978 184.725292 175.793944 184.612573 185.940776 189.906329 188.282498 194.463198 189.146348 215.165849 189.344907 200.308624 191.176278 206.359988 194.246548 198.919025 200.460544 201.371418 203.293568 198.751902 209.634719 213.469846 209.828724 228.739522 229.222482 214.764558 223.905501 222.266148 223.023882 226.627601 228.414642 220.383837 231.823521 226.68008 236.5905 217.595337 244.620599 228.630267 238.116685 224.823241 222.234903 239.517703 209.499736 236.457185 240.716953 240.552716 243.766373 240.369939 237.848129 239.728836 245.049475 249.678584 226.203344 229.717823 235.006766 243.461507 251.401404 237.996266 243.019221 241.117152 255.05311 244.481061 245.385198 245.507093 253.759231 238.524132 242.911569 252.343842 236.742291 248.645814 257.03903 256.024226 249.999422 253.082265 255.907912 257.930465 253.298404 253.577352 257.841162 
6 16.919296 20.517177 22.537291 24.812104 27.577829 29.418115 29.457186 27.825658 32.486075 33.875419 33.995965 35.360223 38.434982 39.419379 39.709681 41.007024 44.763689 43.255979 43.786863 47.192729 47.491306 48.492509 49.128287 53.596111 54.873887 55.783669 62.093257 53.720764 53.401785 58.815447 65.707112 61.862042 57.67265 66.583021 63.664287 66.736928 72.337667 70.326469 73.661765 75.576984 73.08161 70.272836 76.164709 70.251601 75.988797 80.216166 82.398658 83.685416 80.80928 85.200054 89.008171 92.389656 88.555493 87.458441 85.505753 87.006532 98.096378 93.578577 105.246976 98.152128 106.009585 107.092909 102.441214 109.655454 105.050338 105.821547 104.34829 113.502577 110.193267 108.767161 104.204262 120.026379 125.129658 118.142657 118.336918 123.364302 128.317909 119.07528 129.784237 131.461828 126.313189 125.645528 126.151455 140.727295 126.498406 138.891626 138.256426 141.078608 139.732892 139.340774 140.79485 143.29151 145.719908 146.645921 138.9962 149.439745 151.189063 164.402313 151.750805 158.68199 150.250282 148.608875 157.823723 155.244048 153.881395 152.902131 164.47545 164.670739 173.032006 172.222369 171.30418 167.441018 185.572654 171.23701 181.526841 168.532874 183.718122 178.369514 171.890044 176.351389 171.092789 184.211026 177.985675 178.950439 176.164954 182.069594 202.345548 190.726293 195.828613 215.823118 206.821071 192.66891 202.888557 195.280343 199.496422 189.784306 220.245903 217.761305 207.523697 192.495499 199.282977 212.981946 206.44929 209.050651 211.756392 214.962348 197.951054 207.178028 231.160863 220.450944 214.147451 224.91774 225.526638 204.746359 206.180481 255.83189 232.259005 227.923662 226.197892 235.110379 200.621958 237.380762 235.498067 243.136241 237.083787 229.341169 227.530775 243.126362 235.140146 249.132879 250.549938 251.147349 238.398839 201.138598 235.168054 253.981592 248.859452 269.144516 270.00028 227.616488 253.867782 271.197605 247.324669 265.943755 265.154327 287.148224 248.29264 265.510387 257.965045 280.039586 278.108905 287.031269 295.384197 283.123071 284.934362 266.02459 278.136104 279.774947 297.418683 290.834253 284.098742 301.793415 278.921427 287.0654 278.268843 286.963715 289.65502 310.727972 266.696743 301.273888 262.662991 302.360097 304.223997 287.525777 296.601924 290.971996 274.96601 300.960299 297.264773 304.642672 322.133654 304.223546 291.351025 327.47867 285.194318 303.278736 301.76615 310.442803 311.336742 335.271843 308.845982 276.961296 327.453328 256.710428 309.219366 307.252951 330.800108 326.981211 325.432443 309.190624 
7 18.813989 22.705635 22.944227 25.030937 28.380215 27.447786 31.418341 31.073381 32.357639 32.743914 37.276343 35.095135 37.311885 39.47141 39.063639 42.634255 41.687453 39.815664 42.212817 45.965185 49.45259 47.682294 47.959575 55.679161 51.200751 56.161413 51.97863 52.782944 56.601006 60.571755 58.770665 69.10239 58.383299 60.586959 63.661335 63.32574 68.220386 68.242392 67.848801 67.596735 72.160343 72.202749 71.477349 79.361685 82.055236 80.8377 78.975344 87.201948 85.631434 86.399947 88.184867 89.927897 90.000971 92.460804 87.205157 90.21249 88.600978 95.189063 101.58744 100.801734 93.578 102.691484 98.200758 103.732915 98.681921 100.915096 102.860021 103.529094 112.177326 101.324662 109.507961 105.338074 117.572062 106.628041 121.7798 123.072654 113.114758 114.349873 122.378239 112.678889 122.036613 125.744519 123.0459 129.291975 133.616027 128.329263 121.133567 132.638431 126.073826 122.175829 135.941904 139.586106 136.948112 135.961921 140.200647 132.985637 145.208142 135.902898 135.660649 144.983214 147.589963 152.339106 143.752335 155.237954 154.060709 150.313153 138.970344 154.464053 146.463143 158.242144 160.450297 163.670368 156.124384 162.789133 161.26436 156.063565 157.658974 157.098066 167.994741 176.398991 190.343417 174.39934 163.091434 191.522459 182.76542 189.591777 182.281819 183.923739 193.781679 195.108278 186.540241 192.780668 195.539978 195.0209 189.900875 189.792261 179.077336 218.61643 225.131057 188.539568 193.024908 186.475699 193.424656 211.437605 206.705974 199.36516 215.786356 222.160098 209.621631 222.882869 210.898381 236.243227 229.477113 229.708329 213.02756 228.157122 237.008598 232.742733 230.312925 221.191164 227.414656 224.482318 226.252807 229.884626 234.704789 221.208678 245.627575 242.875836 251.606892 247.437518 263.269514 255.495844 248.742817 243.229265 235.994755 250.41457 253.340941 261.90641 244.124165 265.976154 256.563063 259.01629 275.327332 304.30836 285.88777 265.26711 282.854454 257.926872 282.339931 280.943981 287.653703 273.880636 266.070268 290.524771 277.159922 267.451592 295.190639 291.845596 284.545325 285.400319 300.777008 305.813116 303.996566 307.425846 308.620222 311.495461 328.201248 324.144851 296.107096 283.47817 285.956802 321.80781 301.795278 280.31616 316.315494 306.643861 325.571019 310.763962 345.396412 343.341781 315.139211 314.683388 315.055744 334.462912 329.589757 306.902856 308.834371 328.284072 323.693071 320.737061 321.909305 331.990504 346.624724 343.858037 312.474338 352.919235 336.488865 349.95694 311.347326 330.560038 
8 27.31492 31.451896 29.683267 30.794114 30.071857 32.369443 33.155984 34.073464 31.826433 41.13123 34.364281 37.196725 40.036356 36.011911 40.49943 39.586246 41.525396 44.461583 46.570038 50.273005 50.702651 56.035605 48.855757 49.245948 54.769122 60.442418 53.331535 52.447797 55.077835 55.034339 58.729863 54.360904 59.939057 65.428742 66.617473 65.728091 67.242727 69.078781 84.782212 68.258432 70.946079 78.455558 72.002585 79.762398 79.196871 75.56422 75.839956 81.387447 83.912525 87.730266 81.625333 86.166871 80.830066 82.963351 98.741521 94.23591 94.669085 99.902856 94.829025 97.847201 88.869083 100.856521 100.74765 98.108118 100.674193 101.583463 111.256314 102.321053 102.569719 110.40716 102.646704 109.991177 104.83792 111.897481 102.611932 103.358891 114.272824 113.685675 117.004483 119.685649 123.549968 118.131751 114.76996 121.023796 122.476588 116.461729 128.609748 129.016813 123.188646 126.833615 128.311428 134.127214 127.827699 138.117594 134.548072 138.054465 140.090492 144.714082 139.000497 144.634083 145.889983 138.400006 141.0192 153.932527 153.073489 155.720464 154.453529 145.836925 140.818267 155.371204 158.60911 151.541018 151.295561 150.516333 162.497869 155.33996 176.158538 153.017096 145.686226 171.840259 165.139968 182.943642 177.486932 166.007538 158.144756 171.175165 166.899678 171.913013 181.130107 176.87592 179.453863 179.086896 171.927062 184.215004 169.278163 178.648716 202.716171 195.95301 190.374852 168.612683 187.907258 186.683563 185.081738 183.235677 194.27375 193.170731 204.923556 195.148569 196.798316 206.542188 188.264022 203.966812 208.842981 216.423737 206.571506 198.441776 211.984526 209.391892 208.876471 226.34333 215.950081 223.992689 208.318385 209.948888 215.242128 220.436764 228.376468 219.289029 223.520058 221.015443 258.463979 241.037023 228.03555 231.531614 224.018672 242.057668 243.880183 224.959763 228.966311 238.425974 247.705109 256.611694 237.44543 258.147245 264.674447 246.879689 270.078549 258.385837 260.972249 260.519636 273.896931 246.624546 269.854198 260.106412 278.912639 267.085201 256.233949 266.529233 275.147698 263.715328 273.584238 282.145285 282.212134 277.168069 278.891787 265.641327 304.253121 269.125975 295.464581 288.425489 304.437312 293.344963 257.191849 280.958478 287.318045 308.695349 270.045125 288.362679 293.154487 292.020993 306.319171 324.153835 299.76862 313.050579 288.94521 294.526122 299.1594 305.542575 284.275617 326.227581 325.407424 306.081414 313.571198 327.961566 307.45369 317.075669 313.067581 309.32394 326.741975 328.69537 
9 66.202004 71.082216 56.030219 48.790832 47.820743 48.471019 45.365977 41.167541 44.840546 43.306407 43.000194 41.637348 44.789479 43.571494 46.59846 44.952176 48.894185 46.046663 48.649945 49.91457 50.985192 49.378425 56.001413 50.803824 51.90389 55.080146 54.557218 57.594577 56.881361 56.76736 65.513878 60.08918 61.100008 67.540214 66.022112 65.933129 71.054438 66.42629 73.096622 70.575071 70.131695 74.374335 73.579452 74.916252 76.569913 79.426611 81.229431 81.138524 79.196358 81.016438 88.447712 87.707748 80.404398 87.009803 100.166662 82.940062 94.373716 89.18851 96.509694 93.841228 97.333446 97.961716 108.054593 91.477756 95.763507 99.920242 106.816657 102.463863 104.107004 105.307343 107.314949 110.059437 115.273256 107.638868 114.601168 121.740538 110.20366 123.331199 102.28147 117.774599 115.446797 131.181148 121.364397 120.420675 133.148464 122.480757 124.597298 125.312242 123.055398 131.501986 129.478346 131.037505 131.224644 140.124367 143.473133 130.47262 135.063235 138.0383 139.554798 139.538502 137.134228 141.904926 147.300046 140.054756 151.600041 149.41973 151.248917 156.510791 165.077931 150.435303 154.259974 148.842848 155.255212 164.767805 165.647756 154.863288 155.379929 157.754371 161.846439 164.619286 162.445456 164.175076 173.304471 158.530008 168.720463 187.864336 179.102037 166.598213 169.135546 171.955739 177.290297 184.917373 163.508185 171.080471 192.243242 176.855263 187.840599 182.264305 191.98059 176.741579 175.036017 184.561249 185.911071 186.8231 184.338053 196.009402 190.686583 184.410869 187.270838 183.743272 184.493051 196.544711 203.88758 201.745058 204.453619 211.03221 201.220459 211.399627 218.224505 223.74787 205.733706 208.37696 217.994959 219.828126 217.833609 214.1402 225.05914 213.992197 217.921436 230.285339 212.549283 227.12538 232.314437 215.75877 227.935081 215.222884 232.714058 238.923561 231.436857 232.26914 254.556807 248.087859 244.142899 242.965717 230.752772 261.593013 259.111047 257.548422 267.473276 244.753782 253.432682 247.331598 256.955628 262.902419 270.467585 274.120191 244.147454 255.336292 273.35835 256.952486 260.840026 265.896729 259.474805 271.337016 279.388091 282.336723 268.866403 291.907186 280.129018 268.959492 270.71548 278.803767 277.489358 309.789001 296.468224 283.953109 281.952627 274.142004 280.997999 293.035608 282.650954 296.217761 305.087459 298.925621 292.930201 303.026094 283.00554 301.871941 299.262885 283.015677 310.106951 301.452432 296.57408 284.872965 296.24458 302.077176 305.394634 311.924594 294.279511 286.825845 
10 253.396883 304.854704 180.55592 147.130933 123.661597 112.043177 100.004479 93.102162 85.435759 81.216665 79.82559 79.729936 77.822477 74.738158 77.541477 74.151074 71.799599 76.217702 71.921045 70.069657 70.606828 71.336079 73.78693 72.295453 76.607317 73.807589 74.463445 78.048431 75.671358 73.757931 74.597144 73.427148 81.168677 76.010865 76.483881 82.513688 81.763523 82.210812 82.068709 86.420283 96.23248 84.285715 90.468084 84.137774 91.208882 85.971134 90.187469 94.908898 90.944563 91.857427 93.840137 102.295519 96.90707 98.576835 96.614333 101.423653 93.636638 102.521154 101.311124 98.548607 109.138106 110.869718 104.681768 101.214443 104.42906 111.262153 113.346233 110.603023 106.616108 106.533091 122.039307 105.448741 108.419635 124.417407 122.512131 123.20738 124.077642 121.777301 132.674168 118.056239 120.918261 136.84572 131.546834 117.820341 134.16051 131.569095 132.663003 134.245579 128.593391 128.823002 135.293489 137.176697 143.589767 141.272164 130.454979 138.638599 131.411851 147.852036 153.283598 141.84571 151.687677 146.620388 153.484532 151.982019 146.594598 166.6922 163.004182 154.170542 146.201841 160.538703 159.183106 168.503747 155.405525 160.724943 155.318788 151.41104 156.931454 165.696193 159.188623 166.594493 160.764722 168.657463 167.866879 166.361802 181.991133 173.232426 158.952597 165.923302 184.957919 174.77683 182.855622 188.396632 180.355755 177.26778 192.322281 175.608023 181.69865 198.131649 190.553653 187.091717 196.997901 187.731856 180.16977 200.134251 197.633806 181.759469 207.952315 211.395455 207.203434 207.265279 186.139206 203.279837 196.958574 189.030933 213.935867 198.217556 206.133265 198.68255 203.734569 221.85934 219.986654 221.037642 221.758552 205.946125 226.073815 218.708557 225.154859 218.336009 227.860214 245.397066 206.957594 259.905992 225.411412 225.981817 236.177277 252.85689 234.891095 228.994411 273.402616 252.090301 219.873356 266.406697 232.424909 256.276997 263.969254 278.666218 259.56366 261.398624 274.063349 280.97734 274.968193 270.650107 263.389741 262.565798 277.596881 267.185154 279.04884 283.267293 267.073653 277.543184 295.081643 267.445882 291.213923 281.870764 278.604436 261.852907 280.645788 295.458682 275.668187 272.839976 283.77938 299.453295 279.059682 293.870203 294.390756 285.170453 284.614998 308.488449 309.202302 301.023684 294.03758 295.238887 303.859723 318.701549 316.239344 305.394505 306.680366 308.168248 321.290979 320.786719 293.805084 300.172282 310.798414 303.93196 304.804728 304.700027 310.346379 311.204067 316.72705 322.0482 
11 1252.486266 2512.846606 1752.05771 1252.058993 962.669254 761.021392 601.515651 500.96361 429.180562 362.797255 307.257056 269.046936 232.876048 222.279877 213.929836 204.564418 195.913231 188.355508 186.159223 177.105402 170.56088 166.622656 166.040257 165.537794 157.60303 155.693327 146.965093 151.586696 148.587253 146.211398 145.427167 141.434476 139.493978 139.542094 142.661379 143.166793 141.58986 142.932433 143.63166 135.447717 137.713932 140.41268 137.69969 139.814561 134.006602 135.186863 136.675838 137.748128 133.048831 132.928541 132.512175 142.568418 138.216843 141.025232 136.916163 135.71595 136.923606 134.765813 141.658443 144.583657 142.572458 139.951147 140.891597 145.112488 139.949671 139.34501 150.571827 145.349219 142.521328 154.308153 146.589849 140.927845 149.332223 153.642481 158.893766 145.24131 154.694367 155.554688 164.173665 160.025461 158.302257 158.91019 154.641246 163.396041 154.968503 165.050793 157.691756 163.962788 165.144845 155.253799 167.358067 164.773772 164.153455 169.127334 167.305202 162.537581 179.602383 161.265836 173.554227 187.826228 183.032433 183.118721 173.925428 164.52267 176.460259 182.387164 180.104396 185.630393 183.463043 178.901425 177.506758 187.792804 178.006331 188.37206 189.064677 178.584048 198.278116 186.421681 201.080219 195.542224 198.591001 178.058492 194.381785 195.026289 191.327235 202.617051 220.479941 197.267289 205.738197 205.734284 203.190022 209.549777 188.90134 196.906352 202.361329 195.123482 212.260458 200.4259 224.966177 210.290384 225.616259 208.421355 219.043637 201.807736 225.289649 221.412308 229.029569 211.212998 229.361185 211.478216 221.830405 243.16434 225.079154 226.870236 225.874293 264.636082 270.666403 284.903567 237.541791 234.316459 229.688954 228.357927 231.951319 229.028735 239.834565 258.100027 241.784494 252.86369 238.864221 271.937185 233.434326 290.429307 278.265635 270.845267 295.700417 298.726164 301.9318 246.476091 327.637389 284.00514 316.466002 323.601587 331.785463 242.921386 332.378193 314.106186 341.469286 336.65169 326.947724 272.630189 332.516767 343.333954 338.84605 339.187099 334.171968 318.635855 326.300206 326.352106 347.819292 352.80998 347.351088 352.767638 353.587667 343.886843 348.028438 344.455 355.555304 355.579489 368.095952 346.403197 317.191468 371.110854 361.508125 372.880188 341.731425 367.171926 349.127157 373.378865 367.199 356.558432 359.755087 384.389031 391.300649 365.45257 373.764886 364.373418 380.49918 364.479466 387.904792 391.942776 368.751231 388.378321 391.053138 406.908359 374.738568 371.761195 397.753174 397.711922 402.416285 398.977765 
