 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
1 1531.925103 815.946154 540.253588 405.804508 339.342931 287.542266 286.351356 226.422624 217.848171 191.163767 187.839894 182.04592 157.847269 171.066744 178.371824 143.791598 168.25842 151.230507 168.647134 154.278835 152.928435 176.76506 130.490006 122.122133 146.174254 140.231761 167.327656 174.986617 172.410598 148.462729 133.115233 146.0394 146.495478 124.389629 126.322684 127.175562 119.06617 127.428845 134.115537 111.710789 125.850826 119.518657 125.634623 121.355221 134.879688 159.678959 143.101867 132.865348 124.334197 138.568414 124.291343 139.877754 160.17937 131.43918 140.327737 139.162937 131.794728 138.277662 131.87595 144.810316 148.137656 139.661166 136.788175 136.523726 157.827829 147.344568 150.825817 150.446982 199.439389 145.376676 148.984952 143.02456 155.654705 180.446022 154.293463 163.476492 159.950272 169.564808 164.784228 158.040376 161.242933 153.693419 187.348594 161.367202 177.731748 167.082263 212.360219 190.574823 174.273021 170.295342 167.456224 175.316695 188.675513 184.75737 210.354731 198.99768 187.842781 201.715546 191.274885 194.068774 231.441221 203.000506 186.827462 187.033657 206.853468 194.570853 210.619885 219.092332 243.052198 207.132286 217.308436 217.973019 216.72315 205.100174 200.104739 244.35724 246.01597 224.761139 225.021413 255.797694 325.692977 214.979415 234.104555 220.939357 226.632029 283.214685 230.972248 266.665435 295.567102 256.770671 225.920996 269.279947 248.844888 281.038543 237.51786 267.623335 257.606867 265.996746 268.621009 328.600229 256.925987 268.888472 338.791968 287.696301 260.346095 291.524693 250.463392 249.569713 284.659266 268.242431 349.503619 385.508153 312.178969 258.7129 317.005869 291.877287 359.190458 265.715298 268.339625 280.512409 376.14626 398.741933 289.795776 325.93683 298.996448 305.854242 278.441162 308.766494 276.148196 308.656599 274.451871 363.861076 298.731359 397.537999 343.510702 439.827866 482.332269 321.204818 317.004776 514.44368 441.678999 298.002045 425.401893 352.153482 396.068657 365.669607 346.106288 334.533034 440.855568 351.795111 374.81331 433.241066 481.964277 396.48823 413.92731 441.56987 552.662719 639.63839 383.677744 557.942422 634.589003 448.060951 415.25192 397.932422 416.800622 564.292942 328.199837 368.915982 477.89306 452.782893 512.077192 529.338244 485.63029 375.018989 514.971483 385.058232 514.986946 581.436462 622.314469 733.978811 412.277241 651.597795 413.790852 584.10717 453.130421 509.929025 693.006944 434.916732 467.619011 640.954982 508.429847 633.476746 425.540726 675.479201 571.995785 845.09764 687.871714 754.693908 525.751205 605.161712 
2 2432.248587 1235.066046 823.995884 631.119689 510.510781 431.338482 386.64145 338.735318 331.580681 297.774934 254.809449 279.96292 265.41518 222.461114 209.232916 204.097623 196.189546 188.121086 169.273416 187.388884 181.677605 190.493796 191.27142 170.890315 207.454602 180.279476 160.378572 148.479922 242.39833 171.343828 150.611025 146.763646 159.171752 131.206298 167.821201 152.580972 140.509939 146.071157 151.622943 151.586118 147.652193 161.236069 149.003621 148.696061 142.293706 143.784028 150.655166 163.79791 146.565021 144.103393 151.469548 153.989239 155.573357 143.699408 161.792099 151.065884 157.753538 156.780628 149.896339 148.214962 146.353503 160.883407 149.237915 165.355978 166.167668 168.095079 161.057652 159.072823 182.178851 169.156204 176.280176 161.378171 275.632583 162.960364 170.575571 165.378367 163.802399 174.318378 194.513367 180.16406 181.816438 184.486573 176.322518 172.021435 184.738382 175.469962 187.77837 185.384679 194.575534 201.105109 187.370408 195.23736 186.272906 198.126199 196.967813 198.229422 228.05659 189.9028 187.272892 209.400103 208.356751 214.196915 200.029805 214.266329 206.240915 225.571609 197.158737 217.66982 252.282509 210.944957 213.411848 258.436713 208.919712 230.340127 224.6787 236.462446 227.870734 237.490852 229.756123 238.88385 230.38343 234.819243 248.813068 230.1075 274.239069 278.208472 220.924215 258.281779 308.796584 244.23727 318.762883 230.16274 257.616941 247.583599 257.73428 294.470756 294.012176 286.015631 275.433637 275.616671 322.054232 277.828034 319.43805 282.05457 260.677907 254.990688 277.783831 276.595935 290.111355 326.914041 322.100615 302.76729 313.424411 316.559092 326.134045 277.171084 363.0558 451.749291 387.708478 397.849791 303.211695 334.430642 392.308588 332.379347 369.411836 373.784198 370.632259 322.673969 404.666398 323.786416 358.054016 355.49442 326.306172 377.94889 359.699658 435.327709 364.11917 362.595938 433.233112 407.937662 372.076903 371.400709 328.205354 446.692396 392.251811 407.402674 471.855362 375.828819 573.132807 435.667603 481.479969 440.629613 635.90155 494.842831 524.421206 566.388248 411.310554 447.89896 344.367044 427.477373 478.752674 425.465599 560.062877 583.195143 510.053357 573.753184 555.015479 566.679769 774.462137 430.713357 503.620976 482.963877 528.685017 404.283903 356.186076 535.42765 413.540904 459.174021 425.764112 569.334055 655.729766 658.174654 656.643655 433.890188 542.481822 718.274418 691.418336 404.973251 622.34552 722.693869 406.474157 628.316562 739.056237 662.832824 527.605286 814.533781 684.535587 674.677198 779.626877 432.877819 
3 3260.852985 1667.251954 1102.082717 840.269907 684.782969 580.330555 494.918085 450.966984 410.854923 361.066865 329.355977 317.325102 295.191795 284.027082 291.732683 307.05131 239.341918 265.110829 224.524983 215.041644 215.714119 214.601541 216.080252 213.871327 201.453922 209.226114 197.783866 182.601053 183.968007 198.620898 192.122823 207.38897 210.652666 191.403259 177.026685 166.60373 164.435417 167.769236 178.01602 165.528107 188.992184 194.295881 182.198034 162.473491 182.863385 165.066382 175.387586 164.321028 172.500609 166.105438 163.28037 179.084459 170.472217 160.085127 189.934814 182.423345 164.759978 168.982924 190.939224 167.571959 183.80037 178.750273 174.501027 169.597463 180.118703 174.346285 164.511954 172.907866 172.369603 172.6098 183.031021 196.497106 176.098296 184.704185 188.270245 195.814754 229.785507 184.509092 190.798853 184.608661 203.410651 195.206821 207.058765 193.275497 191.300994 191.800251 211.855832 191.69664 200.870815 197.570421 200.288224 213.757003 211.237441 217.127261 212.936076 208.401852 218.100302 201.932774 217.792808 212.582259 222.152207 212.855303 215.150578 229.847864 227.095739 227.152775 213.661348 212.63846 223.907682 220.711798 221.382283 226.183071 226.539515 243.581798 241.832224 229.016287 245.561304 228.63931 235.320935 232.970998 243.437576 259.613509 250.077564 271.708473 295.373098 242.190852 257.088558 234.562814 279.463729 255.273419 265.493386 273.634856 316.671813 264.853697 252.510387 271.944245 281.138561 285.982593 288.084185 267.217234 267.314621 296.141675 297.820871 262.329515 282.658589 321.592056 270.962863 300.781113 304.880433 299.778755 283.910703 300.829424 314.097845 355.32011 298.064146 493.294514 318.385522 350.412954 327.645985 364.976028 340.060121 347.793117 317.197628 313.493762 392.171684 440.795197 356.254659 358.607674 348.122232 354.793014 420.806018 344.955345 434.299048 406.525612 391.969338 357.177464 394.443992 349.079682 361.052111 421.207819 409.301598 456.144941 408.484905 372.143623 444.268296 403.606874 422.185479 406.997408 546.531226 396.199338 466.637696 565.206832 387.915956 533.392267 388.138252 422.312953 493.947932 566.973084 601.064063 433.094728 555.207494 442.159968 413.914159 706.07315 514.459976 644.825972 491.337077 643.624089 393.533439 387.983704 586.359786 680.484835 747.606889 617.880262 601.004079 394.117377 666.157789 582.470831 508.376793 416.163178 636.815697 647.913819 613.192965 747.281751 433.65044 691.116936 611.673452 461.940389 597.665385 579.221187 545.923805 410.900282 665.161847 616.039205 611.18042 760.977254 532.737372 472.859776 464.437431 492.885717 
4 4121.833178 2082.453447 1407.167932 1063.922832 857.985176 717.621835 624.814272 574.44208 497.96577 456.254388 407.48152 398.726599 357.391871 335.560732 334.914371 302.745798 289.901056 287.763214 269.495444 332.302105 250.024123 318.785658 257.835708 251.399222 236.719258 230.346031 221.923751 222.316379 217.492047 232.058201 293.287479 204.878903 286.950179 212.465625 204.178394 207.758954 219.748446 194.311666 209.846431 199.510471 187.504619 205.916996 186.786275 180.863223 187.518347 180.104652 183.732108 197.399256 181.572905 173.873142 198.692687 186.94461 201.6043 189.501509 189.431709 190.929988 199.804493 185.685888 186.182319 189.858981 202.482777 196.296044 195.532857 199.544987 190.628907 196.175177 203.859671 215.599089 199.816748 181.416817 199.624282 189.609739 224.291458 201.102801 212.132532 196.804668 192.386627 204.990852 209.296302 207.372932 204.990403 206.995508 197.092209 220.829844 200.384071 234.155942 209.326197 214.78573 224.474752 214.70034 221.198477 219.451406 218.846168 200.988028 224.740033 229.548389 231.796447 221.342506 226.956845 222.182615 218.437244 226.721526 219.366402 241.143649 234.697092 258.320785 227.122429 233.906828 230.9002 244.217447 230.937219 240.881641 278.627532 231.041469 247.45144 245.64156 237.462751 239.215662 241.387052 272.306719 258.488229 267.502852 256.398698 252.96435 255.888025 262.016694 257.516088 272.881677 251.942232 257.556954 254.701925 267.045233 285.61171 279.120052 263.571686 275.862193 279.903001 345.677026 270.835771 276.699159 274.41588 302.030791 284.577276 281.685292 289.627306 305.314248 322.268122 303.229913 297.884832 281.580271 343.145467 310.426443 338.003501 289.309994 314.18407 306.620828 367.11964 333.332178 334.085167 328.053755 338.248383 317.524563 318.557458 425.836287 348.335741 374.55438 342.749438 431.686139 352.15656 372.0216 354.731039 352.93258 347.11904 464.058275 391.947972 393.654243 365.767186 505.203874 456.070711 342.321587 426.751267 400.015152 398.894812 454.946909 393.930813 368.437514 422.089632 393.967702 410.408595 394.316836 423.326091 542.89838 427.754011 433.12103 443.083672 406.232037 514.670148 453.753238 411.389078 567.446806 430.998141 468.322664 468.071496 424.573653 432.685034 568.735361 616.052997 574.847605 511.961393 479.756764 571.655314 587.428159 431.656179 461.312631 571.115384 572.300266 428.154338 407.320362 593.580951 649.093823 666.903527 453.516572 783.554643 717.979114 407.591035 683.367323 488.897838 735.836099 494.109538 554.135527 535.21164 445.253717 679.064122 493.820198 531.745406 695.08993 552.254757 697.886899 678.502637 487.938396 
5 4996.955137 2511.914176 1680.640925 1280.154359 1031.284001 864.769064 742.576808 668.756071 593.29206 537.644337 500.74234 511.4733 433.862472 417.010154 373.732359 399.885367 348.113892 356.184792 317.542783 329.400948 327.558865 286.210084 315.345215 286.689902 382.076047 255.32718 364.039106 286.522135 283.342163 254.061273 241.102461 233.857877 228.134219 233.074609 217.69651 219.725415 212.54813 220.542878 215.722714 230.678611 249.755185 210.471045 227.687378 220.179181 224.359207 207.326676 218.638436 207.169945 210.969528 211.921912 205.322086 203.621144 204.686116 218.09196 217.530284 212.999587 221.559799 205.59173 213.474528 213.28219 206.849234 206.886057 217.684641 207.023479 206.085017 216.217287 208.87923 198.104642 206.82139 202.266317 210.163871 195.283551 232.284346 208.929013 215.751134 216.27246 203.772102 207.938973 221.325954 223.368138 225.254812 215.080071 211.90767 213.705229 219.771219 222.241189 236.751465 238.531577 234.164988 230.593797 229.466077 231.731521 210.366601 225.958398 240.584602 222.326323 248.138283 239.869273 271.568486 224.107718 250.113362 247.592903 252.411332 231.389254 252.008696 236.944763 247.45144 258.367104 241.973623 251.914579 244.910515 266.785212 258.710592 243.657757 350.555569 262.127618 265.181528 254.181371 325.399019 341.754456 252.829944 269.31536 255.073574 365.753907 267.198691 266.635604 272.362021 307.825597 297.116448 266.717657 277.994709 267.335406 292.270366 273.613814 275.067696 339.575109 277.813983 282.642998 289.649695 356.050772 288.011111 357.354084 297.681718 292.775011 290.419491 315.715966 292.654655 289.48732 301.052618 296.847703 324.262063 303.573848 336.4122 360.259667 349.673888 307.139972 320.461579 307.873392 335.140709 308.52367 344.394566 345.941665 325.218423 329.982 349.899136 341.395701 386.524175 364.589428 340.80092 394.444697 362.215692 377.617462 374.463344 403.777014 350.412311 379.307373 402.862227 433.942023 412.051159 415.011401 367.240765 390.883448 477.118516 373.515388 356.03358 393.599582 391.161304 512.829731 387.022983 435.040423 482.154306 376.399991 398.059257 426.078601 427.234932 464.030688 586.729125 422.075389 513.442413 397.164615 464.274156 435.677227 499.399957 479.987081 567.758728 651.066847 448.725725 515.935736 611.345748 653.731402 543.275483 578.931717 669.930493 474.383202 594.419715 623.502813 605.892053 555.179844 767.397125 591.926905 678.073311 732.090214 483.105596 682.625433 745.946041 484.269304 665.400373 561.545566 528.209114 447.936812 839.285834 581.707646 487.224545 712.464343 752.591992 574.194252 704.192317 635.641273 771.476874 597.7425 
6 5842.987132 2937.153307 1966.930561 1483.212222 1202.546096 1009.024373 866.752096 766.137631 693.315466 633.006875 570.794354 521.956497 497.194625 462.281179 438.943873 427.21716 396.757553 381.568518 387.126273 357.025995 376.665209 334.600715 330.121024 322.852448 297.145959 286.006392 288.952139 435.883806 300.377065 325.527071 254.604345 347.786958 274.631634 274.163943 251.069786 268.500783 248.569918 264.269563 235.289948 233.744516 232.337082 231.725683 244.114735 228.096112 218.220144 238.860112 232.653432 221.733339 215.381347 220.137097 226.035128 218.34159 222.578839 223.221287 220.459348 221.821038 228.21114 225.298692 227.097602 231.209171 215.172072 215.478927 231.810497 206.976773 220.791926 218.751026 215.335217 244.370714 207.358433 230.908606 212.407757 224.666637 314.282867 216.739636 220.074034 222.591477 215.572785 232.304235 228.229555 218.465987 231.771299 228.748374 227.687508 243.392091 244.522119 234.877942 252.781379 230.677327 235.943624 236.60115 231.358717 307.754706 238.082682 254.768647 238.517013 264.594894 237.94231 236.371795 244.686227 237.727263 238.679195 251.361885 250.796869 253.41305 251.108471 245.993901 256.749627 247.678291 294.026868 252.021911 271.40534 253.725934 270.021451 267.335599 270.91263 270.579215 251.334234 275.048385 324.216769 268.244292 283.051923 271.392445 277.242105 272.067357 281.43156 277.09089 282.989629 281.370419 278.905838 279.941302 286.451051 293.834724 294.0422 286.941452 288.421961 290.638004 290.153378 303.822 300.738898 294.158257 369.288594 292.966322 318.618147 337.809882 281.147608 305.842307 307.744763 344.824341 311.688373 317.968259 385.015698 319.797641 307.79429 341.198169 363.004414 328.293054 336.134151 338.433341 335.699244 322.640222 352.685647 395.184278 423.423671 352.070271 336.818493 396.553089 332.495852 367.926903 370.882335 414.11554 376.872431 388.903046 378.946436 356.945415 380.970528 372.329032 378.766094 383.230325 387.9651 421.608083 415.618566 524.252477 455.588458 566.232736 390.418518 410.396149 397.960267 388.859165 447.214746 447.56683 422.52024 475.204256 437.559984 499.370191 431.006994 460.533789 567.855409 442.396892 537.890692 445.358034 486.283774 428.509244 402.559287 473.538469 528.90154 485.301688 533.118902 477.039221 467.963521 488.157486 576.803693 476.512893 491.874312 564.366206 492.027708 619.120316 701.662938 503.442306 463.254605 535.128174 652.162553 627.901413 582.718344 467.861966 655.501438 562.961982 486.268186 545.764508 664.873661 641.181643 648.47787 492.136641 536.043411 543.790135 718.615723 532.955883 801.120238 603.076672 515.526682 717.274562 
7 6728.714375 3383.324122 2262.84577 1704.378045 1371.064922 1143.696969 1031.315825 889.647758 801.58055 707.491234 656.293434 613.428478 561.336355 519.52412 488.499241 505.324485 456.395786 495.500226 415.792682 390.781893 371.765816 365.540719 359.949092 356.596283 355.939015 357.109524 334.419671 319.713339 319.490784 314.717326 317.61226 360.358595 278.314777 293.535826 277.798778 302.568538 280.663624 264.692153 284.165913 275.644771 267.110351 273.675146 261.389643 249.276524 251.504051 254.333097 246.034446 242.419245 241.907095 259.271691 233.06043 238.30408 279.003033 221.432132 233.786088 236.502351 226.716198 232.277995 217.063814 237.501053 245.415734 227.505628 243.983665 241.865201 239.145604 220.745672 245.845638 247.133424 291.795619 240.484776 229.765168 242.362852 234.005818 233.582523 245.073018 253.952594 244.609627 235.378865 233.527285 223.594222 243.040715 253.13327 242.119191 230.201938 244.543354 239.995977 246.863971 259.094623 249.683908 268.223698 262.740557 247.473509 255.782681 260.563582 269.959156 340.482583 259.535946 246.346048 257.589995 256.401778 270.06668 261.37463 259.546788 293.66176 274.718116 276.955395 255.484296 259.003267 282.527456 279.701746 279.771611 266.259076 279.620333 264.098398 273.580518 277.129897 278.239009 312.353471 286.71383 277.293108 284.521653 295.608226 294.905857 308.981735 308.946836 282.605788 300.383416 293.090331 281.897389 303.103847 304.864201 320.489037 296.030622 295.30426 285.52215 334.645433 309.335936 306.272723 339.56972 307.277071 344.38366 331.945403 354.413215 324.848954 332.86218 311.785057 331.88683 317.894287 329.045784 300.513011 323.000711 398.864403 303.571026 340.47931 358.737524 337.820468 328.718018 334.451363 369.724913 354.24455 356.614825 343.908463 363.267127 361.335098 449.643015 368.507057 343.148162 383.875919 361.006753 359.190138 372.854912 358.120737 378.749158 497.690867 410.143957 424.827128 369.163557 393.521954 414.965276 390.073363 400.120432 397.003586 402.988678 394.043537 474.082443 412.316567 429.496975 417.886447 421.066101 423.410457 419.868583 497.204956 411.579362 445.643974 604.176803 441.185452 431.699355 525.742864 464.055709 536.175378 492.453117 567.425955 501.59868 509.411807 580.38188 497.531698 573.161867 457.818617 479.055872 474.311667 451.356726 529.860594 514.044636 487.179059 574.319611 483.921906 692.01472 494.453795 659.116065 511.940287 444.925051 601.855673 511.089589 597.128599 476.638508 433.858687 522.368821 519.180956 523.376249 616.29127 513.986962 660.556986 556.322829 531.939154 531.14472 551.187344 640.636644 527.021539 594.915827 712.713329 
8 7557.353418 3811.103664 2542.138656 1915.962949 1539.793339 1296.354928 1112.290817 988.430979 877.072659 798.349636 743.63216 684.325929 636.326002 588.501218 565.005254 534.535573 528.762066 502.006899 459.737559 422.697372 414.467688 402.287077 405.133444 393.096286 379.284598 384.546532 380.242175 342.259677 348.633099 332.115349 333.813984 344.808239 311.713973 321.035127 307.771193 308.380155 317.607191 320.324352 287.571584 279.157774 273.313247 296.582483 275.863669 270.859252 280.735285 257.725682 272.631023 288.914094 279.782325 274.440003 273.552418 291.662176 283.431851 292.963241 274.969603 242.30909 273.602265 274.915969 277.003126 251.545367 260.884036 248.35269 244.682957 244.264856 254.722582 249.161428 239.194039 261.342808 250.161992 251.855814 237.923898 255.332569 238.760865 241.766082 251.307416 254.655605 255.65546 225.180071 282.238758 253.741076 255.752207 254.085267 260.211498 255.23531 267.526523 250.629041 270.214687 254.973624 254.967911 260.026796 258.870272 261.52039 249.50543 271.4174 258.189331 254.575412 260.957687 269.617274 280.562324 279.698987 275.268438 270.725618 281.09468 304.910391 272.301266 286.943121 281.798848 313.381105 292.321177 275.31354 285.486224 284.133962 285.828492 295.136173 290.36496 286.900331 387.409772 293.158016 290.024297 280.756455 304.868817 293.086163 313.152008 288.606214 288.860717 297.50805 298.476088 319.330526 301.370441 294.771963 343.049106 302.144346 299.828219 308.849385 326.477529 315.625891 310.387694 314.218523 329.64756 310.948346 319.415084 306.403215 332.71289 313.278393 321.334987 341.623644 324.555956 330.284107 336.788149 340.315264 368.969232 366.431256 335.522434 348.076747 347.815378 333.701905 360.177483 339.217829 343.432753 355.516489 346.443166 347.012412 364.979298 364.00132 375.748049 353.326942 355.643516 354.955967 394.134379 387.498178 371.436058 405.661506 372.336346 394.74289 405.616854 367.330583 409.502662 412.437371 406.765872 403.472214 415.076712 389.501997 465.345995 455.488312 409.459422 419.305237 431.276829 440.572323 440.226207 493.847848 468.81685 463.625421 443.794639 465.244312 457.419252 435.047096 461.251106 467.515272 548.444906 457.93833 506.388177 469.776353 482.515178 450.759378 468.486003 503.627392 541.168374 584.913214 458.726283 578.171353 536.675081 543.689989 531.346298 484.503664 531.200024 506.653906 472.76181 487.095144 633.318987 508.590109 554.392146 492.411611 496.495721 558.652107 536.593733 506.087738 505.243202 555.444226 579.685029 557.760929 511.884791 513.475838 538.49144 636.718503 679.465925 545.943885 757.206541 585.464949 566.094866 587.385752 
9 8416.977049 4243.317993 2833.810519 2131.929261 1713.821863 1440.661369 1230.135665 1143.030977 972.170172 885.624528 806.223581 749.968885 697.624824 652.138365 626.990412 582.557957 543.663236 528.169915 503.883307 471.685286 471.120786 437.05162 455.355767 421.061418 398.854459 411.255634 415.640249 438.718368 377.722292 418.75575 349.218001 374.550466 335.838717 330.518594 366.408095 329.606758 350.380684 350.011983 332.086544 316.779912 295.608161 305.121912 301.388471 298.655143 297.799378 286.533171 294.967766 291.485172 308.759181 271.611406 308.400812 334.047635 279.131471 283.439229 324.494689 284.326172 289.858906 293.641295 330.476187 281.3241 333.053104 261.738645 260.868063 256.381376 252.421917 261.240291 248.317918 265.348652 255.360477 267.082571 259.744194 274.550414 262.669793 257.241697 259.350155 263.037722 258.099963 272.180463 268.835352 252.669044 275.72612 270.068798 254.306025 263.012959 263.737718 268.81232 272.711988 270.905187 273.021022 284.24784 273.324412 280.386409 290.166656 291.656467 286.957171 304.615342 284.021113 285.387873 286.274626 285.832084 284.33958 274.823073 284.384552 290.805707 304.377199 304.732745 300.85329 307.960258 295.223039 294.897196 296.928408 303.501738 288.498625 291.798314 300.791186 289.82548 302.069412 303.389468 327.765508 298.701591 295.06387 314.32412 316.829759 300.453282 306.084751 297.915241 311.03072 312.764321 318.296859 314.75396 317.976597 321.301754 308.73089 319.934162 316.766377 354.617934 326.966327 338.104033 349.069097 358.567896 339.214236 340.499262 332.451458 343.648892 338.465804 348.959713 334.418132 349.447804 331.336443 339.045508 354.616907 340.370054 351.545482 347.120195 356.530652 377.031149 356.367058 373.147266 390.271217 361.615263 364.193591 353.442292 380.755866 369.389896 389.258465 385.794348 362.605176 380.430022 350.909641 433.659997 365.441792 438.821147 412.534567 397.336935 434.543989 403.612135 405.8532 438.311047 426.506387 430.754544 416.780543 515.660383 433.702149 407.638318 418.074806 466.320062 448.766143 454.013581 449.963407 522.146587 467.940235 445.838876 473.244449 576.781112 611.151678 464.000728 446.469906 428.856196 479.393198 522.611264 542.102537 513.737013 542.928532 543.406808 502.211746 498.292835 477.870413 519.305673 669.660654 459.703365 521.611599 489.752573 544.820787 479.407313 717.471196 491.911264 535.686966 508.898951 584.031661 484.482556 504.64316 704.470364 494.153164 544.956026 559.425882 558.919569 595.363435 735.416013 554.23702 652.920096 566.373363 608.743362 578.910868 594.949958 595.151596 553.463117 551.337981 585.720671 537.250295 582.417583 
10 9277.850553 4664.914592 3119.799076 2348.452439 1894.585839 1593.447188 1363.97944 1198.635202 1069.417328 1000.696019 901.234036 843.145081 795.637737 707.538645 661.448421 635.097367 609.658469 614.625741 544.670535 540.334358 508.846087 502.937212 480.327616 489.452202 440.332703 426.42382 415.968082 404.012848 402.389276 416.8182 386.986479 370.778725 397.990098 345.581756 352.210707 372.017174 342.120076 353.703018 352.569974 341.346558 341.468133 314.084501 326.614435 335.238803 354.131061 308.765534 292.730232 302.856337 324.55121 302.104696 302.992603 323.876106 315.55019 309.700016 307.000113 322.274666 316.390169 329.534969 332.857688 311.377031 311.287918 267.731563 276.714493 295.872159 273.519764 262.909734 266.894277 262.40958 267.197025 276.680812 274.120062 271.036384 268.231524 265.220791 272.294016 283.884016 274.508649 273.68804 299.994702 281.838751 265.745644 273.211433 274.20077 281.425784 283.777133 265.742628 288.760827 281.959746 292.957082 285.652191 275.294612 294.523301 285.324104 290.851256 286.730254 287.537838 298.93826 294.573531 292.241753 384.765491 295.889545 282.696825 272.765491 302.04144 297.050369 306.249949 300.317467 301.275495 302.099757 303.280466 317.73114 325.647426 304.325938 303.186352 292.84603 327.198825 303.234273 372.102691 320.336736 312.930609 321.934709 304.420951 320.208936 323.973748 319.972718 396.143395 334.481068 309.464182 322.01933 318.979792 327.022528 318.85302 331.952138 340.998838 329.703438 330.109863 343.436666 328.754906 376.965454 342.871524 325.884544 341.784546 338.319144 364.741027 332.757285 351.659229 336.886691 345.346307 362.430416 344.298654 378.201594 355.061052 380.233385 347.076762 378.616038 359.849332 383.315522 465.462438 359.708958 365.74749 428.010952 374.045693 377.774323 372.933757 431.6982 389.577315 449.5038 408.999752 384.097255 417.861364 377.348204 411.738274 491.14044 471.59085 418.07269 438.226941 428.898923 463.511802 436.316916 447.959265 395.972101 492.93781 394.549782 468.365968 442.468169 441.474921 491.117217 473.69347 467.604062 456.164892 488.41366 493.897697 432.737576 435.6966 514.388058 477.214429 486.094388 457.392244 493.07228 481.551055 459.262428 492.33225 462.987463 500.914018 484.579237 542.007203 550.207696 573.330914 504.792319 525.889523 606.494856 576.600838 666.21354 520.844048 496.870836 516.956185 480.019158 544.824958 691.951593 548.797182 525.163159 556.097708 578.186685 512.285634 520.68212 698.407262 704.644417 497.295031 523.285982 531.540624 512.992237 498.202311 552.284203 546.087467 613.266935 555.524483 601.724541 588.088444 566.046173 738.396593 
