 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
20 28.454057 37.266719 38.35357 39.517857 38.326112 42.893888 37.770849 46.166055 37.595515 40.749633 41.830391 40.143304 44.063822 62.892759 48.293886 47.058899 47.241166 48.522087 52.515032 50.023892 52.138505 54.821858 57.405252 56.592985 58.271861 59.157135 63.46765 71.1857 64.855965 59.273255 69.529407 75.259932 67.627594 64.271129 72.560029 76.34999 68.52583 76.532318 74.549414 81.564835 85.050444 77.193179 81.161427 82.768255 81.523518 83.711271 89.682825 91.776847 86.804892 90.654197 88.002668 91.089617 82.637059 95.392242 94.199406 104.6486 99.467371 96.289643 102.593969 94.232061 111.516463 101.313754 108.514778 108.075187 107.509723 114.222526 113.132979 113.423923 111.936937 117.291253 122.741806 115.444486 121.161989 119.665315 128.766866 128.649204 132.951507 130.058563 129.947637 126.300874 120.911397 127.357315 120.500932 128.304564 144.144323 153.850859 142.813427 149.712534 150.878295 146.402838 138.908949 146.570987 148.913675 139.733277 140.569474 150.858021 149.846232 139.101862 150.814783 155.568865 160.076208 159.656763 155.647264 168.27805 160.211062 164.456011 165.076584 180.022662 173.419116 177.851784 175.221233 179.326387 183.793507 170.482931 183.357957 170.377074 185.976766 183.347113 176.37628 189.505424 182.332437 183.180826 192.288919 181.633019 191.445215 190.998568 205.615082 194.966368 193.645157 204.64153 201.839685 181.516641 208.39537 188.422421 200.917584 213.944657 209.204495 203.472048 211.260922 208.153122 212.963983 210.826591 220.017703 224.8788 215.626419 219.755246 219.15405 230.257304 219.865143 230.736476 230.911686 246.174368 224.677865 223.356078 214.2943 237.819647 224.009241 244.840779 242.201759 238.028534 238.998366 220.558019 218.758982 256.777918 233.14011 253.449874 256.435395 257.656716 260.600279 256.332171 250.248922 251.157612 254.317764 252.567486 255.773315 256.112632 254.950654 256.858049 259.185081 276.994466 252.521679 272.551919 260.606823 292.332018 259.762606 274.516604 273.279502 284.779686 264.318513 272.541333 283.536166 280.836971 278.020881 277.752649 269.194106 272.537612 281.021865 288.342729 267.732526 267.584585 278.550291 265.703301 297.803356 291.704068 306.425606 296.932643 309.333946 290.429051 315.79372 290.333267 300.06123 319.341625 334.604887 306.81695 305.460327 308.842713 314.149812 316.643775 319.949302 326.619184 306.448701 303.973663 313.275058 333.064909 326.395026 304.022612 328.779157 326.593587 311.151718 321.739871 341.126891 326.624253 330.230666 332.172255 358.796994 347.837 345.886043 322.992949 322.56933 349.735732 
21 36.028143 48.262706 47.876108 48.139979 44.092305 45.367196 45.022296 46.282046 54.888129 42.501838 44.788838 49.468823 46.313548 60.972918 49.501735 49.036675 51.910628 50.01767 53.849137 53.736673 58.992514 54.959276 59.2909 59.63676 57.87955 61.196819 60.901449 66.238317 61.845874 62.940938 68.590434 69.952382 78.210359 70.86518 73.919923 73.318085 74.37767 73.897149 77.90947 75.545035 76.950032 82.052027 85.072128 84.636323 87.354445 83.573209 92.329029 97.307078 92.998616 91.401604 93.769952 95.874816 92.8415 91.389414 96.332499 95.150762 96.417056 108.649694 100.755606 105.478574 108.685366 100.494238 105.353471 106.483562 110.595838 106.032425 105.778114 110.133859 109.874351 122.655133 118.504428 109.434184 130.369586 109.196296 116.54231 119.505054 132.787528 120.132233 130.235118 137.390973 121.916773 140.937083 140.900387 139.69087 137.974658 134.758886 150.574201 143.10841 147.898422 142.620255 147.4528 143.412056 143.222414 147.375042 156.168588 152.949542 155.421885 155.280681 155.124015 165.523424 165.817575 168.144799 160.314866 177.92447 155.762486 155.189964 169.723657 168.05216 170.203856 172.444858 180.46405 176.869697 168.319879 175.504413 171.702199 182.250511 172.312442 173.065621 181.886881 183.249598 182.544919 176.295893 183.243312 185.630072 188.006697 189.645024 196.024734 201.513969 194.749845 198.309423 193.106256 204.002161 196.327929 192.904037 208.593096 203.275028 210.000914 210.186773 205.203399 219.450509 210.214167 213.969741 212.913043 222.58968 224.665162 221.105968 230.226443 227.685838 220.3984 229.843181 224.575729 223.622769 225.653792 218.471632 221.145358 235.082213 226.264613 246.283625 231.723695 248.119487 231.961454 234.706523 249.899213 251.665723 263.009751 230.304071 245.276197 255.68228 266.959458 240.459242 278.070474 258.246944 236.074435 264.423407 270.037618 276.353812 257.486385 256.97186 253.055962 265.654672 260.918231 255.067223 270.839171 273.833864 278.043529 275.683072 267.19343 272.641479 263.456079 277.94704 302.452739 273.811668 263.428685 291.108518 266.335164 311.07223 286.972184 293.847167 284.78315 286.012679 290.550625 293.864235 295.652429 307.125279 277.73937 307.673421 302.699543 301.206909 284.482389 307.127398 308.446939 307.479802 340.584332 310.52999 310.805792 288.13339 328.460307 328.160894 325.728454 310.439338 311.215423 307.288682 320.027379 324.660272 331.79977 332.000126 318.743378 351.551384 335.409585 317.737298 326.800486 332.585927 330.489466 327.362549 329.741354 331.548667 345.274387 334.711962 350.382415 345.051706 
22 48.53928 69.692746 67.840525 64.517292 53.555884 50.861566 51.290506 53.153632 49.555302 57.502704 50.441284 52.248919 51.580293 67.280835 73.219607 53.744052 57.66566 56.058894 56.198625 62.853687 60.380188 62.75585 60.195293 64.100027 63.478687 63.026521 72.488561 65.442408 66.757458 73.85115 74.532669 86.303649 73.378647 73.089692 79.755407 73.022845 81.404448 74.252631 76.962221 86.311091 86.816697 88.786129 88.018128 81.423309 93.057381 87.00852 95.215622 89.215519 90.984467 92.778693 89.080153 89.579408 92.122 92.478959 102.370774 96.763813 100.175452 102.885106 111.067956 104.310245 104.484298 111.931482 101.601812 109.415 104.301008 109.814622 113.10937 119.15958 127.212773 119.463994 118.778689 118.591997 120.000395 123.837638 121.117848 127.362446 124.053585 118.987707 135.049827 124.992492 127.519946 137.373716 129.709366 125.995492 142.936794 136.029411 146.504779 153.048085 138.939615 147.0347 139.824953 144.666287 139.662513 149.193519 144.183328 142.438631 152.087361 153.530658 138.568156 144.946069 158.102989 157.079204 165.668155 157.45881 163.235909 165.187314 164.155508 162.662941 170.507566 171.000534 174.892823 181.214149 175.368595 184.729974 179.748269 181.00526 174.324408 180.174516 185.872322 184.279736 185.458842 184.737033 187.382339 194.651815 194.002502 203.477435 201.888636 201.839235 200.258904 174.265257 201.681287 187.985012 212.759905 193.011178 195.098848 192.07323 201.887994 217.238699 214.096512 209.084397 223.529487 206.073406 205.44456 201.257286 212.241019 210.173044 216.832726 239.759247 216.728539 223.94361 227.54534 219.028049 229.546787 227.174652 217.068943 249.926734 236.856165 227.903324 249.476301 222.128534 231.94253 250.435998 235.569343 231.114157 238.412439 245.571439 237.825612 238.803143 254.21762 253.243681 263.257645 249.08162 251.918685 252.479015 257.905893 252.233174 246.595805 258.96272 258.344073 257.62188 268.831246 269.169792 268.419114 263.431954 289.171996 265.776952 268.227547 276.708399 261.788751 296.704316 271.637068 279.488431 292.117099 279.308988 292.688402 293.822918 290.035909 296.960422 286.98187 281.636662 298.7388 294.441758 289.987214 288.658757 293.737079 295.339865 296.227708 293.542817 286.607847 293.662147 306.298322 313.945607 308.912642 313.821209 296.782456 306.415789 310.776347 354.788008 322.512171 306.917097 311.885843 321.310159 332.556865 332.805336 337.653985 311.003903 350.18764 307.434701 324.966998 352.061675 350.080886 345.367864 321.122763 336.042667 334.349999 328.508359 345.42387 330.415177 332.477249 353.77609 
23 68.326244 89.36545 85.203903 86.32976 69.675873 70.031421 65.671185 65.850371 58.049499 61.083969 62.210916 62.76047 58.626638 61.557562 69.837928 68.572149 63.637854 60.775384 65.286126 71.325045 63.95106 65.214531 68.107603 68.851095 85.531351 66.824886 63.656844 73.203183 71.170237 72.576324 78.407443 74.607025 73.762231 80.659415 77.156932 72.70348 78.071014 86.456275 84.045454 88.929068 86.670551 82.271631 84.630741 90.316869 92.517196 89.150017 93.393425 93.594231 93.680263 90.464555 96.849652 97.309837 101.156895 100.007622 104.571741 104.585341 103.764928 100.446251 100.72757 113.410387 113.767152 107.335029 114.904429 108.138763 120.597806 121.553398 121.188099 119.205385 113.699277 119.016384 116.690443 123.038587 127.067848 118.734616 121.994078 126.452278 146.587349 136.49428 129.782503 129.354077 137.36435 132.179016 124.332979 135.812888 138.977146 136.108899 140.984622 148.453106 153.636706 147.894508 149.896469 145.479262 143.799938 154.503634 156.126823 162.447188 142.470133 165.675727 160.543258 160.678111 146.516713 149.98808 166.915076 161.196228 168.477828 177.863652 166.977049 173.605487 165.874224 174.965061 174.504876 174.917907 168.711481 170.120135 182.917788 185.86071 171.478297 187.020184 181.57252 190.885783 183.220087 166.454507 186.311399 205.122502 186.735849 181.47417 198.116061 197.097534 211.528642 186.7533 178.801664 204.873258 206.355434 197.664923 201.664541 187.307984 208.308827 209.954146 211.210176 201.461555 204.295029 214.970305 203.339631 215.737535 211.327259 211.147625 206.145581 221.580202 234.399283 225.130672 226.048089 219.193569 232.625139 237.913889 227.848921 222.714976 226.71992 233.147361 241.900166 236.126273 251.643781 255.902844 257.057378 252.32511 248.474329 243.665008 249.727277 259.507396 263.76447 251.833231 258.305193 250.236668 267.02528 253.10626 253.814468 249.878169 264.996634 250.614349 256.808201 248.080288 261.522765 278.001381 266.743769 267.901573 275.630337 268.788582 296.046661 268.658412 289.501753 276.765947 275.784886 267.519018 274.245292 262.778665 280.99787 306.588752 299.362711 287.093116 302.021296 309.821847 293.129595 298.751825 296.961001 307.539849 300.2365 306.539224 289.700249 294.090317 301.735804 304.130971 314.155266 290.424881 307.099875 312.358923 310.276128 322.143214 314.919544 320.297535 319.813037 342.12585 310.043758 334.236383 335.075591 305.824537 332.371777 313.332669 306.063708 325.477481 345.466211 315.806552 323.103423 324.615365 335.34838 338.517705 341.122785 335.189275 334.344224 336.167384 361.785338 362.356832 
24 97.149384 130.782361 127.897757 120.545777 94.090086 90.230581 89.264341 97.888773 81.531859 79.494037 79.64942 78.722058 74.05914 73.347277 100.078449 76.707141 76.488244 73.199076 74.482242 83.776324 76.533921 74.146649 80.244138 76.572608 74.63506 80.606486 78.600485 74.035981 81.137305 80.131034 81.952461 83.297469 84.048085 88.595462 87.701267 81.513191 83.936839 90.307374 87.43945 91.34611 98.241241 88.894872 90.676587 92.738466 96.581676 95.340275 99.024767 96.011531 94.149943 99.22461 100.370996 110.175816 107.627254 106.008174 111.975494 107.636494 101.984432 106.37405 107.719511 107.927565 116.257461 115.555091 112.668241 126.642433 122.775809 115.348511 121.692358 128.917373 124.120113 122.115395 131.094988 128.231618 136.338126 116.122477 117.469799 147.655146 125.538197 126.860177 131.297206 136.048274 136.303996 146.56977 141.297697 133.937251 147.323334 145.636761 148.197063 143.508355 140.060466 147.890786 151.735665 157.769322 152.328327 154.69841 150.914094 158.451224 158.325415 152.77812 154.669796 160.010193 154.843913 155.236158 165.331728 159.127997 165.297727 181.552953 173.53543 174.726597 169.433675 175.998087 170.37592 165.401721 180.683139 168.812461 177.21222 179.101332 196.994823 194.551797 181.95296 198.175019 189.531726 179.694382 206.81382 196.954405 194.83472 196.868051 197.019009 204.574488 179.817432 203.305243 194.593242 202.951107 206.663185 207.606713 208.917016 207.026815 214.754358 196.419286 210.165088 220.611137 213.635236 225.168201 224.270992 225.091727 208.599192 215.170596 221.487818 248.801262 225.287145 234.360405 238.688883 234.489357 253.100486 215.828185 232.651571 228.366202 259.051317 257.973384 248.196217 238.392103 244.14925 246.560454 236.390912 259.322053 244.566641 246.664833 253.771869 233.386083 266.287626 250.81047 256.252167 248.646714 261.603985 254.106823 277.634413 262.763202 268.832529 254.18368 268.418537 256.782089 265.039488 269.006517 269.629593 264.056954 277.826557 276.740218 290.661164 275.300899 278.509551 298.162689 273.610156 297.735353 292.239186 278.613418 299.122642 278.633629 293.206066 287.618801 297.424457 283.179207 310.798031 269.244212 294.28195 290.486981 289.636608 313.639009 308.017165 325.510521 329.375414 324.359706 283.986085 291.463104 321.629458 323.968168 339.514867 328.410395 341.313006 318.46764 312.017618 338.531178 321.57666 311.789868 312.273918 323.061659 331.607562 321.459191 339.740629 328.921776 354.524204 346.935236 339.949262 310.212164 348.903128 324.179432 350.275598 336.929867 349.897403 349.629043 339.48048 350.450355 
25 146.751008 197.67153 187.660515 180.711624 139.794673 126.336222 127.483635 122.222406 104.27201 106.761803 107.325598 99.567068 98.89389 101.255116 97.042952 98.635665 91.472111 93.217513 91.180781 93.223543 89.571131 90.456535 90.405468 92.154015 88.254412 93.310859 91.015838 93.942335 99.958349 90.395716 94.857123 95.467754 100.210353 95.305056 102.407854 98.659916 94.448969 102.03858 104.630187 102.628229 95.930502 98.568365 97.278658 107.536413 105.012743 104.015775 100.123934 104.331738 109.594571 101.72377 110.420309 112.793277 118.465934 105.736669 113.562499 121.870132 117.224855 115.224499 113.706975 118.082416 118.632546 131.003697 121.103157 124.864249 130.756956 126.440345 138.22236 130.927288 125.219539 127.380024 124.130057 135.268918 144.147337 122.942291 131.125335 138.748753 132.779315 148.288613 146.030097 158.226105 137.765834 158.678397 149.908528 145.854825 145.548934 155.620192 149.289687 148.040846 155.782821 151.176745 162.453989 144.885953 160.70339 155.004879 158.520962 156.575845 157.690859 159.998133 165.124058 170.0103 161.071897 170.457204 172.239945 177.830804 166.985838 174.633893 162.623871 173.314414 178.176472 174.407554 176.388598 171.43172 197.472072 191.692919 179.026977 188.1948 193.077 194.690821 191.631971 182.196366 186.594451 198.282928 184.435441 192.825576 198.846531 200.209825 207.558213 207.292994 213.578717 214.160858 201.337736 211.646109 201.234188 214.470534 209.495566 216.074285 202.999802 211.250915 221.228953 208.517009 217.966729 214.431403 218.727097 227.726708 223.120434 228.769932 227.734275 239.691049 225.516755 233.526389 226.93484 227.790989 250.596642 219.704884 244.819414 220.801037 254.546349 243.590779 253.899731 262.546808 241.09874 241.54 256.377656 254.55719 260.068498 252.752318 259.429063 226.844703 263.863526 257.601863 270.175488 263.734639 268.675285 280.769992 270.684495 248.046607 257.441347 286.412879 273.287779 270.704062 270.407664 277.149016 283.68879 281.056508 266.38835 267.393981 271.898244 293.806559 283.82974 305.74088 272.018341 296.010736 271.818564 289.383773 289.299409 287.690399 305.422221 286.521815 277.714735 300.82089 304.790869 302.080639 294.370995 298.099239 308.593085 292.082904 322.186068 322.447502 307.329358 274.92957 319.765819 339.700981 316.894686 325.604124 315.679974 340.943024 342.787994 316.974111 342.315108 330.216873 335.93957 324.742647 338.247741 343.933163 314.15148 332.699738 329.966091 323.159493 363.52086 329.709855 352.545532 348.986594 339.949004 325.26718 349.168665 349.330017 356.012985 355.463755 357.466996 364.357122 
26 225.762536 403.819293 338.726594 354.21658 190.457934 181.590228 176.773014 173.128814 166.326067 147.218377 147.580789 142.20344 135.537214 134.843634 135.708444 134.463003 121.680744 118.374193 111.442557 117.262705 116.160265 110.356027 123.56421 117.518426 120.802076 113.301257 108.815793 105.604702 115.478618 115.338889 119.491518 113.895206 110.116087 108.192718 112.299669 117.593298 117.138759 117.634356 111.352163 119.024853 118.378684 115.496582 125.524019 117.868137 120.153918 120.402776 120.186766 128.331381 124.529038 113.135867 114.356738 118.900906 122.675919 122.00197 123.996936 125.459736 120.928014 118.734103 132.853991 119.678272 128.557784 123.057384 135.523805 128.425497 133.933016 131.081259 134.172122 138.442862 133.268949 138.35837 138.500023 142.276256 139.63852 139.870184 150.272737 152.473705 147.669837 148.782991 144.238246 141.202172 154.809526 149.029987 155.929289 153.264159 149.339409 152.933374 147.139979 156.058111 153.549262 162.548424 161.727302 163.664659 177.304156 161.87595 171.491193 161.585586 169.871981 168.495471 170.353915 165.764519 176.977606 170.762133 176.480275 173.248464 164.866539 192.207056 183.635941 176.831717 178.65802 183.027621 190.70461 187.806469 189.720728 190.859222 200.687139 188.329076 192.601868 191.820011 194.912926 198.910301 193.893437 195.727695 206.322329 201.543674 216.90567 218.691556 206.157449 204.984888 205.596928 194.172512 206.189335 217.375156 232.719702 213.271927 213.843997 217.363865 207.467496 231.433714 204.898215 223.628673 223.900754 212.783513 228.170146 240.411254 226.969677 219.586904 226.033846 237.766846 232.141858 243.099095 240.488625 236.042872 259.712116 249.426966 239.51193 240.572798 254.26766 236.63188 236.792267 241.421248 242.219209 241.058707 270.922445 246.986636 270.270821 271.200751 260.781965 278.009784 262.28544 266.155851 254.289409 269.269232 277.949349 262.895362 277.915796 274.06489 280.579707 266.41709 241.259128 278.039487 280.862697 273.873065 281.548256 280.498809 285.074478 282.617659 290.914512 304.776886 294.61331 309.138466 288.992747 286.540741 296.961961 295.473887 296.075212 287.484655 327.320014 301.401877 291.937145 300.105947 304.414794 322.132306 302.894574 320.435021 283.348897 305.828962 319.736114 321.273655 342.757331 287.231371 320.484226 317.203464 326.108318 328.136451 326.523081 349.566749 333.707615 332.972718 321.882615 334.810951 319.307367 315.907405 344.053581 317.087087 342.255379 351.173641 351.237795 335.646573 328.96123 348.688081 356.332092 360.200066 363.569747 334.546314 359.250763 342.24473 359.981168 354.805395 364.938624 359.520663 
27 354.772545 806.906832 726.567231 716.274769 390.550997 329.08832 302.621466 283.932388 234.434569 203.482888 196.804345 211.937373 182.64391 192.192043 189.901133 177.011415 174.833353 165.672392 167.686155 164.247057 156.27226 146.686338 146.716813 142.944558 141.66627 147.412638 140.304192 145.345625 139.960066 139.296188 151.052027 139.640316 134.826311 140.19115 135.33737 133.773143 140.376432 141.666396 136.682574 142.980422 138.843447 141.179717 139.844009 136.42018 144.133096 146.86623 131.203025 141.340683 141.871117 140.604631 146.312763 140.743974 148.295349 137.263818 148.190582 146.399372 148.491406 151.437601 144.735705 149.954271 149.749423 152.243387 162.63298 150.772952 139.162041 148.559988 157.210145 153.96531 164.330781 154.313543 167.319637 160.157236 151.872123 157.878833 169.027701 166.151821 164.689792 176.046587 169.723271 159.504972 170.569734 163.636941 168.006802 168.727007 171.191396 165.022372 179.688351 172.030865 164.641035 173.912084 173.709033 176.34786 172.039589 181.562449 184.571255 191.087425 169.769719 176.842431 181.910554 184.332985 201.901275 192.215912 182.484613 179.42865 185.252455 191.203287 199.14883 191.548955 190.467364 190.870965 204.829827 191.657635 212.672525 207.693963 196.125393 206.370253 192.285776 199.555892 203.740921 210.392777 210.6229 209.416719 221.873967 214.101835 217.697214 224.24347 223.2542 225.332246 217.523291 213.943311 207.09142 212.306136 230.561717 248.012925 223.911469 245.393729 225.863 222.163949 230.571085 210.478037 252.843673 231.348965 235.06008 227.51493 260.879161 230.942092 258.895293 247.918553 252.597318 239.97205 238.588801 232.237962 273.461446 262.258622 285.277913 278.769509 254.391607 252.201161 254.877774 276.935507 289.842224 277.535485 283.731198 291.409982 251.786848 280.823112 282.277765 299.867162 286.280016 279.105616 301.57003 298.908299 293.132739 284.128573 304.880751 289.63154 278.149386 285.661302 298.471082 286.818211 299.620292 306.214538 292.115046 295.095113 312.810125 300.686357 308.139123 312.822957 342.757328 313.967356 314.158666 318.592744 317.285326 300.356729 304.01222 305.775586 308.945681 338.753731 315.505024 305.035814 296.393806 321.535921 324.023792 322.297826 335.057886 336.686141 334.947668 331.317453 338.037632 326.391627 333.982006 349.421565 340.862701 331.89241 334.293991 320.126112 367.561284 335.739662 334.914307 359.767918 341.477564 350.70101 337.232038 326.993978 354.127467 340.14564 361.312003 372.82989 355.726085 371.315318 367.375426 355.706132 365.366154 368.520338 345.124394 381.688422 380.52202 383.88862 379.392312 355.568455 
28 563.682763 1483.919019 1386.102677 1304.457841 795.822055 686.631084 622.705366 664.126895 473.468413 437.259675 371.533381 425.389639 349.317955 321.087478 328.653029 267.757483 247.759064 228.403029 228.433055 221.0898 213.298679 209.128535 206.404575 205.575951 198.455376 189.979786 188.094588 192.150088 193.424658 175.07932 181.067683 188.514741 177.215172 191.25782 182.254873 175.585056 180.48028 174.659683 177.974896 178.995411 166.683154 165.800318 170.834052 169.092948 181.737398 168.741825 173.66451 167.646956 167.482654 174.020057 166.070026 167.695266 164.063254 167.230527 170.063228 176.442554 173.417705 164.924984 167.397907 173.81303 175.797473 171.008745 181.480265 187.550554 169.152932 170.375279 172.064032 178.346355 175.036466 168.698907 174.158504 175.806327 179.663393 172.166232 174.365789 170.625291 179.258512 178.410958 177.245966 183.332486 197.453275 184.739344 189.553348 188.44975 196.954596 182.922728 186.103024 201.049935 186.5566 192.302714 205.145531 178.638196 196.521678 208.649426 204.303496 194.090265 190.032458 187.763292 194.407833 202.54122 204.426035 216.08256 198.096813 207.780124 204.075169 210.96119 212.153962 206.564898 201.968572 207.309995 199.356305 208.718392 217.363158 209.691559 212.151845 229.485709 219.008996 218.322855 222.303294 234.761054 234.071964 225.062731 233.443757 224.976443 206.411249 220.477312 228.65689 237.112338 228.969646 228.056978 235.575952 237.842998 260.75765 236.461806 235.840976 243.674054 247.434566 224.617107 267.342464 249.33933 260.310234 250.594911 252.294635 252.7681 270.478684 249.357422 273.305933 253.598395 275.330282 249.484834 276.1328 294.281498 249.5615 285.610492 289.993503 289.123174 283.373662 270.772065 275.964264 261.237852 289.429515 315.827212 302.548264 310.71713 303.737507 299.10532 317.671283 294.068761 315.461525 305.566184 312.155167 311.434768 320.872301 314.875404 305.365059 322.097534 304.440584 317.946189 306.157372 309.124482 295.240745 318.081812 320.130091 318.597683 339.458667 318.28743 329.66809 321.353337 338.806531 318.547192 340.216531 348.434988 314.717391 325.412106 325.599889 348.369679 344.443581 340.809901 319.341882 327.643548 306.690437 367.813286 315.687417 349.442607 341.13568 344.450125 341.985222 338.827767 345.85929 346.655839 336.585033 333.137661 357.407269 357.525121 337.39698 360.031916 353.916139 343.715613 361.868097 345.578163 368.00376 368.18994 356.833209 344.048898 378.935849 358.78224 360.832187 401.251615 338.65211 374.320021 378.898511 390.496401 372.810901 373.909493 361.6118 398.242869 384.543709 379.986644 382.647093 384.51285 
29 901.07615 2397.023152 2298.643211 2260.830465 1462.958914 1191.438096 1075.178583 1159.254831 924.045012 792.056474 760.166267 752.086387 654.780335 653.357505 580.639527 546.146424 502.263005 482.624303 451.308931 438.318811 391.690263 397.13812 393.61126 343.863297 340.720919 327.744721 325.200397 344.785271 294.789993 274.900444 268.490711 246.415721 250.121061 245.919418 253.686544 257.347745 234.35617 230.855162 230.173966 233.720652 218.54695 221.680987 219.353187 221.853824 231.58576 226.027814 230.339615 217.233887 211.558987 224.985616 213.021273 222.353718 217.963845 213.102494 220.057737 221.498404 213.417173 225.555506 219.382121 209.325299 205.865415 213.961722 208.122263 210.562338 202.183941 214.588903 202.798418 220.068899 203.221585 206.779243 216.471856 203.185272 203.087694 214.678526 226.404661 211.254826 214.276402 204.988159 206.205245 221.077418 220.155318 218.562027 218.854058 209.75719 212.260136 213.213352 221.735072 229.365868 236.275305 222.618037 215.003025 228.153466 227.655558 226.602132 221.27091 223.319126 218.280706 230.714728 224.357858 225.129836 255.474481 226.833156 236.135897 245.538656 244.175873 238.154344 225.798203 270.041146 247.381126 245.930837 265.346215 230.592962 229.912149 259.155122 252.223871 240.961385 236.942326 240.99096 250.058511 259.745411 269.881914 234.43816 246.715711 251.149658 245.740487 266.524166 240.607699 252.896537 238.592396 289.441512 245.99095 257.9236 295.495379 271.391161 275.107537 250.553146 308.135724 298.585341 300.307266 287.608537 318.26985 280.414894 284.221342 270.570683 274.193071 318.947073 300.654535 342.581607 303.654297 317.131931 301.643421 290.455803 287.670895 273.636268 295.156573 336.987222 335.819214 319.382619 346.538179 358.90221 316.626389 330.593141 318.410865 351.880179 352.906404 345.205357 348.833007 344.83345 340.749275 339.632142 340.951427 340.10997 348.011437 358.030341 340.531083 348.872847 336.802647 345.246482 356.11018 360.065661 365.904095 350.184561 363.091087 355.040652 373.340374 356.859511 371.794684 356.220656 347.556127 354.213307 347.965438 346.506422 357.480788 352.372313 381.306251 361.824023 352.885297 353.340093 352.196784 365.103052 352.299177 355.937603 368.091012 369.859896 343.361542 390.911483 365.026068 392.239816 356.797602 375.510802 387.526663 375.800976 379.154812 382.441923 374.479253 392.729254 387.567593 402.852668 397.999849 407.613231 394.213867 389.757015 395.692322 389.522013 389.992208 372.765607 401.852876 402.541644 398.85831 387.81427 411.258909 409.809646 402.004087 408.51801 385.385039 405.797898 398.738211 401.6982 403.610919 402.56891 
