 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
20 30.182717 33.521987 34.532365 35.904129 32.576278 36.016208 36.777217 34.675305 129.98934 39.669134 52.690947 45.161772 118.099801 62.190517 132.154381 124.520377 138.568989 114.659485 100.241145 116.165269 108.47609 88.627603 153.902759 159.882269 87.100968 129.040936 92.743214 116.561557 133.072888 96.05599 113.241979 97.572553 132.711183 119.580243 97.160805 107.347282 144.297589 107.900172 143.153834 154.832941 127.316769 141.166629 129.240266 136.351277 144.338905 143.159863 127.892304 116.234491 143.922731 170.341083 145.02389 144.816605 144.466189 158.231558 135.675918 145.253499 127.350387 139.25609 144.06105 157.109356 185.402835 162.23522 149.30624 153.756806 146.926471 183.731145 138.561869 180.562527 147.3472 186.736169 162.685267 179.027553 166.571717 178.143753 235.544196 142.655026 150.976067 181.510097 145.711758 153.809863 179.786507 181.219219 179.556961 143.721734 242.199641 184.100166 181.065247 175.17626 174.619586 166.746925 175.815437 204.503019 189.496698 201.70111 205.254917 172.846533 232.040237 200.115261 193.521403 178.22369 186.641733 196.190511 243.550683 238.31858 214.986534 204.62376 211.719952 178.228567 209.825709 210.779503 200.810573 240.238292 200.277317 261.195253 201.798754 216.264248 246.74009 235.131612 237.065953 214.026453 233.748814 265.306503 216.895019 244.965304 258.411115 265.968647 233.707051 247.206624 222.268327 279.221866 271.289925 225.780047 238.580205 277.037256 263.44992 275.798615 282.638766 293.129917 261.606294 285.209843 259.405776 272.421749 234.783893 303.273218 239.939522 325.841561 310.571755 289.793787 374.048066 322.795094 244.416521 365.356082 296.31823 299.585457 285.436053 276.565075 291.986608 336.949562 314.572722 402.961796 389.393447 415.380678 310.46327 285.716285 279.400793 299.768361 353.706547 313.604493 324.576744 363.749895 319.323469 323.475651 294.746624 404.854693 350.317425 390.019216 368.887947 326.341392 298.424443 356.698931 368.293613 351.131233 405.984141 404.091118 374.705719 338.406203 404.162523 373.803765 346.743668 357.39001 427.766907 378.583446 484.722238 390.222459 403.11192 461.814709 340.507988 316.337051 406.797115 391.511077 378.205188 431.57297 399.889409 368.360785 407.400366 419.07152 392.527872 426.341315 367.892388 399.470863 462.452089 456.321879 441.505715 430.556176 428.29394 404.116587 431.609665 378.038192 474.085263 400.147699 452.864691 462.559099 407.150224 472.433848 417.924234 485.618614 487.474747 443.200884 437.156514 449.479356 511.715743 419.272132 452.319886 391.032545 397.405325 431.056522 510.53266 496.528569 461.720209 470.87225 
21 39.26656 42.097466 41.417746 40.615998 39.550641 38.880028 40.689969 40.19495 41.582943 49.039689 88.47331 73.145957 69.7995 60.967785 63.165225 71.214377 101.770989 81.805224 89.043263 64.474501 93.673976 88.256272 74.023664 85.137566 138.369018 118.891091 88.515267 96.022373 109.7692 97.217519 110.669361 104.874426 144.218871 95.910743 102.393035 129.129534 118.909504 126.055289 144.417879 102.931809 164.839979 179.501017 165.668606 149.424286 126.395052 140.363791 159.787638 168.20979 170.756104 143.146839 169.459722 155.910298 167.407401 136.064953 170.368287 125.424962 169.605611 116.554114 178.494487 144.546255 188.23201 148.877363 169.665981 136.389577 142.181562 159.481171 189.036258 138.45377 174.742186 166.393302 168.866288 181.410401 174.5426 179.278848 186.72321 175.061037 178.491538 188.29501 181.66593 171.101001 166.539384 169.676181 198.1636 181.401804 188.646709 173.815274 188.80331 175.588521 192.975764 178.178717 175.163173 177.217738 206.593577 202.577211 214.535077 180.881827 263.408987 211.575025 199.696521 177.581818 249.561628 211.474557 209.239268 204.478706 234.222794 192.515515 322.8792 192.066688 199.632558 197.732157 219.722015 199.670987 268.082621 205.723956 244.581014 275.208838 217.740391 243.08049 210.254777 241.632959 277.11559 183.120967 208.203293 236.560603 273.868574 232.163413 231.746151 284.284021 276.330654 268.62255 294.587712 250.175656 258.933594 243.468051 253.635218 325.326717 241.670939 277.685094 257.653508 262.425041 328.429961 300.94022 256.055277 266.559386 275.059806 263.838313 282.56242 279.705146 314.548984 251.61581 280.703334 435.272665 260.60881 289.21838 273.499106 367.125158 318.262409 250.839918 310.142045 286.059962 322.940469 371.316602 306.624164 295.712478 306.974709 306.243919 335.748516 394.082927 328.831316 331.571828 310.845632 297.54263 372.696448 351.766112 352.582101 359.018651 369.618288 324.371126 394.239915 380.976429 312.467472 403.068807 389.208487 387.123641 335.579273 375.359973 367.84395 398.439183 400.826524 450.715817 418.562064 381.803131 375.456464 332.927744 356.251194 385.817316 405.614737 371.137865 414.11291 396.525953 347.400873 403.649282 321.599177 377.499482 436.45639 399.823586 415.111741 474.795397 484.846573 344.882659 421.261774 373.816018 422.605628 480.820586 432.992785 401.821761 393.274444 369.786501 477.756539 515.981478 539.853003 440.92062 496.202214 428.696192 505.443685 451.813574 511.302777 478.13948 473.468928 590.510426 501.745338 450.397479 544.852671 482.492144 458.446631 569.516384 535.04041 514.886606 508.718546 514.117773 
22 49.432702 55.259715 56.659579 52.732969 45.788118 48.741944 48.01834 49.54106 65.550252 60.820483 85.396047 81.752104 82.173217 66.047709 89.830768 89.991347 84.969737 86.251684 91.233197 109.978155 90.709628 87.307612 214.152713 90.491884 95.35471 112.766013 91.219275 119.887289 97.48947 108.934288 156.562243 145.977234 92.990661 120.810418 106.689758 119.734409 126.892575 119.32773 149.914173 111.68038 153.087155 140.372003 153.419799 141.535327 178.434568 113.776134 122.203352 140.586923 157.415956 154.133011 130.069983 157.310035 167.177085 138.56174 138.825224 168.043242 139.214775 143.940052 138.166867 200.535284 135.264105 151.522221 165.521819 147.386463 142.678572 178.79698 149.855408 165.910534 140.925405 138.544482 184.587873 179.541435 163.613398 156.771774 211.550902 154.082456 157.717611 155.635523 190.985481 168.543329 194.172898 173.94628 180.883173 182.412566 195.208809 193.595823 190.365294 241.675624 196.548625 175.986859 239.598922 185.249632 166.608927 233.108227 169.874163 197.185491 251.251858 185.682616 241.598315 204.651795 209.281161 178.808271 181.514653 195.918365 190.907661 216.596058 214.644973 266.125955 213.247484 205.511986 225.734629 258.866295 210.470659 225.480444 225.120085 218.9782 224.627695 253.414526 287.357114 229.004995 210.366086 207.09328 253.455906 272.088207 263.696466 218.76976 229.122334 276.402827 260.390875 246.512659 273.345581 332.026622 222.834431 316.048928 292.065519 285.888411 299.430584 263.86205 332.918829 246.473845 268.076205 307.802309 352.415553 284.554115 270.125895 322.557271 322.710536 338.456052 337.644939 319.855059 286.751489 395.864641 278.646586 272.226782 302.397884 270.709708 305.235529 329.00601 304.161765 437.112439 275.617121 333.133747 362.875976 312.680726 378.801444 322.029147 288.528393 328.884564 355.2795 286.205979 364.507888 359.267316 344.49189 348.283903 382.926104 346.640442 364.95479 326.758594 371.98189 317.003942 401.286901 452.10702 393.561218 349.600685 385.105836 334.139185 407.502691 446.095688 335.643044 380.015515 409.470584 423.803983 344.748188 374.356268 438.665057 326.695657 351.222269 364.858045 400.318222 343.474132 457.788273 373.451681 443.383853 365.438649 373.311888 423.868972 440.326287 410.394675 488.055928 424.332363 422.032404 403.741922 354.342258 416.711254 481.74121 478.011489 504.076671 396.612561 484.973598 492.710957 419.65129 392.386152 434.695912 452.863793 372.320051 516.863867 383.628987 485.202698 448.198436 445.817705 551.195747 417.717397 505.852418 628.916666 484.12566 476.96249 493.101277 438.192939 581.481497 482.015602 
23 67.478113 78.237368 71.315356 64.580356 54.627018 62.459711 61.33751 59.535394 59.179462 66.785239 71.158496 105.764513 82.193233 95.610049 62.971668 81.798487 97.258128 100.656229 82.56867 96.033216 94.00059 89.742362 101.532138 89.365129 134.289654 92.355911 79.35001 133.61545 76.420369 126.018783 139.755538 104.273997 103.700452 129.440623 115.369296 114.113719 113.745211 159.545198 156.177377 113.073445 177.592725 111.431461 112.634494 142.854613 137.013616 136.400163 106.960299 199.524201 126.182186 132.66897 141.585563 147.213821 146.941098 123.464834 170.225734 153.276026 168.057549 147.144536 185.52999 146.247838 152.182377 113.928567 137.743828 157.975322 135.220866 156.089805 190.638211 160.387169 152.971804 167.896969 150.392194 148.111801 186.960072 167.336638 159.431641 173.280734 162.727289 240.968891 168.34522 179.355834 186.759202 191.116294 189.364732 178.494809 176.795982 174.053097 174.480562 173.803791 179.591155 176.733303 186.906374 200.179097 190.603887 182.66136 182.605033 226.880244 250.656372 208.722946 193.995765 186.218054 263.125742 227.651002 245.130887 208.508412 219.755823 208.737768 222.20026 222.10467 205.122821 204.07934 217.714794 261.082852 206.770838 256.69272 236.358 204.878135 245.759799 228.77205 272.612996 242.278552 217.942417 255.037393 272.301522 228.444408 264.261287 231.681034 230.005622 331.485025 243.566787 255.63782 242.775241 218.553172 252.053732 244.54342 332.42201 260.767403 269.484152 258.553091 246.521191 288.441399 274.661403 279.512681 285.08288 322.804973 287.070211 312.422371 332.91299 313.480802 344.911848 312.49724 258.333742 274.847323 344.103495 259.942048 362.413095 259.965656 353.640468 364.885631 361.326693 317.673465 269.246201 322.19614 332.248856 341.602024 304.439107 293.642321 321.284177 298.373182 353.666771 308.414925 386.747756 317.579735 335.181705 405.481938 347.51911 319.763446 355.809806 444.760172 362.151024 421.476116 322.140775 408.234701 385.448681 416.55324 386.910261 327.200237 357.980107 408.559582 361.321304 373.408891 416.080355 439.842302 377.614321 436.248141 326.99648 414.646935 409.954185 432.025776 421.309633 374.039086 436.043295 374.880991 391.672108 491.931024 434.209101 444.332516 410.499503 462.838494 402.064459 436.642888 360.732231 501.761635 424.139065 467.63338 453.981824 413.118569 436.548901 417.520442 414.265277 379.186631 416.690019 457.63725 485.690276 401.342715 455.466243 405.541472 443.163225 452.397128 449.870188 465.845958 553.876148 485.977369 472.254343 624.015219 512.676209 460.000402 455.933548 495.246687 522.537164 471.671302 
24 98.25048 111.052303 93.919754 87.618378 71.033331 77.33862 73.030669 102.005731 131.253708 77.731377 69.878539 83.743605 91.74554 103.25804 104.739635 86.05107 109.697475 96.50437 87.972516 99.477957 89.201726 104.399679 90.07263 89.167916 90.470392 101.575892 85.515248 90.618977 143.391656 107.867452 114.203408 143.460109 113.57751 124.397775 154.474894 117.280543 123.585124 144.901224 147.229668 158.832628 126.787747 136.627659 148.483132 163.433762 148.298749 145.362114 144.197828 145.036912 148.862414 164.119453 188.527699 141.308862 140.807681 168.908566 146.452623 140.362189 151.385121 123.327284 183.172421 122.841182 128.627071 150.469115 167.286662 136.936052 128.454622 166.470608 175.748523 139.427129 210.973443 170.64024 205.346144 189.664015 178.409547 169.501103 142.213383 196.984878 161.036481 197.624056 189.628282 198.6549 168.866289 196.170687 194.414633 239.509812 201.602505 183.247737 172.884769 221.070812 182.340969 184.405865 148.713512 226.405947 213.447711 233.568409 173.01295 224.344771 225.886611 203.602858 224.889384 176.174255 173.184951 198.219286 243.765988 220.489308 201.451099 221.464913 204.348213 202.940008 223.426776 220.010968 305.777831 239.858815 260.818278 201.131541 331.504207 230.886856 230.408261 196.708177 239.165428 214.137057 199.923631 235.81371 215.102207 229.604396 252.09351 261.434617 257.2084 244.224247 231.506788 267.527486 223.44705 263.331167 290.455483 285.870513 254.307307 238.369903 305.282426 291.80319 259.386593 261.652807 269.937216 280.077822 290.829636 251.908678 290.781389 320.297729 352.548034 279.835766 307.362847 287.938936 312.444826 337.7558 253.985569 291.623362 318.23418 311.317495 339.724269 355.080298 265.988726 315.955007 304.960046 286.3851 280.626348 356.925976 310.871616 426.405472 310.493679 336.203375 367.084289 347.178256 353.069167 326.402211 339.732352 322.267288 355.297656 362.593884 449.98432 336.775702 313.993914 426.224169 405.758892 397.452414 392.001287 363.953073 367.407183 440.040669 330.590576 323.373837 421.57793 372.87172 431.417395 431.022841 396.744399 422.252457 414.341944 416.939325 340.862573 419.966162 397.181424 475.381773 409.529351 494.355828 441.827387 378.762695 412.704385 442.338319 427.983044 440.252381 435.402962 465.975742 426.009314 483.192976 431.410721 423.056064 400.075332 379.146791 449.897583 507.719203 421.204164 439.574583 440.305436 491.89497 420.388237 477.778865 567.103513 575.073816 467.951077 457.652711 430.061154 527.764648 445.079282 484.560631 552.449082 505.110915 561.25334 512.265358 498.313172 531.434638 444.041637 515.402157 
25 147.645843 167.534427 143.579822 126.955767 114.556133 103.709496 110.668398 135.904695 108.157049 134.829135 119.016898 117.575269 148.29862 123.707659 114.022104 108.064792 133.241809 104.485003 100.515667 98.155658 118.523161 133.089441 120.323993 114.512056 122.49776 121.385696 117.086151 123.938426 112.428429 117.160315 128.094135 134.446899 148.44207 132.666146 87.696006 145.889533 125.040288 162.613735 159.07449 158.841096 136.154514 117.006663 136.885946 178.214901 159.965797 157.02679 127.972496 147.788589 151.535308 122.751043 147.373632 183.826225 140.066947 137.020157 133.346448 138.716163 161.706582 164.814446 151.446197 181.65746 198.270159 155.37608 203.340657 147.55468 155.730088 202.729901 195.837592 167.407657 173.550058 146.909214 150.983895 162.460341 175.815822 165.1494 177.81252 176.515688 182.295035 176.449802 168.470835 174.44611 173.691006 179.74564 171.510952 166.040449 200.44457 189.952843 274.713624 197.3215 190.973356 197.152259 218.705348 174.893785 179.153426 192.718116 183.403635 183.750395 184.316049 203.026555 199.810909 191.627417 187.166522 209.789462 207.7637 267.418679 223.828835 231.371676 242.265465 220.94019 253.991921 256.551324 261.518658 232.052873 234.274052 223.191327 192.641964 209.999185 204.466067 279.426135 315.193936 270.846165 246.778005 302.145501 221.7948 227.444744 282.284051 240.712719 233.448825 241.423044 263.398276 278.671095 243.384073 249.466229 267.51767 264.991886 288.159759 299.477226 279.985761 300.737424 275.561434 277.173587 284.394049 331.681532 272.403015 320.658663 267.538778 366.646816 372.834125 281.663543 256.776379 249.629248 301.559572 326.021322 308.281867 300.671601 276.908306 280.635972 305.982999 309.374365 270.848411 342.697535 314.94232 343.363466 403.26929 375.969575 386.386115 357.273183 347.009592 366.559887 377.258194 306.439782 377.835461 360.118075 341.720454 341.667655 313.366414 337.740209 338.30779 325.530343 397.451901 376.702675 337.598427 391.135964 346.896101 329.713063 350.383506 403.423969 452.089762 377.073234 369.459439 376.04175 427.308134 350.030973 408.669545 423.950577 381.236772 370.663308 345.739704 471.13984 469.255735 414.303258 341.03406 432.311972 452.987934 516.713678 487.58285 388.342394 378.49164 510.30786 481.914877 520.211735 467.595338 462.016155 471.319347 446.578393 436.115789 428.251853 442.670129 410.283494 461.772046 476.522513 366.699873 419.522979 474.71392 449.970142 474.859873 499.608077 527.264816 530.457619 445.304209 552.79616 520.594675 494.831219 576.241249 453.047469 547.408866 544.962313 528.888132 471.978026 514.810647 522.341813 
26 227.350564 292.257728 207.021619 191.10205 177.155381 172.092517 162.089202 149.907179 152.909831 148.352703 159.604412 151.855377 152.266164 127.839824 137.025484 141.948743 137.215446 117.629353 133.747416 152.221253 119.645809 121.72328 127.28129 143.638716 114.11481 139.207076 145.593202 108.886878 145.106006 122.293617 123.605334 146.807079 128.810812 149.90532 149.217064 163.728173 169.037904 145.675255 169.744892 168.976377 161.966924 148.978922 140.819871 148.200911 147.942432 164.019243 194.788722 161.942224 147.046121 149.726712 159.0351 157.212584 164.634297 172.982734 181.219604 173.060681 146.426062 155.382495 126.18026 145.472525 158.508578 185.633343 210.485351 163.355047 147.253086 152.367464 169.499112 189.369414 194.207028 204.469979 159.221212 188.992891 189.74453 233.061327 186.609207 207.885981 192.91257 183.212516 177.586886 223.56163 194.201959 173.813414 173.876093 172.026438 212.813475 194.919214 190.258476 207.428554 187.013704 187.263075 183.098577 290.992718 206.619175 216.809885 214.921611 204.791525 219.872521 253.001302 238.059266 214.368593 212.126695 198.129854 220.932171 211.788276 219.132171 298.195857 204.214257 233.585155 245.479439 241.9359 240.051988 216.925877 209.526618 345.755807 312.896416 235.566969 219.712519 240.749801 233.49072 252.348075 259.130678 277.732572 260.14298 279.878558 329.438671 255.49565 297.309232 226.969292 285.92684 254.926917 296.986663 311.832851 249.267735 244.450137 283.479966 291.717221 256.230484 268.128813 286.660581 286.217977 336.877003 322.826979 309.604425 336.386153 308.790683 277.180452 283.324324 280.338678 351.259289 400.246559 293.216397 293.497396 365.429409 358.52966 371.207474 374.916404 319.216652 314.663118 371.920107 353.093802 338.145348 342.186028 395.037682 299.255059 392.632574 377.541118 341.497131 336.619549 386.393426 344.712776 344.636816 339.440704 429.946831 340.092968 301.060572 378.375583 449.708967 378.493949 357.804644 352.091122 359.75079 416.532262 337.032002 417.990571 436.226074 409.084114 405.695508 412.785221 451.352236 381.879284 370.019256 424.457401 417.975302 314.473922 389.240823 435.918515 441.132459 430.733243 531.712815 446.728514 415.765929 477.618732 477.907945 425.319197 412.692258 402.577892 440.537101 463.303169 427.250457 437.195135 475.310947 498.169143 437.889742 504.448129 469.296858 443.518069 487.046 447.862585 483.611458 501.513803 485.493385 458.124572 536.804867 493.634855 510.632742 526.971242 503.143278 494.09504 491.516583 513.841714 573.78648 571.148745 487.253412 597.273525 572.180166 489.721588 516.04666 570.016153 536.026473 475.562627 
27 357.276968 575.986679 405.142364 343.768477 319.138127 227.28891 243.403703 221.515599 211.420798 199.38909 174.44194 207.849991 231.073483 163.266383 176.768524 170.904109 167.807793 160.961613 167.989159 158.228029 171.791053 174.303173 146.432414 152.082358 157.481649 171.077007 182.954804 174.136883 140.35045 194.992093 170.974744 169.41199 178.077673 146.608326 153.987313 149.54894 182.420651 172.93975 212.626399 171.751213 142.042732 181.93596 146.457754 176.321556 172.535701 160.320639 168.856856 167.950409 147.129651 178.141892 151.310571 156.3053 157.41897 199.958016 163.585939 204.352255 168.21813 186.163842 216.188673 178.59874 151.586248 158.148027 167.307512 187.295473 182.573726 222.137835 174.920088 251.185007 197.872399 180.991661 218.051863 195.87756 200.011458 183.86568 174.634277 219.307572 189.725604 199.023789 188.633363 190.24154 178.615613 191.593734 202.963234 199.834519 208.21965 182.963724 210.249646 251.589186 241.885409 205.311886 209.59783 169.175195 196.220023 228.31443 213.185766 218.999563 197.845711 216.213245 210.713166 210.400281 214.153482 303.521498 262.066926 306.701023 239.453098 259.16282 253.655684 344.468857 277.594315 278.562544 238.27271 228.489767 250.48174 236.16528 245.912359 246.400003 238.402817 229.679587 275.558867 221.029111 248.690465 394.879667 258.043956 247.115139 233.227426 325.977057 309.607569 285.483722 287.037622 292.758009 282.967494 325.701254 336.316032 299.225546 276.199007 302.47019 253.34479 289.932876 327.344457 298.091027 300.288981 313.708812 281.088394 292.882406 322.881062 284.914921 276.832601 364.491271 326.75513 295.268076 325.011843 365.190112 327.834281 352.902362 333.249803 379.499901 306.48514 330.18749 328.968671 379.287548 333.26379 359.338978 332.6028 391.783672 383.922815 349.868982 326.116338 364.512571 395.285385 376.710502 390.973971 323.764667 321.916488 408.410679 308.592636 433.873764 352.834423 460.957148 423.288882 375.215433 386.047376 453.921132 396.341442 474.421308 453.066009 412.688986 406.185781 456.01323 552.291965 393.008841 471.067986 410.95385 340.501572 393.987143 457.201061 496.905672 475.268606 445.24679 475.858704 451.413055 482.580872 423.85614 432.113862 442.47529 441.096341 419.719036 419.555954 487.371971 443.445058 595.593496 463.007285 499.211598 578.072875 498.136873 455.520519 480.053419 490.857774 512.28544 497.550559 548.665984 511.864391 525.596077 584.884411 543.522032 448.092259 541.997386 420.793249 517.182077 547.556231 544.175451 570.640445 447.963243 543.670486 524.914046 511.719273 526.815538 659.250277 582.028483 533.714453 538.944438 
28 565.052409 1087.340845 726.222975 615.314187 465.498812 494.66833 416.349806 372.003252 344.95079 335.97742 304.765658 282.273979 322.664858 272.085769 221.08037 205.320482 205.985321 208.680349 206.015025 200.67463 206.567209 201.556953 216.841835 205.100687 177.566999 226.783305 195.950315 188.263189 185.110865 169.089675 176.744402 187.589882 185.25252 223.654336 189.60249 183.652685 205.698934 165.900848 183.459898 190.756384 172.019124 190.146076 204.902322 169.416097 184.186968 200.48659 229.126185 188.731072 187.610731 188.791056 190.416041 208.858957 187.634277 214.211798 167.827873 179.080995 206.749088 194.251102 180.373591 192.456235 213.519821 223.595567 172.043503 204.847661 161.489801 166.261271 201.249651 207.546726 201.934379 178.014673 184.630984 183.831613 179.864648 205.982756 197.588385 225.206053 199.877502 181.532103 223.589027 223.78566 252.207384 220.658485 251.73007 214.934248 204.100704 223.699691 230.176661 226.068555 208.803782 234.348024 263.331553 238.032127 248.642542 245.422344 246.560775 215.544748 236.256252 263.153651 229.654951 229.285031 220.604276 327.851154 243.781962 318.666073 216.862045 231.565939 234.331857 279.060964 241.229488 274.740505 291.224317 300.286284 318.026703 258.756078 235.048661 238.790632 217.22433 318.819529 306.278242 292.214937 273.57051 270.93906 267.440428 303.027696 310.701414 246.826185 394.865105 313.359805 358.330266 278.805372 309.019587 364.243889 338.606047 312.452333 314.204024 319.621405 352.87112 299.591934 334.807359 313.453603 349.992353 354.498606 309.005408 347.412292 308.718443 289.929923 331.683071 331.453911 338.356803 331.503439 314.739781 404.320215 361.752299 344.77584 377.714336 364.236384 373.091515 360.196923 352.832498 398.378558 372.412304 307.158192 392.095275 347.985133 369.716894 362.666316 368.588085 404.499659 445.768178 427.687419 508.310585 394.787736 425.607703 429.686169 370.025224 393.697099 391.445767 437.15876 413.077897 384.182837 451.979095 387.969462 436.803148 346.873838 453.839978 384.374916 518.663031 416.743908 466.94737 415.210796 457.35824 403.597765 479.80161 399.196728 438.333117 414.95764 531.479099 487.051839 424.599697 521.86437 413.963428 502.61233 504.134668 461.703462 463.980711 460.468479 511.121731 633.167198 509.176036 534.098613 513.886686 549.538686 520.091829 504.561682 447.027028 480.646981 500.108295 573.611274 499.054611 583.462349 521.853657 578.782173 497.986815 564.754857 453.037717 486.654142 614.93516 536.613236 525.205309 604.92113 584.149578 565.666436 535.309221 581.97825 572.139429 538.74543 567.487544 567.265375 582.257326 667.667872 
29 902.413782 1795.611179 1240.451287 1004.772367 924.294512 817.819867 764.780237 667.024333 667.156554 564.60974 428.321078 411.453682 393.531321 535.321667 344.212621 470.759913 365.212823 392.78154 330.182293 304.031209 356.04301 316.109943 320.528046 254.53615 312.557164 321.580187 232.302824 301.449931 214.465081 229.049839 309.762501 227.533215 229.338346 262.878876 231.232844 221.691062 230.41814 254.979202 222.16536 222.597765 216.990549 219.489965 214.052758 227.10883 225.712942 216.929406 198.549364 227.389957 223.392455 316.2038 220.008788 209.646332 247.537473 221.54697 212.076014 235.282441 208.534971 227.826787 241.021306 254.184515 292.594092 215.486303 203.994591 236.936681 221.444899 210.969401 222.826925 205.506148 237.234423 224.129019 194.954241 229.85043 270.828715 216.475317 212.528176 205.42172 217.865237 260.329095 259.43997 244.920779 254.756073 291.94247 228.500351 298.34925 220.149092 288.247585 226.667634 247.91496 218.732165 284.201777 286.025577 307.082233 275.759289 235.057964 337.552043 270.123265 227.59275 245.199662 381.961531 313.116273 334.2861 293.231796 277.597845 230.023136 327.224424 342.329093 312.369122 258.636042 339.76661 317.248886 283.858289 305.512742 273.046876 290.402172 281.417317 447.083484 328.022127 338.588083 341.564813 301.777892 419.70473 322.622453 318.005339 377.69849 317.029989 401.638085 307.852414 357.731893 341.955968 337.180073 333.115334 332.923959 413.612116 347.670709 350.187834 360.823334 338.388304 354.332444 351.308366 383.190487 341.926907 401.014754 425.631441 346.347511 367.978292 379.729898 344.035682 369.825701 349.596709 354.866919 385.409031 394.708951 385.438157 358.86949 356.989874 373.052573 370.232572 387.489901 384.588554 418.466729 389.037002 350.032064 467.550879 350.01532 405.097968 458.415644 384.965401 421.391881 401.783845 391.618154 414.494633 404.114406 420.769064 413.878038 505.099045 414.840109 424.217462 531.988425 416.78946 416.137516 449.252952 378.91147 491.347985 477.491514 460.207624 457.918635 467.033531 481.323496 525.274018 517.765053 450.541573 515.256078 454.055152 459.408445 479.969503 545.5195 480.80923 416.732874 541.512822 529.325925 484.674636 525.567143 513.402829 546.238486 489.231444 685.937567 544.613181 519.453871 527.674831 613.190591 551.182853 496.528698 577.364474 545.827058 536.359567 557.468446 524.559909 571.686815 652.333525 558.225476 613.838107 512.02959 589.508902 586.701794 556.73124 485.908274 564.823952 518.124513 603.869052 627.926305 570.282587 610.098701 674.796591 537.601352 587.521699 605.75983 661.598801 689.992554 665.905851 628.272678 
