 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
100000 18.345024 13.485075 10.575943 10.526857 12.649578 6.925661 9.312369 12.705952 8.095403 9.01301 10.309557 10.186672 9.793594 10.257403 9.793861 10.253865 9.184978 14.99795 11.012854 11.185739 11.776327 10.340217 11.194044 12.321203 12.241439 11.005365 10.891866 11.671639 12.956863 12.549818 17.663665 16.623614 
200000 49.492269 31.814439 24.030767 18.699218 16.347522 17.352935 14.184023 13.111695 13.818101 13.443027 12.698275 14.785732 18.942606 13.600805 14.260404 14.218521 14.840265 12.872044 14.950492 15.94469 16.010542 22.384426 14.950125 13.161636 13.730496 17.937048 14.576155 15.514703 19.103326 20.101691 16.393466 19.75349 
300000 55.417635 34.716817 27.272266 20.063704 18.979499 19.766729 20.1261 16.456713 15.087245 15.813918 16.2548 19.398465 15.451043 13.71398 14.841823 13.50008 14.46093 15.582379 18.660479 20.321797 33.990022 15.879572 19.851242 21.163896 23.143744 23.71804 18.088815 71.697323 20.241371 18.192635 22.558086 24.279723 
400000 100.99165 61.08345 32.531002 27.4684 23.675615 21.009697 21.45019 20.895074 23.103668 18.612012 22.683609 18.000628 17.402281 18.10768 20.304568 18.186404 19.070679 17.233306 18.174052 20.543872 20.957416 17.53525 20.687317 19.361369 18.727029 24.203421 22.441581 25.628743 22.135475 24.315553 20.856707 24.719612 
500000 98.411986 56.942268 42.231405 34.004757 28.9775 25.064716 28.017421 22.800908 22.011443 21.952905 23.077914 21.871816 19.912922 28.211847 20.687955 21.483237 20.313096 20.439376 21.252131 26.317571 21.202539 20.363712 23.121353 20.12422 27.711863 27.797751 32.994832 26.94117 23.918969 47.380636 21.773381 20.660167 
600000 113.099045 68.834072 50.035764 41.376628 35.771524 33.750566 29.976651 29.13905 28.378813 27.655259 26.583713 25.498999 27.833812 27.7567 23.734737 28.812095 23.363787 24.475417 23.551863 27.295784 24.053318 24.784781 23.026565 24.483551 25.883418 26.36622 23.283082 33.974578 33.169525 28.288614 26.963944 23.077759 
700000 131.343624 77.569714 57.130825 45.455841 40.901002 36.560409 33.056828 32.19507 35.496033 31.324816 29.766851 29.663312 28.225879 29.027866 34.139206 32.762886 25.800848 26.663644 32.666655 30.448084 25.412833 25.779175 25.971985 26.987031 25.389511 27.179314 32.378006 35.512976 27.444551 37.055619 30.860758 28.065316 
800000 150.390785 89.547572 66.131443 52.199747 45.92637 42.457858 39.310533 37.62618 35.870684 37.11667 31.950721 34.255985 31.524797 32.35964 30.670052 30.009347 29.679988 28.748465 28.974822 29.431765 29.484753 35.623061 31.086924 27.637975 28.015395 29.399075 29.149344 29.642634 28.992192 32.782507 35.258683 38.363434 
900000 168.898383 100.35825 74.30584 57.97632 51.231873 47.263877 39.977019 38.571219 42.15006 40.104324 36.96523 34.677209 33.137337 34.114569 31.204559 35.823348 32.651196 32.231629 30.647084 31.134652 30.875457 30.739078 30.550538 31.759738 31.323729 38.708575 36.7637 46.12715 36.176647 41.094448 38.155489 34.707182 
1000000 189.565327 115.421304 84.478289 64.623757 57.320617 50.083595 46.447088 44.227873 43.2995 39.321046 40.728091 38.614789 41.184042 35.499017 34.983001 34.263935 35.552795 36.487966 36.161389 44.626223 35.535473 35.221067 39.537105 34.686302 33.025371 35.474344 45.897329 41.943538 41.468213 44.183715 50.864329 43.790334 
1100000 209.815315 124.412891 88.879518 73.08563 61.622959 58.369721 51.129282 48.12392 47.307746 47.753073 42.460023 43.907285 37.649159 37.328995 40.71576 43.084343 38.164556 37.705649 39.228554 38.394988 45.458655 37.679936 36.36939 37.105766 38.406808 42.078208 42.548581 35.250127 36.060263 37.505526 48.023504 37.251379 
1200000 236.972059 139.13366 99.216587 78.322958 67.492168 58.226411 57.001683 52.882329 47.634769 46.626852 50.693811 47.383039 46.284996 46.159265 43.58398 40.470804 42.675094 41.642257 41.093511 42.257363 39.343792 38.27809 39.766482 45.50776 40.327351 54.694332 39.27917 39.111208 38.616633 37.580736 47.569079 56.694804 
1300000 257.920745 147.081838 105.342761 86.341519 74.541241 66.144104 57.471123 54.564502 57.624248 49.533887 53.302481 57.769927 49.050839 47.445476 52.697665 45.015365 46.613476 44.478751 62.83016 41.758704 44.369164 42.718669 41.615673 48.7622 44.146232 40.847596 40.832929 42.854508 52.914995 43.872424 44.264147 46.753456 
1400000 271.219689 160.54678 114.914855 91.50759 79.206347 68.846106 65.096679 57.288514 58.858354 50.881033 52.527688 58.873128 55.030556 50.675269 45.609212 45.57978 48.313307 47.602261 48.019468 51.953016 45.854452 46.949478 60.42679 44.719909 44.080013 42.692304 47.009116 43.489586 48.718562 51.697816 52.711369 47.226778 
