 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
100000 26.538558 26.176811 28.513582 30.320489 26.279708 28.994329 25.193174 25.268696 27.015566 23.529654 24.891145 23.065922 58.096523 20.016459 21.725188 24.340299 41.351846 27.41657 23.783324 27.333468 27.680834 21.291279 30.295983 114.833129 20.383936 19.836235 22.562086 33.916326 69.434591 67.646773 30.295358 85.412712 
200000 105.716002 66.612167 61.329486 44.69495 55.361097 43.734238 49.701546 43.823174 45.259736 43.773181 35.899167 36.294953 115.109913 55.562649 37.477502 35.459264 32.561065 41.883818 33.579964 31.794192 37.157484 104.532008 141.03733 171.019738 262.232894 195.873378 126.18441 37.315059 26.74298 85.426822 122.231716 104.071887 
300000 83.571909 81.38284 64.680138 66.42783 75.849443 53.238455 48.600932 44.390577 139.264964 49.003136 41.348236 42.906169 37.879207 67.893958 34.666708 35.115686 36.722811 40.217914 66.208594 44.467577 36.503995 68.998547 122.510529 107.498737 34.431663 46.292892 44.446592 48.731305 47.331258 45.215739 141.994155 133.059112 
400000 137.73647 98.571183 94.484922 99.615802 72.486386 71.26796 70.977748 71.538499 70.420042 53.944333 55.500209 62.84397 46.682893 122.499212 61.422476 46.304233 50.099809 111.507249 129.003925 48.620105 46.122678 40.863683 49.524237 57.047911 50.448351 71.716433 166.965251 135.159844 58.106941 106.298521 199.127126 116.454675 
500000 127.860677 122.930332 118.325214 124.266396 98.528506 86.846065 82.875364 79.715603 72.228668 63.321106 76.365419 58.466818 57.396554 56.925831 52.321004 54.14551 93.634247 71.533329 58.487564 62.200977 113.135873 47.569033 143.055705 58.777338 137.218415 97.515438 116.699389 46.045834 57.416353 116.039868 59.73227 147.945046 
600000 155.792705 150.416876 130.73588 145.248955 107.264114 99.353953 120.762453 92.630628 119.882126 79.436616 65.108048 143.98995 78.746364 134.423107 62.161943 139.785055 68.552691 84.848025 65.087861 68.567802 61.486747 61.821838 142.438514 132.681274 193.479697 58.479769 58.975571 59.459203 53.46762 64.368074 126.317362 93.949257 
700000 179.329066 171.984999 152.357107 163.256509 111.227448 125.252171 112.007731 134.356901 123.354656 111.717994 95.705179 75.929863 70.472288 135.332719 149.727188 76.20438 75.30724 74.836522 56.21043 77.279759 74.921149 107.185012 72.843597 111.228321 83.126353 65.300519 79.028423 72.238264 106.792516 61.008213 113.228123 127.973872 
800000 203.726631 188.890923 177.579337 106.627188 177.284538 146.015542 156.905987 124.197961 127.003451 109.091476 86.211815 78.874547 164.720735 75.380619 103.008703 67.443042 153.929616 77.888715 77.498474 82.100426 76.446362 74.051267 131.22768 84.666236 185.196035 90.952379 94.691112 99.064567 91.902346 190.0221 87.489133 152.004018 
900000 241.549842 222.439955 198.841115 219.65049 138.870018 132.170558 145.163993 155.454523 139.1913 170.196676 87.277284 107.17025 83.579095 95.109727 172.758501 92.772904 87.12687 98.584185 90.856855 121.364071 176.340684 80.216109 134.219 76.835373 85.860867 86.07753 149.495295 72.797253 81.489673 125.276151 212.246394 179.278421 
1000000 264.811825 262.657614 215.999268 255.169134 189.742566 177.648189 169.654244 139.574711 102.53223 123.428152 240.918836 156.734175 95.485587 99.476672 113.486532 98.77461 86.246031 121.697152 89.083506 159.237538 117.625715 84.937252 97.882901 79.999887 113.487427 216.985619 131.374654 167.014015 141.929073 107.84955 284.507879 156.582341 
1100000 340.341859 292.62906 245.92299 220.225776 214.883436 180.456086 162.20383 160.215828 161.565761 127.579441 146.102661 109.162069 105.630722 112.559357 142.564187 216.287791 212.006962 117.139195 156.052611 125.018503 101.42281 95.18629 104.306589 88.669668 138.830709 97.696617 99.983141 93.126151 88.026484 93.480295 109.968565 151.058596 
1200000 323.261907 328.287136 422.549064 331.544125 207.44622 211.536363 193.006159 154.833424 180.634069 160.86363 134.269053 118.858347 194.150834 126.165784 112.606513 119.384211 187.910883 126.390045 144.035467 101.388471 111.607287 109.551565 186.267333 119.944969 133.248657 94.432876 106.328016 124.69105 131.896224 99.441371 136.555853 111.783354 
1300000 337.082527 381.924136 298.112188 260.351365 186.990396 235.331805 199.809734 169.502733 188.668056 167.444815 168.528851 149.273293 132.137012 135.270086 249.94664 120.143189 160.184768 137.507287 128.404357 244.394733 115.21463 140.872759 119.249388 93.478052 102.882623 125.815341 219.3499 170.803034 123.932801 102.022814 129.860139 209.637989 
1400000 392.203697 401.631983 330.8287 367.201479 291.214935 241.98092 216.636746 168.499934 158.867135 138.433465 150.59435 128.998441 141.066169 145.603123 118.363624 137.006673 168.677715 132.267695 122.069605 135.330009 145.287754 191.364887 197.925319 117.574767 130.986719 147.221766 117.179655 111.482534 121.445292 118.887014 99.346661 220.416212 
1500000 401.287042 443.704997 358.036035 342.244827 273.459134 267.932505 248.113053 235.210659 186.206069 158.101743 186.186922 248.083818 281.632051 221.28099 136.553446 139.107489 263.576175 161.678464 141.532239 151.388166 147.506166 138.941702 119.944808 119.562095 206.568217 205.419579 152.934133 212.926236 134.350252 110.385028 222.156929 174.844036 
1600000 431.733978 472.886485 382.064706 203.985319 361.395798 282.171364 161.917019 239.523422 198.329963 146.202809 167.223501 177.691423 294.656646 172.236661 189.102746 173.212559 143.645044 189.812975 145.024758 144.306764 138.20271 128.038377 223.684993 121.669409 154.020942 135.112558 174.23935 118.128735 152.221234 175.851239 199.632877 218.641301 
