 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
100000 26.718393 29.753613 32.449212 28.194575 29.571192 19.656828 26.38865 28.960444 25.480455 23.652051 23.188912 25.816285 29.106865 45.782369 24.180276 34.982714 61.268267 17.583743 22.107858 28.440054 99.005058 20.172098 22.948459 24.497345 51.401846 23.177193 47.514584 66.787121 54.44654 40.136914 218.004067 76.498348 
200000 73.792712 68.164176 61.307314 55.406607 53.946536 50.212636 44.53328 40.225811 34.485464 46.565742 33.773504 36.6407 31.519216 109.756597 92.772198 84.890842 35.639751 31.597906 31.515766 94.558099 94.665886 46.682093 100.527511 60.84269 30.344939 126.356841 24.487404 69.774465 68.063014 115.151057 117.906378 66.037084 
300000 80.646398 72.732235 73.117673 47.950339 70.69291 49.191235 49.672559 50.786765 46.973697 40.331937 34.958292 47.553474 39.950383 34.196137 40.16076 33.704516 31.185616 37.37067 132.819646 41.917972 45.209527 47.789017 123.480777 136.085415 46.09474 47.834733 102.726386 57.239903 156.733245 46.000293 52.341652 185.755842 
400000 136.53547 127.69333 84.750783 91.34391 101.540503 64.996071 65.266552 90.423835 63.415478 49.6659 48.875255 62.127031 42.863584 43.228954 121.410042 45.807794 41.046576 57.337312 99.497689 45.688373 132.007125 135.055159 43.792897 42.884864 44.070969 39.919404 154.208388 48.132137 112.404307 63.461058 134.301134 124.065431 
500000 134.18089 120.547355 114.19325 106.821825 105.977799 96.523289 83.938041 113.60243 64.392584 62.894004 54.178607 58.843842 46.446384 54.420197 55.41506 47.92777 43.301264 63.403093 52.884969 50.128669 106.884133 110.926982 131.91239 156.684468 52.833831 81.031201 72.044261 41.136461 56.50279 184.259285 101.108106 191.565717 
600000 152.175369 146.367824 132.547627 81.73357 137.64941 117.506142 98.362795 89.896324 80.252641 81.082633 76.46685 65.877228 72.655704 72.84452 70.639664 64.68414 72.280828 68.094793 66.100147 60.967331 56.226242 53.517358 62.496333 109.706062 87.525498 87.809832 127.74032 54.373826 49.703491 131.73697 73.464025 131.238356 
700000 183.626024 172.566278 147.702762 167.198839 149.829802 132.470889 116.532785 134.480747 125.705676 94.122419 73.611903 81.069353 69.082118 82.429457 78.016492 71.986698 103.604252 66.154983 139.749615 67.476038 63.13639 57.210333 183.490903 139.795214 79.477148 179.210672 138.858471 88.237196 78.809962 126.187971 209.172572 222.195957 
800000 205.946116 194.165399 181.946405 105.985115 175.507257 123.178781 98.46476 134.865145 95.174167 113.258118 96.745273 98.48884 78.957231 117.659839 85.269604 88.163706 72.190695 86.482009 72.133815 74.292516 128.498452 70.501843 165.841126 79.721345 123.374229 156.997874 126.870919 154.386858 199.024627 147.246388 77.803153 73.163552 
900000 233.759835 220.78481 191.986707 117.874918 154.534981 150.450682 116.224661 133.282713 152.922788 103.440946 115.34766 117.622395 85.210468 160.636505 180.343392 106.287047 78.785271 177.60957 199.569183 89.769505 100.121893 162.658891 96.138862 77.077705 108.615254 158.88803 93.922634 112.9986 136.761822 169.067001 165.791331 195.290677 
1000000 267.600372 256.43174 218.719905 244.700628 156.016396 177.209629 197.160917 181.509734 159.677813 96.907867 175.999564 157.398337 179.316389 112.773404 118.147528 107.026909 106.030561 112.987126 127.75281 119.413859 95.776903 94.662589 99.808516 155.714331 113.773555 187.036135 122.352665 151.620502 138.8856 144.20193 152.093817 198.921691 
1100000 296.750027 292.414104 248.617321 291.55822 222.232738 216.210597 182.727821 168.242771 154.642848 125.489143 114.333969 112.641276 99.625451 118.94776 192.84225 154.492201 219.058776 134.194904 109.668056 153.880152 86.409552 94.266016 89.743075 220.895502 84.145446 94.532937 93.140379 147.161608 105.022872 115.287687 90.699956 130.010023 
