 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
1024 0.389259 0.661107 0.925504333333 1.68914233333 2.21184166667 2.250546 2.34665466667 2.68712933333 2.74254866667 4.91405833333 2.99112433333 4.15810166667 3.21291766667 3.98729633333 5.016976 4.719897 4.717677 6.87625733333 5.02087333333 5.43108933333 5.46314033333 6.515043 5.807337 5.245145 7.53357533333 6.31346133333 6.253554 13.9184116667 8.95787033333 7.02628133333 10.2885046667 9.99713666667 
2048 0.608921666667 0.959953333333 1.28122633333 1.81776133333 2.06004166667 2.10825766667 2.39688766667 2.84425133333 2.94444733333 4.55509666667 3.273536 7.511352 4.23926566667 3.81053766667 4.76592933333 3.89166266667 4.927606 5.96234766667 5.80177966667 4.59455966667 5.11006933333 9.91386133333 6.76718 9.77696733333 5.80668166667 7.17488233333 5.93703533333 10.01959 8.52090066667 8.32082466667 15.8413676667 8.683614 
4096 1.045007 1.29121166667 1.477641 2.225171 2.45515366667 2.393344 2.565624 3.199444 3.17555633333 3.521883 3.93606666667 5.86740833333 4.34057766667 3.85522866667 4.20564133333 4.87704266667 4.958416 5.683052 6.06598333333 6.91495666667 7.84134 7.32082066667 10.903045 7.67296566667 7.22295733333 6.812117 14.3819263333 7.97707833333 8.095831 8.42731466667 9.54226966667 13.1882173333 
8192 2.50456433333 2.18045933333 2.27623966667 2.64957166667 2.82273566667 2.41750933333 2.77712333333 3.58984833333 3.586349 4.003849 3.58425666667 7.28023 7.12401633333 4.309355 4.539868 6.133681 7.68053766667 5.639304 5.75708633333 5.51926966667 6.24953133333 8.118415 8.95245733333 9.10686233333 8.82383866667 10.4338763333 8.16318233333 11.1423303333 6.814733 21.92303 13.6038496667 13.6428583333 
16384 4.39337866667 3.38000566667 2.94720833333 3.58590666667 3.460257 3.60361233333 3.61680166667 4.27685466667 6.34869766667 4.278044 4.67667 6.14814933333 4.41151166667 5.15318366667 5.23631533333 5.38400566667 5.52758533333 8.421274 6.15820666667 9.33625566667 13.9481546667 10.055519 8.04117666667 11.201023 8.01531433333 9.86844666667 10.0331853333 10.2326863333 11.1165223333 13.4571403333 16.8851816667 15.1402193333 
32768 8.94711166667 5.98562633333 4.37540966667 4.61281833333 4.91961533333 4.43678233333 4.74193533333 4.997637 5.320283 4.97820266667 5.245916 6.39172066667 4.95243433333 5.785923 6.86628066667 12.0832466667 6.79300766667 8.96815233333 7.43713033333 8.77860066667 9.49350833333 7.982081 8.11605066667 8.70910533333 8.594864 9.48259033333 10.762886 12.1866886667 15.7585873333 12.5459786667 14.6958456667 13.65787 
65536 16.6882166667 12.1365493333 8.25867133333 8.18248233333 6.53024533333 7.34996233333 7.097053 6.35102966667 8.16910033333 7.48236333333 6.962748 7.41754433333 6.23469133333 10.4343983333 10.367843 7.72140333333 9.619959 10.134813 10.7759173333 9.57790666667 9.45570233333 11.2206616667 11.616729 12.892843 10.492002 10.2766506667 11.1122303333 18.925635 14.509989 10.97974 10.767598 15.8253083333 
131072 28.1976833333 19.1471833333 14.448127 12.7846623333 11.3672066667 11.763453 10.9201516667 10.4469583333 10.7927323333 10.04242 12.8155966667 11.5670426667 11.5902766667 10.5602236667 11.2622466667 11.3586136667 14.3804623333 12.4880223333 12.027934 11.7305373333 12.9866133333 12.9856933333 14.592681 13.69784 13.4202253333 13.437714 15.0972786667 13.1160156667 13.7185566667 20.056335 18.09079 17.087387 
262144 63.958419 37.159164 25.7700353333 22.5901753333 19.0416886667 17.2372683333 16.930891 15.8267163333 15.2349693333 16.1631656667 16.640514 18.9312183333 15.4430543333 17.8841406667 14.3751293333 15.1594856667 15.5407546667 14.6746116667 16.6936986667 19.790104 18.677492 17.3238356667 22.9036706667 15.750505 17.8133613333 17.066622 20.7661876667 20.8075553333 19.0021353333 18.6164656667 21.4640846667 28.7037213333 
524288 107.328407 59.4652946667 41.9853463333 34.1393483333 29.879264 27.6243633333 26.34026 24.2168276667 23.2480256667 22.7834853333 23.4225706667 23.9873076667 21.3930293333 23.348237 23.7855223333 23.2472486667 21.0895796667 21.2324553333 22.5333466667 22.4105386667 21.961775 22.2225483333 21.8455443333 28.97266 23.7455116667 21.7563583333 23.4455896667 24.138022 20.6620846667 25.0954873333 30.7198053333 29.469552 
1048576 193.726959667 117.652892 84.4607813333 68.135954 59.8303053333 53.3634806667 48.701436 45.846151 46.5010126667 46.434083 41.182641 40.719071 41.351283 40.214343 41.064734 36.6744996667 38.528537 39.555189 36.2177073333 35.935427 35.3909106667 35.4057933333 35.5325253333 36.4269826667 35.0362866667 33.4533563333 38.5366436667 41.4720526667 40.1886003333 38.2135026667 46.4373443333 41.7766643333 
2097152 399.073703 249.895904667 169.209784 134.419112667 115.994932 102.764749333 94.087874 85.460512 82.783791 79.5941323333 73.69966 76.0474736667 69.1164773333 70.8932073333 70.2718476667 66.6286933333 69.2893476667 67.262589 64.7729416667 64.610576 64.1655403333 62.436364 62.8530356667 64.503215 63.850734 64.4990323333 61.510883 67.899843 68.3490903333 79.9603556667 73.103947 74.0140306667 
4194304 819.556645333 497.321149667 344.983987 270.454453333 234.988058333 200.761563333 189.268018 167.970909667 161.258236667 155.219579333 152.511884 138.453719333 138.465683 146.403854667 139.251637333 129.671233667 124.580679 134.089739333 126.922739 122.107102333 124.94973 118.468379 120.803247333 117.273255667 118.955838333 115.633426667 114.346541333 116.777576333 117.834357667 114.656509667 127.143442 122.364809 
