 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
1024 2.65895 3.21004066667 3.454479 3.89567966667 3.78828 4.13185166667 4.92404066667 4.80427766667 4.73544333333 7.203258 5.89311 5.864958 21.8291673333 30.1676656667 8.71836733333 15.019432 27.2752483333 11.6394063333 19.206622 27.6004756667 68.6898843333 19.5651236667 36.4621346667 40.5126533333 51.37511 32.3415383333 28.8933106667 64.4457633333 57.4447213333 61.360721 57.498165 52.117271 
2048 3.16530533333 3.614748 3.887493 4.04290766667 4.67547833333 4.32418533333 4.48532833333 7.14645266667 4.83110566667 5.69940133333 5.791665 7.39643266667 12.862169 8.11210533333 15.6039356667 14.1993063333 9.54189733333 18.4267163333 20.5520966667 9.616391 36.9734786667 38.370613 24.1682306667 17.7865013333 22.4950203333 18.2596126667 39.0055903333 44.6812586667 46.7357823333 52.9638526667 132.077343 30.7615263333 
4096 4.13107966667 5.16156533333 4.75819166667 5.20047 5.63965433333 5.90505 5.02397433333 5.38514 12.6437103333 16.593145 6.112818 7.94088166667 8.700745 7.20067133333 10.0533776667 10.2877743333 15.25441 8.35934566667 25.1770186667 18.8091946667 14.7973796667 36.4684883333 33.2014423333 48.305804 47.353952 68.4324123333 25.0759193333 58.7288386667 46.7522813333 42.598744 92.111655 73.939761 
8192 6.58183866667 6.37029933333 7.295684 7.24253533333 6.851668 6.846187 7.662081 6.32748766667 6.404975 7.35931266667 7.717297 17.8948776667 18.817113 20.6016623333 15.167039 10.7839473333 12.8867936667 34.574916 39.0661973333 39.4336026667 19.5192 14.9032033333 64.1378846667 25.7578943333 46.006872 44.575459 19.807039 29.563085 36.0978316667 39.2050433333 21.8720993333 43.257452 
16384 9.020853 8.912213 9.481669 11.3922546667 10.7037936667 9.76915466667 9.22145266667 10.1344326667 10.4921756667 9.829384 9.03635966667 9.29686133333 11.8101896667 16.0556846667 17.7661016667 17.6579213333 15.5192046667 17.1918326667 24.7283026667 15.2182673333 11.495595 30.0638976667 27.640033 19.804755 27.3207013333 37.8131226667 30.248831 24.9618196667 41.256597 74.0589433333 106.710417667 93.3126613333 
32768 15.9168283333 16.155118 16.7502276667 16.5837996667 15.0659286667 13.8015633333 14.823821 14.010488 17.626191 13.1418726667 12.925408 15.826734 11.2197496667 27.295359 15.3087903333 20.2364136667 36.0156666667 40.7118456667 17.665925 14.8983226667 52.554036 43.8840206667 35.207686 29.846909 16.380085 30.4026723333 29.1619053333 43.7378216667 31.523347 63.6991766667 79.5089013333 46.0426103333 
65536 26.3805806667 25.5699726667 27.3630596667 24.4163583333 25.024991 21.6949483333 21.227331 17.008905 23.306144 19.507947 29.179018 17.2641003333 43.002731 19.9897743333 26.968681 39.386307 85.1758923333 20.2940386667 26.5834866667 47.0305233333 45.030634 28.9380223333 26.412124 21.097579 46.935919 30.1110953333 38.4075543333 55.261881 33.823749 47.316718 51.213278 85.6488353333 
131072 43.879376 42.3929276667 42.4238553333 41.5823656667 44.5403426667 29.5635863333 29.306476 29.922937 31.3005766667 26.5758543333 41.3774466667 26.5331663333 23.724754 33.9304243333 66.4406996667 50.1902166667 42.761375 48.3879503333 71.451514 58.511002 31.145177 59.4472163333 44.7089313333 25.2782683333 50.688587 56.1784 91.327506 45.912408 138.096433 62.1753996667 101.021237 77.9866866667 
262144 92.4338096667 86.258777 79.351466 71.6477593333 63.7698943333 53.6519246667 47.8262006667 41.7831676667 55.5385356667 41.856274 41.3695646667 59.7180236667 43.108472 41.0477546667 43.3699296667 77.8153766667 55.9260196667 63.0622956667 85.150532 73.3359106667 57.574632 68.7718956667 61.0149036667 40.2702996667 67.2771853333 87.5486023333 65.7214666667 94.1843333333 107.254081 99.845793 96.614758 110.198929333 
524288 150.979125333 131.329380333 115.757273 113.359955667 112.437262333 104.151239333 85.6591783333 75.358173 93.73554 75.2406283333 68.84875 62.9755193333 83.602155 97.641195 71.61598 80.8405996667 140.346518333 130.986342667 76.5303923333 64.0178066667 103.319271667 94.1483116667 51.8349896667 88.6984113333 128.849189333 87.0494666667 54.5387936667 102.364734667 123.383165333 142.463805333 89.7431103333 140.002598667 
1048576 278.572205333 276.813159667 239.482463 228.024865667 199.658875333 181.920155333 162.183856333 164.574844667 161.058055 151.670738 125.559965333 146.141314667 172.838631333 107.027358 158.601883667 102.426383 130.712772667 125.014496333 139.761076667 138.497618333 140.458082333 99.5846373333 120.412627333 107.889306667 150.024399 123.237800333 101.036685 125.453565333 140.247718 100.662627667 133.157797 227.582385 
2097152 582.677496333 649.038135667 523.132818667 553.638798333 482.296904 354.600469 264.115016 333.833120333 320.770926 278.622545333 243.887787 219.553542667 225.015879667 214.633198333 223.317775333 219.396430667 224.175269667 199.851435667 178.088313667 213.563649667 180.718936333 181.859691 222.008802333 193.609868667 177.440848 165.443533 194.187387333 193.964493667 174.108601 181.669228333 166.266293667 222.236656 
4194304 1156.324492 1394.44851133 1172.668185 1149.108262 1106.91998533 978.207311 754.835957 688.170898333 673.535458667 544.145677 550.945558 491.838959667 485.893638667 417.109890333 526.032279 346.162872 422.262215667 378.181884667 420.268915333 351.294432667 412.503562667 334.693171 369.983142333 334.421474333 316.026884333 312.152938667 345.240682333 341.497161 310.601652667 311.939791 281.105929667 325.656311667 
