 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
1024 2.562078 3.008925 3.27031266667 3.15298933333 4.02134566667 4.07407066667 4.26829566667 4.31893833333 9.17320333333 9.515769 6.02769533333 6.25213233333 6.62676833333 11.8426706667 8.040434 38.3155686667 11.445353 24.1707763333 9.243483 37.9595486667 19.3493413333 24.860651 54.103883 29.200337 55.226547 37.8224113333 31.9005786667 36.9443116667 101.588400667 53.5959386667 65.0729683333 70.3170966667 
2048 3.03625366667 3.467798 3.77856366667 4.04638266667 4.59460866667 4.642106 5.58110733333 5.02973166667 5.27030566667 11.2185696667 10.4545813333 12.9627406667 7.798125 14.3453933333 19.9136963333 9.177028 29.6158076667 10.751392 14.4548106667 18.048909 20.9741166667 24.9512603333 25.9760406667 25.17223 43.5312026667 36.8058623333 16.4310423333 22.735224 41.6335743333 44.0022296667 90.5745183333 48.0041786667 
4096 4.09688333333 4.659344 4.930072 5.46580066667 4.77847566667 4.88352466667 5.09658833333 10.939076 5.990474 19.3599343333 17.038816 18.3527916667 12.7919956667 9.53595633333 7.96342966667 12.516952 9.467895 29.33277 17.469608 9.63211966667 9.821999 11.9166496667 36.2188376667 41.8127903333 32.1490196667 60.1854066667 79.2625836667 31.8954976667 56.6048936667 77.842872 51.408624 61.9889276667 
8192 6.362132 7.08051533333 7.59438366667 7.227832 6.98920666667 6.302976 7.11773833333 6.28886666667 6.958269 13.607119 10.8533483333 7.886306 18.5759473333 19.6414846667 24.6052976667 33.5293066667 15.007544 32.165395 24.2897136667 31.1731556667 26.5413916667 16.1630616667 16.3132806667 28.524422 27.645191 18.196452 32.2112703333 47.4288596667 33.2374746667 45.163601 74.17298 69.6800376667 
16384 10.9817293333 11.5262393333 10.527024 11.243613 10.607928 10.1196906667 9.95147233333 13.9674873333 12.3982083333 8.35355833333 17.2498443333 8.92684633333 8.83508566667 15.8990503333 21.4338853333 13.9072323333 29.0145186667 22.4230316667 29.8496556667 13.8656923333 19.5584286667 15.7944873333 31.1309723333 38.32204 25.5618753333 27.7725806667 32.577555 47.3061796667 25.677088 49.1333196667 60.596215 82.2854666667 
32768 17.1497543333 16.5297816667 17.562039 14.879553 16.5430606667 15.2609833333 14.3620156667 15.411666 17.6555603333 17.4517336667 13.9697783333 14.713005 13.970755 14.2347646667 21.8177273333 25.297308 24.3333573333 29.4772096667 16.3454953333 26.8418403333 52.0073933333 28.5510436667 26.8266286667 39.6107423333 21.9648573333 25.1805806667 76.701925 32.317603 50.617578 35.8299463333 54.7463746667 70.6757776667 
65536 25.8666576667 26.997903 26.974998 28.2099336667 23.6778653333 24.282119 21.2907183333 20.8669433333 19.3780673333 21.7407383333 20.5425023333 24.519138 17.6459593333 24.1596583333 34.130431 18.794537 57.7027506667 21.9084916667 67.8742616667 40.7348393333 26.429166 48.5965473333 28.1090253333 26.3550393333 44.7970323333 62.30972 65.39585 53.8665296667 49.4242956667 49.6647923333 54.6078826667 51.4490266667 
131072 42.531185 45.942817 42.6658476667 43.1167053333 38.6142693333 36.442407 31.8367603333 31.1656556667 31.420565 44.88431 27.9626016667 28.9117273333 70.458404 35.591814 26.5836123333 52.4636723333 81.344891 53.58788 81.6780793333 57.0350566667 46.035555 42.8924946667 107.949851 96.904289 87.4148453333 45.5744883333 88.3009953333 41.5104266667 72.9176263333 124.160385333 44.3426766667 45.3705516667 
262144 91.253209 85.4195006667 69.1665613333 75.7640843333 68.9324573333 47.5056293333 48.4708836667 41.4216216667 44.289509 40.3245433333 41.3182606667 81.2610476667 60.0283836667 64.3333536667 42.1177213333 36.0426673333 86.195375 101.405753667 95.0337366667 142.428708667 68.494966 94.3190956667 40.180006 59.5881033333 51.4483733333 45.776567 67.1874676667 61.8099733333 102.477961667 42.7061226667 110.895623667 91.0711083333 
524288 148.893389 126.817999667 121.4852 137.126138667 102.860478667 90.3226906667 91.4641653333 76.5441623333 83.7697803333 62.329978 68.3228076667 66.1101746667 60.585296 65.3825296667 77.5189863333 92.016608 88.048269 95.253356 82.8569623333 97.150948 74.727211 111.612323667 103.859674667 109.457755 101.091624667 82.6682663333 90.39513 88.4358386667 87.6477846667 105.273169333 92.3655813333 99.6399576667 
1048576 266.570884667 277.117777 237.291505333 250.939949333 193.345989333 191.388098333 156.394575 148.086056333 198.172755333 161.619288333 121.504010667 160.545494667 141.556797667 97.6956266667 157.749681667 118.084385 109.514009 130.506964667 120.618474 124.786169 135.572339333 97.84232 159.377390667 138.072068 99.2917656667 137.695292 94.9119516667 84.8817006667 102.827758 162.449613333 153.361043667 200.288668 
2097152 541.693484667 658.238232667 529.521133333 508.495545667 411.697409667 349.369035667 323.428768 321.148012667 346.509174667 246.820605667 218.461919 228.952230667 224.588426667 221.735364 245.537196333 206.520754333 196.599797667 188.259779667 204.516597333 191.175103667 191.157506 168.086420333 185.265134333 212.808666667 201.732376333 184.848023667 208.682935333 216.539153 181.785417333 178.248833 216.659261 200.665495 
4194304 1112.25784133 1397.747126 1165.22157267 1100.360919 909.822757667 801.917161333 754.302577667 641.52867 770.211910667 538.566463333 575.88647 459.272061333 494.627596333 493.990601667 473.777376667 490.471546667 359.523447333 465.866660667 375.185894667 441.700262 381.39837 360.489102667 317.902643 346.103800667 337.568352333 328.625579 301.07617 315.950757333 331.473903333 303.395394 342.309376667 313.455624667 
