 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
1024 2.64262733333 3.37607066667 3.39415666667 3.46942133333 3.615897 3.70418866667 4.271479 4.32350766667 5.004641 5.12831633333 5.83567033333 6.24733066667 9.18421566667 7.47966966667 11.3694603333 6.80913733333 9.223523 8.68195366667 14.640812 14.5564293333 45.4993583333 10.078034 53.6375096667 65.5964726667 39.140669 67.7660833333 74.876689 71.5471696667 78.864119 75.4900253333 44.858933 84.9206273333 
2048 3.011547 4.05412666667 3.876763 4.17132233333 4.87638366667 4.34205 4.56684366667 4.67328466667 5.161635 5.13316733333 5.63049266667 5.92721966667 5.34663833333 5.84630333333 7.39893733333 7.079356 10.696924 9.61857366667 12.9778916667 9.73507933333 14.292229 29.326779 24.6602663333 43.8106893333 41.9745016667 20.197854 18.9353313333 58.114542 19.965258 50.619781 75.107818 67.970317 
4096 4.35971933333 4.930093 5.28935033333 4.897767 4.80328 4.79026 4.72062933333 5.06329933333 5.284108 6.626174 5.975724 5.85380133333 6.366221 6.704266 6.80889366667 6.95404533333 8.90595433333 13.5686933333 13.840735 13.443835 17.6845406667 19.0665406667 20.9943856667 67.9889893333 39.9794503333 68.7881183333 57.749259 24.127924 39.9261576667 26.561478 90.3081483333 78.866863 
8192 6.57758033333 7.14364033333 7.02903466667 7.19475966667 6.82620566667 6.83420133333 7.04169133333 5.610789 7.01984066667 6.60009633333 6.89784066667 7.340657 10.888661 7.475661 6.91676933333 7.74298233333 8.02393033333 26.7303053333 23.7168073333 10.4177693333 17.5016716667 13.4969013333 31.6303196667 48.046445 16.6633473333 16.516012 21.6750046667 54.4600706667 17.3638006667 83.215912 26.862325 43.5787753333 
16384 10.7197723333 11.607128 10.683944 11.0604163333 9.397037 8.943934 8.70967433333 7.41616 9.65230266667 14.224038 8.73862533333 9.26615433333 8.91640666667 9.26301766667 9.02624333333 9.68981366667 10.5738493333 11.791196 12.703584 9.95462966667 12.980493 19.0890526667 28.636181 18.1050096667 18.2893133333 25.3974823333 29.5459683333 23.405034 30.1413316667 45.400302 41.3028073333 67.61969 
32768 18.6083986667 19.042618 18.5770593333 15.222849 13.472742 12.334275 13.796339 11.0364143333 13.5370656667 11.9358836667 11.6542946667 11.7325913333 12.2305586667 13.3113303333 15.2564483333 11.5419096667 11.0530403333 23.8434663333 14.9857066667 21.042213 15.0547763333 44.5003446667 41.6333883333 18.7621566667 27.6939816667 52.8735493333 39.56552 34.8270833333 26.905075 22.3269653333 20.677736 56.9166426667 
65536 29.4364913333 29.6614433333 24.1908083333 24.6321253333 22.2514836667 21.707237 18.6894606667 23.454017 20.632337 18.454983 15.4149976667 15.1039496667 15.4591333333 17.3446293333 15.5822756667 15.587933 18.2752926667 16.794596 17.7017436667 30.4016983333 22.3645196667 28.9183883333 23.237586 18.6627316667 34.356103 46.9726333333 83.497091 66.3358086667 36.363616 21.5046703333 85.561594 55.984075 
131072 50.6866096667 45.7309803333 40.698986 38.1442286667 35.9003556667 31.8666356667 28.3424746667 27.4155973333 26.2215986667 26.7309806667 25.867889 23.1866836667 24.253961 22.9025363333 24.152421 21.681493 50.3574836667 54.4855976667 22.62434 53.7246553333 67.848425 49.194425 50.1933906667 67.742535 89.308526 46.9760863333 47.9863913333 29.3225606667 52.1427296667 28.0155226667 70.0187433333 51.981997 
262144 80.7082403333 88.1367513333 71.276126 67.3255723333 62.2459606667 53.846018 48.9544053333 45.087708 45.343138 37.5001316667 39.6077453333 36.26164 36.9625963333 32.304565 37.9822173333 35.583366 34.9290663333 31.6812366667 53.914966 52.5905283333 66.3734803333 66.310478 75.7409773333 58.723848 62.0623983333 32.0820463333 34.279454 37.900693 74.7438603333 40.2573263333 36.134113 60.4979906667 
524288 140.911886 131.868567667 121.019988667 111.600641 102.887033333 95.081341 83.7650233333 71.8426063333 71.0931346667 63.9169366667 58.097838 56.3153423333 54.2020426667 58.3068033333 52.987222 53.3652763333 50.5549233333 76.5483226667 72.1483406667 75.0092466667 75.650264 54.16516 49.241648 74.856797 160.485516333 92.297458 64.769949 53.770417 48.6067743333 106.507163667 100.816766667 56.0535503333 
1048576 278.642599333 299.093783333 237.109156667 223.881975333 190.873898667 172.309419667 140.868037333 141.137772333 140.599174333 119.862595 110.320699667 102.866269667 99.4461193333 97.7769423333 98.9648556667 97.6338223333 150.4416 97.2592573333 124.296834 91.993843 115.867946 113.370443667 86.3167276667 131.734819333 107.976398333 185.734507667 90.8672166667 90.163623 121.805157667 84.620687 128.990066667 165.86656 
2097152 540.791987 704.192744 546.030057333 514.005807667 424.706047 413.722744333 326.801825667 271.311218667 294.934788 214.985273 223.937592667 214.911121 214.761625333 207.641518333 192.702787 194.515333 177.01509 196.307197 177.837292333 167.061632 164.362389333 184.696236333 176.993550333 212.313969667 213.342068 200.724238667 164.202184667 209.642574333 153.908346 195.875808333 189.086123 235.932129 
4194304 1082.37228533 1444.42037833 1210.01025767 1155.25115467 1139.973513 854.285822667 747.882929333 633.905654667 694.339727667 514.893670333 455.134816 443.654022333 405.110128667 415.532479667 384.317462 408.703335667 407.582296 378.683011 397.948074667 375.088317667 374.700552667 356.578737333 369.409824667 316.001626667 332.650837 352.362084 341.912144 354.360723 366.510459333 303.510727333 286.263072667 355.780465667 
