 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
100000 134.368051 75.033014 54.352372 50.186845 53.035523 47.26978 44.350336 49.305739 51.963235 43.319879 45.53034 44.94127 50.297514 41.357696 43.046127 48.488917 72.044864 56.115413 45.310224 74.975659 54.105693 112.972335 93.295525 125.180724 124.236747 110.880687 98.742739 76.781497 61.198228 111.92263 78.718465 79.61452 81.102918 132.452894 152.669826 70.77036 94.138844 77.548728 126.828165 101.892176 90.820872 129.804959 137.554507 185.81022 98.96029 131.923036 183.337811 103.627637 105.687656 101.455024 105.555046 103.225064 95.076791 217.573844 90.803422 117.045349 169.354443 122.441495 123.378416 132.45238 116.535186 107.038569 130.956605 116.217875 126.63961 142.504328 135.478385 137.434663 123.476702 165.835665 169.485384 130.523239 119.821465 129.144801 157.256529 125.838827 163.201202 129.028744 137.340293 131.376629 156.13048 150.156744 151.369403 157.9086 153.934067 154.040629 149.591089 161.472351 141.931548 162.78676 157.910011 184.660047 175.035567 161.89109 213.119622 161.625232 164.630385 171.222702 155.291523 194.738038 187.077602 191.635117 169.513227 175.112875 198.165075 203.714295 179.104347 248.000929 177.039387 194.017385 177.487062 189.386994 202.202996 189.872262 257.207823 198.728549 182.824955 199.935241 178.335576 205.606937 182.705885 185.86597 198.306601 196.775219 193.464432 224.400716 218.3396 221.351168 195.957948 222.534379 206.289354 219.223142 214.723693 249.995829 204.763679 232.858212 219.436524 236.12435 225.679325 212.330645 203.21671 230.015567 212.712816 234.709793 244.372574 239.67206 255.516503 223.148729 246.22518 250.476865 303.954478 265.599178 246.488728 263.177066 241.985425 266.417733 253.675572 247.535739 242.023792 243.869405 254.099509 264.948644 283.172471 271.466416 255.32577 286.433345 284.062944 271.815034 287.997508 296.776232 278.576724 279.437298 274.329593 281.137986 291.173379 292.927122 374.479766 290.21952 266.136798 431.551286 305.054612 284.661188 389.438164 407.652043 322.366151 309.023887 280.037981 315.760489 338.571337 359.418209 287.245035 300.419536 296.578059 318.93719 321.151118 333.366502 414.746506 335.62771 305.473353 316.855423 342.006651 329.150871 301.133069 353.530055 345.145181 332.029252 328.359839 339.278006 352.965299 344.878809 335.910891 390.418068 332.773646 363.027959 383.667286 306.127349 334.494028 381.333903 324.097378 363.625562 332.632182 358.647898 364.62311 357.864116 341.733926 386.473109 413.638354 382.195824 388.879436 340.272923 423.54454 508.658626 366.768775 340.058647 416.525718 365.229951 394.657243 372.614522 436.50008 422.69936 
200000 273.852343 148.011719 107.724001 92.676879 88.570762 81.827165 80.32183 76.82833 83.14908 77.254962 84.406327 84.388684 73.798862 68.69783 79.381124 79.619717 74.235246 75.524313 89.430888 79.781131 88.24139 69.391025 95.37941 80.226367 106.347618 166.965756 103.617499 92.298106 105.740262 112.00353 124.478228 139.876087 110.117049 103.749401 109.312096 101.798189 155.480459 90.795146 104.404489 111.991148 199.011088 143.738412 102.133848 107.007838 121.278427 114.466315 142.510613 112.339958 140.110572 111.944827 114.259349 110.080802 118.705361 124.268569 132.886389 151.510736 129.437093 132.795996 150.966638 114.683671 122.979821 141.738444 155.618971 129.419837 246.038038 121.669261 151.582783 153.014917 160.884948 188.640741 175.048977 156.777739 147.298057 143.991118 143.735912 160.529912 176.606212 217.218682 166.072206 175.068287 170.774131 161.592256 178.263787 170.816088 156.004158 186.855948 170.648452 173.78371 179.377326 174.835404 172.125943 174.325242 188.702779 191.08582 169.642114 177.690496 177.114448 198.097328 185.209151 199.828809 204.437195 187.200138 217.491021 280.329568 197.949384 187.55774 207.70718 196.708818 218.434934 200.672899 230.701128 199.147033 209.067267 229.777552 217.752068 215.898886 227.658445 244.319197 225.884749 223.634316 222.519238 301.477002 216.705122 215.769099 248.214309 224.409248 229.936914 220.06274 242.008457 232.279408 241.508818 231.170166 244.447571 292.04005 247.710563 265.720687 236.884777 243.578655 270.174268 240.429603 264.609265 248.167026 273.979883 280.034006 262.749345 254.462177 288.994352 283.117876 299.110197 284.009631 269.287646 286.659556 265.878316 390.483828 275.120945 290.819242 276.26143 407.285143 285.439776 288.506772 299.66828 289.997224 315.993307 284.339581 275.14635 276.459669 311.108411 316.212589 437.374962 323.814066 285.341747 419.137983 317.798567 403.784649 286.720375 301.232828 314.854685 299.617407 305.110171 293.756069 288.416956 449.628325 313.144181 339.834872 316.910533 319.35946 311.078515 309.469507 369.399649 358.726361 352.544954 304.708879 393.089936 314.438446 330.413251 332.581821 332.06749 334.499224 430.669602 372.019999 396.687816 425.19326 341.138183 350.299656 358.103287 354.51875 383.156611 433.033909 337.842922 424.985847 344.862706 373.742496 364.630295 345.298831 397.270793 387.18215 444.521901 399.833404 381.973978 431.630324 352.268638 407.843868 352.914167 369.826279 389.661937 416.067907 378.398038 386.619446 449.883789 396.183875 404.188313 409.57952 402.62107 445.648014 393.848568 410.864546 396.544748 497.057206 403.783109 428.648974 
300000 418.890024 224.878925 163.178941 134.599524 123.135077 113.998622 110.393878 105.266733 109.714796 97.892044 99.023354 108.51048 95.809121 95.914849 91.936913 91.661688 98.061798 87.534656 99.893811 98.269148 105.53208 116.851728 99.745034 93.165675 108.159486 110.162086 100.893988 113.962696 166.675261 106.362888 107.413875 102.027544 121.197337 109.357647 114.80454 131.380479 115.15457 121.292284 111.542382 111.513129 118.535864 123.798055 127.362318 120.860971 129.478732 125.960274 127.915401 143.490517 139.822772 173.610169 141.692059 131.144004 145.225142 143.777356 138.527289 142.616662 146.766918 130.999141 158.760259 172.040103 171.698542 154.23335 164.712183 175.730239 160.023985 172.316483 166.51494 160.761512 178.38921 170.367517 170.70093 163.270491 165.339554 160.084999 177.138442 193.462252 214.535332 185.687298 187.381954 185.904528 182.3998 202.314368 190.382295 166.011067 188.570813 196.47786 184.85341 190.025657 189.927242 210.531798 167.654912 193.207748 211.889192 198.617304 193.306931 197.835639 205.898071 191.200144 227.580562 258.286975 205.676224 311.572701 206.599541 211.862312 226.441681 218.145594 205.933291 209.819872 248.836099 217.521687 217.211304 217.530991 279.679162 243.447522 229.621142 273.622219 334.584935 246.625894 231.872088 323.343747 269.020952 246.608633 240.524873 259.790129 246.854413 239.533422 245.678258 262.359026 282.796265 259.771588 259.569306 388.436766 271.334256 294.017627 297.799122 275.877077 247.41455 264.009927 267.04241 311.489686 281.282847 255.91638 288.654136 273.727303 334.104734 269.656153 311.132085 285.695884 287.60334 285.006408 364.791838 311.787431 286.567814 368.526753 353.560786 286.283415 341.09135 299.331144 334.894804 301.749406 383.382054 303.097048 394.841433 303.418337 435.313916 384.980156 326.035308 345.201445 304.504097 326.648952 389.023595 394.102108 313.344472 347.061558 387.901072 368.530411 356.486321 292.885869 430.763718 351.457782 423.241535 336.611209 436.317622 410.867816 412.32356 368.524508 396.346639 397.573348 365.763596 426.159181 432.269373 345.534794 347.892365 374.003416 464.837568 423.557114 359.333011 371.027003 352.738318 380.240058 358.071786 403.855605 399.195445 469.18632 399.331067 379.091746 408.347422 387.256697 398.368099 530.030092 410.134011 480.567814 375.850184 417.178239 421.913846 467.105835 392.266503 567.995972 443.362747 430.947842 437.855739 484.993679 427.007311 385.170953 485.369114 415.394985 455.284684 416.930793 433.124111 468.141361 468.69534 460.52795 497.012041 459.794593 538.239311 519.584812 533.454113 479.052726 479.797183 486.03421 
400000 557.512972 303.461706 215.832036 176.818053 158.714324 142.782695 126.572378 128.615652 121.398655 127.028199 111.566504 113.086595 127.316767 113.85543 131.609383 122.784019 119.262677 113.417185 121.376714 127.195195 123.660187 125.010073 129.241166 124.086304 130.448433 127.412422 121.187776 142.644569 114.289758 124.099904 139.798009 123.250234 216.575722 139.023402 128.140967 128.466364 134.485839 162.113581 138.829653 168.489121 141.46123 167.257214 150.297757 150.290698 146.579456 144.547471 141.549762 148.933436 180.554572 168.310897 169.024044 144.057009 212.629864 165.325568 159.762939 161.677199 147.144151 169.656614 153.846558 167.863736 178.156584 155.78032 168.292292 201.58531 169.307418 171.272552 179.616304 175.383544 171.006693 211.596711 174.9113 197.466106 166.869267 186.288817 202.287615 248.209432 193.568621 183.195966 187.156577 200.152535 173.025717 197.947526 209.034999 193.546488 200.098326 226.523863 238.900273 220.03817 208.091727 201.053145 197.337601 213.621508 211.136139 257.384057 218.322728 201.1701 236.925069 234.175702 238.692218 234.39986 242.152101 230.493009 239.138353 322.311363 227.109854 237.676773 254.981385 248.026269 257.915325 242.462806 317.415947 260.243577 258.863857 280.166934 249.01105 257.981918 254.833187 233.189124 294.487179 259.8845 258.817858 267.248476 247.576927 279.923595 297.05274 325.206041 288.962018 281.823932 250.451139 295.772334 282.29374 256.503465 277.952301 327.124406 279.651064 304.872988 273.465167 288.60724 323.742921 295.81134 338.98501 275.698789 283.810942 350.903611 287.100046 309.994229 320.067733 314.690124 339.260042 321.964799 349.440427 344.563103 318.723555 362.859614 381.966087 371.221908 333.670596 436.435539 327.41535 361.248488 349.701024 461.975289 391.531735 382.406703 360.233235 336.010716 407.637802 370.747545 366.846788 364.58051 460.271459 405.305316 401.768897 431.389807 391.012082 395.021965 479.603819 418.857306 403.177871 438.69707 385.113087 497.098779 468.991992 463.200328 441.786906 511.599365 335.752364 477.110047 384.585154 486.842821 400.800156 481.936819 402.572247 453.704737 466.250264 532.084144 520.973962 396.954699 534.481363 428.234148 488.551014 417.65183 507.574405 496.655851 510.334099 434.613792 517.357092 535.503995 415.680861 598.258178 485.544258 466.550637 510.713832 511.10813 487.77724 474.692106 493.615609 601.175564 461.579707 491.338746 628.313545 486.445572 407.55318 633.541028 511.36289 519.259032 561.550248 483.499381 457.184702 523.356874 587.553197 471.185646 550.395221 552.948977 531.983165 524.87151 561.815017 487.348172 577.174062 540.756884 
500000 706.113824 375.833245 270.736652 218.838406 194.168984 172.943855 160.749516 187.241648 146.095022 137.880479 137.539623 147.692355 149.280834 145.070338 133.041388 137.875473 147.498736 142.94411 135.510013 138.32071 134.716156 146.877008 147.885014 149.409659 134.195345 137.754671 213.531947 142.251557 160.566931 163.679093 141.795668 153.91328 164.559236 136.709135 158.422611 169.289519 143.932868 172.561427 183.392664 148.417691 150.645992 141.736968 145.530905 146.579843 182.453498 165.510528 168.205106 157.118722 170.075161 165.759129 155.179957 156.778253 178.491794 171.92084 184.392971 231.760713 194.468524 171.82313 158.654659 215.578045 189.55001 179.574731 185.36896 170.126999 184.98448 209.876521 205.770915 201.643371 195.06645 176.701868 172.847687 201.488565 176.692758 213.506479 209.575376 197.140519 188.976849 225.531641 220.637186 248.583713 236.880352 182.218753 262.539623 256.7418 216.648987 212.146069 205.516668 224.521774 230.387666 231.482792 213.153433 240.864317 204.508537 217.057011 228.607555 255.813476 214.0151 248.83674 220.351053 214.426076 233.140688 244.55163 214.453085 256.539327 228.37307 255.548966 242.670091 250.60665 304.500633 285.603949 224.209405 243.639923 262.741325 268.581875 288.527817 279.51082 284.348818 270.689755 249.085791 290.680089 276.415851 245.715083 295.471705 265.674752 312.710557 298.776524 316.089797 278.216363 314.714249 288.069813 294.119764 308.113652 331.732858 307.885327 299.494355 288.097334 294.641666 306.509712 319.330654 307.503604 295.615476 334.724151 309.210128 345.95238 358.379666 320.945566 344.351005 336.473403 403.276671 360.734992 320.009545 296.9678 463.311575 293.997164 325.468626 341.652642 345.546278 391.228861 339.83808 379.628275 348.526731 365.684812 439.952135 346.900206 408.342098 401.519397 384.036436 444.684406 355.467218 408.171765 370.419393 391.00496 423.690877 413.457117 361.453527 393.743609 417.772123 375.929221 525.263882 458.424498 404.542001 433.402929 549.49968 474.081416 528.916809 516.217696 481.74089 475.491545 463.624201 397.204329 486.90685 471.507322 473.047042 480.875308 495.115683 507.155088 488.84632 472.904299 440.846585 484.036742 529.979538 500.783526 484.161204 512.022147 442.508266 496.868143 529.736453 509.198618 471.741293 489.963903 547.791424 656.283103 401.391856 443.542767 558.923354 518.91253 550.467204 500.074419 459.063289 464.586144 540.8399 548.148126 532.453869 510.48775 498.035186 499.639383 559.19858 562.796716 541.503265 497.760924 588.013509 487.654768 528.073104 582.323275 653.904492 509.015584 538.763458 617.534852 546.405801 521.617886 
600000 847.053731 454.486274 327.426128 258.442872 224.833826 199.81572 189.038695 178.247747 167.487595 169.820275 151.134852 177.67805 147.26752 154.498886 149.262292 147.923311 148.919385 175.560099 150.544177 156.157938 140.350255 149.988465 144.062267 145.521155 150.898184 149.350058 157.603864 161.916817 206.48278 195.289773 143.425851 154.425236 154.995383 173.361827 151.49566 166.056552 189.872392 157.986807 162.600261 175.041213 165.469085 169.321083 171.28782 169.77421 205.15028 171.62271 174.34699 180.688399 175.439809 171.873237 183.895319 182.025519 187.839573 179.842195 178.19976 181.280871 193.332144 180.741777 171.253433 234.831944 193.401754 185.655927 200.335377 193.297501 193.322714 211.996781 195.41385 207.215881 209.609635 194.648737 216.962831 196.384323 218.308229 218.371677 232.444479 255.252825 197.72972 203.411934 270.431979 225.507904 212.994327 227.122943 232.761532 254.380445 218.680264 244.761224 249.511587 250.840624 248.506599 344.35402 224.667342 219.442938 216.963601 257.228545 291.016841 242.045413 247.798519 245.001485 278.553049 303.691637 244.805879 263.101942 260.650448 258.877458 277.036296 245.827482 232.926217 308.860418 278.836679 318.3052 276.284654 283.845843 251.209451 319.696789 292.474122 282.313049 365.519804 289.104314 344.313859 309.132627 320.579176 296.2202 297.721431 298.265465 314.779556 289.853194 280.446264 433.80114 282.398761 303.53529 343.941053 403.985647 368.428211 390.973971 373.109414 330.016965 344.479122 383.13743 341.681192 381.692913 358.623006 370.542762 324.42784 330.736786 363.692092 389.058685 345.7807 380.941593 394.532908 371.891301 370.745492 394.66648 397.258796 426.79085 336.027718 393.432395 420.556195 448.654002 429.748528 397.06171 370.033243 461.082314 433.456563 427.776721 436.816364 423.655399 474.296333 387.564516 423.37716 454.820907 443.756209 477.123777 559.619116 517.820291 599.556034 423.038549 399.804533 482.522556 562.164534 504.346892 441.05387 521.844801 535.680036 457.408218 569.389548 653.051228 508.910756 438.734537 521.969198 554.859837 533.238936 438.865091 621.560838 521.144869 564.492016 529.953939 578.717505 531.500847 511.687643 588.179863 487.507146 593.300337 552.293826 527.995605 513.653545 629.200168 536.298106 467.304329 557.583028 624.994931 521.336501 536.367972 675.290842 584.808964 581.600954 536.294643 621.322695 681.55892 612.444788 603.756138 529.929815 560.370181 674.674246 601.393435 700.523801 688.158553 611.642913 528.818843 607.099965 641.425303 538.347091 543.564759 613.86871 673.463512 553.174933 629.86488 695.5854 575.186538 601.327227 713.330758 
700000 992.31897 530.321291 380.015771 301.27453 257.264664 232.267346 212.083263 211.411303 199.966613 200.03725 195.987138 181.840368 169.11585 162.417227 162.580567 163.696545 158.399773 161.690799 168.93705 181.815924 186.734116 207.001922 168.431122 158.232263 164.641035 157.746803 160.338987 174.522648 168.6071 189.188369 162.264411 155.470581 166.781505 175.029601 168.074037 187.473824 167.178238 207.784936 186.547618 175.559585 181.941346 178.536638 179.014273 178.553256 174.969744 182.743159 174.160684 187.659746 174.956784 214.605197 176.954124 181.429454 181.651817 186.821495 191.364637 293.634175 194.147428 207.319812 194.532615 201.036592 198.932499 217.080878 207.436317 197.718042 199.204772 257.655368 220.690819 213.384453 191.233824 225.888857 205.63016 254.575412 213.947351 247.416924 375.933327 220.079165 258.394435 225.211379 226.825776 228.131332 231.137189 233.437022 250.992672 255.324422 244.604367 240.110753 228.658687 246.664193 240.715543 252.677254 233.485329 251.983996 340.942124 234.473381 336.156092 257.448404 255.477111 226.932274 254.428368 246.068256 268.620369 378.373401 257.907817 294.700111 283.589736 250.185023 248.397535 306.856921 320.661359 278.468814 285.462487 303.400374 265.569602 337.009098 309.104528 283.478619 322.589411 272.434387 308.068039 289.312945 309.906083 291.042951 305.40894 320.272131 303.054449 289.687868 365.830572 336.466153 334.727551 317.344479 326.864706 375.482254 329.766312 412.31227 346.73475 311.786146 354.43214 339.452637 307.94005 341.386977 337.12477 356.797603 332.376396 413.844292 362.177325 414.182517 410.930948 349.403987 347.62253 366.754597 475.519835 428.767853 399.520004 394.958003 398.704658 463.005363 516.705147 551.411823 518.203039 429.84431 451.817936 418.336816 513.516511 409.712514 511.136423 421.523848 491.389877 476.665516 481.803375 405.755364 488.921445 365.141996 501.857675 422.134412 454.386641 463.509814 474.257648 481.121535 472.063482 473.012208 569.339701 504.115356 541.591926 550.986281 524.825447 591.301458 537.837122 547.499453 516.253945 496.904454 567.078299 606.373728 516.524294 610.059887 565.319937 704.841823 580.017991 516.739149 613.768948 701.794329 637.521531 565.179372 531.237554 565.307234 547.39148 563.866309 629.700963 642.496564 612.155577 642.954823 631.782283 734.858376 602.336835 616.202096 489.050332 658.151619 539.556542 658.458667 641.034789 583.476013 583.476335 627.931951 553.052845 629.101113 729.070371 664.506758 656.160503 645.731904 581.758903 620.5452 767.900355 657.258711 641.110302 607.408871 697.763015 611.759291 655.239944 639.300744 622.659943 713.173128 
800000 1132.237848 607.725348 434.628932 346.020449 291.107234 263.347077 241.881881 247.613047 212.301261 207.339121 209.995848 184.262221 193.43428 191.991048 173.778835 177.389352 171.274219 175.296486 170.78876 185.179961 186.437015 168.883031 189.905496 172.30346 207.285297 175.424283 177.168211 165.562814 211.07391 187.675208 176.638355 197.322141 185.95566 203.790642 168.396737 183.066116 168.577075 200.536118 193.295897 201.464508 199.523431 186.7558 205.738902 193.828513 218.61906 207.693451 199.843885 210.635859 194.678311 210.381421 198.318278 220.742979 220.051899 210.062825 209.628496 216.304345 225.548128 221.163066 229.533122 219.845062 237.047154 239.01633 220.216842 225.059329 232.522618 230.911172 239.3824 222.342044 220.813741 236.453463 240.845776 221.512903 237.366454 247.811414 237.948149 235.442252 240.348574 234.2618 238.003323 239.90539 237.547435 259.467492 241.909019 267.382561 253.350499 260.954799 250.830295 258.409127 266.738956 236.215256 273.575642 252.108777 261.430317 254.427214 284.133514 313.023313 282.219705 366.911779 318.59884 265.788243 261.335175 303.565123 290.080689 293.132995 279.442176 281.549733 268.399546 353.915113 311.771199 307.993428 296.977872 311.249618 353.902412 288.179003 309.358391 337.051312 344.609229 369.962157 313.985768 411.47479 295.284178 405.740416 350.940694 323.63097 325.250819 326.338891 326.418956 448.813105 342.128031 325.80897 320.075815 380.210096 352.091571 340.141918 358.135877 343.138987 332.60697 359.732568 403.110059 357.745941 411.142914 347.135976 389.820206 421.820629 388.539286 369.211353 504.320139 364.239655 401.071018 357.701033 410.918052 450.029036 396.581318 371.197785 459.032431 444.711352 514.596947 403.561069 394.717037 423.076592 454.220224 430.073474 541.105117 452.181888 476.213867 401.373893 504.183361 581.99262 572.456932 481.009778 552.191436 513.989014 524.753207 501.621454 486.533017 502.668851 568.713612 481.851813 594.827804 551.075328 612.5969 466.692805 526.793468 569.98542 547.114011 518.469732 537.352559 678.091787 634.285612 593.859897 585.403297 631.388435 629.439468 537.106524 599.459225 608.343803 584.387336 626.51778 597.321962 633.926022 631.11738 613.170573 720.588556 780.393722 578.680872 697.350755 774.677377 676.514022 599.453898 685.592604 613.642499 728.962397 673.82496 715.753124 726.19122 751.660205 714.978387 786.168386 629.905874 662.764434 643.980854 657.123921 704.389657 739.385288 691.904246 625.572264 647.17796 732.997044 732.141153 725.102571 740.980887 670.947606 638.770053 694.319364 671.959138 722.738969 747.269239 757.845845 809.393354 845.818486 
900000 1280.644887 679.913598 487.489376 380.828169 334.586346 290.921633 269.264355 252.564984 234.680027 245.010469 218.013372 211.02977 257.755836 202.800086 195.532471 197.915642 189.584462 194.051902 257.434354 203.857426 198.650473 177.06614 179.915138 222.342812 190.196182 189.763711 191.158506 204.212909 204.009344 190.481672 186.448369 188.260815 183.798959 198.957775 199.723851 181.269451 232.262084 216.866214 203.771139 214.434995 205.455402 213.10166 214.15977 211.649445 244.388933 215.310003 205.472852 217.408325 219.117609 243.504299 212.314346 228.681976 236.829219 221.644806 234.49526 208.621709 233.988689 217.4209 228.351192 218.779703 238.487564 231.219501 233.362986 244.872469 237.280937 257.836413 248.409083 251.278289 242.861208 227.394512 244.751796 265.315162 246.0016 254.541603 237.971115 277.565574 242.547747 265.981478 256.908669 282.727041 289.512597 254.391159 249.957721 266.137825 287.421718 341.574052 271.162065 249.379363 274.965818 272.296776 336.154296 258.528904 264.309531 393.02751 293.167574 291.340887 286.023457 296.343315 312.028267 266.433771 287.475738 313.678208 295.339866 289.30313 330.568186 275.224812 319.505027 305.728495 301.952328 305.569135 306.330206 431.882518 314.322837 330.263577 323.648421 319.394618 401.022581 336.004944 374.398803 324.457543 349.096942 332.998123 331.641116 331.587995 326.997057 300.719972 323.98254 348.174327 386.238302 343.348453 362.174822 349.116958 392.778973 349.363312 340.627766 348.183821 358.128563 439.469433 471.5147 370.460708 394.544072 397.279197 452.243158 339.546303 364.574672 333.130924 396.207743 437.230676 428.214708 444.695569 461.284403 364.950172 471.10943 423.701976 409.357029 418.404499 444.980288 461.684409 487.669459 427.82086 471.765224 533.655943 437.228367 509.218892 457.822851 520.883053 500.902021 468.859128 524.154001 520.350823 615.945538 531.095707 518.435344 578.770562 539.359906 547.03003 642.652844 600.942617 530.016747 546.354285 679.707342 560.892916 685.231735 602.262543 659.453968 594.405535 647.196629 574.847735 680.767054 647.273037 639.308764 648.444059 614.542659 583.461644 594.218331 726.758477 597.994565 666.741664 578.375174 534.021178 566.948127 670.371045 703.762157 608.724564 668.619932 648.969362 784.756395 666.178895 657.255375 712.038353 697.843658 669.739567 735.725369 731.718433 632.32298 740.700273 632.289043 733.238716 642.78244 664.531138 767.943405 742.772739 715.098164 723.169837 685.003342 667.621806 683.76053 662.181201 830.149189 690.961936 793.856217 812.016141 642.921077 768.735976 749.254647 706.896003 815.085255 881.410309 782.867285 827.090917 
1000000 1434.978321 761.62939 539.593945 428.301703 367.571742 333.241463 295.093958 276.984777 257.94875 256.361041 232.895872 222.874851 230.492559 212.160312 209.566585 206.281973 214.259658 211.739775 211.817916 209.385861 216.353551 196.040132 197.151939 222.977113 203.57245 263.952252 229.526705 230.440145 201.792404 195.845099 214.066616 224.752989 204.889682 206.195045 244.115182 237.275997 215.322965 213.046295 220.412321 224.114455 221.645767 217.603612 209.00754 219.131979 242.294656 224.418805 238.472294 234.664949 231.910388 221.348343 230.194944 240.422161 232.800858 242.633459 236.885101 241.736953 237.252388 236.045118 234.966093 244.771554 251.153316 243.080683 247.126687 251.218177 246.091225 268.894375 246.94256 241.263105 271.886567 241.885538 263.636802 273.058552 252.75238 240.223793 249.060001 256.878516 276.939228 275.63502 263.349709 251.59791 271.943793 280.629298 275.660041 274.087408 277.865756 284.903632 290.89334 281.565578 340.595175 316.688748 278.91296 285.572769 290.743155 306.218064 286.092039 345.438819 281.826176 300.688024 303.677523 286.31036 298.046056 301.668123 384.046057 302.517343 314.844353 313.91879 308.141945 299.988543 359.232801 338.420574 302.784356 292.102342 343.597568 340.066858 336.15808 317.066559 340.234816 408.447761 323.054153 355.38478 366.179704 336.737851 322.680705 343.089845 336.020854 312.812757 324.777099 407.443027 367.408018 422.008988 371.621851 424.017876 422.490856 395.603017 369.81255 350.76446 404.388604 368.224325 425.932328 388.463456 374.874705 404.480217 402.791463 470.867823 479.073704 465.745489 402.446373 442.989687 389.146387 389.971677 374.437104 477.235342 409.154493 500.404881 610.242344 448.020662 460.006561 418.965216 438.763084 483.504896 477.639712 424.787351 566.077414 489.893522 468.901471 479.784351 461.37037 584.143996 480.622604 530.47969 599.108553 572.171441 457.197981 531.892064 515.298227 461.725725 607.108819 611.409774 549.362389 537.860539 603.123184 554.617586 570.162937 560.909211 567.114226 500.067876 672.088669 582.078719 529.370384 610.555292 648.15947 708.035718 528.994436 627.826736 607.942962 582.778971 579.591616 676.454036 652.294968 658.366475 698.398471 718.72716 647.224345 643.024944 652.470238 710.055834 653.428012 731.355958 649.753594 585.297762 668.381403 660.348352 731.470541 735.139183 704.773946 763.003594 718.211867 700.109743 672.372297 712.527023 688.136804 790.994963 752.427309 733.557696 694.344704 688.826342 815.391275 831.767885 738.365413 905.876424 938.984805 795.054761 689.510236 712.286055 740.514609 665.841695 843.450011 777.886928 715.078469 772.265338 
