 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
100000 204.504302 186.956991 159.129921 154.906591 131.441299 136.859707 128.529683 106.96787 106.760073 98.720671 89.745247 89.876766 85.080789 85.724265 86.863851 91.529657 85.299109 79.042385 94.9676 87.781077 84.460088 91.004098 86.635331 82.627371 95.252191 88.114298 87.096349 89.824544 84.413962 91.703068 89.440896 88.834503 94.006877 96.386966 93.636703 95.307494 90.672033 92.634151 99.025216 95.731493 100.339945 94.653369 104.824961 94.181121 104.333533 103.398475 106.47471 102.562276 102.787716 100.387227 107.988129 108.271821 110.548107 120.088672 109.5453 106.729854 105.130468 117.840807 109.990407 106.860667 121.284972 117.532284 115.601795 123.480037 129.746641 132.672306 120.927499 129.103872 127.145923 136.713624 122.228949 118.698624 130.971745 132.702456 125.434009 138.798664 147.279388 134.682413 141.725357 148.711779 135.602524 148.182886 140.387274 138.368378 136.768158 141.180423 145.862076 145.134877 143.971041 149.656526 152.050538 158.362113 163.264973 135.848238 163.395208 161.447651 159.550714 164.002691 163.438576 153.789269 164.041954 159.189392 164.705638 152.180131 168.410402 165.907262 167.258625 177.786666 163.524994 170.106149 169.229149 178.536895 180.018686 168.204913 171.775528 194.823942 189.466289 182.779213 179.531042 191.634346 180.207236 186.311656 190.462809 177.95937 195.542481 212.239542 198.148716 197.642211 197.466618 199.51291 197.956828 206.39091 208.395373 206.904472 212.301645 201.673524 205.418574 213.059829 209.084141 213.547795 213.182239 207.806684 211.994021 226.325624 203.94519 213.054377 234.015058 211.90196 220.355803 214.70977 227.067384 236.878044 232.36223 241.262529 235.523215 225.821751 253.402336 246.199262 234.225807 256.021082 235.218031 266.126982 245.484124 242.110337 226.45528 262.410734 236.694495 257.180171 261.635421 240.596021 261.291678 243.192891 260.0982 270.743902 255.011602 263.743685 266.456289 246.584961 276.293186 243.760278 280.124014 280.816953 283.633619 268.707683 276.431953 284.372106 269.821094 265.93259 285.149922 280.883674 280.27959 294.724682 304.930857 272.572064 289.763507 288.245277 298.704092 295.163951 308.453484 294.733406 325.948957 290.163256 306.079681 304.409148 287.569403 321.75251 317.165038 333.114758 304.260694 314.002384 329.101089 314.885606 308.774129 327.80432 302.366192 327.264649 323.316674 307.907586 363.30607 321.754304 336.756713 346.306837 343.082274 330.807292 334.733518 331.006299 345.038811 343.701562 355.903795 314.517806 351.114297 341.544157 341.499761 349.618969 362.634751 340.385002 350.091408 334.698232 336.501567 339.777518 
200000 398.834123 460.309181 338.384391 310.834856 243.367649 246.290426 194.453448 175.487092 160.442148 166.953055 148.59893 144.425514 149.281925 129.365689 133.356327 136.874271 129.778846 124.17458 123.798247 124.338432 125.597155 120.73497 118.501604 121.239101 111.997627 121.338413 116.609157 118.469013 114.626574 116.420606 116.161485 115.120953 120.708345 114.717483 115.871696 113.241787 117.885651 122.702543 118.081132 112.230896 120.196774 119.124933 118.296821 121.888479 119.397018 122.122133 127.217839 125.406743 126.337119 139.803077 117.231014 122.717684 138.091998 133.619041 143.425851 137.710017 132.037746 133.905047 133.470459 139.798138 139.998364 133.617822 138.880013 137.125053 129.67652 143.580528 154.344465 136.228034 134.724241 151.074547 149.813963 147.813158 148.101792 149.909682 139.508541 155.732653 143.473006 156.666175 161.349494 150.755951 157.111796 158.674099 158.141484 159.074041 169.885006 169.528047 163.691732 161.571534 173.517979 172.431577 167.340872 178.282006 176.732982 171.117297 172.18535 170.665837 180.879645 166.159137 173.475124 180.593193 178.640889 186.515797 190.431823 192.872345 190.712245 194.350158 191.036868 192.878762 187.799348 177.314998 191.899497 179.572486 196.486842 199.646738 198.761588 199.323781 180.110876 184.563815 197.110366 202.154045 190.69473 212.151138 198.362864 216.609015 202.127933 202.098615 209.443281 216.624672 215.990175 214.921869 223.793999 219.86976 202.798996 219.755566 202.059608 199.584763 223.032031 229.433744 226.199688 240.440636 242.809821 229.749645 222.95883 230.891348 241.248927 233.986251 236.183883 233.293761 239.648514 235.975187 232.712775 262.73536 245.566563 230.925029 266.728628 245.993966 267.416305 250.076985 243.652626 241.117345 265.189675 257.518525 254.12068 243.752385 253.373659 268.233192 266.377763 253.671081 261.105436 266.125955 280.721298 297.632962 281.538698 290.992846 254.118692 258.29692 289.910741 291.170812 290.445733 291.027555 280.48322 287.851878 316.207199 298.010065 306.231984 297.845956 303.559991 331.309497 308.683991 335.309951 314.697824 319.399556 320.904509 311.764463 321.153686 321.64075 315.458704 313.791891 326.451867 316.552226 339.347614 314.368965 308.043467 315.917603 311.935052 335.39996 323.111697 333.734047 316.841117 325.428851 330.218732 336.501696 340.927626 347.802934 339.801896 358.102196 318.815233 317.407671 339.282754 335.653887 359.43829 359.144587 348.12326 331.736065 355.052006 332.932942 350.75939 352.694693 368.487747 341.345275 362.903048 367.150884 368.003442 361.253173 335.142891 380.256739 357.349721 341.75003 374.993523 345.710451 
300000 603.81112 744.623226 550.450971 496.124327 322.821909 356.403562 384.6912 241.068908 272.716027 208.622672 227.646706 208.313832 189.856416 180.994869 183.182877 162.511343 179.196794 161.73667 164.910421 149.239455 168.651817 154.916473 144.763548 143.078515 144.230292 138.031178 138.728094 154.58261 152.389341 146.559698 142.45775 148.888846 147.497451 143.099813 138.785066 141.589987 143.238966 142.851212 142.526845 136.728701 146.357351 137.654779 141.620142 153.357312 158.029597 152.694396 141.940533 152.398835 147.002881 147.617294 136.191595 150.500487 146.4949 147.950131 151.13838 152.988227 162.196662 150.123253 154.362045 160.366638 143.021224 165.519189 154.071357 167.838844 180.922821 158.97627 160.160188 155.21659 160.898677 170.408255 165.825849 160.970724 180.389116 179.091451 169.055288 168.930122 172.953094 175.558174 178.58732 170.590583 175.204039 177.804821 173.165768 182.020515 184.142443 179.230733 184.412858 192.028513 187.508852 174.009022 187.404601 188.349093 185.566496 202.577916 181.1124 194.063898 192.058603 197.702644 196.22618 196.510323 201.973642 195.285282 209.870361 193.156425 209.557669 209.323116 208.911948 186.238135 212.151266 215.053707 198.582725 216.075503 219.439795 217.385805 208.476143 204.584558 207.291711 203.757409 218.498639 225.068824 224.777819 226.438857 227.753844 225.218243 230.576538 225.923371 230.585842 235.939326 248.188326 226.286939 228.930706 215.468662 246.210552 235.473879 219.272735 247.973791 257.544315 242.279067 250.597155 257.597051 234.243192 249.225393 250.155128 244.197173 248.496333 258.361523 261.057384 283.458089 256.227405 248.271918 265.359558 264.458501 265.121543 269.152021 280.718667 241.455057 272.402823 291.844311 272.173597 288.591265 273.450089 284.369605 279.177534 303.537921 280.410402 299.187309 259.466274 286.791394 263.896695 286.625682 303.284831 273.04771 277.494171 309.662871 265.753728 313.440899 313.344408 289.6785 327.273887 322.017663 307.239861 324.485514 307.347578 337.011792 328.527091 333.569488 319.096874 356.780024 336.580671 331.460326 341.459856 315.579378 355.974108 322.627006 360.134563 354.704222 358.841006 343.875616 370.596588 338.618428 362.903048 349.898558 345.563278 358.282279 372.110008 348.775845 354.506946 365.2202 333.432132 361.712458 369.850593 378.51358 367.091926 343.052699 381.448163 359.834446 359.437519 370.849359 385.59399 396.74594 375.32488 338.578844 344.44852 373.602575 363.568656 355.362839 399.059499 387.166368 400.925321 390.776181 379.596712 366.759409 370.691283 387.031384 369.538351 364.229325 380.026742 368.88955 369.433329 389.649619 
400000 792.597813 1074.567377 805.973955 476.513918 569.526391 534.348625 500.214215 434.529428 304.947279 278.345699 303.695872 238.726543 248.828912 211.66619 212.567311 224.35805 207.581499 195.005181 208.808722 189.839993 191.273408 183.704138 184.909994 184.663768 181.740863 190.089619 176.698659 160.81149 176.078152 166.083689 176.109588 163.732984 174.971413 169.938255 180.772315 188.835901 160.936849 167.609359 167.895044 165.671877 159.511965 163.145708 164.630576 164.491233 159.078597 174.048221 164.933966 172.594337 157.408705 181.016809 172.864432 168.323663 166.824424 168.30538 165.611572 166.743844 174.194944 179.861312 174.916175 171.168171 173.9432 179.51141 181.998702 165.037897 168.53467 182.805325 170.957936 186.632432 184.808888 170.697017 184.452955 190.839015 195.076907 179.265118 188.193261 178.010759 192.264029 179.056999 185.318728 194.893744 193.113506 190.686133 192.559398 202.49984 189.462632 195.821812 190.44908 199.533502 198.443573 203.566292 202.111702 208.947747 200.060859 204.947871 203.842671 206.512676 204.364122 206.045436 201.275956 212.283683 207.090907 225.719677 213.585388 210.828838 215.652914 220.708142 212.327116 224.495534 233.771525 218.730114 226.344997 225.190205 221.212786 238.809174 240.933798 230.148174 237.743815 233.124652 225.567118 234.529519 240.313291 254.098163 246.760233 239.143679 247.684771 245.830113 234.309273 256.009919 246.952891 253.990447 250.455245 237.313974 256.191863 243.180252 261.320997 257.479262 239.124688 245.609227 241.274653 256.37849 267.446267 262.221221 231.881644 261.423966 255.006277 254.099959 270.801065 278.814931 270.305979 284.997041 308.12578 285.35695 273.525731 267.410276 272.051061 292.468155 322.294104 269.64409 275.580103 291.67892 280.336431 319.013281 262.987809 274.093565 300.436536 310.343812 300.670319 304.71427 313.981598 326.593651 311.970655 335.270046 315.668876 346.54344 337.286313 315.090517 332.291904 339.930272 333.632167 330.239648 344.720474 321.849767 348.712908 326.743068 340.573362 355.249732 342.329928 347.913601 366.253482 347.295915 382.008109 360.813709 350.695621 378.072515 363.105584 347.418258 367.272842 371.148002 367.967643 351.128604 383.891956 368.36534 371.803538 342.98386 371.569308 397.745028 392.32418 361.967346 353.723226 382.276533 354.72565 389.592006 401.76832 403.259988 373.40735 399.250939 399.85823 375.465958 387.24143 381.139383 383.130308 361.190171 404.715539 406.572507 413.47585 408.514931 415.622672 430.858859 407.313692 394.056879 401.174114 417.94996 411.905782 416.418323 406.151202 382.570171 400.947968 421.914551 427.468521 411.225032 
500000 1003.353001 1360.585959 1017.076285 1009.310696 617.163138 680.911723 562.387986 488.678489 401.373893 390.195641 351.666158 328.248852 338.926372 255.771005 250.039584 305.137755 258.351194 238.848115 228.964387 241.90671 235.816726 216.970979 205.169911 208.40307 200.426348 205.726456 207.591957 201.341328 191.161716 201.089777 202.091366 191.618692 190.582139 183.284691 180.158991 196.116861 196.272438 190.350475 184.800034 189.108945 187.222593 184.590695 185.896509 178.497118 182.818091 183.144833 183.797933 178.369579 188.594485 194.105662 182.837209 195.974693 190.989522 192.458224 177.417453 185.481939 186.788521 183.628882 202.009374 186.565774 192.061425 202.562586 191.181539 199.394607 198.223713 188.20545 188.635223 192.63555 202.491565 190.232429 199.161531 207.491043 180.359091 197.85373 195.896102 200.111989 214.245481 199.994905 208.74694 205.726714 205.87908 197.67044 208.667708 219.663311 216.537419 216.414307 224.925889 214.772578 202.100285 213.774067 208.400566 215.768393 217.191353 219.301605 224.899456 220.387878 222.060979 216.747978 223.912816 213.627666 215.958484 227.11781 236.334265 234.443421 234.123545 240.696873 229.930176 237.674526 237.9196 233.711285 218.31599 250.681518 243.62767 244.346784 248.184219 248.09947 252.081384 254.950976 241.282416 248.506212 257.654406 243.930994 259.175073 251.529777 259.63359 256.930351 259.738227 249.031067 256.118213 272.271176 253.583702 261.413187 274.610591 259.202725 265.825324 278.859069 277.729106 263.292738 271.489511 270.207628 277.448875 286.519954 278.293094 288.780074 279.738763 284.111829 275.941104 307.004155 286.772982 282.824943 284.913062 279.255099 290.216442 314.257656 292.713549 318.685383 275.704691 303.935555 284.671648 306.456013 320.998431 287.116661 310.763258 306.603445 353.26638 294.727763 327.153979 316.830019 317.622334 348.516401 352.888184 345.878665 329.3971 343.967294 367.191238 352.307902 350.859473 343.101392 326.517947 365.71381 338.075613 356.82121 350.636856 360.842579 348.90903 371.875071 378.422097 362.392116 370.154754 374.388539 350.956861 383.325981 371.727642 397.991446 353.956366 410.211898 364.717098 371.876801 377.440587 402.799292 392.90568 365.315279 393.266298 375.973296 377.505257 390.48742 403.354426 377.928293 384.790899 372.31062 381.803003 390.568127 364.959282 400.753257 412.295268 409.541411 410.639234 448.781221 399.526869 399.460467 418.629556 450.2258 408.077523 411.147084 430.434473 440.066587 405.237633 415.061379 417.197678 389.726346 437.457465 436.952758 408.070593 421.968313 433.208988 411.929969 443.637651 435.032788 423.854217 406.870252 
600000 1192.98327 1680.903768 1267.132932 1190.75818 969.369546 771.692306 724.597672 524.248821 625.461274 489.617784 438.072072 409.722074 340.575094 366.985878 341.144855 321.266727 327.981003 266.575233 296.00278 278.139763 255.43509 265.917388 236.674287 239.546956 242.832338 235.186401 214.511596 235.711896 232.344781 230.455926 216.009615 219.472194 219.54392 220.971242 213.95473 218.861115 203.290104 213.484024 210.265363 209.04154 214.599807 214.480929 197.88459 204.710497 216.858323 207.84338 200.306635 211.740547 202.145769 199.536134 210.725482 205.971657 205.287701 213.997775 207.933647 208.946399 206.297822 215.098744 213.384584 217.116674 214.544506 207.010842 212.177249 215.591133 213.240362 205.784002 221.751559 207.716676 226.313754 202.844804 232.685443 217.82559 216.183991 218.161379 212.127401 203.081341 222.61701 228.395779 220.054785 226.274172 230.266798 239.962361 232.026573 235.918668 237.087443 228.691342 232.653622 242.105462 240.384503 237.463328 238.763559 236.111452 239.956202 233.533511 244.982432 241.299803 247.616639 243.197189 258.206653 247.738984 252.00305 252.899361 252.332807 239.077792 252.11699 252.868053 250.044267 263.407254 274.431728 260.132139 250.435292 263.1575 250.001797 271.418298 256.161645 270.99494 256.699971 269.110513 266.884332 271.706163 265.08305 271.79489 255.234092 272.518045 295.096846 283.704894 275.491632 276.673561 286.973274 289.495146 298.608695 279.539048 260.898472 273.439954 275.824406 285.162304 270.414337 280.28113 285.861981 286.281104 297.323346 294.376641 305.312579 288.921085 304.625733 298.303893 313.504667 311.722182 335.25279 327.697502 331.029651 314.947517 298.144212 310.326106 317.463871 299.413904 318.865145 348.862646 329.253133 316.922274 355.252556 338.351415 324.444583 319.938266 363.64731 338.6847 323.806497 362.992223 329.777026 350.348221 356.15342 334.830457 366.783017 390.136106 367.136258 375.002503 378.185364 375.177517 364.536821 357.624368 339.464569 382.700468 400.266835 364.137264 409.016239 406.37215 404.056987 393.594386 401.168534 400.093873 394.506735 394.451369 406.388701 404.606732 382.228867 410.266492 413.974141 418.742532 398.126108 408.974924 404.614046 434.561827 415.85998 400.952909 414.809955 421.095613 431.723029 415.878265 420.020821 435.175662 459.060787 424.506609 434.986661 432.054004 458.008708 452.173163 444.688126 429.60867 440.704033 415.818923 423.949807 436.349379 463.392538 473.334392 470.461655 458.789218 456.088099 416.4393 452.964451 437.380608 467.788379 423.238777 472.180372 447.428958 466.962383 456.810548 463.570376 450.529702 454.288356 453.773383 
700000 1392.695703 2014.723268 1515.091199 1363.344629 1204.004534 993.257173 968.013949 747.98104 692.567031 624.253427 530.270609 558.330562 398.967886 394.755208 407.637034 383.535768 343.25389 364.71004 337.883082 325.727878 283.16798 286.247297 268.742006 293.437795 270.607251 253.690327 273.170568 241.398217 267.130558 252.35866 254.505418 264.046176 232.604546 233.658035 249.221092 242.745024 254.489956 231.933802 231.01446 229.974827 226.753344 238.35842 230.690221 236.757237 220.341238 237.418484 233.436828 231.010867 222.300277 222.782852 224.010909 237.237311 224.269261 218.104152 236.075974 231.849696 234.748736 216.058504 219.795342 228.353694 226.050078 227.553486 228.092326 229.709419 218.394774 221.606056 231.820056 237.276766 237.525558 232.239823 219.32175 235.108004 245.211786 244.783165 228.29634 245.270873 247.001905 238.985151 226.372393 249.022019 250.451395 255.433934 244.492863 237.495727 241.936156 250.701728 243.50571 251.414811 257.506465 253.020614 258.245339 259.183158 250.309291 275.579013 254.511962 267.206197 255.390054 259.982658 270.469573 257.280703 272.023025 269.208156 271.092969 274.440837 256.869211 259.951605 269.417046 253.568884 278.883383 258.730351 272.253662 276.232496 278.119938 281.668996 278.918668 285.524075 273.873258 287.306366 282.979812 291.591798 283.786499 282.961529 266.129357 301.079562 296.352553 271.249827 285.973545 303.908737 300.749933 291.752249 279.72728 294.918175 299.919768 284.146216 309.623031 286.909568 295.347949 355.956145 314.070452 316.941264 304.241317 315.098024 312.97372 332.961426 308.62561 319.276507 295.009595 298.865636 363.090445 322.34004 324.624475 331.309625 360.806781 337.080953 333.328394 313.688472 324.599455 343.600839 358.529917 343.533669 324.97521 353.000456 344.803618 364.552668 375.749266 387.071931 377.872479 353.248864 383.840248 377.700994 352.575236 366.48842 362.683895 356.481124 391.93848 388.623715 359.888144 372.06978 394.342885 392.811759 387.702512 401.520231 401.253923 384.593749 402.579946 394.783692 431.528254 400.130055 422.63636 430.855332 430.283902 436.320958 415.393766 403.314393 417.161879 412.038263 404.392005 417.485864 433.305799 452.592865 433.23709 436.7814 413.506322 444.269709 423.970401 430.092591 447.53212 437.361362 406.559676 439.766728 473.759998 436.55519 442.165485 457.71937 447.10177 454.787162 451.206667 474.690375 460.47547 461.304228 463.892049 468.059691 473.009448 468.705604 476.803964 453.551985 461.859488 470.910999 467.399407 464.628358 485.568831 480.376311 470.097704 487.603636 485.865354 480.670718 462.384983 488.298884 472.227845 477.031521 
800000 1585.553677 2291.896342 1750.679017 1465.756267 1344.305583 1033.990641 1068.412853 719.327652 745.139548 722.25569 607.10343 637.026061 528.63042 552.432208 433.425125 411.57904 408.370326 368.877682 376.860433 379.160392 363.861781 295.931247 321.930477 304.293733 326.140138 293.424964 299.816158 284.579071 305.204991 293.548079 300.627335 271.351898 281.614723 268.63089 265.539706 261.479589 250.161798 262.991788 254.322383 250.986513 253.586397 250.712059 239.252998 247.13862 245.536026 233.837476 251.809558 248.877222 252.783112 243.81481 236.215769 250.037916 241.051777 248.925853 251.128488 241.565405 244.163301 240.65947 239.026146 249.195688 245.249381 243.631647 251.127719 254.328158 234.523614 246.168915 238.385943 246.144537 250.776598 255.01975 255.729689 252.581921 233.233074 251.849975 242.406156 255.408401 254.584073 260.355591 272.126315 271.373135 269.772979 260.669566 255.773892 279.253942 256.23273 258.389559 257.328883 263.29415 259.834076 263.737847 272.963217 273.18885 274.296423 263.51061 277.264109 253.710471 267.994085 279.211601 275.785014 266.718555 265.617846 271.57195 277.05676 259.769535 280.211073 282.315361 270.626817 298.79808 281.633968 295.644731 266.157069 287.98564 280.140502 307.941013 279.773407 280.741571 290.956726 295.155804 294.847347 283.806195 285.669515 299.458427 292.956313 289.153519 304.35885 305.371795 321.095754 306.956424 300.672691 310.504842 309.233096 314.527173 339.013559 324.815784 344.659399 319.574507 313.501205 311.458828 321.035 325.872676 351.577945 362.761328 325.954667 314.656187 346.400053 337.550759 347.960691 325.268656 368.301056 320.32307 328.372029 341.774279 335.629826 335.417602 355.623821 371.270921 368.486594 372.381254 359.687019 329.065097 386.174915 358.503485 353.517418 389.793903 384.743745 416.695794 374.566632 378.729271 399.912314 369.138665 378.294619 347.878507 386.430189 394.121483 402.154661 402.120208 358.320195 380.100843 410.069345 388.554427 417.831016 383.280558 418.944109 423.288111 425.587238 415.652376 427.370042 440.688828 424.850737 445.526569 440.284138 429.315096 412.839816 428.255833 429.040578 427.426307 439.876111 454.828478 428.590721 454.806345 422.69936 456.13134 422.321488 459.260567 458.065485 461.079428 455.390412 441.505008 477.802986 438.603982 448.1772 466.629418 470.791862 429.963641 488.005119 496.139662 429.467913 470.26207 486.658505 481.176773 470.457553 456.918971 469.184138 489.479402 487.080001 471.032956 476.565819 500.552759 486.453849 492.91587 490.324131 467.338845 512.809587 500.838121 489.753858 498.298736 512.942581 512.136151 505.885138 495.906842 
900000 1781.453306 2505.303442 1966.708651 1695.116491 1201.956318 1202.012582 1076.584541 943.883303 975.012562 915.453815 710.52981 632.764689 633.363126 562.859976 557.23242 550.792854 559.555346 514.8723 456.971706 441.605284 373.301045 370.61622 397.792436 326.52231 359.720444 336.417074 331.412018 302.109571 334.508206 299.091012 290.444704 285.467234 301.633735 293.141528 290.076904 292.214486 287.163943 271.925958 288.79085 294.030011 278.6122 280.101753 270.9832 261.711252 263.682545 269.150547 264.019296 254.543976 252.227014 270.727349 257.186393 273.746808 245.828316 256.696123 263.012252 266.811772 241.288512 262.289097 257.320607 270.01202 249.53802 268.684845 256.023199 268.181997 248.813838 261.867533 251.726798 264.326148 255.116879 260.832907 265.506153 269.937023 271.962977 258.68897 263.717188 268.904319 268.022508 263.362154 259.184183 275.188373 266.441469 278.592699 285.314031 276.057801 280.582724 280.559692 279.432871 270.321247 265.724794 268.680227 278.203918 285.57078 297.108108 278.211872 292.179202 285.510027 288.673001 279.285571 282.613358 305.357938 312.507828 289.235703 287.265435 284.305835 293.600621 297.955532 286.805637 282.037566 292.097532 303.20919 293.350673 290.568204 297.027336 295.26461 301.96811 293.605369 297.154684 310.527424 314.150582 307.427836 310.430487 309.637593 301.758515 338.261919 351.553374 320.850231 326.325612 323.466989 315.344188 329.44419 352.276658 311.625502 311.821111 317.308936 338.369762 323.434591 333.707293 355.092233 329.722366 357.41426 338.946261 343.974801 373.457136 354.774728 355.719028 357.145965 325.856252 358.112141 362.77384 340.910818 364.499163 356.327923 378.98063 354.411098 374.803558 352.056413 364.314524 387.334903 360.864714 388.813229 391.148537 389.427194 394.707027 387.648172 421.33337 402.738729 421.485419 388.998636 409.439984 398.353731 405.081095 424.409736 427.761131 408.291157 406.944543 433.634657 391.435249 424.702217 402.604836 434.077968 428.994577 457.330974 429.866957 432.643397 440.615243 450.870623 482.854365 454.548569 467.473699 444.675681 431.260599 472.545992 441.698948 460.819407 450.946134 475.655652 498.078298 466.256485 458.310492 478.914858 447.004509 477.942587 449.695879 441.112187 492.983103 467.40005 458.794352 497.010373 489.465672 485.142328 478.175021 490.530005 481.949521 487.672988 472.555615 490.50075 487.873153 471.40493 500.864491 485.08478 467.840473 502.384708 485.079325 530.459353 464.784511 458.485381 502.400812 511.416782 502.083178 506.548308 530.685564 507.891459 527.718007 505.102125 493.00947 510.298877 533.441473 514.187317 513.001026 532.164017 
1000000 1993.497755 2711.227304 2214.48247 1913.809713 1410.722571 1501.797625 1455.556253 1030.944942 1001.45337 785.069731 857.614296 800.438589 748.475996 595.2017 539.70211 638.572776 509.403659 526.418351 441.378494 479.186684 490.629703 460.278771 447.123134 410.416424 404.220069 366.25977 343.861309 360.016776 341.993947 349.642644 328.389993 347.974289 333.648142 321.202572 292.472582 306.146146 298.866405 302.58387 301.510428 283.647347 328.065753 306.523634 290.194242 276.215815 304.213152 285.482631 283.350243 275.088547 276.611138 285.767415 286.455863 273.363674 282.527136 284.13005 276.685431 303.358799 277.364707 273.223815 276.872251 281.996765 280.58561 278.110122 279.769879 283.14123 272.637566 261.20231 275.294035 274.851878 293.398981 287.673142 289.194578 270.961707 287.263767 281.546204 286.592898 288.235331 298.095582 278.819933 281.403201 273.334482 283.066679 311.703645 305.139619 280.653551 272.903938 305.419012 298.210549 298.772033 293.368958 286.163702 286.700743 295.379448 295.488832 302.181812 300.823392 301.952328 313.732419 301.011878 295.770218 303.660136 310.249118 286.022046 290.28759 307.091023 310.372039 302.096807 313.201279 316.235623 305.550724 291.580121 318.700267 314.202483 323.522676 299.807883 309.136156 308.710808 311.595092 308.721907 327.252074 310.818176 325.497627 311.786914 316.959226 300.820825 325.347631 323.63065 329.995218 322.612507 320.295738 324.478842 345.870326 360.659674 348.654335 353.31334 352.607507 394.257237 362.025342 362.580605 360.610402 384.002881 367.797887 390.702468 387.63316 367.294399 353.144099 388.495854 396.350745 374.53866 353.277862 388.67491 406.164354 353.354528 411.83643 409.811441 412.458863 413.222117 426.664465 385.951077 391.570038 411.194046 402.375291 387.292176 395.330999 419.783832 419.821941 368.459069 404.48086 428.935617 450.737117 429.505316 426.646245 419.54723 433.035834 453.749196 448.445881 433.753985 406.666496 449.377863 444.396799 457.879052 432.359317 459.668336 447.712076 445.901299 441.17044 476.741029 465.462694 445.648527 462.008586 459.133925 474.430482 491.524536 471.416351 460.016249 478.991715 479.809373 466.34534 476.131681 459.993603 506.403126 486.526473 479.229409 507.315667 467.432063 516.658827 481.773928 484.693048 474.194199 503.814147 475.707938 477.186008 494.492351 517.57092 493.261406 506.44611 514.900914 508.134221 504.625773 495.932183 504.136656 473.130061 509.30255 544.370418 520.281728 532.631259 480.940299 527.680796 513.696594 529.056667 535.319292 529.762822 544.019297 573.122989 533.430951 544.934791 540.308952 552.838376 533.419981 504.742792 537.059242 
