 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
100000 205.421013 184.870669 156.651163 150.259391 145.452894 132.014717 149.330169 131.289185 132.741143 136.465536 121.753112 130.278101 191.942483 119.565553 117.431049 129.327194 113.192516 116.299159 138.786411 103.763003 134.178409 106.787337 122.039887 106.374628 121.474488 125.554878 149.342936 115.338697 111.127236 168.826768 134.56873 146.41073 131.055277 131.358731 115.463029 114.952804 125.229613 152.178399 112.850185 132.813317 232.159822 147.449144 143.407503 172.108428 185.161482 140.595391 134.818164 145.503513 148.973532 146.156932 172.485019 153.869013 151.761648 174.821354 180.611541 145.107547 174.025124 175.554583 159.96785 162.105048 142.959505 180.64548 183.48832 139.683105 153.213924 212.828808 231.448472 153.399526 165.673096 171.578829 173.296708 182.212403 191.425328 188.581847 264.853183 184.229824 175.456296 182.234152 167.735361 204.024614 191.179165 227.446862 198.16886 184.524745 202.052617 178.332112 205.739609 174.635624 243.420962 209.277374 268.761958 176.714763 175.392911 245.549948 215.890222 202.325723 242.834904 214.999944 218.088626 252.048921 232.412271 222.623171 219.080592 207.24058 216.7959 243.568775 218.561511 210.800354 224.597543 291.389903 261.763859 196.216621 249.275241 244.204808 212.284964 253.797018 217.529707 319.711222 230.863376 226.251462 295.554656 278.300021 292.466679 319.968356 294.454588 226.530919 262.303018 246.834269 278.443986 263.325457 277.307222 305.091564 247.686503 235.674173 311.214908 261.339345 263.435099 262.571059 312.112762 292.492215 350.550631 293.470515 300.24266 308.164786 280.628017 325.06214 327.946169 352.586977 330.614056 310.503175 335.227256 340.017395 379.362674 288.283128 316.774141 324.468771 283.849885 308.742631 301.288068 359.832393 446.386055 332.745864 319.09527 301.523452 299.51482 330.887036 407.231059 341.998887 410.489945 323.265543 335.144944 332.329372 428.48865 322.133846 345.10194 459.464003 365.742873 326.889663 323.908184 392.37146 419.742518 339.51198 343.217642 336.931856 367.731999 351.608098 434.5395 353.64021 393.454527 450.05457 356.239325 342.767272 355.563066 449.159413 364.018063 416.987442 407.782536 475.674385 393.728084 426.466995 421.7473 445.451059 405.706028 437.473697 354.278745 459.347305 471.939535 393.055866 407.309969 487.655088 476.416277 420.728966 456.625139 485.052765 429.741342 364.660256 406.261034 429.205391 441.415128 514.670919 474.829463 499.304944 543.82279 485.526615 440.679397 426.254899 610.648896 502.709526 520.064051 465.635336 416.60187 519.93529 610.015172 495.761339 505.585084 583.817191 607.533974 549.378556 520.528213 506.845924 
200000 404.174648 442.635422 324.72847 314.826327 247.615805 223.699627 234.433156 241.308976 228.418041 242.188992 178.315751 179.211485 179.96319 162.200768 215.743437 161.091912 180.41991 170.595908 133.226219 180.426839 164.241476 221.802883 160.761192 137.785721 144.481266 196.130588 189.690382 151.277918 155.515039 183.830651 189.569579 149.018955 153.651141 179.719081 192.22919 183.954791 181.522545 199.228061 152.618246 182.466842 159.636105 188.073097 224.415213 201.142831 195.386647 193.795986 188.149698 149.047502 164.652134 236.932637 213.490118 170.596358 179.958571 197.114345 178.624017 189.026506 208.618181 166.703427 197.069819 187.998037 172.532299 199.457095 185.679728 196.921173 187.58616 218.443658 204.633511 252.931887 206.335416 268.001657 224.262461 205.318431 199.743418 244.928862 186.950896 206.139873 226.801973 218.322598 218.180625 208.862164 204.485503 296.176768 186.81925 220.489308 281.982586 225.127207 242.185975 211.587984 241.767364 222.211358 230.977827 275.360629 247.612596 214.198133 268.326795 244.643245 218.490876 255.750027 224.960915 244.16484 253.379176 239.881206 256.553249 255.820918 325.664749 232.705589 276.661821 244.091704 330.13193 268.236273 268.092629 268.800259 291.372003 244.775724 247.476779 257.138087 250.91421 263.615824 293.90369 260.789215 302.625378 296.50396 262.606215 270.181326 297.206841 358.94128 272.444267 275.390139 327.383336 346.520921 290.986174 297.231094 297.84448 298.06883 311.19945 281.939538 325.969422 319.809637 424.669499 299.447011 301.824212 396.604478 352.703482 308.991487 340.983696 347.864585 297.179833 313.375974 371.171547 336.814324 419.46184 341.341297 338.788824 315.99395 362.626925 351.574481 314.248545 309.846417 413.645027 359.051627 371.328533 370.670495 353.927369 345.190217 384.692484 415.425331 392.376916 353.829082 352.241949 378.156302 343.144505 446.573965 333.476465 387.372434 371.235766 374.190042 410.621655 444.964315 413.010533 384.385052 355.073691 381.083376 401.851978 351.418649 478.205239 406.569429 416.423905 426.876304 404.108054 384.931783 432.085762 448.528513 377.760465 483.756962 426.574519 468.039354 426.749663 419.931776 420.019154 430.882982 439.329574 425.150599 441.506292 455.552339 528.328442 438.637662 499.052495 443.76455 485.689633 512.319057 505.625887 469.592613 522.102449 460.810427 455.452835 530.001478 490.962602 467.377658 523.197127 416.572486 439.651505 506.521684 546.089775 580.202116 433.396513 488.637496 506.660966 508.667544 520.232136 541.63305 630.52741 555.777063 619.705474 657.885761 493.937794 569.270478 486.467899 570.857289 557.695043 579.014671 
300000 598.557141 857.018103 553.034369 601.818592 345.931785 367.171414 412.593011 299.083571 379.498489 353.17778 365.273192 374.083738 228.547123 230.686437 230.94466 257.072839 197.851101 227.052114 236.172786 198.818751 213.513921 231.214624 196.723895 181.004107 229.741174 202.375573 157.777853 182.792108 197.194664 166.967939 185.445305 265.247222 168.171039 160.417835 203.946024 186.69434 232.710657 229.927867 197.45212 231.186077 205.402794 243.859206 181.794817 187.479599 218.052828 202.155457 214.436469 183.083885 280.553019 163.885736 186.615174 321.441871 227.797469 201.107804 204.083444 183.803962 204.977254 239.123213 224.321033 228.023487 224.39847 235.68187 186.129455 217.064966 265.047893 205.012091 257.264407 226.170626 225.070363 249.203965 229.766775 217.079529 216.088399 231.041021 215.761206 243.242032 211.782565 227.664795 209.991357 235.956583 228.006102 225.968792 282.452458 219.599028 232.951497 255.926069 259.085899 347.387464 230.547027 342.320433 272.554165 226.64717 269.777405 240.196464 233.804888 239.790683 289.099117 305.561694 284.923006 258.176884 371.104057 259.204777 304.596672 243.186474 244.955036 250.200742 285.894699 269.560945 300.883185 278.658649 262.514601 266.524678 404.05301 351.522388 348.818893 290.166978 322.071808 267.609734 327.652402 330.215012 388.636417 353.252329 271.358892 312.382982 344.131852 267.882521 329.9582 349.496691 297.858658 402.598421 335.061157 299.299453 284.603834 453.382614 339.986663 324.659248 292.637525 343.673399 358.786025 303.237484 364.090752 323.709817 325.040907 357.665042 342.190006 423.594516 319.022005 280.507406 359.678423 343.934895 322.392199 334.746477 304.264863 320.79198 337.811422 345.19413 375.020915 333.511107 408.568821 319.847745 332.770308 371.419507 415.6815 326.097601 441.507126 402.930231 460.774114 346.110137 446.028327 484.625687 410.295939 431.274904 397.722509 415.632935 426.294483 415.297532 411.482168 424.840343 429.549327 428.349369 434.144946 426.860843 488.01782 479.987274 419.3615 430.505556 413.374422 449.329361 403.407801 484.689647 391.934374 482.89735 437.054059 512.404062 508.311676 451.961131 459.474269 478.890544 464.114797 511.360774 444.301336 486.358514 485.739802 500.715906 496.407509 558.003628 521.993193 588.974554 419.929915 523.84118 452.085335 447.899281 564.758901 525.467512 509.054206 581.897093 528.259347 488.953781 551.392703 554.843671 487.613645 532.313755 539.312753 612.184767 571.750904 462.266872 525.693658 483.221459 451.885686 519.847078 511.721004 532.00735 567.161571 504.488481 570.869543 552.54416 529.08868 540.332754 613.546138 554.461178 
400000 792.93264 1041.940032 772.299341 822.757561 485.243309 544.553518 506.93048 467.223045 450.265384 345.950776 355.418076 465.071026 338.199111 284.815035 259.342775 269.050785 295.114362 273.155361 314.583435 264.303951 266.191778 196.507373 219.219102 229.852357 225.472553 213.889804 314.027981 249.058781 233.921007 226.320298 289.599012 214.069117 198.705262 222.030376 216.120861 214.313676 240.447182 213.774904 240.210576 234.617537 215.533585 228.986967 297.825169 244.883505 251.383119 244.075986 215.99685 212.664633 254.47116 209.906737 233.43362 245.781098 195.345909 211.63315 250.018157 241.426893 197.5105 228.621156 264.342123 208.844907 244.27942 237.508046 223.111261 236.642849 253.340554 241.071089 226.754116 240.24086 313.441413 225.054262 253.470469 244.584028 300.526675 260.144328 241.43132 277.177117 243.480754 229.528243 376.881796 236.753198 265.415052 313.816397 259.799175 294.229405 271.711169 299.990659 231.294499 237.452615 233.892136 252.597767 301.796239 264.750406 333.257567 297.791231 269.653265 334.689828 270.317207 261.582621 310.680114 228.184775 343.256263 249.141669 281.423348 305.655425 285.674071 268.752528 283.465018 297.107658 288.514215 312.468949 329.550622 315.881998 284.474819 282.206809 361.995061 257.034155 391.797273 382.562793 280.176878 363.790954 263.93307 309.367758 398.252492 286.627478 333.935813 336.302687 317.873564 380.564683 322.176703 354.665472 337.66534 334.756293 340.282931 330.159069 354.249555 350.351749 354.879302 384.150245 341.50977 377.519948 286.748925 367.540882 399.94978 389.81193 333.788192 342.18917 360.938042 385.337564 320.760862 359.812697 344.337789 347.80242 408.946759 368.947546 361.80728 358.651941 415.923877 395.593008 431.185666 370.415928 384.744834 399.647544 465.197542 380.866212 387.295064 401.571685 419.240312 580.942147 380.774727 492.700757 505.415778 413.570415 491.997939 486.466296 513.047026 420.911809 431.196892 496.345022 555.652471 450.251526 464.493631 453.214976 460.738571 468.391952 433.248122 545.381308 487.684021 452.902093 482.639252 440.04625 444.373639 507.034539 484.322426 452.03523 516.196206 476.605532 489.538105 469.412722 532.290595 492.726034 481.351017 505.021416 474.188811 548.804303 476.445337 533.105621 626.44041 552.071209 517.665934 508.456538 540.688302 568.311807 629.15898 448.702887 523.996628 560.404182 539.246095 641.495679 559.695014 597.917579 533.107418 557.901749 554.352434 554.209112 498.896342 555.25702 513.338866 571.531688 569.05639 565.520677 489.321964 564.452752 530.043499 605.777343 604.142672 545.072851 552.098024 706.516912 594.344333 618.358667 
500000 995.754795 1326.161823 999.139679 942.372898 728.771664 693.666907 536.73712 608.650143 537.807995 489.384774 441.108659 400.373718 419.308445 420.463941 383.109714 364.632283 327.025413 310.980873 409.960535 273.578851 258.286655 287.75802 263.863141 288.994481 364.511159 271.903055 251.87134 236.759804 242.640899 235.976343 253.955096 261.671348 276.105725 288.447813 220.937561 239.299447 232.660744 258.841018 261.087921 238.29664 213.897438 250.573803 221.849269 235.363404 234.002291 206.357163 233.952764 268.536196 255.680035 238.34899 222.844567 232.548089 252.325492 209.19224 296.223538 240.859826 244.870287 243.913543 306.407835 244.405805 264.614334 237.375758 265.436609 272.461332 247.400629 236.270107 239.698749 314.228657 254.691468 241.36633 248.329723 257.382003 266.889721 262.495997 261.394069 300.690269 321.969354 256.358345 247.845929 243.218553 309.286151 294.871599 272.349125 259.517469 280.039394 293.651046 282.284565 267.429585 278.324913 277.24512 273.741482 289.532035 317.551184 300.821662 283.431979 267.905424 269.364438 314.152699 314.648746 281.659759 303.621517 296.110368 329.656607 351.332359 324.061129 363.140999 310.120168 376.186419 327.340865 323.721234 374.980176 331.3716 399.637729 298.161278 352.320156 309.615589 402.159024 299.284888 321.17197 318.591012 342.924517 436.552494 296.330612 442.297582 341.902334 366.804702 329.951526 315.363049 382.93412 365.58473 331.963687 354.451322 350.191106 338.272503 372.070551 402.057722 339.670699 361.521982 341.480194 437.474467 365.67583 407.708502 370.371533 401.760365 454.814749 380.615108 426.187471 413.36454 408.072391 353.542373 379.660993 465.51004 369.987949 410.358811 417.816902 369.203845 384.997735 418.561487 529.310721 409.102205 411.065353 391.003674 426.008416 487.592154 459.705354 409.343044 469.432225 421.65049 482.411629 423.756251 510.553574 456.872265 499.349916 476.206938 508.809775 484.719032 417.651703 435.432923 485.585445 579.573974 463.973784 483.220432 435.96586 452.985109 440.583485 478.271254 542.117099 430.094645 531.945441 574.46088 537.592692 477.660757 475.504695 495.60185 686.388642 504.683065 492.375298 516.322527 476.74969 542.873487 542.044026 562.588791 471.009992 514.767022 559.201404 531.891744 487.881491 614.949145 575.428851 555.717847 592.756752 501.47794 632.733381 539.009171 508.344715 541.485621 561.716282 572.534366 543.332645 536.633061 561.519133 590.975229 669.940436 570.116618 613.949673 563.037041 611.777704 627.276287 567.349096 571.037243 583.602208 612.284977 612.690503 700.829371 607.850195 616.484505 608.1004 627.220472 584.10281 558.434364 
600000 1203.091029 1636.770211 1268.507648 1094.090343 1052.130168 817.28308 777.415002 692.51019 613.20509 619.672884 609.052589 459.128664 504.438247 459.407867 400.642656 389.870378 387.730484 325.997651 312.547666 449.481473 311.03502 353.928716 273.296823 300.138921 273.033595 285.885652 286.941774 247.046237 309.578892 264.060354 324.25475 282.889163 348.114789 272.629034 260.206109 319.992926 267.539484 309.742999 373.54785 283.609817 251.427964 306.07917 303.914384 290.68952 307.348156 244.335685 297.168735 278.446039 300.807995 335.39656 261.776627 273.428919 281.988297 253.319769 279.729141 292.333688 253.035754 301.906842 285.333342 264.338787 253.982106 335.312197 274.249205 294.072675 277.999391 363.185714 290.180128 250.319621 244.603466 279.116586 273.877043 278.0613 361.36942 299.681624 257.69354 292.27428 303.357387 301.663822 282.308495 303.506421 281.081529 286.640949 284.90267 302.065435 284.685696 366.119783 329.947935 320.219074 300.503642 316.502251 308.565371 291.343069 313.039738 298.197974 329.983154 414.259762 316.343275 313.13507 303.982839 306.416814 300.836801 417.458598 422.206649 309.808565 279.790728 335.093813 316.54472 320.994516 297.754982 349.047862 342.149459 360.470865 290.242231 293.479434 316.578212 334.832381 323.623526 360.346725 350.54152 426.38308 381.941709 369.449688 336.597415 399.003812 370.968881 335.443008 404.982105 373.468875 399.45431 354.081404 355.773366 412.635162 425.259084 392.648097 388.805658 391.374363 496.838119 398.980074 402.507321 464.894665 368.245111 519.025699 357.674025 399.214692 422.600627 393.452667 387.779689 420.247354 426.384428 430.33561 439.025993 496.32988 438.243685 448.547632 447.682565 464.99635 405.416689 485.889157 444.290237 474.25181 515.390224 449.513039 465.588503 442.042114 449.985861 507.256453 489.922969 414.777429 460.963755 494.496779 529.250159 489.204562 451.45097 491.150707 505.527089 482.461222 481.49723 489.859842 517.071024 501.704473 473.775009 551.488103 521.297624 504.504328 598.603396 470.092446 576.182033 551.244442 581.765768 492.308191 561.889885 500.134662 537.18736 600.60375 610.708752 566.037125 557.540173 511.052186 613.556915 588.327999 582.425988 490.472587 598.053458 553.859722 612.734576 517.067238 542.946818 565.980413 610.776179 559.132951 623.336651 650.104844 505.069342 579.590014 587.035273 553.654556 517.286007 642.165716 640.751866 643.129967 610.900511 611.776679 638.805337 633.708729 569.410334 581.658243 614.050205 689.792005 712.439706 661.294128 564.738626 645.534498 623.815504 675.358396 559.98076 649.300338 598.90069 635.318509 637.517681 621.238395 
700000 1439.390136 1986.955286 1512.294228 1433.259285 1128.140455 877.238628 902.651605 870.273695 758.215122 705.941505 639.620234 540.775488 526.673562 485.760269 429.279684 473.299363 420.579036 482.705653 399.744803 377.314458 365.441985 368.709661 391.208008 341.891684 374.87817 362.720783 355.469785 357.05557 394.185188 342.175185 394.486205 334.145278 311.157363 281.532217 299.586547 306.573483 314.883619 324.011152 366.810797 284.622053 301.840828 261.291934 309.965874 328.03637 326.681093 320.558969 269.548307 315.529017 272.495592 328.730784 262.558291 406.980406 276.723859 282.574801 309.047109 295.73692 293.393272 324.280924 403.035252 273.333777 309.171058 285.8274 313.05507 299.888268 283.184531 282.117954 344.914093 272.120156 324.867303 350.776713 304.85278 293.112978 322.573886 374.705078 332.864809 287.796192 299.335378 266.469635 297.172198 280.416498 306.580604 337.246407 372.430911 324.6749 366.520046 279.327402 438.641127 416.09389 402.655904 371.169558 378.068472 343.390348 261.995715 378.816265 396.973241 340.161679 348.378982 330.135266 440.65104 409.051974 341.018598 307.94685 321.802871 373.073936 375.47539 438.797665 325.342819 366.139093 406.295294 382.495942 348.579979 372.133039 390.325748 452.488934 422.950077 436.78063 391.98589 446.855863 406.698252 331.311743 435.611018 439.698722 378.990958 408.20641 380.066326 416.517891 289.421623 398.012938 484.760283 513.821249 388.336301 492.152938 408.636056 411.20816 416.560105 325.152021 435.504007 421.791568 454.023139 398.998488 416.148102 473.772509 451.299114 401.168021 443.401883 418.00956 453.589451 505.72353 468.236374 431.546345 434.375969 432.061831 453.323721 423.87295 422.42388 499.228021 531.949547 480.4975 485.112816 468.422616 510.908672 442.64126 467.356937 499.930265 464.780278 511.761358 455.973774 535.970466 483.498674 456.523968 470.031434 519.23568 421.284484 503.846354 517.426313 561.482115 460.493627 492.719169 516.262863 521.384169 509.577197 490.314381 552.92633 503.144689 509.394933 498.365908 556.431635 498.310411 533.032163 564.545521 559.387837 527.871915 520.838594 623.101522 545.955692 589.350052 552.388326 515.162538 573.378647 557.42187 535.013336 578.135233 602.204806 540.46716 580.407863 654.771802 632.319003 559.023179 532.436804 567.950808 615.586975 584.411781 660.443241 639.897834 596.565637 575.735128 677.819577 540.540104 573.121386 651.218638 752.73724 629.799633 637.920318 550.953241 690.842994 635.197899 733.168852 731.488182 656.701972 622.232672 701.384569 784.217749 656.308703 631.739619 716.866663 613.739502 732.94059 777.895332 616.178807 635.534648 
800000 1587.921192 2297.157378 1698.197732 1494.596988 1349.057741 1335.061351 977.432812 824.657322 901.08526 781.804812 643.082556 634.696461 583.634285 603.354143 576.587043 510.018008 412.724402 452.18375 539.682544 390.602194 413.846923 424.978598 535.875388 458.440729 433.838927 397.316983 451.999303 406.500075 344.478288 343.139436 490.928216 356.238362 370.630269 379.094505 322.120181 360.252161 373.603857 389.651606 293.59767 368.912133 326.917378 360.505956 320.283486 355.045784 302.493607 301.415288 301.834412 325.274944 265.44604 318.703347 314.809648 358.036823 293.529603 378.349152 334.664872 290.791783 350.62396 329.810643 358.263158 426.296021 281.767281 323.511576 285.013336 369.240993 290.050279 301.055698 311.780885 274.719335 342.954669 260.294323 314.273118 302.102837 349.416496 291.340696 312.725954 315.33392 335.1214 331.903895 332.211711 338.371431 356.178764 349.067173 362.920818 314.133838 387.220195 373.889091 328.767353 368.034875 293.828499 379.798673 390.13322 367.759651 327.416888 390.04738 391.637785 413.160976 434.640801 361.074886 306.158784 339.543416 363.551463 403.946898 339.455331 369.044549 357.901967 395.223603 454.254161 347.647421 377.016843 396.795082 397.526258 377.664682 418.62763 403.604052 349.864813 419.544855 409.079432 456.244253 431.150188 365.4901 367.881289 407.738269 455.580247 449.716987 444.584195 403.910202 422.418876 483.166351 421.584923 448.82831 461.334765 401.02797 397.67837 435.799186 429.663265 407.899428 425.990324 429.640427 426.396617 434.532893 449.544538 374.682881 576.997442 422.375312 466.120026 446.55273 427.314226 441.869922 451.65062 442.063543 497.002932 448.441455 457.286323 474.650984 573.860581 435.493935 458.351363 496.179371 419.690745 531.468512 431.392245 503.882728 485.243756 467.691956 553.908867 416.046158 474.826192 513.36286 567.722609 468.35224 684.476563 506.070416 482.614552 614.020629 479.464667 505.171733 507.896206 505.527921 558.89224 490.978834 534.727846 491.381793 520.758336 575.302979 500.149353 587.051441 587.00743 609.790758 592.783954 605.775035 539.121315 549.112954 477.122431 582.659641 570.103145 586.029643 474.549362 626.475183 648.183269 586.334572 589.788744 570.526698 615.976719 607.097334 606.434484 599.402256 579.46228 658.304696 599.735861 638.038684 649.248051 620.09759 624.447497 568.037674 600.836184 673.20779 637.738567 731.676862 606.9109 645.555478 592.5086 772.965977 643.527985 674.657757 617.014042 572.148025 678.881537 713.4327 635.813787 664.783138 689.109394 759.368951 706.237452 648.684193 763.223325 685.258552 717.865687 780.576949 683.753666 670.901801 
900000 1784.119272 2497.04752 2001.967189 1741.050689 1474.373193 1445.35534 1183.564663 1024.230152 956.483808 808.820129 714.110948 706.175029 787.911542 623.814542 680.131405 602.487537 654.276591 593.389641 485.89756 489.564407 397.572128 458.698888 453.010644 407.52707 550.017861 567.620152 413.435238 369.210389 402.292273 376.807954 423.80148 417.771032 344.070199 407.463622 320.69363 420.278533 395.730878 363.471591 366.222303 331.280949 310.306604 351.284371 306.198688 322.280377 344.715791 372.668091 476.031153 363.145298 412.53617 387.939501 451.457384 298.646482 474.540765 329.35758 377.461503 389.698762 343.267233 335.140519 344.457887 313.410039 299.770285 298.913369 306.888099 337.401085 324.670088 332.67106 353.188496 385.061695 278.985391 328.571617 351.997071 367.352522 350.231971 362.860449 352.308608 320.644294 323.720914 389.263919 323.849353 357.794316 374.203578 349.496433 306.961555 348.415293 300.400291 346.36419 348.091952 358.748621 347.146818 371.57213 409.25278 343.844307 390.647037 365.145267 332.456205 404.493435 364.815189 374.504017 354.986056 360.513079 456.232575 375.392501 372.77799 403.121735 357.687306 386.758084 355.753415 372.364381 370.627446 387.286402 452.118183 366.632189 434.757948 424.277575 392.972594 530.320394 404.413434 425.560869 414.03201 421.116526 452.421059 411.281169 456.73799 372.759963 398.739046 460.957917 494.246763 438.249138 414.836964 522.172828 455.789456 430.517555 383.696477 450.904304 413.550012 437.276996 493.282066 463.539517 471.301576 485.046092 503.02658 462.804494 449.674002 441.105001 489.273528 466.851587 480.289959 494.605458 479.394994 475.530485 454.238635 541.483826 486.641246 471.825593 507.710413 545.369056 505.924402 548.346299 505.02809 488.936203 466.393071 539.151853 542.606281 480.757199 504.824653 509.956355 627.803191 539.491041 518.206696 611.976648 553.204507 535.925687 600.374782 498.977881 554.45797 501.790248 532.730763 530.558345 534.326427 587.155757 516.605769 602.02549 550.013049 556.456912 574.89457 716.262579 576.414465 602.25273 539.807902 528.480105 603.869563 588.8959 552.373572 670.667827 616.692112 669.494879 599.317313 606.286287 609.114307 561.238904 647.696591 609.740075 623.120962 579.362711 649.979035 568.102599 610.399781 622.278671 632.678208 630.311334 684.679422 652.988805 687.61458 668.582017 696.101848 590.462244 634.043879 558.305862 674.534708 665.608364 747.292527 699.834198 691.165757 556.958991 722.683604 622.406468 707.475838 709.144383 699.692927 766.790603 714.064754 709.371169 775.161683 685.80483 655.505287 772.808542 685.273436 683.2836 780.479498 833.179168 
1000000 1994.781498 2647.120221 2164.862371 2079.025769 1708.216058 1362.974067 1349.174312 1017.809386 1120.055697 925.871316 800.003747 854.33129 759.196182 801.144873 699.002234 717.842914 639.320311 673.474224 636.636768 587.734883 478.715077 481.88652 511.533991 451.294624 442.542077 488.009866 491.335087 516.021831 406.55493 395.76751 397.205932 394.05149 451.575879 445.142923 385.403065 354.645456 407.141756 384.214338 434.952017 377.755141 423.062093 350.525033 325.482293 363.898416 339.414271 391.019969 331.112347 339.620595 419.981367 420.483893 359.706522 328.529531 357.299424 369.634071 361.274665 425.984164 316.579814 313.338957 376.954422 360.388553 324.352584 301.699559 359.701774 367.580467 353.567778 362.581181 442.38342 412.842575 314.97215 303.092686 377.965056 312.617661 367.795834 307.282141 418.0145 330.038393 328.937685 350.560574 385.495256 361.792267 388.525043 398.019866 345.695888 304.224638 380.604973 309.393227 379.719695 360.990713 352.892418 384.285998 355.277961 425.746343 414.44748 432.949545 367.796541 391.505879 384.507397 410.931202 419.494623 409.711488 361.830824 358.751445 386.158234 379.217747 429.091002 400.038828 404.866945 379.086294 411.547669 354.991894 431.06807 470.454728 417.044989 412.315861 414.984394 413.12242 424.900776 515.12796 533.460592 452.129025 463.39164 447.188763 380.039894 516.342286 419.318965 457.927745 467.339038 459.717927 533.836156 448.969388 457.222938 430.236426 379.601781 415.442973 543.052224 429.318368 501.003643 445.081269 494.638752 447.147768 466.689082 479.396536 551.435046 491.110226 537.639204 489.857918 465.864369 452.442102 477.809401 457.830999 483.737714 419.952369 548.387233 496.599911 498.860732 504.005393 475.887443 593.817684 564.928207 561.080314 547.750941 583.875124 539.176167 572.607119 606.216228 531.881992 570.478901 529.223855 600.541776 610.510706 602.739666 584.419224 617.34893 554.132766 506.716714 514.917595 532.483253 560.569509 639.282588 512.352482 572.153159 578.054333 620.045175 572.317393 646.870657 569.140757 655.360106 591.253661 574.980409 691.407878 672.568483 645.325096 573.597546 654.913777 597.170299 584.753983 680.745626 630.843372 693.482138 566.001071 613.052465 585.361083 666.083496 712.644427 591.909584 650.371791 733.155123 641.651449 603.661061 715.167582 613.418341 675.578127 681.80476 697.795029 683.63055 642.651241 644.396453 655.538648 693.932253 769.69227 657.277957 802.280995 694.211006 711.075835 694.556352 759.462231 727.191654 709.667567 692.374888 806.526842 653.631385 818.696033 747.884551 811.288368 695.866015 745.213647 724.252004 733.992669 770.588069 830.891527 
