 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
1024 18.90451 24.575948 24.04423 26.614219 29.159635 32.614451 31.230304 34.028236 33.33735 32.902185 36.507766 36.543116 39.488154 39.736434 39.626918 38.793674 46.956635 43.131325 45.349872 48.284583 48.360031 49.431292 52.3268 54.427367 54.791384 50.168047 60.374992 60.493614 58.051552 63.29039 60.677484 67.550542 66.765415 69.305507 67.09607 71.60508 73.768454 72.758974 70.976424 79.767851 76.45328 71.056683 87.825921 75.174926 82.738038 86.842167 78.938966 86.796681 83.990986 90.94777 93.935792 86.737338 86.10727 95.939678 92.007997 87.357973 105.573973 100.943644 94.712647 103.770764 102.981336 104.200797 99.500925 105.445085 114.482932 111.544501 103.831327 107.636493 115.022603 118.347505 113.698315 116.057104 125.485396 121.917733 119.970243 132.1726 120.967789 129.522804 122.186543 119.833144 135.430205 123.332866 130.627042 131.01223 136.530335 141.229885 138.022904 126.980853 132.908523 135.676623 145.580178 132.977684 139.195527 151.85262 139.787103 143.524456 148.769711 149.113903 160.923762 151.396411 152.98579 149.371228 158.8214 155.976698 157.356805 177.922482 164.807453 166.507177 159.449413 173.24038 179.968002 167.901909 177.609469 174.161456 185.217106 174.01871 187.4506 187.962366 172.573104 183.391638 179.330237 177.165323 196.286229 192.160931 191.79717 192.087025 187.981419 195.19322 205.976726 193.667932 184.743897 201.332025 206.162841 214.192168 207.380309 210.586458 217.602715 201.262097 207.877384 213.036029 204.327939 211.169436 206.767758 215.618976 218.762959 208.156138 226.424998 228.897919 209.046352 216.158262 212.772994 225.700817 221.516687 234.360597 222.608478 234.055925 234.765991 235.222329 219.671201 231.818258 242.805587 234.824503 240.036587 250.367931 257.268065 260.134833 261.308743 271.294287 247.046943 249.716821 266.70117 257.506336 258.569835 263.61948 249.571828 250.961043 284.16803 263.306596 276.61441 274.824165 256.294702 280.372101 271.203957 251.379783 274.548489 277.291438 264.739307 275.346579 278.694832 290.485893 265.994886 260.720889 298.667654 279.672875 289.16988 277.208294 293.181048 293.523507 292.134485 311.373179 278.940866 274.763281 279.699436 303.555051 306.468719 304.366868 287.291997 291.70163 296.389956 296.544954 295.367324 311.164228 305.372245 309.241564 290.779786 308.261212 307.832461 315.881872 346.950056 335.460908 321.765403 331.193121 319.075124 317.803249 328.093212 320.948003 323.596709 339.867656 337.843564 356.06758 325.838738 330.430381 332.579384 336.660096 334.704455 365.32535 342.86466 334.672185 337.342447 349.242187 
2048 20.821143 24.412608 26.535373 29.75955 29.791691 32.365143 31.934343 31.824382 32.724091 34.316804 35.936016 37.498319 37.521285 38.927245 40.93947 42.216156 46.247146 45.345896 46.114924 45.855285 47.42606 50.823199 48.729561 55.729905 61.901049 52.868657 65.440164 58.476516 60.679536 59.980502 62.272828 67.699833 66.797107 63.974733 64.973626 65.63128 75.912387 65.500533 72.47515 78.31647 79.198603 80.25543 76.255809 81.827871 76.78958 80.12481 87.877245 89.687701 83.664309 86.482129 88.289057 90.230325 92.790112 89.275376 96.042261 100.695749 88.292456 104.316404 99.871678 101.200522 109.526053 102.965171 101.961978 114.228234 115.50274 111.710212 105.729357 115.428511 115.235084 111.975558 112.786158 115.767444 115.92366 119.923409 120.269718 126.105457 123.218542 126.217534 129.419259 131.876142 129.763129 131.161517 117.11945 130.654951 131.47626 128.297313 138.774352 135.835022 130.313709 130.769079 136.535339 148.837138 145.955356 137.735361 145.867848 154.841218 166.318498 151.808481 147.497646 151.267139 155.776985 155.626091 160.800456 166.298545 167.686861 166.196666 173.951603 152.54081 166.514684 164.170008 175.771491 161.281041 162.420692 167.868226 172.998259 176.077189 175.720936 183.146437 174.389077 181.531653 185.353372 181.065759 194.701984 195.420007 186.410262 187.292779 193.371666 201.66236 190.693447 180.370318 187.459132 219.881502 192.786186 198.557895 217.008317 197.773602 209.952862 210.758331 210.542384 204.425134 201.417929 209.601359 207.636354 206.853917 231.544189 229.872886 209.876905 219.705652 223.769684 221.682913 216.750351 224.497139 213.29419 224.696854 232.92391 229.020264 236.93052 228.898885 235.573063 242.658672 238.060099 248.69714 243.429237 242.799171 250.870584 250.238335 250.412003 257.004899 250.049592 248.351857 245.491566 255.189632 257.649659 264.952943 269.556969 242.258022 248.907503 269.75309 254.869948 260.476972 280.195355 272.55147 284.512991 257.981854 267.003789 302.158139 255.987912 267.334443 269.181276 283.347294 290.440408 298.712113 264.818859 271.766276 287.292061 269.662118 283.846292 300.050709 290.454007 300.428454 298.703966 277.607532 303.497888 301.260674 300.120509 284.043376 302.434326 279.351778 315.802445 308.085295 319.090522 318.026511 306.896632 319.758568 309.871952 326.33748 336.317186 316.509242 304.568894 303.40602 319.905419 325.432124 351.7579 329.68169 329.147216 343.663327 350.750088 330.063477 341.015134 337.615684 326.065012 355.874411 325.013831 341.945446 328.992215 363.824443 324.419822 350.9831 337.058562 352.979862 
4096 24.313875 27.479478 30.258868 33.294047 32.482291 31.593935 33.725295 33.945989 34.987546 35.853192 37.412736 37.353009 39.971754 39.741628 45.135852 46.402787 46.147643 42.081687 44.309854 45.482738 50.265178 51.036258 54.214181 49.474533 54.029414 59.188059 54.259218 59.274989 60.827348 66.723971 59.210322 61.461907 67.595194 70.334297 69.842868 68.985308 71.386824 75.678479 76.371994 70.527853 72.767378 71.971533 81.059548 77.003346 84.325428 89.112679 77.212683 83.794737 88.029035 82.697941 82.582846 84.905647 99.822919 88.151508 92.6346 94.378463 90.982671 96.70678 100.413788 101.235742 99.408414 99.864814 102.901336 103.771536 103.736699 106.413826 101.969548 116.869243 112.869752 117.442919 116.19972 119.687447 125.464613 117.958531 121.435543 121.538577 128.758975 128.882602 128.506652 138.778263 131.001707 126.163261 137.901905 129.010654 141.185682 136.612645 130.578731 134.843954 150.169766 138.942052 141.555343 145.782651 135.34321 144.934841 145.677821 145.571387 141.448076 142.086998 149.644466 158.129488 160.449335 161.342437 155.545449 148.457597 157.408257 164.165774 153.902823 184.615011 168.914211 164.540504 174.882686 174.914636 170.945232 170.588723 166.353975 187.008956 185.261374 165.353926 186.688118 163.33689 176.676912 190.781981 198.726882 186.189183 198.660993 189.6465 189.862509 183.676294 193.400149 202.146474 205.862465 203.038167 195.766189 201.655047 206.211406 205.262295 195.258851 202.617566 209.040515 210.115563 206.514794 221.048228 212.311525 212.778253 226.769704 211.02637 213.110704 220.823235 217.532914 214.161179 231.852263 226.89269 249.298657 232.074753 236.455452 237.380698 229.583417 230.197958 232.542892 227.80844 238.138689 241.298071 248.125003 249.820495 245.24797 261.436733 240.936171 260.182436 233.775116 260.258717 256.246267 262.09644 255.132855 261.344735 251.443168 269.125718 257.403047 254.705325 261.786634 270.654854 279.675956 261.038907 277.19912 269.615028 267.861735 272.167182 282.942282 271.622056 280.063837 285.753108 275.99634 269.760533 278.898589 278.883576 291.612904 291.631126 296.760321 292.716181 302.851399 313.970498 293.395583 299.391772 298.857999 296.302062 309.53347 302.517279 314.307119 302.03419 304.732106 312.968397 318.747935 289.300756 315.900604 311.712945 317.442187 308.126933 302.417838 319.530177 321.747313 330.100688 324.811295 303.267189 330.842705 317.028515 314.001934 315.679334 315.357208 343.446931 325.10365 362.234746 323.847556 336.788469 352.294109 334.409855 354.954106 345.20074 328.4741 338.858432 344.377949 371.002496 
8192 32.198789 36.286942 32.913219 38.430234 38.731315 35.027835 37.539636 37.298157 39.385121 39.53723 38.807724 40.174997 42.329388 41.635935 45.137586 48.367086 45.493326 44.004798 47.399114 53.058814 50.5345 52.257644 56.944042 53.603488 54.644018 57.385748 63.900378 56.85987 61.058885 65.144535 59.80414 65.735147 63.268001 62.591101 72.951439 68.221926 69.252833 71.194617 74.607538 72.911085 75.842267 77.127677 85.78919 87.529332 85.151295 81.510111 79.459008 84.799534 90.813046 88.462595 81.089254 91.898805 91.160894 97.871643 96.591877 98.171696 88.5621 97.479912 108.076982 108.110984 117.085188 113.140421 106.038455 107.65048 111.095095 102.492411 115.621235 109.768496 108.231598 113.166595 126.657832 108.574698 118.896031 129.586767 122.751363 121.75125 125.504068 141.041719 131.658782 128.262799 121.215751 139.209129 139.091726 131.174926 139.221382 139.957884 136.323177 130.44279 138.91004 127.621889 143.8256 147.595546 143.897582 154.500492 149.695855 155.760497 149.602059 152.21933 158.640867 162.243238 163.045497 155.665547 158.576263 153.576593 159.862445 180.790984 150.357743 161.477483 165.326979 168.186821 169.694146 164.857044 170.63485 173.059014 175.842895 180.722337 172.9393 188.535656 171.173111 185.450566 179.461049 187.508596 190.749199 177.766713 190.186751 171.82204 183.873571 195.049319 205.393619 197.669222 189.370248 193.535067 207.880654 202.155391 206.074947 197.098241 211.582018 206.748575 212.481922 206.313604 208.374073 224.784682 209.488444 215.384874 215.276452 218.728316 220.425793 218.797798 227.298535 220.450687 239.758798 229.615945 232.305839 230.798578 228.206136 225.324868 247.851832 220.205805 233.564691 218.581209 242.801545 232.239053 243.357769 242.777358 241.062109 240.141612 238.45074 227.613858 246.415143 257.427169 252.161641 257.93053 249.855202 242.291576 240.910766 248.576463 270.760646 257.903906 275.183048 266.171761 264.27367 266.903707 261.485106 274.782206 256.630426 262.189464 278.524115 275.088675 294.534785 262.548412 276.535501 286.828734 282.160553 267.390387 282.824621 287.947275 303.016021 290.985275 301.026698 282.597576 310.133385 302.398336 287.281733 298.915484 296.358262 309.569782 309.858161 292.751593 300.920652 309.636951 304.428843 327.970547 293.595487 312.970193 326.797151 332.691012 312.801399 309.345045 331.178238 326.662746 312.133224 329.510782 349.379672 346.963912 348.283262 340.938725 326.572735 326.643819 345.786282 340.905171 364.646654 315.780891 337.665211 361.518518 362.16443 338.634981 369.178119 326.892036 336.480717 334.709266 
16384 46.745309 49.346992 45.448674 45.150673 45.218932 40.238127 45.709014 43.550516 44.582899 47.388079 43.402317 46.030112 46.309635 49.858692 46.689817 48.037331 49.151511 50.805939 57.96969 50.244136 55.568621 58.00228 53.303884 64.940652 58.187818 63.002654 63.811521 68.467513 63.831475 64.794827 62.445531 62.453808 67.599622 69.226018 64.38802 93.237272 78.350152 79.204183 73.885794 74.986565 74.704605 80.92091 76.833335 87.412377 86.877387 89.615141 101.381246 90.753445 88.360333 88.468369 86.277474 88.218999 89.164003 91.221136 95.7807 101.057392 101.076573 101.535154 105.765669 102.502996 104.172184 107.466869 114.967172 104.42149 111.72112 106.060332 113.646606 112.004363 126.159153 115.351271 124.524099 117.237173 121.151082 117.81893 124.503762 137.755375 115.363587 133.861419 117.0057 132.508262 125.494316 125.554493 132.332411 138.473078 137.822291 135.163574 136.495947 129.248798 140.037951 144.681171 140.092674 150.385649 141.665564 139.019808 139.099743 157.890829 146.34882 155.170654 161.776253 156.407694 164.958409 156.625948 163.194402 157.506477 156.932161 150.110809 163.600694 165.082165 168.873216 170.275324 159.99903 182.417315 165.826556 174.885573 173.409301 191.033021 174.247294 172.08097 176.868734 182.387289 168.70436 181.251425 189.528776 181.407513 186.071844 193.593833 187.517901 186.839395 194.885981 202.833832 204.442457 194.841136 209.930346 198.26535 198.820676 201.508066 204.214513 229.401217 212.447147 224.533004 193.625654 215.080587 208.43534 209.792796 221.210797 207.521193 217.656927 217.034878 231.022161 221.214645 220.913952 236.652538 214.172472 231.942722 223.985117 219.337274 232.25862 236.435373 232.705781 247.434245 239.042762 243.35995 243.131172 248.860413 263.60094 251.753294 247.616511 241.777117 226.581218 267.020983 243.52483 260.226575 257.364939 257.898837 265.90802 241.515041 250.164814 251.292726 257.787335 274.557984 259.010579 276.142486 269.794791 269.661926 272.007947 287.269158 275.34799 264.596563 271.444924 291.114998 276.925371 283.130769 286.488518 299.646339 284.880921 290.196489 283.165993 277.636401 291.225408 292.591141 289.870196 286.2097 304.742434 311.037135 288.241491 293.609989 312.809933 307.363038 307.821426 300.382262 310.038305 320.314537 334.003048 311.599712 316.064712 323.544553 311.29414 319.393655 345.281767 318.298399 327.966634 327.181117 320.004283 309.405094 326.308096 325.233434 349.161738 329.297596 341.379214 348.365445 325.882428 335.596725 323.445818 369.379568 334.410113 362.689604 352.061996 358.456525 359.352321 348.067893 
32768 77.795018 75.068493 69.345925 73.500926 68.299362 58.820385 59.904095 58.516676 51.43389 54.669552 53.694973 55.688978 53.02994 54.796965 55.472774 55.657411 54.595132 55.987619 58.371301 60.424199 58.717096 60.608773 62.147533 61.28394 63.708746 66.400243 67.240739 70.10924 70.147604 69.670677 67.65191 70.668225 71.783047 73.903307 78.234801 79.484608 81.697379 83.471973 79.429112 87.032771 82.167057 82.34836 83.127011 83.076392 88.222078 87.381455 89.384441 87.256993 85.925712 93.370907 100.055995 94.293136 101.750394 98.392966 98.545849 101.002731 93.990454 96.860881 102.44654 103.094508 102.130578 104.974381 101.814548 113.864603 108.207538 118.02878 110.273141 120.101504 116.660547 125.04016 107.122868 123.568507 120.077573 131.562103 130.584377 120.417853 128.829033 118.364892 133.502792 124.253555 144.586802 138.253475 133.850962 131.787414 149.93836 148.116227 143.233511 137.374487 142.750299 135.67784 151.57964 132.975502 146.674856 149.318109 143.939474 146.11895 142.493485 150.078604 157.405241 161.425839 160.28792 158.992757 165.726154 157.78414 160.700181 160.554227 154.512553 168.776342 170.109933 170.328959 168.887138 172.873862 177.659382 172.506254 180.019455 164.596448 178.50687 180.601661 186.031619 185.484247 176.469754 188.013562 192.865611 178.237548 186.123746 191.494616 190.054269 199.416418 189.681337 181.979584 187.627861 214.478556 195.329934 214.73171 212.028859 203.699861 202.409702 212.425464 223.121655 219.356267 204.450733 195.403969 229.272973 218.539444 220.944487 228.384936 213.004274 227.12275 226.18833 223.383727 228.001933 215.453586 221.29612 226.958964 221.305361 229.974829 251.917081 212.212471 232.124472 248.119679 237.350929 251.802629 240.792015 243.775803 249.842177 263.42137 258.537052 247.252944 260.279696 255.986053 262.740491 259.835871 264.068758 258.365436 266.301034 245.637841 270.395026 263.096617 267.984592 273.854203 269.713377 260.736544 264.605094 267.425095 279.603909 264.726668 274.40151 279.305203 285.918437 273.254097 290.262891 294.257827 276.739 273.196486 286.569866 289.284717 272.673685 277.015893 274.662172 295.34763 303.534459 276.401288 306.637445 284.308978 277.563779 300.518335 304.834686 294.641282 314.583949 313.878756 301.683263 308.281418 327.256694 285.386271 289.058829 313.07162 291.47619 324.911891 309.419917 327.944885 330.412352 317.55542 311.590217 319.772234 317.228486 322.898894 338.812369 342.576732 319.502591 335.906529 341.990547 331.807085 356.991543 338.865489 353.708087 357.283641 345.622237 345.586183 364.585002 338.019926 
65536 140.229067 130.973158 112.262138 113.598682 105.184295 95.82856 75.907962 73.536085 77.038694 80.42018 68.998716 79.10885 66.966733 66.681051 71.177102 70.705369 72.184979 78.310184 73.093478 70.062342 73.508305 86.560975 71.31773 72.618859 72.615715 79.281876 79.087615 76.462518 77.512736 81.734653 78.882319 81.781999 79.065867 88.898914 80.726071 90.987418 84.410369 87.557688 85.61905 89.234637 92.596427 94.797973 87.14421 91.931653 96.162424 96.308633 93.828014 92.783824 107.164633 99.426376 96.862996 97.992638 105.890834 103.078019 104.418603 106.346721 107.065256 113.376961 109.788639 109.03809 112.759727 118.902445 113.530229 114.384325 111.861683 116.657338 114.140535 131.442968 118.864595 131.697661 126.31826 114.769767 131.612272 130.528244 134.235507 124.342027 133.429463 122.811736 140.013442 133.848398 136.642285 139.95442 124.319829 143.227931 148.467478 138.766845 158.498507 153.57345 157.305799 148.264104 154.667101 158.459436 160.539858 157.856508 150.375512 159.143843 144.307917 163.279727 165.925932 160.658351 166.926688 159.734905 165.828224 165.243321 167.207557 170.937471 166.666218 176.524478 162.330809 166.475229 177.056646 166.289371 185.466154 180.246435 177.080895 176.380001 181.328538 181.695635 177.714362 203.289718 177.572645 181.42567 196.768355 186.392555 186.21985 200.043023 194.85384 209.593148 203.446961 197.043388 214.197876 197.167014 205.761871 208.704213 202.542952 215.736827 210.244192 219.747226 219.708412 217.072667 218.326062 219.191196 207.786923 208.546777 213.452588 218.395865 216.760937 225.078384 236.291408 233.992155 226.953252 238.381965 232.569581 226.11975 237.340471 233.773066 238.609203 242.904578 256.461058 247.559349 264.515021 238.402816 234.178075 238.784475 264.686187 254.05274 244.406191 246.618387 239.654865 255.199961 261.431344 234.888465 265.023001 268.168717 260.937029 273.093389 273.913932 274.477406 269.144322 266.819407 277.78075 296.96472 285.904899 273.07613 281.798718 312.920088 261.828656 292.061283 288.079245 299.80493 300.03544 285.40635 300.117045 314.732981 294.290418 315.887004 297.933077 304.303869 285.598624 300.81486 304.501916 298.373053 324.345848 303.052911 292.205761 313.914556 306.980162 306.210045 316.164154 326.479774 287.164968 297.907736 321.917965 314.253357 296.853411 325.175182 313.660885 324.981691 348.347159 346.735713 338.293676 340.560211 357.132043 337.535362 339.528982 304.53239 337.239351 356.109283 350.462738 337.258213 355.786197 368.904049 339.856044 349.509265 359.086334 344.454424 312.470938 363.471206 347.362893 368.562359 
131072 266.677497 240.375456 203.194834 185.081674 145.583641 132.904291 142.627055 120.67646 113.40365 114.31446 113.607983 112.232114 111.602688 103.538781 108.682735 95.582975 97.006897 97.204942 99.844861 106.675644 105.486787 106.642988 101.480558 99.267528 96.435982 98.401435 93.942273 99.146917 88.423653 106.430505 98.416062 97.248441 106.048783 97.967041 104.712946 107.157063 98.773342 103.799827 103.336115 103.242385 103.437415 106.246509 104.031492 108.284845 116.042219 118.6754 108.728092 108.689406 119.04551 118.756492 108.256489 112.225377 118.054763 123.455274 117.244551 116.448899 121.791668 126.408204 118.146827 121.887646 125.987667 134.045865 126.95057 125.684277 140.743014 133.377818 136.484655 126.59342 137.044217 132.079447 134.542939 135.144585 148.331084 144.999639 136.087535 140.611048 147.961742 147.862942 150.361335 154.36384 157.272182 145.237719 150.434792 159.136273 157.55947 155.265668 162.371035 147.832021 152.186932 163.422666 152.533305 162.585441 162.06014 171.341582 166.025759 163.229688 173.909005 166.906927 167.369485 178.234275 172.904464 180.993137 170.837516 164.861728 175.612386 187.690413 181.557893 177.377869 187.761047 199.275408 191.881921 188.02838 188.36417 194.99466 186.690939 188.879463 200.496792 192.17883 193.60365 206.279922 191.766633 189.635338 202.049537 209.928998 196.684696 198.209213 209.696756 202.229555 202.74254 225.957374 205.351983 213.875562 211.104446 227.724138 217.27809 215.362804 218.475544 217.822444 232.178554 226.599374 226.026084 226.146568 227.342674 227.107291 227.8248 233.917864 238.919457 248.583135 240.503446 243.637806 240.937647 234.748992 254.365304 236.212432 240.60821 240.011182 243.017874 262.142823 264.882245 249.884906 276.202214 261.961842 266.259911 262.708221 245.875727 275.3392 276.5108 279.838268 267.08084 265.519753 263.712442 277.024297 282.014151 264.974306 267.583622 289.140433 272.081855 288.527943 279.452568 293.109708 293.29858 275.608267 290.488588 291.798442 307.244867 286.869663 287.148672 296.3267 307.403714 294.264948 300.560612 318.488618 308.745836 311.242495 318.882533 321.035769 294.33385 312.385417 291.204943 333.316013 309.817164 322.842248 349.685179 340.600242 328.816624 334.114743 304.463422 303.968657 302.578738 320.186805 336.598505 344.517359 312.036286 362.205874 327.219546 333.814368 314.568745 328.275924 336.150061 357.294226 348.768017 355.001453 339.069117 362.222169 351.353851 344.267925 355.662506 348.298081 367.250516 367.998821 367.602984 354.415845 358.826634 372.559733 378.56683 352.080215 368.06041 350.56776 385.349369 385.420132 
262144 523.342823 626.915349 463.104419 482.968047 326.251831 307.866335 269.86581 238.227737 213.070161 195.957819 174.611952 171.567729 167.208969 170.676808 160.573539 171.895754 155.869816 145.784896 159.344778 140.600527 144.596361 141.941301 137.499075 135.826619 152.145807 144.480944 136.760396 129.989084 138.724244 134.257704 136.956325 135.859594 132.482086 129.94546 133.210888 130.81938 134.314994 136.701566 131.415572 137.327012 131.316579 135.155427 138.43144 140.307464 143.663096 138.263932 138.805914 137.925706 139.700367 141.494655 146.67229 143.576228 146.044146 140.745258 147.509321 149.38913 151.956677 145.933607 148.829438 147.834009 157.9274 148.452144 157.502562 150.187217 157.07067 150.585876 161.925672 161.737889 161.816095 162.653639 167.519928 161.337433 165.300741 166.521997 170.044303 170.213736 163.816771 161.847081 168.601391 173.328273 171.180104 170.802744 175.382775 166.508076 190.173022 176.496123 184.923467 171.64401 179.865675 177.093085 180.215385 187.106985 179.058604 196.927011 192.010422 179.420504 192.179408 193.293654 194.776405 189.517356 187.408451 191.318383 199.08262 200.517063 201.628808 196.796903 185.12639 201.22091 201.496457 215.319821 217.670527 203.919657 204.974622 200.707348 208.552871 211.707122 206.572725 218.003233 229.830416 208.327174 215.329443 206.814911 233.394485 234.988035 224.265731 229.878724 213.101145 218.143928 233.586375 224.816503 237.81445 235.728704 231.24452 241.801367 250.052159 230.167036 244.227455 250.070828 245.463724 240.930783 243.237607 239.572042 251.510915 245.867516 250.275225 250.189514 254.224804 258.074814 260.481334 258.117348 287.839816 263.658037 272.679845 263.522285 289.436572 264.537604 275.984024 282.334093 266.006114 273.422569 269.814039 299.891733 276.314614 297.50324 289.63231 291.824873 272.657839 299.005045 267.384678 303.849909 301.454101 271.790976 299.155102 310.174636 296.470406 331.228854 276.272977 313.639331 313.292186 303.932861 314.552127 312.402999 324.267773 328.768186 329.830275 322.647089 318.245215 321.242284 321.868117 336.67562 321.458936 348.249772 326.667558 342.405438 358.38358 341.478462 362.883481 348.867587 332.754398 353.572205 345.869813 359.663794 372.709728 364.418711 364.060853 342.66578 356.581528 351.267755 364.758028 363.114567 368.682072 336.752926 361.770711 369.879975 367.978035 368.975519 360.182231 326.860343 347.619642 388.757349 370.208899 385.134705 379.38314 384.175587 366.065379 373.879275 384.568152 383.344264 400.720025 371.874365 392.347531 375.191888 387.374294 404.330353 373.389452 402.443614 411.463113 409.14487 379.977472 417.358771 
524288 1037.410875 1441.995411 1056.923641 898.237929 768.376001 777.159665 644.507248 488.799423 483.510669 420.524761 352.624314 366.420349 305.836534 269.586287 359.645703 251.535809 259.52953 244.502101 256.873253 229.924146 250.590482 226.625997 221.458308 220.630962 224.303774 219.220962 217.542986 220.351952 215.74055 205.996293 199.289649 198.87354 202.115297 197.630278 200.10429 214.569525 190.225885 205.724661 191.782095 194.963095 193.292883 197.310401 196.566009 199.269955 194.837672 206.799897 205.650881 187.293101 202.468725 203.038488 197.293529 195.965197 190.037653 189.014445 201.186393 195.740975 197.06552 189.345421 192.086575 198.907413 194.156217 198.259062 200.128156 203.879433 204.108787 208.258977 203.830481 213.608805 204.848815 207.420727 211.908504 213.171652 216.983875 205.604367 209.23375 215.37307 226.387981 213.435586 217.998552 213.800372 210.190367 232.608844 227.407278 226.751165 226.272439 218.154193 226.131299 226.495121 228.162896 224.907218 243.94036 225.286568 219.622958 240.303988 227.58903 231.852005 225.959555 225.683175 240.732479 240.490293 240.960102 240.169455 240.491321 241.54218 236.810167 230.762972 245.126717 238.507966 247.040783 252.20873 251.521758 247.454968 249.221991 259.929537 250.285491 256.096593 256.643065 265.828725 253.515313 258.723807 248.646393 254.835304 276.630001 256.652176 268.282142 267.636102 273.802559 276.992027 273.452335 272.140493 268.971424 293.430675 287.557086 278.141494 282.345254 285.953337 287.924244 289.587015 277.278674 287.133213 285.0526 276.991194 285.4979 318.733756 304.622078 316.788191 309.65203 305.289611 331.013036 311.224084 308.579676 310.594978 326.713811 299.320495 340.395782 344.959387 325.183266 322.239382 351.4284 343.97788 345.641805 325.670523 335.116972 346.733852 360.149319 361.933216 336.303777 361.717847 345.740026 359.407752 351.944528 338.832257 360.011002 352.768664 363.004348 361.080916 373.572421 361.855717 367.105911 363.299014 369.883569 376.135224 365.783353 362.717446 370.679157 367.540625 365.179591 368.295346 389.716019 386.107102 380.535748 381.304711 402.072414 397.971686 425.741915 370.007389 366.517224 406.872048 396.644831 396.947129 379.913382 387.256376 407.731149 384.815661 416.291231 401.853454 405.297875 377.868822 443.44198 407.030318 428.500776 420.363024 400.807148 420.369569 410.640325 433.936572 441.186286 410.982592 413.261315 422.910238 425.285388 442.722544 422.017201 420.761044 433.547148 447.985442 445.816422 398.052201 450.831296 442.011384 427.108675 444.40655 463.673536 445.767535 456.080142 447.836217 442.748206 460.415486 455.60206 460.508062 
