 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
100000 209.925019 230.939206 219.571569 222.681294 174.956784 144.81301 154.154182 155.194073 125.242828 138.354457 117.294527 120.140445 114.288028 111.548543 110.854383 110.371167 108.116311 102.563366 115.280186 104.424057 109.508473 101.169983 101.893909 102.70406 101.335504 99.496819 102.17093 109.302345 105.704592 114.456819 109.106929 102.70207 103.735929 110.343197 108.349001 105.293358 103.704942 106.86272 105.436616 110.69451 105.833224 109.472548 112.650854 110.392468 108.40642 108.370492 117.916444 112.60293 118.463048 109.530866 119.402277 120.841402 128.587166 116.197475 111.571509 134.304731 133.491309 128.001047 126.499561 128.742165 130.563464 122.935554 123.188903 128.771807 133.827482 130.385369 136.86516 142.949562 136.376553 133.422662 149.846234 126.079283 139.538503 135.685606 145.353709 148.833671 137.313025 148.31992 148.230231 159.626353 152.76298 152.757014 149.401638 158.412926 164.561804 159.641302 148.155042 156.937869 167.114534 166.256651 162.056996 162.911477 174.430393 167.133972 154.177215 166.594877 178.126559 175.302838 174.663211 183.834436 183.091583 177.826314 192.502043 181.859294 173.68677 178.98489 179.159327 201.74698 186.787557 187.547154 196.39908 186.14389 185.872 197.801058 200.404856 191.653013 197.003547 200.045395 189.894139 188.906729 204.80564 204.152156 189.345614 216.44491 204.140672 212.206954 208.79679 220.880588 201.018693 211.258549 221.97482 207.419959 217.142722 205.742943 199.134329 212.42758 216.46377 224.787827 228.903566 228.803486 224.69339 236.26273 253.729591 227.81864 238.315758 221.427831 228.226539 263.749523 236.306356 219.019001 232.629246 246.683311 235.599689 261.363083 250.675616 252.311764 237.804185 269.939782 242.117201 272.546274 265.981285 268.21741 262.757236 273.411725 260.31126 258.961566 269.620802 284.986008 271.853272 275.434215 266.208075 271.917939 270.858482 292.901203 290.689841 274.48273 261.071177 281.069467 288.776994 289.391215 294.605739 272.422069 286.484861 287.549772 286.423596 294.634929 310.942764 307.637623 299.289956 306.486041 287.70092 302.828367 280.808293 291.978652 297.120554 317.759562 308.669044 301.283768 313.663837 315.802767 303.859402 319.624034 320.002359 313.040058 321.860737 322.486571 325.71524 321.120004 339.854439 293.39892 325.475171 331.924038 316.961728 340.669594 326.185945 337.463959 349.23667 336.181113 341.206123 330.359041 337.892192 349.67132 333.538053 327.369863 348.854563 330.999949 360.20924 363.153702 351.833924 339.785601 374.105743 343.258187 354.070177 363.550565 367.382483 378.099266 389.505399 379.948728 385.423018 380.070688 
200000 412.208785 647.524652 578.498093 562.861641 346.260196 262.645157 277.776324 306.469232 246.490525 218.909616 205.602764 213.849258 200.48967 179.487482 175.392976 177.019372 171.446733 167.88728 166.029158 159.624235 164.290619 160.198874 158.453019 154.273833 150.242648 153.339219 148.4592 154.348444 152.380935 156.460236 147.238394 143.450614 137.1289 140.476384 143.634803 151.349387 150.037928 152.264624 143.864993 141.617574 160.045541 147.372671 150.603134 149.26595 147.984517 148.813015 150.801373 146.584333 146.846919 147.078454 149.375272 147.713077 140.43943 156.084352 142.714564 146.982414 152.564676 155.757225 151.476092 147.213759 159.044145 162.951061 162.728763 155.589846 160.537226 150.378464 160.252763 157.687972 163.150777 161.685795 167.801761 175.250807 173.043489 162.581271 180.904731 174.118343 166.933295 182.65456 175.703421 166.26961 180.391361 170.885953 175.154959 172.490087 182.142153 180.78059 178.630047 187.489543 189.100734 192.344606 181.549937 178.645445 186.84626 192.761358 201.534435 191.109877 197.00156 183.759119 206.970937 204.765349 194.040354 197.483106 202.586257 197.467389 208.768368 204.730191 211.503877 215.130308 206.105484 212.722759 204.584623 217.333007 205.031722 206.892604 210.83012 207.522861 209.636323 221.373559 226.020501 225.032129 222.600203 210.671463 240.655109 224.890986 222.501276 231.431084 235.921234 238.949031 231.676157 217.224648 228.117604 239.62388 238.464727 235.13546 237.156091 252.320039 245.947773 240.832498 238.808084 249.488683 243.926503 243.69901 259.035087 257.034347 242.894569 243.179739 261.209367 249.265617 265.016265 256.96769 288.008674 262.742223 278.865485 289.456395 264.852862 255.809691 280.124528 295.22291 290.773244 285.462935 285.276563 252.000227 291.428138 295.677259 296.803369 299.326013 278.651977 297.383268 308.345446 272.71372 307.113538 302.783267 301.006938 306.313399 303.837396 308.877614 310.778334 298.060425 303.35078 313.346655 321.04661 305.749346 306.410465 321.909496 303.526437 312.598736 323.648612 330.224122 320.664053 317.622333 347.339091 334.561454 312.200462 297.143072 311.21831 323.399884 341.836833 335.068344 335.190495 341.615882 346.389212 326.685842 306.560202 315.039257 357.290185 346.825466 347.357247 330.127442 322.176318 343.706311 334.208665 354.861402 360.348778 313.044484 371.179566 370.171047 341.042335 359.292272 358.241412 347.94773 357.128836 356.893193 360.025821 349.446072 338.403573 375.907023 364.304773 363.963658 399.022227 388.518052 375.229996 371.018473 377.330304 406.603622 365.227066 373.590577 403.177292 374.281848 387.589535 371.54371 
300000 602.187547 1048.532414 1001.934468 937.832066 729.010448 529.819855 531.048168 491.388273 390.215981 361.361209 347.266917 315.821436 298.842411 265.885244 275.959131 258.34959 231.313297 225.919521 227.751534 221.349884 210.409841 210.152067 206.289097 205.893005 190.96322 196.425255 193.899918 195.267254 196.709653 196.9664 185.786546 190.963732 184.151298 181.676132 195.029305 183.844252 180.587098 180.088357 185.00841 178.472162 188.688345 182.96321 187.679891 183.518151 181.095463 186.509124 176.830113 182.386456 167.288586 172.999542 192.563247 182.896233 179.59879 193.246499 180.569712 193.567721 186.491353 199.174875 179.718952 188.208272 188.085542 193.797719 185.737018 186.18912 193.791432 180.88125 193.51749 195.676179 184.706945 190.016354 187.975646 201.102607 193.382699 197.089643 204.579169 197.572281 208.234535 195.616902 197.317009 198.822601 202.565664 198.287611 207.868529 198.58157 203.62031 201.779572 201.084131 202.136465 204.771763 210.697577 223.941173 214.622903 213.649737 214.756731 213.660577 217.226511 216.878597 213.107689 230.958326 228.508114 220.197789 236.625078 223.736261 226.806465 229.01879 230.414482 232.433187 223.766542 225.130093 233.710898 244.527122 228.616666 233.764532 243.404345 244.48337 237.742725 252.275515 242.288561 245.10901 240.873557 244.620019 252.261851 248.01023 242.906951 244.086057 255.196176 253.355567 260.908608 240.64882 250.044525 264.023337 263.966368 252.919248 267.63129 262.021634 272.423352 259.570783 277.92478 274.137 257.93502 261.407542 276.461786 283.008939 269.3552 268.363106 281.028473 282.801654 277.582255 280.095144 294.097952 283.073287 286.445086 288.065515 295.308493 270.649722 296.845071 290.458306 317.971336 302.378191 297.431192 310.675495 279.644903 294.216255 315.4741 318.856163 317.19859 316.619911 304.662109 312.507764 341.055359 322.524232 327.119531 334.054052 331.898121 322.856362 332.452292 324.914713 323.578682 325.981353 327.23796 307.319221 341.51766 336.822984 336.552057 340.867577 338.925217 335.215964 338.283218 335.853088 357.709309 337.764395 363.845229 322.318612 344.504785 330.05456 353.828249 354.758946 355.303687 334.524051 360.557859 362.911389 352.831536 361.632457 346.508605 339.217444 368.650636 377.481196 341.210229 341.512527 369.488565 374.820944 369.690269 362.298515 375.66811 386.680714 388.40514 380.459341 403.143354 384.474356 372.815519 356.042368 383.551614 399.986797 369.56087 375.345796 389.573593 402.840671 401.049525 405.277023 386.011961 402.77613 414.433172 415.500134 413.975874 407.356484 404.20384 410.947114 421.271975 396.642776 406.284899 
400000 797.755432 1419.007878 1352.697387 1409.230196 906.878977 842.268403 738.039761 723.62245 617.573152 486.905179 452.027852 471.616961 408.572671 397.526641 386.732999 363.958912 333.703445 309.319576 282.812625 289.825415 246.446131 264.012943 248.363276 257.855147 239.68072 237.5799 247.738341 239.447388 228.659842 241.179831 228.096369 232.912616 219.500486 217.006138 226.364692 221.753612 206.783348 215.052998 227.072068 224.642002 209.382267 214.95311 217.286624 204.418332 220.328728 209.300664 215.487714 218.549323 206.953359 212.03816 217.279116 208.867939 208.283997 213.054567 195.351554 215.829342 211.968103 201.788039 210.153864 212.76709 217.518158 203.069795 219.311421 217.672578 210.702517 217.285147 219.431969 221.673674 219.126077 212.39634 214.676922 225.672719 218.804018 217.471775 220.942178 226.775543 232.901646 226.074778 222.097353 228.390134 228.65798 217.504174 231.408373 242.318199 220.087314 239.500058 225.849079 227.302257 235.689568 226.324278 226.530983 241.145638 239.830266 242.110403 243.635945 244.597822 240.395344 236.084125 232.387187 246.197015 242.061708 240.331638 248.341785 251.369454 252.850539 256.186923 247.284893 247.335062 261.716255 257.540465 263.001667 247.335127 251.956023 266.038448 255.990864 257.446607 256.675527 260.398062 256.869597 265.846625 286.792164 260.41949 264.59374 257.867465 266.661201 273.216566 284.961756 270.578958 255.518684 266.013234 279.525383 280.805406 276.703714 283.0074 288.490543 292.084186 277.44676 273.844773 292.429982 304.46092 290.771511 287.634328 308.616951 300.803118 310.583239 279.607629 320.665913 305.928084 275.740297 281.675219 339.166441 297.516582 281.012049 320.765741 338.948764 314.63027 309.681988 306.920304 325.907705 307.353673 325.797551 318.263244 350.981752 342.013386 335.895686 336.736951 347.082151 319.312114 344.2481 358.406354 347.013888 330.275381 345.65688 356.32247 361.381675 345.465123 327.502728 361.133651 365.484455 356.521607 303.437773 361.548415 353.667925 372.714925 359.363356 338.699713 376.695938 373.133922 367.643017 362.957516 360.636705 385.478833 355.56499 371.217481 370.812407 378.085923 372.909314 360.286099 356.54714 374.123192 373.377647 376.379269 369.568696 373.972943 346.694333 382.530843 397.69351 369.949071 373.403117 385.654617 369.77861 409.616089 399.934895 388.458131 405.508945 405.025856 393.549667 422.693074 416.860031 420.995466 421.200761 424.661993 390.199749 392.532556 399.594041 393.117522 424.74315 433.799921 404.185556 453.931912 412.681996 423.63641 397.99337 421.742039 435.613776 431.192081 409.84788 407.06894 411.335765 439.783343 
500000 1011.209817 2265.961973 1761.582493 1849.01001 1289.283498 1068.279668 955.923155 1013.891243 734.815394 712.470887 615.277684 585.380649 505.541781 479.984642 478.802203 480.33647 424.593732 397.160572 358.973357 423.825282 352.702776 352.726129 311.427582 309.72709 276.54724 313.335234 292.972289 312.890703 293.247192 268.093527 276.821376 281.322688 249.985372 250.766909 272.155763 267.841333 266.625788 249.931611 263.797318 258.286912 254.739328 257.77566 249.661069 259.236599 259.10585 233.763827 241.25624 241.067883 237.949754 230.043345 243.89821 252.062393 248.787599 245.915697 239.048216 239.43847 236.232643 241.447168 246.645909 243.769836 243.686563 246.812969 243.2412 245.90633 235.61361 244.802091 246.581239 254.521328 235.647483 243.650189 238.958656 228.060505 246.14768 237.743944 241.352346 239.399914 255.261102 249.459302 252.53419 255.308769 242.080056 234.260194 242.704605 243.85157 261.989107 253.580173 242.146584 250.814512 253.660368 257.029214 274.686359 259.802061 242.807127 250.066785 271.250663 265.974421 261.714267 271.19363 265.650246 256.733908 265.523155 256.125527 274.028319 271.25772 267.529667 284.3714 258.081358 295.331205 265.179283 286.294836 273.678097 274.64902 262.425682 261.77252 274.449241 281.620111 289.464351 283.29334 281.392874 280.015656 291.807294 289.47128 298.460047 286.286046 309.995321 296.5753 278.142264 296.226552 280.931471 289.53274 303.566536 302.406932 297.530247 310.869563 306.60787 318.988453 327.923457 323.740355 307.894886 307.770872 297.943982 318.983319 302.989203 300.262164 311.856011 306.206708 294.76587 310.677099 349.518888 345.514457 363.82393 356.280063 344.477839 369.630155 326.349475 354.085447 352.453214 344.275494 352.413179 352.242399 336.841203 351.966469 369.310151 362.060628 372.745529 339.022157 376.466586 367.556536 361.366919 379.658364 363.293944 384.804179 379.386348 394.021402 372.550751 389.978989 390.414731 374.894915 369.980958 388.742659 372.404927 360.084265 381.02397 373.811656 375.615118 390.10807 392.896441 390.293028 402.749442 403.59353 388.527673 380.082877 360.480873 381.103458 401.335081 403.639917 374.162584 388.974516 404.500493 384.403467 401.474682 382.719781 377.356738 379.775833 416.191984 404.456031 412.484076 417.060387 376.914901 428.546711 406.048423 423.383768 438.087789 429.994884 433.773936 429.090426 424.140476 433.864909 422.959382 390.395744 393.989325 404.619691 407.993863 417.682371 426.16322 420.845665 453.629804 436.200026 425.701241 452.148785 459.633308 447.777001 418.278372 439.326046 451.849244 447.717209 440.173021 452.238024 459.326006 427.248596 
600000 1205.337933 2217.004083 2185.740098 2175.912438 1547.828955 1300.596412 1196.582368 1222.306437 928.668157 810.837678 776.63308 817.964088 685.44306 602.701365 620.912039 580.930724 569.476544 473.984861 529.437491 519.746098 470.195736 423.702167 445.675537 400.814076 437.498012 384.718274 364.868694 367.2373 328.921261 347.291809 318.717397 331.387126 309.341965 303.533111 315.961231 305.617893 267.658875 305.657862 279.378532 298.77813 294.695233 278.118976 296.582806 274.494727 286.18327 284.892533 284.013992 281.553197 269.554595 271.192409 261.699448 264.180003 266.580558 265.652811 273.690672 278.375211 270.529687 279.097534 277.366694 276.262906 271.374225 284.665103 275.50145 287.366031 263.86744 262.268888 268.071778 266.601986 267.544615 257.495751 283.038323 283.246441 283.101002 271.69205 265.758795 283.658061 279.168939 287.475479 278.859262 276.376974 282.570376 254.393467 277.251279 276.660153 265.100565 273.295219 284.954443 283.348769 287.572098 275.017014 287.875293 270.749611 287.90288 279.364419 276.400518 281.312488 286.424427 276.878795 288.147888 293.506572 298.935629 281.449457 304.608028 303.365152 277.107764 292.482207 295.09492 306.996521 315.36831 310.634371 291.325234 297.455634 304.21373 299.789791 302.752857 293.37858 300.502488 309.561314 312.178456 304.378033 319.67504 317.388489 317.716001 304.970056 318.591267 320.613948 328.583805 306.874628 318.320404 306.052736 340.54834 317.198269 326.622008 312.99207 318.25779 328.231659 369.566835 330.961329 329.087231 351.864655 344.349722 385.924327 351.030382 357.021247 338.823853 316.820714 360.605398 363.187062 392.489955 372.433861 381.541831 367.360799 355.954603 359.886605 363.833617 342.190838 389.400313 400.943927 380.560256 354.146137 369.41774 391.200826 368.26853 398.976676 373.681357 386.248052 381.519951 399.532963 367.247629 403.097034 382.169777 401.879884 400.728494 397.216645 413.954576 412.3106 409.505677 410.007307 404.040758 391.173816 420.368863 403.083049 419.912337 417.040754 401.899131 409.536153 416.974484 429.675327 407.478185 402.081908 426.71983 408.89922 428.384462 416.104348 412.56196 417.292437 429.295336 445.589376 417.643171 436.459341 423.926904 439.928784 434.500622 412.734922 433.58622 434.905505 433.943178 459.416144 426.189526 427.737715 439.607816 442.765078 431.222555 451.812611 437.931379 460.418693 451.983201 458.391138 477.198583 451.378859 447.239637 446.143421 423.446702 452.931797 455.887292 454.628251 447.754354 484.423982 449.000374 451.752435 478.898821 487.590803 473.465204 470.563858 490.92257 501.850489 467.777473 446.822052 441.089155 471.355915 
700000 1399.621434 2501.668031 2459.218417 2537.91321 1866.978435 1330.405489 1407.020632 1410.124069 1250.706475 880.084098 919.658027 978.166874 809.176703 693.60692 700.285207 688.346269 662.160543 658.072583 567.317532 543.625194 505.072807 514.356686 495.288259 531.373691 491.662151 449.490454 452.709885 426.85385 403.559014 410.778 408.820054 392.502852 352.52295 362.716099 361.138655 377.265316 346.47704 362.633469 321.929254 347.714591 326.199416 347.280454 357.27376 334.476577 319.552248 307.476082 303.276744 311.681315 285.187646 308.226309 301.763006 307.811101 289.058186 289.040607 296.819475 308.811788 297.787702 312.661543 301.38167 298.043488 303.965643 291.838988 293.942182 282.343075 289.848703 274.306304 295.264804 296.870155 290.876918 292.724134 306.342074 300.630285 273.965256 300.564974 315.038102 280.881879 304.002853 308.04135 299.217525 293.197599 302.478849 285.484555 299.762139 316.508988 299.145545 301.545329 301.753638 298.61851 315.455882 311.769146 303.752586 289.520616 297.107015 306.42477 313.063088 313.376679 298.390696 311.299404 312.599763 323.321037 299.476329 315.367605 316.265134 318.39861 322.472073 323.129662 327.774489 331.864311 305.473735 339.934762 323.362353 324.145687 288.075523 313.491132 315.942882 332.737013 320.157037 327.017522 335.092017 357.355686 345.919981 349.977726 349.874115 346.267573 356.59468 334.674624 355.047002 345.640458 332.25803 361.676725 347.869461 358.96848 340.869885 352.232328 364.249407 353.60717 343.892874 363.04836 343.34871 365.900438 356.350057 337.859859 364.220216 376.535166 366.752223 402.242039 373.342425 414.31288 392.006289 419.309279 398.70761 406.582965 397.564685 402.705302 397.506562 423.951412 401.563663 393.815783 419.871791 402.192512 379.854164 399.644721 399.999628 411.334419 404.751529 387.095347 388.360165 417.810873 422.79155 424.355589 427.938777 416.233236 418.1797 428.451889 424.123732 433.790491 426.122226 425.934893 428.733659 436.971682 413.536028 433.911167 443.935716 425.165802 419.225044 432.194503 441.399152 433.019281 421.204805 457.312242 421.192936 461.769094 409.165527 412.08452 428.282134 443.710468 440.172316 427.415592 454.263014 438.024019 442.060592 439.229108 448.631419 471.560442 422.271446 445.189884 466.975277 419.567054 432.900722 461.529732 461.34458 476.874983 444.741761 488.043162 484.067539 453.577968 420.151571 444.861345 480.381762 479.178794 442.362633 449.052918 512.691477 471.759706 464.942074 459.34153 499.158159 455.128338 503.136222 490.851999 470.874944 440.361509 495.913194 488.245634 473.45122 494.798691 497.720443 489.162153 498.437503 494.767642 
800000 1590.429782 2885.384462 2747.968915 2778.414731 2041.143803 1636.783105 1623.3176 1503.039667 1318.729073 1131.699456 1101.202894 1093.87998 905.433818 883.463336 845.703778 804.051676 770.572415 668.463521 718.962224 673.158583 626.06414 617.76318 607.103172 567.182744 506.745778 544.762533 539.900863 527.227092 430.474122 501.714415 477.74454 521.676459 442.445586 428.956918 419.102507 424.477162 397.789936 399.684113 400.019578 427.947373 395.192038 363.637046 383.708538 375.402508 392.927558 373.642351 333.290735 362.149482 345.3601 346.581741 349.159107 346.116937 308.009272 316.533108 346.32172 326.645297 330.637602 338.164981 319.445428 339.162334 327.171752 313.489206 339.563368 328.62525 306.705194 310.044017 334.30323 344.41208 300.479391 354.974507 316.883076 331.565926 320.880128 317.035635 324.432843 321.799277 328.476986 331.96343 323.633665 339.251382 304.217901 306.164942 339.660691 343.688734 330.368985 316.477999 318.887086 320.188406 321.223614 320.553771 324.418731 328.065881 325.165302 335.655105 326.12333 357.140062 342.663983 335.23335 329.068945 369.316437 334.033073 322.383091 337.790507 336.746127 329.426034 348.961958 338.634725 340.412012 332.410718 330.842386 345.751381 333.293751 331.509982 339.591854 359.22446 361.002261 321.876776 338.952805 373.938107 379.201067 337.569236 367.662391 346.289705 349.099186 333.196874 371.028352 366.798095 358.842225 379.281005 361.823639 341.921645 388.190859 377.703751 377.849896 353.841337 369.915775 382.481509 403.370785 400.044407 373.218156 384.261361 375.30031 379.592668 406.411542 398.733785 398.806728 394.782792 403.838283 385.76952 392.289666 433.453353 404.745821 376.547871 417.033762 436.742265 450.448675 426.20396 436.161724 435.173417 412.480675 387.190683 433.569925 427.126061 449.372473 450.722232 439.588312 404.544375 450.216113 431.292291 451.26524 457.144476 436.000954 447.727345 439.162065 443.000143 451.589095 436.561861 445.025776 448.539356 451.980377 446.750776 448.862505 452.79874 451.838723 473.329133 457.331936 443.446148 453.329366 470.015266 465.706867 476.324403 474.567582 440.811044 468.335558 490.091635 487.008341 479.219529 451.963825 475.760545 484.248584 451.10511 486.543858 468.83154 471.859982 456.973311 448.331878 508.48714 492.756379 456.11838 490.614689 482.305776 503.954581 463.905394 463.568388 491.864237 480.239598 460.966002 497.607529 491.646112 490.217699 511.158876 517.236864 498.466887 509.362023 470.316347 484.218622 506.3842 498.033199 502.457651 496.443563 512.330605 506.659747 517.398407 511.541113 514.278482 518.988812 525.850003 542.946624 516.167977 507.790608 
900000 1786.513539 3272.547749 3250.098542 3295.534256 2339.028445 1821.223551 1904.627776 1821.821349 1470.312113 1270.983263 1241.008795 1207.633659 1033.491899 1045.991104 922.650154 924.526562 839.189538 825.26808 806.338867 778.501019 694.761586 664.958668 630.202464 638.856789 579.529899 566.697923 603.833957 609.309915 532.754885 544.346487 520.98955 537.665121 462.405449 457.527482 492.845362 507.692579 485.83206 468.223159 439.662796 454.573077 458.140803 432.246854 458.523617 427.662783 418.925119 387.989157 406.12663 380.774536 369.052505 397.515287 374.364223 367.597402 389.818859 379.712768 349.011423 371.553718 367.545759 382.800038 362.445045 377.828469 358.831959 368.757006 378.311877 373.847134 345.32443 336.69416 360.39035 362.203757 357.877267 373.006317 344.440565 343.635484 365.044479 333.199184 350.524455 350.892705 339.707076 350.260521 376.390498 353.415347 370.414452 324.908616 360.334728 360.701182 358.861921 335.222123 349.050749 355.828155 354.096481 379.50651 349.996523 355.760214 353.257398 354.825347 355.582248 343.56055 366.335537 339.04923 360.989623 348.077516 378.936939 387.293393 362.609346 405.940835 376.97232 369.558688 363.334875 372.381895 359.974883 372.394601 370.400019 354.165128 364.595651 348.683013 374.830952 352.564074 354.731424 392.923836 376.428092 356.98378 394.259546 386.348713 403.62593 377.140789 383.225898 377.827441 387.666776 411.159211 368.8653 378.389826 409.928138 376.904957 393.196817 394.045975 399.107294 422.056912 370.098232 401.85371 410.562376 417.698536 381.687972 432.800256 405.999858 432.459145 403.997901 410.582584 408.027225 476.182492 364.57865 416.000223 431.246548 439.940651 423.896044 441.423212 443.950664 452.217302 471.624084 430.188375 478.00116 465.132551 423.933961 420.289696 439.033177 434.667874 462.348416 484.530223 477.00605 467.770222 462.609845 483.853001 474.004749 469.044151 486.634831 473.146677 484.980784 473.58742 443.785271 481.149314 461.42689 473.00964 442.979164 460.314891 489.631772 474.869175 466.136257 486.040113 483.03355 476.169854 483.594714 490.732416 497.754764 507.476761 446.18448 467.646853 489.970188 503.022988 490.281853 460.951118 508.089184 506.515204 456.144041 486.8187 482.832229 505.460752 471.614909 499.254198 488.280664 505.767606 462.505273 487.656822 512.7539 517.607808 501.84465 513.60434 523.261218 530.35356 504.005266 496.965787 506.956912 508.885477 517.499643 527.270269 528.248634 534.42818 478.092582 501.090188 523.672003 537.119805 506.969421 524.980638 527.880768 513.784936 523.445792 525.21968 546.091892 535.632112 543.155449 537.079258 555.14892 554.688542 
1000000 1995.732983 3585.534815 3545.722485 3620.361333 2505.161275 2304.344094 2146.319182 1985.295467 1564.324314 1537.801004 1473.482849 1415.239153 1225.093846 1082.161735 1082.610562 1087.248395 1009.964052 931.018477 883.144037 893.00294 813.883504 761.218412 732.753576 756.220475 699.053879 676.290314 686.000054 650.329897 570.29176 626.898861 619.316823 664.367093 513.06133 524.792407 522.420979 546.280829 552.105145 533.37674 494.311048 499.813888 489.103068 484.219906 483.088402 446.031535 489.961657 493.959609 452.343943 452.201712 423.858192 447.58768 415.15235 429.535982 434.776745 414.201315 443.605959 437.75508 415.752585 422.461602 399.80588 395.019205 405.152498 387.618853 430.417923 408.815497 382.00105 373.118651 413.531536 387.718231 394.188077 373.819484 369.900699 388.446777 373.108068 384.445039 391.520253 383.287297 380.084739 376.609844 396.154686 359.50732 395.946375 371.538449 377.937918 371.962322 378.867846 391.878815 379.875785 396.654389 362.391027 356.163236 402.246082 392.121578 376.050733 387.928724 389.646795 398.047645 357.795405 355.026858 368.13451 390.843287 391.925326 391.34126 415.925418 377.308299 384.034189 391.285702 411.159787 424.841241 385.228884 397.808089 394.734101 424.882365 362.891178 386.664354 385.867741 390.608032 385.819303 403.803125 413.123638 378.018046 402.37773 410.634422 434.438776 422.230066 439.134479 427.383002 420.773683 404.778538 393.091347 418.656179 408.737101 436.535428 379.039909 440.290168 423.439582 411.908542 417.148214 399.355961 405.088536 429.949911 398.075105 400.723105 447.386425 459.347882 429.226689 421.454945 463.25948 465.260284 380.007305 466.760742 453.331612 486.300134 424.832901 467.39742 477.860086 453.258282 473.655041 482.750112 468.045064 477.315022 475.454846 499.248553 465.669852 496.039194 479.747526 472.385154 506.473568 494.08163 462.017438 475.903675 500.500795 477.950479 472.304511 456.621354 487.318596 493.028653 484.839579 493.737503 484.216632 489.323571 494.916606 486.45308 500.168663 495.090727 518.905538 505.403974 506.999447 490.923341 490.564137 516.195693 483.015841 515.69695 484.75836 484.711524 490.812803 526.781343 481.423256 502.891919 515.242669 504.86443 468.852649 511.657106 508.885799 510.981039 496.134655 529.43114 523.150293 531.875705 510.417564 514.292402 528.966529 524.217065 542.569649 513.906959 509.972008 521.571951 536.904821 529.432551 524.440324 518.012628 543.597606 532.022812 544.377155 552.495978 527.046559 532.851054 546.525258 551.884773 523.473507 549.892052 560.1926 563.063025 552.393587 549.675851 544.787618 536.680087 565.850691 570.942871 567.625606 546.82249 
