 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
1024 0.405867666667 0.665643666667 1.10984166667 1.63756933333 2.120362 2.07950566667 2.539109 2.59345333333 3.51081166667 3.49494133333 3.58925 4.27209566667 3.28034933333 3.80587833333 4.07015666667 3.42902233333 5.197893 6.089999 4.68599266667 4.87959333333 5.41058 4.93126433333 5.592058 6.20207966667 6.72199466667 6.017997 6.75044633333 20.1997993333 7.18682 6.50341933333 7.81118033333 8.88855866667 
2048 0.845494 0.854905 1.08674266667 1.89214133333 2.24358266667 2.25494866667 2.20262933333 2.64379433333 2.47027466667 2.81478666667 4.66925 5.003566 3.61977233333 4.02415 5.157191 4.68529 5.69319366667 6.527497 5.12552 5.225788 5.98442533333 6.02338866667 5.98039966667 5.557496 6.978887 6.978585 6.462595 7.13351133333 6.800496 9.790611 11.122716 13.4670113333 
4096 1.268085 1.17960333333 1.402564 2.072126 2.07954333333 2.71312 2.68867 3.917925 3.09114133333 3.972228 3.593928 4.43661533333 3.89826733333 6.26323333333 4.660065 4.57903966667 4.75252733333 5.383741 8.06367333333 5.666969 6.45726066667 6.09003333333 7.44365966667 6.131522 7.49990833333 8.951672 9.74863966667 12.375773 9.962899 10.113953 9.56814266667 13.297825 
8192 2.51317133333 2.14557466667 2.373983 2.530641 2.524508 2.935509 3.02190266667 3.46168666667 3.25881133333 4.517337 3.32768066667 4.83338966667 4.44851466667 6.52127866667 6.014592 4.786337 5.423916 7.27791966667 5.686023 5.39242433333 9.47871833333 7.19019466667 8.48483133333 8.09089733333 10.4683173333 8.99431766667 8.072037 11.795506 10.060029 13.1518533333 17.6555856667 12.6582533333 
16384 4.90412666667 3.73974933333 2.85201266667 3.63951366667 3.75211766667 4.269735 3.49252566667 4.070999 3.90363166667 4.376501 4.58263833333 5.11313666667 4.96552566667 7.054584 5.68063366667 6.55904066667 8.258913 5.76867933333 5.81640433333 7.14681133333 8.47906033333 9.69257933333 7.06266833333 8.216568 8.145546 10.722468 8.856162 10.953579 8.999705 12.4131283333 10.315439 12.3390426667 
32768 8.81576166667 5.94396033333 4.69954833333 4.43204233333 4.973994 5.12255133333 4.81778533333 4.229011 5.177929 4.984575 5.475584 7.46622233333 5.504467 5.623217 5.74238233333 6.25978566667 7.40888466667 6.56154766667 8.07393433333 9.530431 10.1540896667 8.53773033333 11.1948733333 10.4934003333 8.362927 9.95294833333 9.549816 10.7087273333 10.4253213333 14.9493036667 14.422612 14.8284346667 
65536 14.8281373333 11.761936 10.5828276667 8.59504833333 7.53312266667 6.784022 6.21717766667 7.003737 8.05592933333 6.93462133333 8.904997 7.81826666667 9.26987466667 7.617401 9.953394 8.41974466667 8.76515166667 11.3539586667 7.76904 9.90316633333 10.0408183333 11.9325046667 14.1763926667 10.2016686667 10.6478293333 15.0178503333 12.2647226667 10.6540246667 13.6776596667 14.9597666667 14.421388 16.8752946667 
131072 31.2018273333 21.074363 15.490552 13.330276 11.2494483333 11.3943503333 10.8209326667 10.1934876667 10.2506523333 11.060661 11.898652 9.66555666667 10.5027476667 12.2687543333 13.8158653333 12.0344103333 13.0162426667 13.179438 11.155001 13.226024 15.2778673333 13.9462136667 15.5030273333 12.2723423333 16.8754436667 15.185935 15.4235086667 15.943206 15.7731626667 14.0301133333 18.1275196667 17.568396 
262144 52.251312 33.634119 25.5824083333 21.0741406667 19.2980383333 17.0652153333 16.0108873333 14.7861793333 15.0752963333 14.536013 17.8228233333 14.2749123333 14.1968383333 16.240816 22.6870906667 14.389017 19.0786503333 15.6375276667 15.3666213333 16.315825 16.20818 15.7750796667 16.900028 16.918278 16.2722646667 19.095123 16.0617683333 20.153002 19.2799083333 22.6936903333 19.77084 22.1915413333 
524288 107.386012333 59.879252 43.9795893333 35.0263263333 31.2186393333 26.5701083333 26.1035406667 26.9699403333 24.1805336667 23.2223646667 24.584585 22.1248203333 23.7101666667 20.9520596667 23.253195 20.1651116667 21.8337053333 21.6956816667 21.487723 21.561438 22.1861006667 24.0593026667 20.7616063333 26.128285 21.168446 28.3753656667 25.677179 24.694654 23.934001 25.145394 27.0764053333 32.1096936667 
1048576 202.686188 119.846687667 83.3185296667 67.2154583333 60.1810476667 51.302784 48.7112603333 47.0197013333 42.8335 42.2302666667 41.3894766667 42.968016 39.2270576667 38.7830093333 40.8152443333 35.5553753333 37.3633226667 36.5960673333 35.7752853333 37.302513 37.5500896667 33.758902 36.0463926667 34.1091123333 33.697948 38.0687646667 35.854987 39.2129926667 37.595029 40.4973353333 44.68521 41.5740976667 
2097152 398.906822667 250.179096667 177.189347667 135.713609333 116.824274667 105.065547667 96.1649366667 85.4131343333 84.5911723333 82.1734163333 72.6638626667 73.3890753333 74.1260053333 71.063978 66.6267163333 70.5134093333 67.9155963333 65.207886 65.5094066667 66.36748 62.7363033333 61.27793 60.6243223333 62.545488 63.191823 65.5554213333 61.656014 61.442085 68.1265813333 67.8496366667 65.6458163333 76.7447216667 
4194304 815.563521667 511.869885667 353.147301333 271.239513333 233.726910333 204.882327667 182.719909333 170.985172 158.660962 159.043115667 157.598274667 143.609131333 137.253402667 128.728116 128.111512333 135.112219 125.712240667 121.807677333 129.358074 118.794187333 120.053695 118.658487333 120.169784 120.953267 117.629089 116.153516 115.590562333 114.490796667 120.991994 127.372362667 126.365346667 136.875376333 
