 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
1024 2.725735 3.123562 3.60181433333 4.343023 7.75301033333 4.22144166667 4.517178 5.76658866667 5.14033466667 5.474819 13.6017403333 33.5652826667 13.1274276667 12.9457656667 7.87365433333 40.4482663333 27.672005 21.040567 16.747693 12.7159486667 15.610128 16.094143 20.8002943333 41.5735963333 36.230907 16.386142 27.9468943333 32.985278 39.3337006667 37.642038 51.5238843333 39.1572833333 
2048 3.045449 3.71740833333 3.951 4.905087 3.81722233333 4.45305933333 5.756713 4.499867 4.62521133333 7.31092166667 5.898506 17.9873353333 7.724295 7.91094166667 9.06530266667 16.4386713333 23.882948 20.1112933333 18.1070806667 29.1805463333 24.1258343333 26.3471553333 15.6314506667 39.9854013333 17.674267 37.3662573333 59.7083893333 48.8086983333 34.4105856667 93.116749 63.410414 93.2065163333 
4096 4.26077233333 4.735447 5.08308566667 5.35222166667 5.49281033333 4.75063133333 6.82341733333 5.28515266667 10.1571326667 8.06191333333 6.191629 6.90851733333 26.6927556667 15.8413483333 9.437727 9.60503 25.584323 18.619605 19.421893 21.510339 19.7513603333 33.4197173333 44.110479 51.4530896667 55.684132 36.027952 37.5293996667 27.333249 71.294822 28.9035403333 57.0588356667 27.480637 
8192 6.53383533333 7.06482666667 7.14020533333 6.97779766667 6.528875 6.37517066667 6.721574 6.91519033333 11.3811953333 7.198947 14.3577936667 16.132736 7.008162 12.2947283333 9.96336333333 9.351823 11.314239 10.3758883333 25.49451 11.4164646667 24.2826123333 54.1137056667 18.6176203333 30.7049756667 63.3759546667 26.927026 44.971614 31.572557 27.830666 67.5697946667 41.280094 42.3639023333 
16384 9.85164733333 8.138669 11.206093 10.795295 9.85599366667 9.71325433333 9.88795466667 12.061527 10.3738703333 10.377822 12.92176 11.6043276667 14.8345806667 28.1792716667 11.7140683333 38.5432 27.2749723333 14.4009583333 21.3944066667 19.7199403333 14.5445246667 32.9402073333 16.0690826667 25.232063 41.268761 28.731506 50.2456183333 32.877076 91.656332 40.354188 76.419752 82.4979893333 
32768 16.2915893333 16.0507026667 16.292563 16.619712 13.3450136667 15.31621 14.692624 13.906659 15.439407 15.3572983333 21.064164 15.283774 20.1530313333 20.2444793333 20.6763096667 13.3587616667 14.6791356667 15.3346716667 68.251477 13.6089783333 47.2134976667 27.6915586667 40.2506173333 43.002516 27.04689 52.294488 35.619804 28.1291603333 52.9228333333 30.64204 60.4432446667 87.112019 
65536 24.3496916667 23.1508613333 24.213854 22.086789 22.3208033333 19.9899743333 21.0556163333 22.4894303333 18.0802996667 24.664813 31.2088876667 42.2967266667 16.8338326667 28.7817906667 25.2129923333 27.133841 41.3190953333 36.0582693333 73.9805786667 34.0148566667 44.7827456667 17.4361393333 40.216691 69.8426296667 61.4214226667 20.4951386667 20.7186226667 34.8480846667 48.2779923333 107.537030333 56.0832613333 95.7783763333 
131072 49.0432413333 46.1293956667 42.2471466667 46.8549293333 34.779143 36.509435 33.8454143333 35.7247743333 38.8705486667 43.3751336667 27.4413843333 62.341984 61.77443 56.162645 31.7110113333 24.7224246667 30.1490696667 49.5073693333 42.288513 42.7979653333 89.84945 25.5239916667 25.1517146667 54.483736 39.3209893333 29.6391826667 45.6767663333 79.0317033333 44.5177706667 93.1153746667 85.1378893333 162.398219 
262144 78.898488 79.9247046667 68.3395516667 66.3815746667 63.802448 53.1226856667 42.0421933333 46.1334956667 68.8972213333 39.365154 61.0703473333 36.3370353333 37.7559086667 59.887803 41.784598 36.7516153333 44.483707 68.0519606667 51.4767373333 82.9744653333 36.0095346667 54.1325933333 62.1806106667 52.1259726667 85.317102 45.6807393333 55.9815483333 125.005608 89.5573396667 116.055726333 165.431119 100.396694 
524288 143.612976 126.693625 114.952281667 103.938607 102.924065667 91.3427413333 84.0355936667 84.6332956667 76.136393 103.281941333 125.913230333 72.9234473333 95.0437273333 116.991506667 125.904804667 100.547460333 110.246801667 107.918667 77.960474 61.7819383333 118.439046667 76.192298 80.3636923333 68.292831 59.4664276667 51.0636443333 135.419177 53.9544516667 122.841094667 66.7661023333 117.246533 105.909605 
1048576 273.355649333 270.399024333 235.025771 263.432755333 202.372746333 209.685757333 176.474605333 157.157397667 140.681174667 143.358993667 149.778066667 132.743305667 126.638617 146.480757 105.022782667 104.666278333 101.383088333 135.951999 150.331818 128.914973667 121.407789667 117.665265667 112.069369667 133.506665 147.485722667 114.610824 113.841153333 151.451437667 121.523427 145.621668333 218.670762333 174.382573667 
2097152 561.404083333 651.214334 521.614191 572.709335667 506.487652 317.594418667 338.997646667 284.247917333 332.823616333 230.186826667 225.036544667 203.071359 206.317610333 206.267090333 223.68072 203.002284667 214.859053667 207.015131333 175.251140333 209.354413 180.805761333 184.571763333 182.871331667 185.820243667 179.985997333 151.074189333 206.387113 167.504957 175.675110333 149.440086 197.530918333 194.238328333 
4194304 1161.692663 1392.333455 1386.75243167 1058.01832667 1027.28022467 817.351824333 725.982918667 686.084512667 661.162096667 516.991282333 569.704895667 528.638467333 471.215307333 494.603169 432.609121333 416.645308 452.791252 431.847037333 399.412672667 384.20577 350.741288 363.225922 339.109854 333.387107333 350.129253333 348.552429667 325.131495667 336.717356667 379.18307 323.242555667 314.405191 323.961849333 
