 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
1024 2.53226566667 3.07255133333 3.298531 3.253365 3.67728166667 4.344502 7.93131333333 4.45373333333 6.64362333333 4.76500533333 5.844215 6.935301 23.398744 26.991829 15.861951 16.5478846667 38.1649953333 33.7935673333 17.0710613333 10.6553536667 9.96389633333 24.8297126667 13.340187 22.1695213333 26.3061226667 25.725015 19.4865926667 18.9556773333 31.0042923333 25.6866366667 55.909173 69.0066536667 
2048 3.024499 3.44265433333 3.59129333333 3.54961033333 4.08283833333 4.50762733333 4.13388633333 5.964581 5.09285433333 6.31300266667 5.68780833333 7.96044466667 9.72195166667 16.2661633333 7.32080533333 10.4628353333 17.8346696667 24.5217423333 14.8958853333 28.682668 21.6338893333 15.581813 33.2881663333 23.5571626667 21.4331233333 23.5638223333 30.2637306667 28.954423 24.305456 43.4093416667 49.8273636667 49.4448673333 
4096 3.95573866667 4.59078466667 4.607264 5.19506033333 5.35707666667 5.978965 5.75858333333 5.66058066667 5.56531033333 8.48480533333 6.44205833333 7.045482 12.1324703333 16.4067296667 11.5092973333 7.921889 9.05916333333 30.3479446667 24.3951246667 19.3967223333 33.9193653333 16.689234 44.8064136667 32.3994656667 34.2401766667 39.851493 84.64655 42.5742363333 35.375002 26.5424473333 65.1746446667 44.620588 
8192 6.47465266667 6.668304 6.61313633333 8.517989 7.18743066667 6.57946233333 8.114401 7.140244 7.08143066667 7.14498866667 7.37065733333 12.4186916667 9.95613733333 12.0268143333 10.7002346667 11.9757456667 13.5686343333 28.2158453333 13.0263693333 20.226373 31.6835493333 20.8997846667 45.4338446667 34.6072023333 30.612046 30.2121873333 38.1880533333 30.495441 39.8753333333 52.867989 37.9344673333 73.2950206667 
16384 10.4894773333 11.125216 11.6828573333 11.2905043333 12.08011 9.620398 9.966472 10.0755346667 9.641093 10.550247 9.25166233333 10.5115353333 10.981205 33.128019 33.9680333333 18.8096013333 13.092113 15.8340773333 19.6955346667 14.2844506667 33.494069 24.6467263333 21.4532683333 37.922639 25.2754513333 32.1101423333 33.801793 34.307547 51.5304403333 61.207303 68.955652 58.122428 
32768 14.5691183333 17.656643 17.3255423333 18.812965 14.9869013333 14.463389 15.3684963333 16.461749 14.508972 16.8156803333 30.6533283333 13.4795603333 14.7105326667 15.2033543333 48.1820856667 24.486275 17.2067226667 25.9336793333 15.7718526667 28.8340543333 17.56791 39.771811 60.845806 21.2311113333 23.7155463333 47.788032 26.7685706667 32.809509 44.2517753333 35.5137873333 48.969522 76.5254123333 
65536 24.9090433333 26.626939 27.5222943333 24.8266376667 21.9076913333 24.3051583333 19.107245 21.2270706667 22.2957976667 23.1586733333 19.9389846667 20.650576 15.4384596667 30.260188 31.8654943333 23.8407926667 42.4794536667 34.4451616667 34.5688086667 66.407808 48.0566526667 22.8733303333 25.2126766667 89.278043 88.168717 42.7794973333 27.9425473333 80.573663 48.3406826667 56.297242 49.7684286667 38.312115 
131072 46.648805 46.0327256667 43.243638 37.3360273333 41.1198376667 33.9795633333 33.6002926667 31.2324466667 33.691014 26.7445723333 29.9081216667 33.2102006667 46.2896493333 33.0392463333 40.5349396667 25.320853 34.3645966667 37.9418653333 66.7956073333 66.7779303333 44.5369943333 52.5034933333 23.9285223333 38.2206783333 57.172052 54.4036626667 61.8550313333 79.273176 70.3634923333 102.845579333 48.3690016667 130.346966667 
262144 74.632204 74.6585206667 67.017969 74.8997876667 66.387231 54.6295483333 48.0096533333 46.1861776667 43.9343433333 36.5690566667 51.962985 36.532965 35.3429846667 39.2502016667 64.8871683333 41.8602546667 72.6380883333 86.9198686667 39.1495156667 70.0386836667 39.3075786667 63.587861 50.377469 50.929214 52.4367893333 54.3561183333 96.9908236667 102.567911667 71.7187863333 67.4879603333 128.678681667 101.353568333 
524288 151.521487 131.66311 119.513835 131.117371 95.4284726667 90.4229136667 89.960207 84.1313913333 75.3502856667 60.899713 67.8813686667 60.0651623333 83.1736813333 102.64834 82.119766 75.9257573333 94.8198976667 54.4410836667 81.158165 109.126607333 105.898856 118.674509333 163.945270667 60.5116803333 144.801455333 55.9614703333 67.0894273333 78.260638 115.532452333 127.651668667 112.651551333 144.434530667 
1048576 271.860845667 272.715286667 219.656434 243.867308 191.694629 179.280510667 175.306073 146.300984 129.429343 127.629151333 124.928619 149.301007333 115.815094667 107.776018 161.878967333 105.578307667 190.820627 119.502766 121.822602 131.609588667 113.874712333 140.531209 122.766893667 128.138764 134.017201667 101.389795667 140.591881667 121.519765333 108.594579333 135.862372667 158.632013333 181.98438 
2097152 537.634342 643.389438667 533.559941667 446.78419 409.806552333 332.015236333 315.286212667 340.897209333 311.986760667 284.274585667 243.108193 221.247572333 234.056490333 254.586871333 231.155647 207.350990667 193.409685 220.048650667 193.559134 194.928044667 185.908538 217.481589 183.059712 216.245343667 191.485908 166.998218333 169.984026667 211.023773 183.698010667 197.641216 208.034089667 171.267476333 
4194304 1090.23779867 1385.14250233 1158.00363867 1077.90235 866.096396667 953.551144333 751.347881 673.047329667 689.584682 604.488467 606.790612333 501.978872 469.671785 465.997585333 439.353749 447.855965 491.955121 421.525661667 350.753805 375.522408 416.800252 332.606821333 366.123288667 358.076229667 335.43133 343.022032333 349.463775667 313.985814333 302.045939667 317.694842333 383.871979667 290.173005667 
