 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 
1024 2.78548566667 3.508791 3.44803566667 3.48258233333 3.92589733333 4.24089966667 7.49277566667 4.466329 4.65434133333 5.28237333333 6.69989866667 5.59869633333 5.273452 9.76826 6.06117066667 6.352457 16.337545 9.988727 15.1691086667 17.4243733333 15.089563 17.9454353333 17.0028066667 31.2812526667 27.164634 23.4109973333 31.006623 13.7122253333 28.274287 73.5983663333 39.5228346667 56.4442926667 
2048 3.139111 3.74110833333 3.70820733333 3.78729266667 4.15979666667 4.232616 4.69202533333 4.39319833333 5.22961866667 4.90759433333 5.63440433333 5.684152 6.24337766667 6.113941 9.575118 6.67973633333 12.222753 24.483168 21.809547 14.831742 14.8363116667 26.739561 31.2236446667 37.5926386667 32.055636 43.3840193333 43.9754203333 32.776876 34.4328806667 106.922533 49.210991 119.007381 
4096 4.097626 4.81970066667 5.11231633333 4.818769 5.33604266667 5.00522633333 6.65764066667 4.78958133333 5.13858166667 5.40968733333 6.08708033333 6.648649 5.73872066667 6.88406066667 6.96819566667 6.92082033333 10.6663066667 27.6008886667 10.7282653333 23.8914163333 24.1878513333 20.8611446667 35.4309116667 31.9317903333 43.185551 39.4121966667 34.361258 46.7486483333 57.9249293333 30.305096 76.3380153333 18.4179916667 
8192 6.58488 7.299663 7.23646366667 7.63659233333 6.57275933333 6.777469 6.53977666667 6.77840833333 6.974592 6.712551 9.23765 7.535482 6.12458466667 8.51817566667 7.75881933333 7.81909633333 12.314368 8.660259 11.5996583333 9.993885 36.972373 15.151675 30.1154756667 23.6573313333 22.4251913333 46.3041513333 45.4880096667 14.4310543333 64.9175326667 73.7131263333 53.1435753333 106.406153 
16384 11.267394 11.6895703333 10.5240416667 11.4462806667 9.48689866667 8.38013266667 8.10666633333 13.9264246667 9.21630933333 11.8117576667 7.509835 8.171321 8.21938666667 9.18468066667 9.577926 8.84015466667 10.5214333333 10.4345896667 14.03508 24.6184503333 35.5408576667 18.1006436667 22.2917036667 26.7736966667 23.279797 35.1074076667 35.3170996667 54.0142823333 26.3884643333 40.1385756667 48.7557983333 76.877286 
32768 18.3297683333 18.619328 16.1142726667 16.8152556667 14.711064 13.526425 13.520136 12.5956756667 11.8800576667 11.3309396667 11.5165543333 11.894096 11.5621476667 20.2408853333 17.5840756667 11.2704013333 12.7547306667 12.8575223333 29.8695953333 20.545611 24.1668953333 19.6167246667 30.4812296667 27.401812 64.431944 60.3751873333 17.1498486667 48.6002436667 19.1939046667 38.2837266667 17.7249073333 56.0204326667 
65536 29.7532866667 27.7341513333 23.5331973333 24.4226013333 21.425612 21.1981503333 19.8084903333 18.9503066667 17.3367753333 17.1130446667 16.2227583333 20.386387 16.2350846667 16.6736423333 16.4993216667 16.1305703333 17.823045 22.646712 48.9451336667 16.6424946667 48.3666856667 17.8467043333 42.4860533333 63.5995503333 19.199003 43.0017573333 23.21302 40.3642753333 17.814984 65.453015 45.5908896667 80.59987 
131072 54.0827256667 49.3564573333 43.1569506667 43.9377136667 38.6797523333 33.8081333333 29.0342513333 30.5710136667 28.5831143333 25.8120846667 26.59224 24.2009696667 21.6123256667 28.7685666667 24.8612946667 22.0009206667 24.6888136667 25.0774966667 25.7335196667 46.6265896667 31.1564246667 25.7104533333 25.4175263333 36.804658 57.460419 33.3891676667 59.7459213333 93.627928 35.695172 61.5189813333 63.079153 109.161146333 
262144 80.2365293333 82.598905 69.3107303333 66.077876 58.158079 52.0977083333 49.2256353333 45.1683363333 41.1245113333 37.3987613333 35.4020213333 40.011281 35.7161236667 38.8700536667 33.0256273333 32.9699786667 34.4629656667 37.9171453333 35.6921986667 49.1991863333 37.7625316667 80.2091323333 36.910008 34.680602 55.869139 102.684650667 73.3897896667 91.7111683333 64.71137 68.9611573333 97.0057373333 105.703367 
524288 141.638196667 130.314615 116.818582667 113.383050667 103.239055 90.725609 75.163888 81.3381143333 67.8811923333 65.4643896667 61.817085 60.3142356667 53.6141536667 59.926425 54.409669 53.8867336667 59.4245856667 72.038488 60.9893366667 94.1309103333 110.039461 93.2872286667 98.113381 57.3898933333 55.5965073333 60.9164416667 59.1742623333 52.340568 92.695359 61.4384003333 106.286820667 90.7492733333 
1048576 275.760590667 276.337598667 238.005285333 237.178977 181.388913 200.968533667 143.680088667 135.399930333 137.355481333 117.702107333 115.460486667 112.894797333 101.171783667 109.205557333 98.2313406667 95.5936336667 89.1891316667 139.007197333 107.193189333 99.4546116667 107.297834 98.9255743333 131.931593667 136.45983 141.868549 102.651353 140.633958667 111.576259 112.288043333 165.217195 178.509299333 138.143698 
2097152 547.496184 703.232924667 540.882695333 497.990117333 408.469148 371.600827667 319.516354333 259.875502333 292.08942 209.57508 228.903389667 206.547663333 195.961078 185.632538333 179.045665667 180.808936667 176.170838 221.257523333 190.260001333 245.534749667 210.613054333 233.034156 210.762635667 191.529628333 213.357288333 209.966025667 252.825605667 194.531759667 225.133999 192.977043 227.225765667 207.257496667 
4194304 1099.33766 1456.15708833 1219.31875367 1178.00634467 893.487095333 911.089069667 805.474996667 692.922742 687.360190667 524.043208667 478.480581 477.659013667 404.231394 424.451348 395.781247 389.590189667 379.650275 365.330007 372.840283667 376.980514333 373.249075667 408.650785 337.564734667 312.463087667 363.790738333 380.396215667 304.463705 341.369772667 361.511354 299.335743 321.223628667 295.335970667 
