 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
1024 18.715704 24.832761 24.524688 26.258479 29.902743 27.13766 33.620338 33.264599 34.458394 34.885667 35.535623 39.385697 41.109159 53.295222 63.528212 43.792893 63.269604 46.025683 49.942158 46.950416 50.463353 54.860095 50.578896 59.204289 56.735989 57.639674 59.79163 57.219908 66.685414 64.858789 65.979773 62.248767 67.146688 72.822551 66.355591 74.554931 70.976361 80.744355 76.446349 86.559178 71.640302 80.937783 86.101817 79.576091 81.301927 83.115912 89.371031 91.026553 83.055735 94.840764 91.850818 86.461727 101.246841 100.899825 93.035184 111.830182 99.071151 97.382782 107.775133 105.256981 111.0004 105.970324 110.116922 107.522233 119.232523 133.919222 109.116744 118.318763 120.47636 127.761941 116.997937 115.09683 109.293426 129.327902 134.265531 131.25063 121.010581 130.720257 135.297146 126.406536 132.962672 128.560669 127.839889 132.475286 130.422579 153.23266 144.916109 138.420087 141.649138 141.208713 141.68141 152.783572 143.374845 130.136706 163.417341 148.270585 148.742509 148.787609 147.557951 150.728173 163.452755 152.452147 171.31252 172.652078 168.936922 153.679883 165.271358 165.015379 175.017155 157.018 180.530706 188.071429 188.74339 166.845788 179.969477 173.837665 171.097601 180.239634 178.698823 175.511149 197.747041 183.038721 193.729138 193.818634 199.204772 190.820987 188.218345 212.443429 201.241697 206.932185 186.560898 196.964285 204.184746 198.15218 210.53815 195.5045 223.380201 189.626676 206.170153 208.24961 213.362192 234.521115 216.162692 218.695533 230.336278 218.580246 206.617761 215.757998 229.324809 220.004616 228.698527 241.912739 253.571578 234.051627 248.883767 235.707147 232.562587 227.977745 247.083768 225.263151 259.448695 226.774839 238.08063 258.858726 242.266491 251.126949 251.585465 262.902547 245.894396 255.685357 287.740441 260.546324 265.009913 258.421829 255.305111 251.11309 266.908391 281.287209 262.559382 267.935706 264.507066 273.081904 271.046521 268.681444 266.565288 264.191743 274.013053 282.601876 282.664171 290.286626 281.872432 293.572137 310.303073 286.692916 269.719088 286.525153 281.351172 295.371813 288.898823 294.541585 306.936025 294.580847 293.521838 292.790854 307.868836 292.405798 292.652219 275.828127 325.228493 319.702241 330.810628 320.999713 319.26868 319.548782 329.282197 330.352817 319.816053 314.564444 305.043064 336.195035 334.809863 328.385694 319.546794 338.852658 341.271434 330.177288 329.14157 344.607496 349.00321 324.799745 345.864551 347.308361 318.460904 340.346639 354.529655 356.763921 358.132542 350.332567 374.313285 366.686913 
2048 21.822542 27.143242 26.271501 27.845483 31.486346 30.86648 33.532124 32.387918 35.022382 36.295924 37.366032 34.842301 40.509437 44.288043 40.329033 45.505963 49.297205 45.231316 45.169663 49.722041 71.42968 50.182483 54.437569 65.401413 60.495026 54.332419 56.058382 58.056748 65.709229 64.669853 61.999848 63.838084 62.970642 68.323806 66.01512 66.896803 68.706682 78.320192 76.157268 75.77702 78.672339 81.500743 77.893561 81.914416 81.138973 82.270155 87.529396 81.710081 95.378704 82.71244 90.60839 87.188476 91.464861 88.44675 87.69915 100.860883 104.776331 99.73599 103.51607 106.497292 110.361353 106.317273 106.328051 117.881544 110.310604 113.717818 113.422193 117.357976 123.181396 115.366605 117.455362 122.191611 124.239056 128.81883 119.887995 128.762889 121.324683 125.438113 125.577588 129.06538 133.957332 143.169037 134.125354 145.93534 140.582496 144.18583 138.015975 142.16424 156.437975 147.453697 142.331237 137.358575 144.26564 158.841737 143.601826 140.108262 161.918743 163.838775 149.209622 159.885732 149.718243 166.533802 156.887767 167.402333 163.536862 167.486184 170.832383 170.445336 175.480868 183.374186 171.473935 184.011311 174.805508 178.108916 192.382778 183.17274 192.655053 180.202232 173.623899 181.501308 203.243206 193.294166 202.600629 200.637931 184.515569 205.673398 193.659078 202.129473 197.821845 187.82084 214.238743 206.364092 207.918573 207.690691 195.870696 198.579647 203.772293 220.029893 228.41477 208.666681 203.469096 218.209428 210.740624 210.387964 218.513718 226.499869 228.318346 235.584934 227.186456 231.155604 234.475305 234.491988 227.278199 224.729701 241.903179 250.281963 254.83864 231.960748 239.718381 225.902904 247.678293 236.445508 259.894509 240.061222 234.54979 265.835076 242.316147 263.001282 245.78052 251.636274 265.041413 266.875479 268.132469 247.14606 258.641753 249.202233 271.69115 254.276642 277.442652 265.521421 272.86352 261.43917 269.18859 265.558246 284.356839 271.346445 270.853799 270.241182 280.982795 299.652179 298.444328 270.510505 284.345033 272.989521 262.583953 298.518235 279.415101 285.150436 277.265328 303.881021 286.086138 289.601578 306.326102 299.360014 302.033293 295.606047 297.417657 299.347569 323.444151 306.93609 312.106794 341.033546 332.331103 305.648239 311.588036 314.100027 300.257801 349.053187 329.442071 323.227369 340.138904 335.053266 330.710737 327.694166 330.999565 334.053988 336.657849 324.890974 329.846571 344.618661 331.862322 329.660393 328.100396 349.290111 328.698449 330.775536 350.418215 333.329164 350.726287 345.948275 
4096 24.130839 30.718734 30.195867 34.118052 33.425691 33.119288 38.223336 36.188466 36.30375 46.319575 43.468268 41.702274 40.386774 43.163916 45.446875 48.066393 46.160538 49.683484 51.276134 47.095663 52.759914 55.26318 54.773421 68.95522 53.837527 62.358603 63.52552 62.055919 58.889479 67.343003 71.170815 64.326751 69.440487 70.647629 73.311092 69.901249 71.342108 76.286797 77.758898 74.215616 83.347961 80.231307 85.886898 80.622011 84.644278 78.495977 89.032228 85.81421 93.19493 91.726612 85.85745 90.763902 97.248633 97.490562 94.86925 97.046223 100.353674 99.078849 97.145343 103.94469 113.668674 106.897298 107.83101 107.112795 107.298718 118.246781 109.089863 114.163438 116.165782 119.949584 116.082318 116.338166 122.282263 120.305323 129.037473 130.024432 134.330651 118.40749 141.98884 132.064434 127.811467 117.397111 134.862816 135.155363 132.577676 126.575648 146.16758 143.054713 149.46451 135.011592 153.534059 147.428164 145.69014 147.98163 158.83192 153.399719 160.401218 145.870028 142.249953 158.105043 160.711408 170.448994 160.579634 156.089355 161.791202 172.796108 161.597198 177.417325 176.359279 177.539219 170.648387 174.859783 186.564041 175.610846 174.152023 178.387991 181.754271 182.779149 186.838241 181.863978 191.952876 187.580129 185.361135 185.914856 186.023471 207.496622 193.913774 188.869773 205.15894 208.30209 198.467951 200.617403 212.115532 199.832466 196.875879 205.43686 206.086751 217.50706 211.098418 208.754513 216.744513 209.956971 211.876809 213.161067 228.672353 208.846829 218.206991 226.457525 224.490149 234.243515 225.533116 250.478725 225.372406 231.936818 241.113753 230.592065 230.000233 228.696027 240.986726 245.991527 227.217444 222.581597 237.622948 253.850716 249.662159 238.626781 248.291229 261.243947 255.538893 254.83787 259.0007 256.196739 254.649639 268.052917 254.947511 266.604103 271.345997 244.364169 265.813198 254.486429 277.396268 275.131595 269.103456 266.539307 265.785355 261.406132 269.14984 301.534487 281.935305 263.756195 273.219132 286.923426 297.442355 288.625266 275.980623 288.26061 286.401523 296.065972 297.418169 309.262222 284.677421 286.925159 310.511898 289.143577 303.794926 299.144773 300.825254 297.506319 290.921185 326.1411 303.477165 289.081859 349.392887 302.562637 308.425126 310.70308 326.688985 319.526264 330.84848 313.073227 333.39242 327.104836 319.546089 330.692069 322.973061 323.54526 333.861329 321.886658 347.162729 338.866837 345.428617 341.320511 338.034489 358.122468 330.091514 328.085382 370.399247 365.010413 328.281634 346.041363 
8192 31.780564 37.118842 38.672037 39.871415 38.830629 39.8378 36.767015 40.556976 46.19903 39.093855 43.15038 45.827764 43.059022 45.304709 87.095707 45.50686 50.597567 54.0468 49.75431 51.772823 52.964758 54.261527 56.892909 59.603335 58.69124 61.45395 59.153287 65.318073 64.310585 66.53529 64.783087 67.792407 72.206856 70.03187 70.115463 71.736597 71.401387 71.187496 75.681558 79.930676 76.5515 83.189433 80.13809 80.302712 83.755538 84.595198 78.725395 90.452301 91.197141 89.044034 91.282211 97.802227 94.360627 96.774977 90.625777 101.272825 94.959066 105.374963 102.484073 103.769291 101.015883 102.815754 106.904613 106.710094 113.899119 99.971311 98.059809 110.392917 119.894989 116.724574 119.125642 125.59985 139.889303 124.250861 122.929139 119.948236 139.166532 129.093797 139.31524 124.991018 132.533217 139.988356 135.683617 128.160215 141.013361 144.151637 145.162334 153.305282 145.009776 141.363071 150.719705 155.686655 157.041674 148.145803 155.166486 148.253392 161.676619 145.013174 149.146816 154.412728 174.889294 171.718686 159.678126 163.936356 164.136648 168.724633 163.960926 157.538234 167.670373 169.502834 172.986775 183.648835 180.983448 158.528018 180.533337 179.372194 181.890281 182.431877 184.86759 183.177039 179.267108 197.231492 175.252861 202.375764 181.592024 187.976287 191.672005 198.681588 198.815479 203.868142 187.279114 204.504431 192.836098 209.854577 209.624776 207.304993 214.593522 211.489314 203.205548 225.840033 214.155664 210.937964 212.9303 216.163846 221.718967 223.631496 230.710044 206.132495 233.492836 230.40242 232.957075 224.223648 235.581403 226.428978 226.637352 238.574109 227.951056 243.111735 242.299337 245.753127 246.176292 240.13789 249.172079 235.957801 247.651347 243.466062 254.290754 257.514034 239.140919 238.703958 250.784489 257.952727 271.973754 250.258609 270.099976 278.096586 264.675601 264.587645 269.047705 289.240644 277.606826 285.594004 267.752992 260.311709 293.550902 274.495434 303.2788 289.274261 306.806623 278.388043 299.257622 315.692483 290.057208 294.49892 284.385387 288.797458 276.766395 312.920278 296.862073 305.439415 307.91753 298.851201 306.715778 292.036264 293.926592 304.54721 308.691239 318.214484 262.778151 307.640831 315.529531 309.506012 312.504557 312.848362 329.736737 311.0159 311.188863 335.552395 326.84238 332.376459 317.330236 310.098867 325.380156 327.183749 338.138741 322.404196 315.055233 306.100148 349.199909 340.315137 363.927027 348.574206 355.693557 333.424497 350.005762 363.775813 347.993922 361.772764 331.438321 350.521246 
16384 46.630473 55.682752 55.326566 56.170847 50.210646 50.352108 45.87614 50.370584 52.575273 48.391914 49.598928 53.186994 49.226188 68.828384 52.149798 52.405393 85.678393 54.482412 56.395324 60.055115 55.662929 60.612944 59.789385 61.619537 67.283018 68.722272 65.084038 64.869632 65.045032 67.167602 77.078983 73.638476 69.733485 67.002082 76.957474 72.299239 75.690797 74.19964 80.285647 84.685658 85.266132 82.430351 88.223233 85.580302 88.2113 94.428889 90.433633 87.547359 91.485775 95.471474 92.013387 95.099374 99.012255 93.629068 95.660795 99.492521 106.376616 104.424826 101.193785 104.638527 112.392375 112.157309 108.310507 108.055104 110.236508 110.984233 115.71766 123.792281 121.750931 115.080985 126.328012 123.541433 133.193758 122.99573 128.024143 130.166536 117.165125 131.647491 134.589964 135.377982 136.874142 142.270224 127.020949 125.326101 137.778152 138.068386 135.170954 139.903735 145.702136 136.813257 148.185003 143.435474 149.214755 141.179459 165.720314 151.857623 152.250959 157.218037 150.207296 162.741659 157.134505 166.223034 159.877136 169.926001 178.513414 167.414907 176.532818 171.058273 165.742834 174.388306 174.88647 176.221924 161.104936 171.451159 169.77498 183.391446 194.533001 183.335953 189.612371 188.633621 198.453259 190.62403 189.298909 186.237301 192.599751 192.761743 204.468375 207.756835 209.17492 199.181997 195.188023 203.490074 214.466365 203.404364 211.676325 193.706426 207.472628 198.677995 210.978318 203.796415 231.746982 219.649583 229.827655 207.540441 213.389009 210.106001 247.906555 214.385786 216.492897 232.420356 237.48944 233.301334 211.629751 231.5524 241.289794 243.959416 238.65995 240.9959 236.469375 253.446346 238.770746 218.359486 234.705624 253.137568 249.477007 250.277663 254.625324 260.063557 269.619518 239.416788 263.423936 260.35944 273.852215 261.930854 269.168703 268.088202 274.818903 279.101961 272.951541 273.069778 259.531263 269.455089 285.170836 262.040753 269.153561 290.151837 283.873878 270.086632 283.750188 284.828184 274.44167 300.25549 283.71766 295.541824 279.721121 272.261874 279.881381 286.387666 292.041076 307.846834 296.998917 302.738805 301.504975 306.747793 302.607352 310.208252 282.030575 294.249615 309.065907 287.369046 283.741654 326.020361 330.770145 323.966051 286.205402 329.976933 334.421788 309.499532 311.375491 321.397217 325.718574 321.070926 329.7828 322.769689 332.447737 316.074079 346.933824 321.828854 302.233841 310.28652 345.410718 335.677881 317.1762 367.086536 335.484197 332.189642 349.114712 339.092534 338.740707 349.08719 
32768 76.997763 88.905137 89.608597 91.07608 78.801099 67.930147 64.645731 66.629791 79.183142 66.458945 63.685264 62.178905 62.591163 66.646598 83.020577 62.540609 61.862875 62.944081 65.744772 66.994063 68.365506 70.212722 65.134272 72.409522 66.275845 72.715283 72.871308 77.133707 73.057935 73.337524 74.463831 76.919366 72.439481 75.748921 78.547494 85.873041 88.244212 87.522916 82.910102 84.768868 89.305466 85.41818 89.474642 89.162014 87.296256 93.807675 89.384119 97.699258 94.87528 92.36887 90.782058 97.656658 99.51908 99.730728 98.96446 106.939707 104.428226 96.372722 107.067951 108.333666 114.799215 107.064935 111.19909 112.131839 123.954402 129.15372 118.351482 116.50574 124.728817 124.579271 120.116068 119.785025 118.724863 127.946003 122.950437 135.187956 134.181233 133.040236 140.275899 134.234674 138.140436 150.238477 135.00492 144.959348 152.422252 145.903519 145.787205 131.425773 150.787388 154.743124 152.799742 157.988538 153.916229 155.003403 174.249796 141.755829 154.9413 161.271739 156.328847 164.441641 150.621355 164.939291 172.459742 162.887355 171.006436 159.079496 173.68459 173.222096 164.374406 179.343581 186.837278 179.710162 178.4925 183.568834 174.798835 186.756571 184.022217 179.271021 186.654372 195.028214 189.915951 203.083651 192.08157 195.393511 210.789832 195.473192 195.472294 194.168279 191.834189 205.712277 214.700661 207.169818 206.023046 210.416896 209.621054 217.433408 216.992022 211.225636 225.010253 219.0029 235.788109 209.838732 209.094406 218.20417 224.760367 210.377507 226.174795 228.0462 214.279675 225.556724 251.379848 229.76209 251.691769 253.21943 249.69879 257.865797 248.114291 231.786888 239.742438 249.973632 249.733628 245.697826 234.046559 251.486986 241.20665 230.335763 255.005251 261.918281 271.495286 272.894507 265.744681 255.390887 268.865249 277.52073 249.167139 256.666868 259.027773 262.115814 273.18128 283.668068 277.823605 291.325619 284.493937 267.362993 277.593482 289.667723 285.13164 274.942851 290.082293 265.640172 293.558537 282.456757 278.935414 304.56543 314.669148 287.622331 282.837966 269.421601 297.128572 299.506032 299.189361 311.609976 305.288136 313.322085 308.444372 302.398205 326.625216 318.646567 312.384842 305.191007 308.596228 324.204132 321.002088 309.790217 341.859927 329.674698 339.886709 321.727745 331.958874 331.793612 323.965473 325.647941 322.811514 355.181407 343.899288 347.913793 348.516145 327.44531 340.733493 339.066359 352.838336 328.379921 352.656264 355.520017 339.283652 353.700965 335.523012 349.960211 335.045313 372.008 
65536 140.992835 158.842954 152.426549 156.35592 122.367075 115.334461 112.042474 110.024538 106.936241 91.008653 94.824277 92.037829 90.091171 88.826804 101.963581 90.654646 87.849978 85.285829 84.783302 85.88215 87.373371 85.656069 89.125317 87.421743 89.976013 86.422079 88.892179 105.237543 88.694837 92.790817 92.278219 96.610289 88.276546 98.23136 95.516639 95.805465 95.991835 102.763403 93.941182 98.808884 98.704825 100.375101 97.749234 100.811933 106.034669 99.554686 113.934789 107.71162 104.607539 107.967213 110.460214 113.946208 108.847549 115.438007 108.134467 115.824156 122.926764 122.718644 117.38954 118.405694 117.600291 115.853026 124.278127 128.302447 124.742673 116.436004 125.403022 127.765278 127.168828 133.368452 134.419633 141.072705 128.813186 139.825918 140.983275 139.382799 146.739524 142.962137 157.4803 142.950911 162.621048 147.299725 156.846002 153.401386 163.359793 147.360607 151.868274 156.072674 154.379366 158.086439 154.241947 153.291552 160.302225 160.537547 158.432746 166.217004 169.178337 154.065712 169.403843 182.872751 166.952028 166.853037 163.476171 175.754874 180.185936 181.992031 186.580273 180.055317 178.095637 180.142375 182.222604 180.773341 183.934774 188.612963 208.792554 184.856234 188.03422 186.112391 197.645098 195.104558 209.725179 202.117027 201.079641 203.514965 200.089599 217.119948 199.287275 210.714193 210.831724 199.731035 209.217517 203.947051 211.154489 211.537303 214.895948 229.578414 208.367206 216.880327 222.314585 213.651404 237.074935 219.29827 227.661011 230.058357 217.815325 220.423934 232.794699 241.688004 258.047998 220.439331 239.873956 242.952115 246.186685 258.772628 230.694777 243.060795 257.181647 236.666522 250.12568 256.400174 255.768825 238.908677 252.895511 269.968266 232.175861 245.601849 258.748892 274.721195 272.834844 284.701606 270.85258 271.00899 265.182041 282.39953 283.700594 278.39388 270.395475 270.787334 288.649709 283.927896 272.142674 279.719773 273.202003 291.790678 290.122389 290.741422 283.894088 320.863256 304.987119 290.105004 280.418742 297.639824 293.317056 284.310711 275.711493 288.399185 312.384521 288.680119 305.183626 304.256713 290.413076 312.1424 323.298325 300.042687 335.072962 317.383419 312.426799 329.595145 311.004738 309.558041 309.47387 343.469578 334.591028 316.883524 318.957336 329.003251 338.520335 326.033447 340.031572 326.897681 336.439274 356.781627 331.225454 337.548193 328.013274 319.282988 355.29817 331.502411 336.969129 326.95927 308.693039 348.977035 371.082884 353.976575 345.353685 367.447216 357.73125 362.729765 333.442204 331.976775 
131072 265.600588 336.891631 324.469219 347.630099 219.25028 182.96969 195.824891 177.116822 172.921722 164.340468 150.149813 149.785798 137.48631 134.849792 142.830812 136.963958 134.685555 128.581776 131.482999 125.489376 124.482204 121.00904 122.900332 130.963856 113.189179 124.695006 116.301214 122.251084 119.899736 127.04013 122.313956 121.178859 117.400192 124.850648 125.312757 122.951081 118.34327 118.42231 125.596002 125.385381 123.874141 123.611237 123.742112 127.939329 134.631022 126.904634 126.932159 129.129596 122.585395 124.287172 129.237442 136.670899 135.604897 133.193887 135.539972 132.593331 134.628584 130.708967 138.437473 144.451691 140.713757 139.48891 149.516797 137.744084 142.226985 151.880399 146.937058 154.372308 149.542075 154.124478 163.236616 150.806249 148.269879 150.930709 161.900394 152.69568 156.787234 159.004499 162.488952 170.937278 163.071481 160.450874 160.457739 161.607076 166.691751 174.644479 166.548814 180.018364 164.969765 169.316015 171.795351 172.667796 180.7761 169.047077 179.189865 185.795272 188.520194 184.878432 179.867407 178.719994 194.067107 181.737142 188.571196 196.569603 193.594347 189.310905 201.257221 202.960217 181.960852 183.565434 201.157205 213.430326 197.717017 207.148711 206.855006 213.245561 208.102117 197.123004 208.936585 199.04336 207.263291 202.355043 215.269974 210.804973 217.107116 213.275518 218.712021 220.690112 214.204035 213.537015 224.789237 217.705043 229.226074 219.478931 225.697804 233.421303 242.911122 227.250035 233.454793 228.438505 247.458111 230.013576 243.470681 240.55355 251.383247 238.386584 252.726975 251.85126 268.129069 238.75971 253.477462 252.762709 251.141255 244.137895 249.439478 252.969675 246.914782 270.743325 271.706549 260.950566 263.785578 273.36964 283.845137 258.933594 278.086577 263.002821 265.823657 278.930153 267.478858 256.952485 268.413532 289.395962 284.523961 277.330254 283.438009 279.002712 284.680115 275.186769 294.616453 309.333818 293.248089 298.713522 303.029878 310.008794 299.502181 288.866297 292.633484 311.959107 308.881525 314.408869 304.857272 304.549967 289.710645 301.70745 294.46434 315.730335 319.752218 301.747098 300.298155 322.895754 331.066992 313.785284 325.581475 319.614862 299.430136 320.28586 325.69612 318.117612 313.307969 302.478976 321.292132 333.742771 319.519143 323.436708 336.770442 327.399182 349.97163 358.693257 348.432871 363.886481 362.663427 335.171311 344.714443 344.069942 336.99569 324.102959 354.519776 358.263096 350.942361 361.392709 354.705569 379.854999 366.857181 363.120598 366.502788 385.167553 361.308024 352.570103 360.994691 367.784479 
262144 521.176627 873.32042 850.862233 894.898209 604.896816 457.493415 427.365294 395.542838 275.990117 273.545553 271.342661 258.492142 238.165507 237.551607 255.639616 224.531014 209.917834 187.015053 202.884259 204.685798 191.981616 189.290119 185.563094 191.42982 173.239867 179.566135 180.790791 187.164469 180.536544 175.682444 178.594827 180.440569 177.523373 169.185203 169.219333 181.106692 163.774365 167.896136 172.046262 169.073123 171.786755 164.719239 177.850564 172.480143 157.294573 171.995323 168.255788 170.041416 167.6245 163.263881 164.152494 168.694929 163.080591 175.22553 165.390237 172.053127 177.57149 176.510877 170.120712 176.009121 184.145139 174.648328 174.923103 174.764319 178.4925 176.030164 185.356323 181.187269 164.544994 183.786897 180.690516 188.734601 211.030414 187.466126 188.609434 194.531203 186.169039 190.740409 200.813652 194.895796 201.189665 186.893414 198.463524 189.340995 198.658557 191.459459 195.72545 192.453285 191.941649 202.651119 199.339562 196.938814 206.229303 206.571506 194.747791 202.672932 199.977969 200.123859 198.883676 217.087549 212.121947 213.662631 215.190612 208.456766 217.928557 228.386284 209.758283 217.894747 224.432793 225.086532 219.051143 217.323446 236.473674 237.154037 231.143798 243.442069 235.515645 231.764178 233.321092 226.974553 219.786168 244.926874 233.032974 260.831109 256.233627 248.591861 243.045206 239.546059 247.078249 246.502843 238.119057 264.604132 249.87432 254.383909 255.30787 247.805961 270.535846 250.814577 259.432592 264.053875 259.748749 270.845203 262.624501 272.864932 256.061307 263.747148 259.028288 261.855602 272.276694 286.812503 283.795161 295.83354 278.127573 276.526648 284.628729 287.943041 313.822109 278.422365 312.01409 274.361734 300.603596 270.343509 273.777987 296.029339 296.451864 304.745127 314.949375 320.559675 316.944214 304.07246 321.636708 330.983461 322.456867 321.963899 314.059738 340.443126 312.606113 324.732192 315.052731 315.479298 339.105878 326.210389 318.821072 324.353611 314.448645 334.784329 336.301211 356.371741 332.075317 325.786196 321.608289 352.663642 342.793897 339.004963 330.631507 358.931528 341.913817 346.258463 345.236921 342.603804 316.961345 355.201489 343.297835 361.900882 346.386967 365.40131 338.096014 353.723162 344.430301 334.61483 355.442197 357.875729 354.290165 365.002717 377.02268 376.286693 367.708262 344.53821 365.516982 396.237127 369.680004 373.939133 375.841587 360.284494 368.537852 351.337428 393.976301 385.236264 395.001818 391.902038 378.601025 397.744127 383.455125 386.451104 389.096151 386.779001 410.355987 397.752597 422.359723 380.783773 
524288 1036.212844 1907.19603 1815.168531 1974.959119 1336.792061 1062.884995 969.468215 960.247271 848.895879 678.452146 650.170537 682.589315 524.56286 568.172334 518.574177 521.127997 475.644232 435.751004 398.116355 418.608641 339.152968 358.099629 353.802972 350.542227 332.688577 298.11624 305.327849 309.355376 307.302797 271.062302 291.99777 292.258305 264.186163 271.980618 274.391245 269.950815 267.468144 264.659306 271.722651 270.549703 264.812123 264.526697 263.064218 263.760236 253.565418 250.64739 260.048353 259.179051 246.558274 253.722982 256.253066 256.926503 235.420246 244.443658 248.184412 240.935723 244.178057 252.358084 247.999901 268.005314 250.187911 252.451365 256.196738 252.49576 256.889934 249.115814 244.288787 240.337925 252.6369 257.155279 253.228347 261.47099 242.145109 248.354616 266.611479 268.66842 244.632786 264.228633 269.236706 264.041365 249.669152 247.930101 254.152758 265.457331 267.40155 266.140519 259.888863 270.27326 256.455861 261.063864 262.180674 271.906777 266.440249 261.151178 267.277795 269.339995 267.973942 266.437172 261.660378 271.269138 271.425036 272.35073 289.602542 283.705792 263.012253 278.984941 274.090937 273.765797 277.302666 295.84605 290.167427 282.000678 265.547919 280.089243 287.300017 282.843933 282.943181 290.265135 315.291515 288.695454 288.911656 291.950875 295.773746 312.328642 298.660981 299.253645 292.831657 304.214309 285.294271 286.612401 311.971233 342.746743 315.882191 329.07318 316.355977 328.860442 304.118909 303.641403 307.927283 328.376905 310.451594 305.381481 331.370639 360.008627 341.069088 319.898619 329.344875 357.038633 317.527385 352.489716 345.468266 341.730333 328.922096 361.824408 366.339129 364.809802 348.79509 337.772928 349.235771 347.318754 334.411973 377.226439 372.388312 372.602589 372.385361 372.648267 373.867599 371.662653 350.710505 369.834361 378.467966 375.912926 367.047145 380.29754 378.184595 400.973181 372.039757 378.690969 394.084145 387.535322 381.089601 380.498474 385.522266 385.375159 399.718757 400.965034 393.868263 399.094528 394.309907 395.870927 404.341192 416.351666 373.7586 401.804565 394.331269 394.051234 413.814141 416.949655 415.333268 391.755445 382.347809 408.362947 420.894549 427.240448 415.988677 433.675139 428.118476 416.870101 415.345971 424.726791 444.187781 443.000592 372.978282 431.274713 424.030514 432.766831 416.990458 442.235095 422.671453 440.379665 445.709539 427.568668 454.857348 424.612209 433.60059 439.552514 453.485392 427.080767 435.7741 448.13428 434.388927 425.967997 465.899205 458.941588 468.755005 454.472867 461.886115 458.886864 460.57209 471.587963 
