 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
2 0.531525 3.212246 3.279222 6.741608 6.217716 8.627382 9.222869 8.495158 11.401447 12.176247 14.175257 13.089494 15.159716 15.906096 17.897854 19.564026 21.641495 23.471328 21.417786 23.295669 26.109896 27.05413 26.274903 28.863239 28.667565 30.392118 32.862472 34.639055 35.631471 36.622539 36.441492 37.403178 38.040429 40.321143 41.208278 43.397057 42.453592 44.547423 44.645707 49.622665 49.158825 49.3153 51.167199 52.185341 52.158074 53.816739 54.793691 56.445622 59.340812 58.474975 60.359081 62.504235 61.516566 63.615785 63.871121 65.215684 64.653429 67.499541 69.919471 71.358468 75.851955 73.428046 73.563736 74.638524 76.773991 76.859254 77.226412 76.164003 81.987939 77.914667 84.077659 85.451285 82.609985 84.594107 86.472441 93.563373 92.639861 90.212298 91.935245 91.50855 91.741175 95.097771 97.740511 97.167541 98.49106 100.872817 100.903035 106.966009 104.620308 105.113339 110.953952 107.970806 111.136347 112.422206 108.879819 112.444724 117.678752 113.325253 117.227677 122.195654 119.213213 120.506514 124.291535 124.561758 124.573177 127.871389 125.827665 129.11959 129.798479 128.53411 132.31772 134.042657 131.890127 135.454776 137.886764 137.686153 137.905884 143.392811 141.231556 142.575025 149.437821 146.814584 145.217957 147.932872 146.387761 148.104037 152.383182 146.17002 153.258319 158.11441 160.462486 162.875167 158.139239 161.023521 162.681418 161.331788 163.490926 165.182503 165.131628 172.370823 166.848803 172.335922 175.280384 175.036723 174.479343 175.725107 181.014756 178.900654 178.567625 185.364726 183.546958 184.333755 183.21643 191.281557 187.902572 192.807998 189.441974 192.590385 188.261521 194.38724 193.181573 197.748259 198.184192 196.097999 197.595442 202.049537 201.059495 208.830726 209.25075 218.288597 208.305104 205.279809 211.105409 215.742602 217.742123 209.865485 221.098718 222.082086 218.235284 230.324153 224.222171 232.959706 222.007922 230.629017 236.232385 243.520082 231.298091 229.589962 238.134904 247.256922 240.806963 241.529477 241.805344 238.704602 248.208855 242.569623 246.528955 244.28513 245.457435 256.42064 260.01666 251.336992 249.804841 259.337323 261.017607 262.65895 262.67178 260.664048 264.758617 265.868243 267.622179 263.36485 270.680581 266.206084 268.646159 277.630306 274.441094 273.922015 278.872926 286.268531 285.693316 285.622296 289.11676 286.702411 289.293507 286.745588 296.918144 297.473663 297.290949 289.745735 298.129904 295.418007 290.95615 309.157456 314.855067 297.52813 305.364287 306.909782 313.996609 307.388443 
3 0.549039 3.358518 3.335743 5.061129 6.047385 6.568966 8.065062 11.600905 12.086047 13.031243 14.82181 16.267032 15.284945 18.239992 17.712895 19.056496 21.142625 21.711744 21.37153 23.768106 23.654297 26.706668 25.229497 27.764261 29.927573 31.298886 32.539131 33.085861 31.957632 34.410088 37.78291 36.531822 40.506036 38.46982 42.341577 43.028358 41.761294 43.00045 44.888663 45.72948 47.348497 47.281712 51.943412 50.677567 52.413025 54.732488 56.254376 55.911916 55.183306 58.902953 59.847187 61.613697 61.918307 61.674774 62.201486 68.60134 65.926971 65.858005 69.213122 68.854752 70.838877 70.331409 72.930459 76.388995 77.959127 77.093739 74.926453 77.534292 78.942817 84.031083 82.570145 85.4747 83.556848 83.633067 86.86956 88.167034 91.137991 91.323463 88.205077 90.499582 92.245051 93.999563 96.622029 98.992946 102.215005 99.486235 102.762633 99.855446 99.100019 111.135384 110.145599 111.470017 109.273731 111.75833 109.477424 111.987234 117.712306 110.623168 115.332729 117.799107 118.06785 120.776993 119.215073 125.844666 123.48472 125.518629 124.78662 128.495682 129.656952 127.752445 131.103329 133.095729 133.290569 134.137222 131.624524 138.65701 140.500378 140.522513 147.81752 142.902088 142.346505 147.873143 147.736944 145.745698 148.070934 151.590289 150.178044 153.774705 151.188356 158.759105 155.832608 156.349888 159.37788 161.096659 167.3487 169.711019 166.651013 164.659575 165.691896 167.906078 178.838102 168.99524 174.269557 170.22753 176.457629 180.714383 177.927485 182.292404 184.979861 181.110603 187.953063 186.083328 182.842791 191.36066 196.592377 186.47647 194.197918 192.470798 190.629293 192.061169 200.347567 194.743172 197.355054 194.062359 200.341023 202.35947 206.208903 211.719117 207.118173 213.116542 213.037119 212.695172 213.740901 213.9095 216.676252 209.881716 213.912259 222.102038 216.530428 235.522895 229.211254 221.224012 220.072429 230.88166 226.587375 233.562444 231.374884 237.208763 238.288748 241.016814 239.449314 246.57585 246.781019 245.997302 251.345268 239.257041 249.596722 245.872007 258.856608 250.407962 248.090617 254.084176 256.772274 259.401669 259.508103 266.339785 253.298149 265.764954 261.393363 267.926403 266.212949 267.01694 275.727853 269.66462 268.640065 278.564148 276.886813 283.039861 285.398459 280.665611 281.60497 281.584952 297.199915 288.23732 291.623362 287.211096 293.301529 295.859587 294.914132 297.379354 297.372874 298.994587 302.781276 300.698033 304.063351 307.07941 302.907022 309.320989 313.64966 313.157013 
4 0.593755 4.168155 3.542066 5.500657 8.241617 6.752257 7.908973 13.669456 11.729728 12.24021 12.897992 13.048437 15.098 18.56558 17.360106 20.482727 22.60209 21.71662 26.321607 24.342038 25.127361 25.519539 26.027263 28.17325 29.586845 30.243728 31.814309 31.432264 32.883003 35.119001 37.233037 36.90803 37.726904 39.643474 40.994707 41.70285 43.378582 44.498086 45.070542 48.708647 49.30035 50.891654 50.303608 49.307856 53.903927 59.735751 55.163738 56.374474 58.014021 59.47079 61.707493 61.154733 62.236065 65.227681 64.341635 67.146559 67.431794 64.982159 69.831706 70.719869 69.971115 71.828853 75.428402 75.863951 76.383671 78.413603 78.081599 78.525681 78.95122 81.05833 80.949587 83.131693 86.328798 86.217104 88.934264 87.908424 91.167053 90.786357 95.770566 94.842241 96.158445 94.044473 95.889315 100.03861 98.383214 100.374269 101.402224 104.827849 102.984417 107.788542 109.338528 107.962594 108.626791 111.784312 112.405141 111.75942 117.786853 117.62204 119.043908 119.408886 118.997267 118.769965 120.407845 124.497024 120.773528 123.172479 126.923112 128.598522 132.41081 129.972467 133.755115 136.15862 130.076719 135.551713 133.930001 138.39064 136.111659 141.41138 139.53401 146.740231 138.616337 144.854199 144.241774 148.618113 146.952902 147.63115 150.083351 154.541102 153.218352 154.750118 156.638843 159.269075 159.890224 159.69609 164.769216 167.449999 165.996887 165.112509 167.70322 170.496148 175.749229 169.69254 178.830725 173.669192 177.308775 172.597483 181.776599 175.239965 181.079232 183.675651 182.268027 183.901734 189.322261 185.215502 186.249169 189.439151 191.569613 195.344498 188.009327 207.502333 199.599006 199.955836 199.397559 199.844656 199.243521 204.998682 200.878001 207.218703 209.544452 211.114263 206.944119 208.574619 213.926115 215.397962 214.789451 214.121276 218.81826 219.784115 220.738615 230.268336 226.359435 221.49834 227.761671 237.337328 226.931375 228.483736 231.748844 229.690685 244.567157 238.381002 243.408258 241.918964 241.49092 241.788857 254.955529 241.050945 259.552305 244.325676 247.527079 249.926158 258.313278 250.303196 256.337173 256.046616 257.087853 263.542688 260.574553 266.402206 261.398753 274.519811 276.354968 267.02913 273.06593 277.379011 266.711049 270.966134 278.194293 284.582792 283.061097 283.595637 288.547639 285.514774 283.772321 293.964573 283.057826 287.611488 286.573331 291.471379 291.429164 292.745756 299.138038 298.493985 297.773268 301.663631 310.528899 305.439862 303.883719 319.06255 316.48602 307.824442 
5 0.769732 3.454173 3.598458 5.383702 8.037412 7.023761 8.169764 11.629967 11.326642 13.765882 13.846845 14.987396 18.358103 16.398229 18.857548 20.44635 21.153466 21.818112 23.512769 23.586228 26.131965 27.39877 26.872377 27.937866 30.773071 30.806112 35.694855 34.605118 48.687862 36.285339 35.939864 37.452448 38.970485 39.662398 41.294503 42.87939 43.508624 42.988517 44.701907 46.723884 49.555046 46.98666 51.941998 50.222131 53.642942 57.359126 54.952604 53.11315 56.735218 92.414868 59.68879 59.356979 65.771459 63.777968 65.982274 67.951385 68.597491 67.274741 70.015894 69.160003 72.383153 71.918349 76.174846 76.472783 75.616762 77.14346 78.409623 79.467348 79.525794 78.672211 82.367992 86.136525 84.481068 86.376786 89.062381 91.386977 90.881049 91.1548 92.665395 91.063056 95.246738 123.623103 100.501359 96.010502 97.644405 101.40678 102.66281 103.334255 106.606548 107.128129 105.896094 110.689377 110.421594 115.746786 119.424026 112.508494 114.983147 117.707108 116.578813 118.985975 120.877716 125.792701 120.37583 118.629208 129.305061 126.990731 131.187437 129.719953 128.919681 131.847719 129.318085 133.881692 132.014267 147.899448 137.347413 142.534415 146.648873 145.0747 144.524251 142.644378 144.178581 145.539825 148.686053 146.700196 154.407403 152.717238 151.955588 157.552798 183.12995 161.452014 155.479754 157.620929 162.347426 165.854398 167.363391 166.907825 167.237902 162.962096 167.813889 166.979037 170.589172 177.116501 173.906952 174.419934 178.83265 175.414918 177.728476 174.87024 182.214456 178.761116 185.207867 181.837866 182.929465 184.664219 188.389318 184.541747 192.364301 205.991096 191.942867 200.812307 192.730627 197.191074 198.154554 203.206188 211.475199 204.745782 207.827663 209.406264 210.737737 211.051647 213.951586 213.456117 216.235248 211.596901 215.723227 228.522292 225.324161 223.203581 220.390318 219.90646 228.533071 231.158425 228.130948 229.444907 224.364852 228.921402 228.093736 236.493819 237.727777 243.301567 236.42267 249.535132 242.577901 243.299966 251.691257 240.07335 257.22431 248.037816 258.991461 263.347976 256.774199 260.216889 252.329663 255.117587 255.341295 260.096468 257.429093 263.012701 269.792803 272.579185 258.826583 268.827653 273.781965 272.268033 273.466769 273.82976 291.287188 272.435606 275.583631 285.575335 291.375723 279.27627 283.215198 291.330045 291.497042 288.34555 290.80006 288.590046 296.020359 299.898403 297.354784 295.44848 299.364248 305.218014 308.984045 304.698743 303.439892 303.811927 309.369681 310.237765 
6 1.497251 3.568049 3.760449 5.57206 8.79598 7.174975 7.781689 11.773933 10.643519 12.844873 15.503652 15.233557 14.497442 19.296499 17.877518 18.400252 21.388084 21.486816 21.945973 26.01225 25.871175 26.139216 26.959117 28.798058 30.671772 31.240504 33.036783 34.859686 32.923294 35.877057 37.600388 37.77688 40.182249 40.794286 42.836982 43.529024 43.667151 46.106455 46.793362 47.651503 47.031056 47.471097 50.405678 50.392975 52.66599 53.981554 53.921889 58.218034 55.555984 59.755704 63.82416 62.881851 61.856204 63.009198 66.402362 65.201058 67.888385 68.456221 70.586299 71.180953 70.553514 73.101947 75.483448 73.623206 74.110207 79.772855 78.549354 79.123478 82.484884 77.88291 81.647146 85.533404 84.855091 85.509087 88.075611 91.713718 92.444958 92.194432 96.283099 91.550955 97.367512 96.111741 95.96425 99.305766 102.884527 101.001448 104.784737 106.197111 106.296422 107.304941 109.355528 110.411458 107.352288 115.514929 117.526126 108.17809 114.310481 115.37475 117.910351 117.706274 117.744829 124.749347 173.342707 123.468684 143.757724 127.135593 126.204254 128.863675 130.375232 134.118103 134.670095 137.174195 136.838152 136.199102 136.03185 137.827679 142.395199 141.99532 141.565738 144.727301 147.337064 147.822654 147.226075 152.044378 151.258159 153.084395 153.978012 155.370755 155.41143 156.885519 160.10912 198.421823 163.137882 164.835938 158.433134 165.102567 171.387901 169.503988 166.904874 167.464562 170.218485 169.956346 174.067788 173.514515 178.203995 177.370299 194.533064 179.580953 181.434138 189.603132 188.657101 191.52727 192.096711 188.554132 189.88227 190.993501 200.377463 192.159583 194.983241 199.558588 197.694882 204.040653 204.610927 207.475965 193.279088 202.924805 209.244078 204.377083 208.606248 210.062506 209.665064 208.993617 213.399147 217.112377 217.08569 220.316219 216.829197 220.902466 226.715749 226.315487 227.590888 231.038455 238.755348 231.980957 233.634811 235.68893 238.045023 233.890022 235.227845 238.204706 242.852034 246.924021 243.801337 247.266032 245.408421 249.734335 256.394335 251.051952 253.377509 252.435649 256.667637 270.481636 257.019207 264.01737 272.214206 260.978281 259.685363 264.461195 270.249522 263.632054 269.964544 275.350555 273.60958 268.976814 279.307899 271.275298 272.845365 281.816362 281.426811 276.150633 273.298683 285.316535 292.432292 283.654469 294.464276 289.712183 289.225566 305.187992 298.164742 298.47615 301.05666 299.1331 300.642602 303.787805 310.65182 306.888484 309.468736 317.00221 314.734841 316.099165 
7 4.381342 5.48327 4.916139 7.326381 7.807737 9.895279 10.543759 12.429789 13.438178 14.183724 14.521758 18.034056 15.678922 16.932128 18.471849 23.195781 23.738276 22.488983 24.606807 27.24852 25.745173 27.394023 29.833584 30.953733 31.930302 32.091714 34.980681 34.578172 37.28558 35.850879 40.909251 40.476461 42.273316 39.996839 41.163241 45.029033 45.654932 45.806464 47.846468 48.558525 48.919718 50.172667 53.308824 51.901388 54.540217 55.448202 58.085105 56.677094 58.665902 58.471831 62.435396 61.62268 64.827162 66.387284 66.071641 66.892763 66.759896 69.601902 69.816373 73.273562 72.942072 72.872784 75.87864 76.185046 78.697873 79.841115 79.466709 80.516349 81.252014 81.066286 82.534732 81.170728 86.09444 87.920615 90.154428 92.112504 90.611534 126.363616 95.738871 95.989332 95.390253 97.393945 97.126034 99.701794 101.269167 107.264138 103.132553 107.757749 107.109395 108.70628 106.635097 110.097291 112.189834 111.563811 115.651389 113.773504 116.041449 116.853525 138.97907 117.834392 123.478435 127.02839 123.390094 123.621499 125.502783 184.37385 131.402034 128.949193 132.062833 131.530089 130.396726 132.567924 132.592432 134.394227 136.68482 139.659433 142.012835 141.979923 142.724122 141.565929 147.118489 145.810301 165.189944 152.042068 148.435721 154.424789 154.079762 159.213773 154.388348 160.334176 159.561108 161.345195 156.960004 165.721021 164.522155 177.444204 166.060979 167.544885 168.428555 173.981371 173.044964 168.282669 174.014989 177.955715 180.868868 262.408168 182.248522 184.766159 189.016111 185.970607 181.040867 189.41644 195.421099 187.888908 195.878975 189.405149 194.216009 202.207488 203.351627 205.192686 195.888981 223.844811 203.606516 200.795754 211.761845 216.319101 204.547863 207.124331 216.505149 208.920607 212.820083 215.494708 215.517354 213.535988 220.679271 222.151502 222.550931 219.399441 228.459164 227.959524 227.716058 322.234762 234.246914 229.34829 230.316005 229.36125 232.999289 234.294259 239.45111 231.659091 243.860103 255.860694 243.838866 245.759928 248.69624 247.80641 247.374454 254.270226 248.842514 258.243221 246.382358 262.409003 254.757356 259.502007 260.373171 258.618336 264.729747 258.703791 266.629059 273.782606 271.737535 270.029086 266.781427 268.776008 286.539329 274.155283 278.387336 279.80587 280.040935 278.066498 282.854711 282.414993 280.498231 291.794208 292.874129 287.576651 286.88628 293.827795 296.962669 303.553128 303.779016 300.167535 301.292431 300.734536 308.12161 320.155947 305.166563 313.242145 314.504973 316.537021 
8 18.44593 12.368006 9.379216 10.376185 10.789088 11.291036 12.669343 17.921271 15.648961 18.536325 18.382225 19.554915 21.564189 21.115233 41.847969 23.996434 25.675246 43.750167 26.880397 27.57154 47.816379 30.740865 60.209726 29.215387 35.108799 35.358749 35.747399 38.030936 38.64259 40.995348 39.725976 63.090932 42.637012 48.541266 43.201576 44.134583 48.412573 47.198437 50.920522 53.07222 51.800154 56.277986 52.666951 56.397505 103.7648 60.971313 58.433851 59.416259 71.575633 66.744114 65.925432 66.700745 104.909069 117.223572 70.116361 68.338111 72.432488 74.378312 76.926808 76.473618 76.950867 77.809709 82.071787 77.204406 79.744434 82.889188 83.258464 93.86503 84.846816 87.045601 86.643287 103.986713 89.262416 90.751584 119.613349 96.592711 95.553528 93.875294 102.64401 115.732737 107.32887 102.356275 104.131445 105.088702 102.876573 102.894471 119.55734 108.881615 117.906886 114.806336 148.420706 115.489074 116.989534 142.173223 118.01627 119.180366 123.015618 120.962786 120.000586 121.071591 120.554633 124.511203 127.536563 127.005038 126.504629 126.774979 133.418495 132.588388 132.258954 133.525758 137.026061 140.147461 138.060431 139.129256 139.239795 159.24399 143.972133 146.280365 142.263811 153.291233 148.361684 146.640982 150.209414 152.622991 155.257072 158.734597 178.200274 170.234715 156.290419 233.199005 185.37557 163.263239 161.572111 162.149507 163.900813 187.333581 173.822588 170.721266 166.845851 173.951091 181.949368 174.067661 299.697084 179.79549 175.743069 179.793821 185.212037 214.813958 184.185108 186.89784 183.827058 192.394904 201.810688 190.133694 200.365338 195.115848 195.487371 201.353518 204.09403 218.010035 205.533156 204.039243 198.054536 251.832655 210.320665 203.828492 292.599739 269.145606 212.849466 261.049557 252.842841 221.437007 216.632946 215.086488 223.987044 246.834203 293.095144 223.339526 273.237224 224.642001 225.417188 226.827445 229.098279 234.496541 228.195167 241.901706 232.277802 235.523666 236.385653 236.526794 239.565371 240.83641 241.096302 249.201078 246.909587 247.810387 274.761934 253.877661 263.862435 260.494037 252.672379 298.787046 257.46117 262.44031 264.083642 265.520331 263.377101 262.963495 262.205951 269.283219 266.58986 291.974995 341.703775 276.010455 294.43111 280.425221 276.553785 283.674357 306.929289 455.569724 292.948163 346.039373 291.605526 281.503476 296.084706 291.323308 296.908842 297.696025 303.377276 353.012067 312.064772 331.933856 320.219394 362.754784 311.163391 315.937943 309.648178 315.476025 332.225053 381.255506 
9 53.254996 43.247832 29.594478 28.221624 28.294633 28.499095 34.925573 39.08481 42.789124 27.940047 36.135985 61.400895 49.956015 53.789346 49.263395 67.988082 78.147935 89.312971 70.013394 74.190401 61.56789 105.876014 70.950121 55.761024 63.580628 65.587975 103.318794 95.605622 64.119147 45.735638 82.405139 59.4348 73.712382 73.919155 47.256753 50.814408 55.809331 134.153134 79.993485 106.457196 110.568254 94.325214 87.185653 102.18729 63.392397 99.174953 81.304237 71.695796 64.859496 91.171351 76.22771 112.427402 73.369537 72.863097 73.412714 111.839997 111.046015 155.431381 98.578055 98.287818 90.422276 169.83413 114.060471 122.289448 114.7826 114.540862 127.287514 116.590811 144.789467 140.794017 130.789355 122.039181 95.673497 116.542759 123.329146 144.041097 155.308332 141.889144 129.590295 122.263658 135.017108 118.797487 113.963915 122.415772 120.492529 131.332298 121.929472 141.640284 146.66536 127.555106 140.703621 186.819636 160.577581 146.348369 137.937641 174.398124 149.194996 154.267865 153.822244 170.984367 162.315221 169.449201 151.37909 171.808632 282.176206 139.76715 171.26697 161.597069 174.1467 155.584648 176.254706 164.570976 151.653224 211.465641 142.418231 192.323884 184.355312 164.203496 159.811313 197.893506 180.843141 185.84326 178.044248 189.161681 225.882182 168.352726 219.853084 209.413064 207.814383 204.05605 197.337347 187.795947 206.947394 202.230584 204.749247 187.622985 232.248484 186.330837 307.854852 214.299884 227.358138 222.705417 212.75349 239.566331 231.844117 208.383052 233.214275 195.430208 227.073607 196.608672 218.692261 254.54526 241.407969 231.782526 255.181869 204.75919 251.628129 249.325987 269.412298 261.259537 294.410388 247.996629 263.364978 251.535872 253.903193 272.175329 262.256762 225.45799 266.531415 246.736047 254.351574 258.150518 289.690242 273.26308 283.811264 270.114283 264.537603 265.045713 276.769218 274.478882 281.342191 264.526569 288.888559 285.992215 269.733458 280.31481 293.516833 323.054537 297.366909 317.898456 318.015157 313.445454 305.661902 284.13576 344.991401 273.002095 319.782949 279.580236 285.640131 312.651919 300.583323 280.36543 309.865985 297.814071 314.949313 304.940543 345.769731 323.245976 305.793805 304.030955 338.186536 339.20288 297.929807 296.842571 362.329823 344.82447 293.640781 341.982528 354.190597 315.360546 360.812041 356.918598 328.907276 342.934011 359.33981 338.109485 324.768566 324.912467 370.413041 360.581404 384.924211 345.255528 338.926821 391.408944 356.524173 381.965831 369.546498 411.866521 313.361409 376.405894 
10 260.75733 190.087374 128.624507 103.323861 96.94364 85.178691 76.761928 76.343253 77.911139 85.69963 111.611926 64.265548 65.187198 63.667816 61.557114 89.270501 62.967689 64.138584 58.191346 80.320676 61.060489 86.985104 68.536607 57.917402 58.932657 56.021045 67.142324 70.334683 123.559975 69.41983 100.267001 109.585332 74.700307 122.473894 125.867697 93.893771 92.159019 105.158569 129.269776 92.101279 86.006098 104.526834 92.942802 109.169351 101.193209 98.340295 89.172279 96.170122 102.486318 103.081355 95.705319 94.420614 106.819478 194.599401 117.631469 112.350994 113.842471 112.170717 116.152759 127.367709 151.247635 123.341462 131.140732 99.620573 124.203898 121.139725 125.96502 128.613151 145.205448 118.011718 126.774273 245.035296 134.680552 121.060622 118.079786 148.695421 108.250586 162.086187 120.085274 157.108268 134.069731 133.600179 162.718756 132.188449 135.641657 136.586534 165.581291 150.548477 177.357724 161.5886 177.048561 150.735037 184.625404 265.168184 168.856664 205.198332 152.618632 183.438472 221.173136 168.874628 182.73655 182.458502 183.886209 186.820407 169.460941 229.24776 191.473767 180.395917 194.978044 181.271762 170.310995 193.040113 202.839414 182.164735 212.682792 179.027104 192.704517 187.391129 213.360462 195.854788 216.682218 240.955481 202.510554 207.233524 209.505255 213.716202 209.373544 215.788153 210.267801 207.802513 218.169974 219.005593 238.226326 198.44877 244.49062 266.888246 219.226222 256.766244 228.566687 251.296703 249.033311 242.85659 329.518352 300.141616 239.603156 260.963204 252.289373 235.47555 235.160356 226.970447 287.777779 343.135459 252.859584 290.748222 260.73154 268.240955 260.044182 295.021015 268.384726 253.940469 271.805155 276.867439 294.829834 265.848228 289.768512 338.389009 267.710393 284.227438 296.690394 292.53276 364.007542 303.552677 279.200374 290.951852 331.211083 293.639306 328.022063 342.473122 462.11598 466.28497 296.260363 272.640904 321.322413 290.243579 299.374706 314.61481 298.714036 306.20626 335.795927 393.597915 292.853279 364.06047 294.800898 358.122724 343.811588 358.081345 309.634128 324.0959 335.200951 372.094225 337.895657 453.877956 334.826928 429.464834 333.644936 335.968311 335.716566 347.143417 398.722876 302.17713 427.174433 484.247363 422.753059 346.509759 378.203198 364.327356 328.876673 366.912676 344.395143 438.492736 346.107057 376.455038 385.530798 427.778775 377.244146 377.370337 358.605749 488.721601 376.738411 370.916657 362.40623 463.628502 377.757514 506.61657 403.610597 377.942152 515.759052 368.888588 408.080667 384.083396 
11 1415.332498 970.896501 636.395672 486.756213 404.664536 338.148043 302.072619 268.922603 247.039051 256.31164 236.629827 233.944294 197.082523 175.724529 176.335991 157.673921 168.364852 166.003304 175.387009 178.21118 168.442351 153.290142 170.172485 145.776556 151.427206 134.889759 141.685259 182.337184 196.5263 219.016178 173.205545 151.37787 147.871411 146.570538 167.081108 133.851668 152.501292 135.47755 145.116079 134.164553 138.290558 127.989818 164.402314 128.934953 152.896807 140.013699 137.894975 138.6513 143.065363 138.421498 142.229809 145.668455 147.071078 143.791599 139.346358 148.861644 161.417884 151.657524 136.789007 142.102846 162.606613 156.786143 150.072444 137.414265 149.188257 157.852978 145.022799 156.036555 151.310507 157.156447 153.031467 185.74119 175.534438 158.38784 163.383018 179.003045 154.000531 158.649593 195.177823 183.632283 168.930635 212.514256 190.085129 185.735734 158.463607 201.911347 170.385865 181.141398 167.152 179.962485 192.327862 175.003297 180.717655 179.82237 200.669112 171.133977 214.130065 182.35239 204.854589 203.739958 191.435465 192.479396 183.089787 201.847 236.609746 201.016512 219.400662 205.412996 237.380891 203.465182 203.499699 210.176573 294.250835 208.489872 208.656802 223.775972 203.080699 240.783417 227.285896 218.378094 216.476602 212.208107 222.143869 238.268153 246.457293 227.177153 226.93253 239.148876 235.486969 231.857716 230.778756 247.086398 334.156892 245.794636 263.084363 361.507868 250.042278 252.045392 238.001397 247.38536 265.779902 267.478986 260.181859 284.369282 251.0524 263.774544 257.81877 254.03266 296.86868 255.875129 268.635831 288.854236 297.446204 300.994364 268.645132 268.804173 294.898095 299.398765 285.58143 291.377906 297.984723 307.183083 274.92399 304.066495 299.307087 333.544339 445.749316 304.887681 333.286179 354.594133 356.907371 307.763111 303.659367 296.348833 505.433679 281.263922 318.47258 285.017956 335.666012 331.013872 347.928613 343.166766 333.867616 418.834851 354.041886 432.314667 362.991646 379.038372 319.028034 341.721096 453.744962 363.287018 363.821877 532.359305 355.63447 360.86465 386.559141 397.98176 376.199829 367.842796 433.044303 376.447789 365.10793 560.619358 381.297718 371.652709 405.180406 361.911853 395.232264 468.820827 652.363037 648.684643 474.674914 393.261163 720.546535 715.683838 396.01348 558.5544 532.081771 787.592241 462.001658 504.203376 441.63056 435.529092 446.850924 653.011196 489.322736 520.689498 488.41013 421.992886 431.938076 645.571262 467.569546 444.146273 414.651554 478.581379 726.89192 465.433311 452.741128 564.471359 
