 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
2 16.893635 20.952598 21.898756 24.672821 23.610288 26.033936 27.183917 35.216001 30.064095 31.228892 31.067351 32.97327 31.231267 37.363722 40.95692 33.322146 37.626693 37.158811 36.913354 39.009748 38.389432 42.424658 42.800799 45.4667 44.818541 44.438487 48.730782 50.838596 47.943084 47.165847 51.255411 52.798533 53.143111 52.001407 51.658948 54.142069 56.352341 57.961412 59.162653 57.629027 65.036564 66.468184 60.457046 66.204699 63.907692 64.204664 63.744352 65.328019 69.727903 65.21408 70.844522 68.46315 67.270251 75.165175 73.328542 72.642018 73.747668 73.783017 79.485313 78.917731 81.166818 77.288451 80.69239 80.818711 80.585571 83.492951 83.889877 84.219893 87.015576 89.763725 84.867023 83.711591 90.379165 92.071189 91.321281 93.851879 90.677102 91.771714 98.509473 95.165453 91.579954 95.178222 102.734597 95.144924 99.907026 112.689987 98.619242 105.843166 104.999399 119.070531 107.6057 111.826013 114.644151 111.164317 105.379647 104.856654 114.774772 107.949378 117.520352 116.899331 118.257046 115.06841 115.807347 118.680085 115.081625 121.017574 125.994019 124.66665 121.784804 131.336468 127.018961 130.298183 124.088934 128.912818 132.669162 131.568068 135.889168 132.033962 137.062244 137.668381 140.983723 141.210705 135.896868 138.198495 142.702501 142.355359 140.196221 154.167525 144.82738 143.244677 151.140561 144.670072 147.633011 154.607886 157.84945 142.851021 155.859294 148.615673 155.480652 161.144968 154.86284 157.06509 161.6976 161.959673 163.660681 169.079345 165.384785 159.782955 174.628568 163.71303 168.358822 171.63028 170.459193 173.741432 168.28902 173.151461 174.796462 173.586818 179.683281 179.689761 182.954933 181.520683 178.609454 178.268277 176.934236 179.991996 187.260508 185.783018 196.948952 197.102539 181.973362 192.861439 197.760705 193.440374 203.163909 198.352216 199.240186 207.822724 194.797447 207.725143 199.214587 202.037283 201.039607 194.194519 202.782446 210.445511 204.942417 207.160193 206.776289 220.425408 215.458203 206.03485 206.8833 204.519956 203.571037 213.197956 216.52799 211.946482 217.518736 216.638655 220.713659 218.812617 219.828061 227.794965 219.361975 229.880007 224.460187 219.717267 223.777832 220.782368 229.900792 233.176808 230.777152 231.716318 231.577614 236.224303 239.342302 243.401523 235.213603 253.519482 241.59838 240.384245 239.544648 238.163582 241.998259 246.414886 247.212782 256.276034 242.844014 243.030642 255.190594 237.601778 246.667913 242.440157 258.558351 248.379636 258.711359 258.950852 260.402488 252.027556 
3 16.99641 20.411385 23.098841 26.846011 26.80136 26.415082 28.504162 30.60261 37.289365 33.743514 29.930265 30.302941 33.490871 46.171444 48.830093 40.489741 36.408003 39.732392 40.435596 39.039196 40.023785 41.619257 43.518118 41.907826 42.528461 44.392168 49.084149 49.370601 46.944704 48.308962 49.049567 49.512447 54.142133 50.478944 56.086545 54.03153 53.146062 54.528092 54.442379 58.046355 57.093717 63.919817 62.367712 63.048269 65.697811 66.457534 66.969364 67.981153 66.832713 69.250653 70.653917 70.046176 76.181839 71.854709 79.639156 76.261584 76.37084 74.383186 81.160849 77.486883 76.794392 79.615739 83.811866 89.756027 77.728105 79.247746 78.793336 85.055833 90.351193 85.225908 91.510924 89.341906 89.593521 84.828082 87.156783 88.459773 98.278578 97.319845 95.761006 99.220183 99.066082 99.177005 100.939922 110.18499 105.286942 107.572082 104.589322 103.639503 108.648348 107.837428 102.61084 107.8892 117.524907 106.057189 108.741565 109.243643 109.92362 120.425102 110.98571 111.045951 123.476574 120.569515 117.922348 125.370303 122.903028 123.463678 120.167776 127.025311 126.840545 125.465766 138.320839 131.934715 127.985135 137.184267 137.409516 133.602683 131.836301 133.082192 136.309641 138.969575 138.289338 138.495213 145.499855 144.438281 152.383439 142.82722 143.601185 156.267065 149.489082 150.19774 140.860866 151.801999 159.742924 139.589183 149.067969 151.751446 150.847373 153.532134 151.264382 150.426901 164.795905 152.512646 159.428821 160.737069 157.087609 158.577995 171.316626 170.96435 178.171596 173.396661 157.233305 167.693533 167.747231 174.550107 177.942177 175.451742 179.526295 172.944755 174.582953 174.246139 168.038239 178.950632 183.485496 180.515245 183.744362 180.058588 194.858971 187.246972 179.075028 183.766816 185.543593 197.401117 188.672627 193.234308 195.913746 197.431975 198.79142 193.986911 206.159119 191.066765 199.545628 197.823257 204.669885 204.352767 206.574972 210.585562 204.405951 211.986002 211.573421 205.851173 212.330644 206.88407 218.882289 212.478969 222.162729 209.025567 217.508536 214.696042 222.953183 215.673573 214.2177 225.122716 214.323941 220.667531 226.357317 219.989156 222.035639 231.770849 229.800325 229.452092 238.13606 234.655776 239.17242 244.765716 227.021515 235.279489 234.432707 231.160477 237.420344 240.715158 227.6553 239.679758 249.55502 245.072377 246.646741 240.54534 246.815213 251.814627 254.955466 251.910538 261.802545 242.765811 270.661975 252.4241 251.10815 263.786027 257.857585 264.198223 259.721034 279.565674 
4 16.892481 22.335717 23.040653 24.755581 25.443324 27.24884 28.352564 37.917124 35.587459 33.739602 32.691948 37.533026 35.772421 60.892916 46.332153 36.991431 41.528989 41.871128 43.364724 43.957453 49.0658 46.261774 44.707103 46.338568 51.248483 48.787044 50.977236 49.927724 52.15923 55.311039 48.961997 50.525071 51.264139 52.698195 57.101993 60.008795 62.857985 59.40548 59.165219 63.956834 64.773785 68.074178 63.622457 67.763346 68.295641 72.577158 68.964201 70.856583 68.36204 68.085982 71.645563 76.827238 76.382259 73.304227 74.628901 80.476572 74.781975 81.822225 79.365727 82.481032 77.975616 79.044888 81.599286 81.093807 83.151517 89.121083 86.926403 83.985855 94.043572 92.328774 90.151157 86.670681 91.474998 97.83084 92.372783 92.050211 92.993741 102.728696 95.736434 97.412035 103.395524 102.33491 102.62226 96.824375 105.021725 107.275173 105.766693 101.804478 103.209537 106.22226 109.198733 109.034946 110.062774 112.609089 115.265943 122.633641 117.225944 116.82459 110.57159 120.920186 119.512496 122.177754 127.55427 121.087182 123.61207 119.057251 131.833927 123.48254 127.324467 124.815362 132.751729 128.810747 131.293998 129.929355 131.356036 139.101285 138.885916 137.871946 138.000192 134.33591 138.666315 141.137502 144.939461 140.121734 151.75119 141.031454 152.50713 154.953747 147.071269 143.880452 158.975178 147.18752 152.521819 154.435567 155.833248 155.400844 162.688025 159.408739 156.860565 163.084697 156.730652 164.122726 163.272542 162.100366 174.123796 154.421324 169.49706 166.13001 166.030568 166.148292 166.989496 175.066491 181.991389 180.511523 175.780217 173.956736 182.060227 171.05975 182.992208 178.299585 177.493733 182.239349 179.461177 185.276001 184.26466 191.13631 184.640288 190.023347 193.850391 198.103999 192.229961 194.492582 189.772757 194.830807 191.39216 199.917343 188.675834 198.751773 206.585556 202.015214 202.463272 194.658038 213.91752 210.729846 216.59439 209.271152 202.102849 221.488522 215.710846 211.748437 217.264618 212.583286 215.624814 202.991078 212.997086 208.220164 227.692126 214.464185 216.295683 217.623566 218.967486 221.906816 221.867679 221.931963 224.949242 239.858494 236.260678 232.860138 227.926935 230.068944 229.62807 229.385437 232.166621 233.481994 246.87212 234.045083 242.718913 243.253515 245.986971 244.845141 239.301885 245.663374 244.839109 245.346063 254.299866 253.398614 264.776131 267.556484 249.617441 259.177062 255.288687 252.23234 253.291025 264.844779 259.381396 253.749737 259.696206 266.017789 259.822078 251.572633 
5 17.288573 22.371388 21.79566 25.332786 27.152864 29.483811 30.181434 30.70866 31.978739 35.551726 32.173961 40.307604 38.134801 42.429083 42.691993 43.656691 45.679629 45.637032 48.509576 47.569702 55.238673 49.896479 55.679674 55.255994 59.44949 57.799742 60.741253 55.919357 57.175514 74.292471 59.341646 71.807105 64.686147 65.897267 69.711864 75.260573 74.250323 72.335356 76.815114 79.241715 78.09411 78.146845 78.896112 77.131719 87.614081 81.505106 86.051519 90.722201 82.765691 85.646508 90.475013 83.314664 88.15927 96.967633 103.016687 94.977542 93.454437 104.684527 106.496457 107.396298 96.309659 109.980015 102.164002 119.405743 100.793971 98.023562 111.927055 109.134515 104.220236 109.6781 105.165114 114.978786 109.485444 113.130798 109.468187 112.231538 121.903233 105.964998 119.504092 121.715453 120.033116 118.368612 117.083648 119.816654 117.58194 124.726377 124.950344 130.099237 123.380856 127.641008 132.686483 133.503564 130.887832 126.994454 129.548724 135.979948 129.181883 129.863853 144.008826 136.732424 139.962887 129.098225 144.269872 144.779585 147.825733 149.883057 140.421532 141.863802 150.81844 145.812805 143.478778 150.733561 130.154154 156.219141 161.337303 163.674603 154.073859 150.993583 153.519754 166.146818 170.178257 170.696183 156.434832 169.437652 154.6961 168.171231 161.567877 170.363795 163.582347 170.301887 168.412006 177.794556 171.681667 174.406463 175.045895 183.5118 163.159757 175.26165 171.112422 165.939085 174.395235 180.512742 188.0577 186.795128 175.28295 177.972331 178.951659 178.434248 194.247574 170.596165 194.654574 187.106859 190.707433 197.350691 194.184638 197.185748 200.362323 203.252829 201.085413 197.25202 183.224257 198.65137 200.479917 201.574147 194.751448 197.91083 197.354475 196.633116 198.124913 206.317005 203.361572 204.39665 221.40448 209.36995 207.447416 214.267486 206.367301 215.394242 216.401859 208.643395 210.08297 207.997481 227.378408 220.179118 203.387234 225.003194 221.402876 224.338354 228.413294 238.863578 233.890021 224.298196 222.107812 225.967124 221.347639 233.366451 232.779431 245.126588 243.010947 219.067181 238.158064 233.979453 236.232 241.115292 220.546727 251.886672 239.549075 240.697706 252.424483 228.303076 250.095077 254.067624 240.210898 239.116925 246.980093 256.610988 246.383643 255.848698 253.543991 251.20509 252.546251 253.959716 255.170065 262.410926 253.446859 256.679313 258.491566 254.065571 269.489285 259.485839 259.246028 260.892183 258.387571 260.388694 260.584175 264.47704 265.170301 282.531881 270.64228 273.714795 
6 18.399995 23.030194 23.534838 25.742029 26.405458 29.379175 28.932781 31.93139 32.418134 32.462722 36.340511 34.41214 36.276356 61.377287 42.856232 45.671292 45.387404 44.332567 48.060682 49.011525 52.159228 52.883349 58.508014 53.549982 58.565434 58.958704 56.735603 56.556995 64.307249 68.436976 67.534056 61.511691 65.820218 69.80303 66.104424 64.456153 69.654124 73.034071 74.462098 73.861093 77.806373 81.121202 75.04995 79.459715 81.756466 76.193579 95.743427 84.146692 84.1422 92.518479 96.953969 98.393608 99.467115 97.915203 102.436211 101.457333 100.869032 96.777092 111.91461 107.090213 103.249957 98.98948 112.139988 109.339234 115.526798 114.728772 110.833725 120.050372 121.236535 108.472306 117.850944 125.350094 123.927133 133.556362 124.217308 124.486823 112.275995 125.883351 142.485466 137.587739 146.225448 128.32073 142.761974 156.249936 138.629105 142.703528 147.194255 145.388226 158.527633 135.939083 135.1825 140.005872 149.095297 145.129616 163.884453 155.621987 155.988312 157.145348 170.731916 169.734433 175.634392 159.070257 167.83012 169.683688 181.948662 180.100418 172.458202 180.552905 186.048492 184.256192 188.940538 177.670609 178.198284 180.106833 180.2635 178.396075 208.581743 189.228338 187.877746 200.367648 188.461428 211.495216 201.044997 197.809912 203.07974 203.329172 208.139135 223.939248 215.107724 197.812606 206.130762 233.091544 207.955973 217.480242 212.170191 221.18462 226.361293 216.919142 227.287564 234.113408 226.587891 222.690916 232.699495 237.232434 230.084984 241.612944 236.807471 236.730807 252.528608 241.707573 244.932905 241.764093 244.389189 219.799384 237.328604 246.966812 234.303308 258.2812 244.370778 229.603115 252.56107 260.484929 252.397987 251.427644 253.532121 244.863232 254.746769 261.473172 247.417116 248.2145 249.955156 268.353868 271.794697 263.078075 262.080528 278.351476 277.981042 257.996545 256.669433 284.439084 271.690317 264.998174 283.885298 276.842419 275.28236 264.475246 282.42205 294.881863 297.878608 292.612763 284.042027 271.230005 270.106328 294.3164 285.567829 283.866563 302.426819 291.41396 303.369642 304.508845 293.853456 288.618275 287.637921 294.765036 301.792389 303.748478 298.780631 298.927224 286.581094 300.128977 287.411966 316.354884 295.538424 304.068805 300.804146 302.089684 312.533682 328.514004 310.541153 334.081446 328.166924 304.379699 324.421297 328.837923 339.13815 325.346799 330.158235 320.531638 311.159609 309.227321 325.653714 323.768133 329.778565 321.905583 330.46278 338.899491 325.427377 335.447179 351.583977 326.423705 
7 19.713123 25.219746 24.79337 26.265599 27.385362 30.244176 30.670874 30.51395 32.060729 33.936235 33.286794 37.080541 36.666613 47.168734 60.20697 43.586957 45.659807 45.257812 50.583773 45.022554 46.79022 54.457007 51.81741 53.088258 54.833982 56.036056 57.078127 59.953108 62.033529 62.586481 57.933635 61.365031 62.847722 65.257256 67.565363 64.150133 73.146533 74.969693 71.25428 70.569875 72.409649 75.526494 82.278433 82.633915 84.201992 84.515583 84.596869 87.466011 90.598959 93.799591 93.411132 94.202292 88.721398 94.468986 93.049619 99.712765 94.770771 102.011185 92.48159 103.7784 98.975046 110.563633 109.654105 102.477785 96.576543 103.122094 110.240805 109.878459 115.279417 108.596381 111.975943 114.863754 127.974806 121.643791 108.270411 119.700021 120.424333 125.782243 125.759532 123.613096 129.439274 136.583198 132.51968 141.957661 138.959246 137.374294 136.253699 129.680756 147.811297 132.939575 141.468479 164.249176 140.384065 166.601742 147.855758 145.341327 148.927661 153.670196 148.683937 156.534656 157.072341 164.013021 157.002539 156.83702 167.401821 159.764736 175.870801 178.096854 172.237637 157.808454 174.312284 168.690887 160.343926 170.794403 181.251552 191.537279 182.998752 169.381517 182.281499 190.07666 181.985102 179.045837 191.656413 209.964157 178.499877 191.179935 204.713383 200.000745 203.154609 192.37585 204.768364 192.790293 212.465627 203.41899 214.388225 223.770585 208.58713 208.016022 220.861984 227.330932 215.256436 229.796734 224.422207 230.45798 216.103027 204.091465 215.269716 227.342225 242.647251 222.700478 220.081474 230.158697 231.9202 240.225334 239.806529 243.599506 239.453805 251.548318 235.708303 243.115967 236.437361 238.496353 266.465399 255.3173 252.436544 263.184189 258.855454 254.705518 259.705572 263.883606 246.475577 265.306119 259.586949 258.025479 261.854253 264.940048 270.846678 263.040481 279.10998 259.966876 289.995171 288.12319 270.85335 268.425081 296.544506 262.114916 296.684427 297.145382 274.620729 294.52516 306.546794 287.729534 277.799998 291.728446 278.142137 300.445646 316.653657 292.37404 295.664491 297.234172 302.224221 273.433987 313.599808 286.732757 315.431311 310.633537 294.654689 299.063556 318.86521 316.144393 289.239168 317.178829 311.551853 307.108858 314.513571 314.623021 317.879915 337.655525 342.513026 318.211405 336.106949 334.139762 319.734961 324.740725 329.08954 346.615358 321.788627 348.298915 360.231375 354.368755 372.690226 355.699587 349.514077 348.549377 381.178968 362.985359 339.174461 364.787475 353.181758 347.880496 
8 27.707742 34.20819 34.96862 36.347699 36.568585 33.749032 34.468404 37.816081 34.626159 37.153678 39.578161 39.710003 41.091966 43.319429 46.533406 45.923419 46.421392 42.777832 51.273505 48.234608 52.012442 50.743328 55.030233 56.604664 57.416866 59.277682 57.502319 66.591105 57.883592 60.477577 63.004514 60.935195 61.96084 63.926871 64.116388 66.338013 71.877739 75.648454 71.88082 76.936238 71.260246 75.557675 77.34266 77.852052 81.231678 82.968418 80.234836 85.844491 92.474212 83.757783 90.601397 85.964333 84.458742 91.230823 93.622331 99.51876 96.18321 98.822678 99.262012 102.770652 99.594912 105.406719 96.977513 106.645425 111.248937 108.65624 113.384212 108.325198 119.661081 111.631365 118.720503 116.031957 113.910539 117.917986 124.496255 122.984698 118.501154 127.213158 124.054609 122.680539 127.852848 130.046568 122.463566 127.931372 140.858685 135.572818 125.862114 126.139265 130.450168 139.540105 146.922495 138.973874 142.989081 148.187503 137.267798 137.268824 143.943965 140.409792 144.557162 143.515602 153.829301 149.955233 150.941746 165.190587 145.180877 152.525029 157.652622 158.287693 168.059986 161.659491 166.056103 164.821758 169.12605 169.084671 170.558377 178.726858 177.951609 156.173399 175.529497 183.759246 167.032543 174.035133 181.254055 189.657214 177.273489 195.076906 193.811127 184.689046 174.989183 191.731285 195.943193 209.041287 193.373269 203.800779 190.990934 202.837232 192.968128 197.544696 214.89088 195.675857 211.076348 206.911143 224.833439 199.33058 208.753612 195.479927 218.447829 209.741602 205.538996 212.664891 222.734544 221.09846 219.069173 202.794634 226.296305 221.193538 229.290037 230.092489 218.446418 236.222569 221.036551 227.566895 230.861772 248.903462 218.383483 231.294691 243.032503 242.664637 243.602327 249.573432 233.276247 246.526324 241.47174 233.881295 254.65259 242.071139 255.201565 250.22634 244.717665 262.784502 275.172075 254.708918 265.188456 267.39244 263.357855 265.965438 278.606363 252.115578 267.277731 277.360792 275.744662 250.665738 255.841577 275.620329 261.913918 264.038349 297.090466 289.34727 283.137636 295.89654 290.319217 293.937566 280.718731 272.207855 293.707889 282.252424 287.413699 289.824966 310.958868 283.856106 288.640153 295.647873 305.836215 311.107258 314.122032 294.44702 297.184003 323.520237 297.233464 302.384605 316.991368 314.787322 307.913555 315.524592 320.725003 329.17525 312.005427 339.540658 332.899132 336.358887 341.384153 332.377872 337.85171 359.244541 337.744122 355.364121 342.936448 350.262445 344.120367 355.623757 
9 66.424814 81.049284 76.777904 77.745426 59.622451 55.897224 55.746268 58.182043 55.131405 52.855954 52.529083 52.441832 53.081265 55.328106 54.569086 53.995861 56.533707 53.539397 56.010715 58.894294 62.028076 57.163261 62.296822 62.99348 60.526268 62.683869 63.193259 64.291596 69.643666 66.778631 67.030888 71.489279 65.001149 68.142566 75.164339 68.902419 69.011355 78.725459 81.3188 74.735335 83.14523 77.321682 78.079161 75.889999 83.197195 87.476083 84.53637 84.53143 89.84828 85.109659 91.663741 91.315828 92.497373 93.919049 95.341559 93.745573 92.732179 98.809333 99.151985 95.58785 105.816799 108.928512 102.102925 104.757793 105.508919 102.423445 112.602289 110.884987 114.130333 113.095002 117.470313 118.67277 113.559611 116.7673 118.728651 127.713053 121.551215 111.220645 126.353094 126.597141 123.356411 125.750295 120.419519 135.782734 132.453087 134.861274 136.434165 126.938508 135.699527 138.794622 141.088875 137.974272 141.212691 129.944946 139.921765 140.271152 142.001222 140.555553 142.327834 147.185145 159.643161 155.997486 149.428841 154.356783 157.636775 153.819422 158.154572 157.169149 162.480421 151.913438 162.626822 168.882262 160.805589 163.053903 167.669411 152.717621 171.794325 170.858367 174.637935 190.02925 182.313833 174.419807 169.521502 185.062428 177.071721 181.590996 165.895587 180.559576 178.00537 172.697757 193.82415 201.271592 190.944936 178.884167 195.987909 191.413652 194.402509 178.568459 189.823567 193.390204 199.087304 195.030843 209.525589 190.501111 214.733314 209.045584 207.363757 213.088828 218.01844 211.794116 196.960821 214.707463 205.436283 213.12713 220.739897 210.592747 216.050804 208.521566 211.604345 226.016782 226.456822 214.915066 224.450885 226.000292 238.152161 224.305894 235.268136 229.378313 234.124507 232.65234 238.549089 226.157537 230.356101 257.577741 245.996146 247.535354 245.440306 250.079039 238.496225 254.472314 259.49848 261.84091 243.587059 262.82524 240.401054 254.255085 250.285554 263.053632 262.097658 269.305095 256.799797 269.147339 256.304262 261.331197 270.822683 259.705892 265.01633 279.850008 269.939717 278.854901 275.265295 278.602192 267.247641 265.383745 267.658619 284.556487 281.612797 273.958007 269.213738 280.943595 295.14169 297.19215 298.024819 281.243969 279.063723 285.451771 272.180013 303.076839 298.817775 308.565434 310.258228 320.510015 294.716984 321.868117 309.717146 296.576777 300.839559 315.465376 319.824715 335.172916 314.477517 327.697502 294.898607 316.304333 314.318281 319.400457 319.974002 306.947698 330.597761 318.183432 
10 255.534466 461.00905 399.730114 367.012371 191.818663 161.906297 158.634708 159.582151 132.395156 122.192638 123.858808 124.179906 112.264448 107.234755 127.749749 107.106189 101.819361 110.079968 96.446951 99.350867 98.047365 96.247556 94.094255 94.331053 94.712006 95.363307 93.941503 94.53622 90.809774 92.692146 92.093965 95.695758 89.233291 95.455562 91.079674 101.508336 93.504029 97.512182 92.244344 95.028097 93.591603 105.794409 96.498659 97.962807 98.003611 109.364512 101.04116 106.010162 103.531146 100.787234 103.317831 112.419382 99.288765 117.01648 110.937273 120.330858 114.563573 117.342644 113.217601 112.483344 111.097403 122.409545 113.33077 114.35462 124.310846 127.149965 122.59258 121.976886 119.473939 119.899606 134.213695 129.835816 137.955926 130.327116 121.771781 128.256191 133.324441 142.49233 142.30936 138.94449 139.469405 137.253938 144.514306 146.49092 148.197126 145.922638 145.401698 150.567528 142.989852 144.758929 156.453373 150.513188 150.272929 159.625648 162.165226 157.741798 155.742277 155.621088 159.702632 165.049766 161.130983 161.757969 164.775824 159.424201 183.04552 170.112115 175.437691 184.877725 176.742477 170.305671 175.868172 184.338952 162.816528 176.253872 184.214555 168.543139 187.570442 185.355939 188.412926 184.99096 191.328647 190.989072 190.21947 194.908306 187.096337 197.177536 184.542194 198.12286 183.830008 194.518307 200.536118 210.996667 200.352826 206.931353 203.655146 197.281405 202.483673 216.427522 208.619851 195.507195 229.751634 208.664951 218.59423 216.397242 209.688351 209.669748 225.688884 217.928878 205.953372 218.975891 202.974396 224.10387 228.782506 217.569353 220.586952 236.997177 231.144182 230.191351 246.300306 236.148022 231.09536 237.817593 255.642759 238.842535 262.994225 256.368481 250.431122 233.233393 262.788929 264.859213 260.880252 271.554821 268.742969 270.1241 278.271667 268.82573 265.520267 246.811364 262.382314 281.75182 283.154765 267.323153 271.938983 273.654937 269.701061 273.764194 269.448738 279.523716 269.815706 296.430372 286.897443 282.418137 288.577729 276.133569 281.534336 297.807079 300.209621 300.953499 275.472707 291.970635 309.364292 303.913294 294.493149 289.738743 283.860919 290.989189 311.953271 316.023011 297.850381 309.057375 296.049677 286.644865 295.668081 308.071952 322.514801 330.861052 314.361653 324.469991 324.490135 297.509463 303.766762 320.470756 317.334598 325.688745 331.016308 317.560297 307.808147 326.341522 321.547983 314.404955 329.278541 346.405699 340.586642 307.716086 336.426955 342.319601 336.7068 326.212891 330.318558 326.163105 
11 1257.262804 3603.555526 3294.42296 3190.354002 2145.794521 1703.681641 1740.37334 1680.777062 1261.897044 1065.903748 988.013842 987.170846 795.117953 694.46243 707.632761 677.348165 578.201634 499.706362 507.009005 510.508601 420.634015 381.966664 397.991511 344.836594 317.18159 291.207317 274.995651 269.816539 258.849935 229.175775 228.991587 251.295934 222.918732 214.16336 224.660415 217.056179 218.921229 206.323547 210.285828 209.213669 201.242722 204.279309 210.094518 202.240976 199.955195 194.711608 193.412917 195.302859 187.355395 187.879669 192.756226 196.931565 186.784159 192.062518 190.469675 195.766832 193.198061 199.234539 192.477793 191.423532 185.130112 188.670316 188.253951 187.772209 185.781285 187.413712 182.338275 194.645593 185.62109 196.940418 184.12108 197.343698 198.883483 196.836166 189.216403 189.395268 190.519971 198.815928 189.72631 195.997146 190.611328 185.982604 189.806567 193.938861 194.44979 187.690476 204.940751 195.074469 201.915836 202.793993 199.253722 199.861527 198.388849 200.545999 205.186077 205.95485 207.576626 197.803562 214.617899 197.54784 196.917131 202.064227 212.362081 211.37281 210.126788 217.385356 210.386232 218.025688 217.873705 215.742601 236.633162 208.250252 221.535294 205.870999 221.629151 225.606831 221.018136 223.882407 236.060451 210.693213 232.325405 230.122385 228.185671 210.992498 240.714385 225.497316 230.068879 243.092679 234.765096 261.823266 232.58844 248.134692 240.223153 262.035941 245.363321 260.138234 226.117185 266.816905 237.679212 236.885033 233.20587 223.609875 230.258136 293.823816 241.090913 242.91946 239.235549 243.591035 322.534428 277.5573 265.263903 271.038694 312.278472 247.526053 360.419157 292.887665 262.119213 308.625932 309.964849 342.673221 276.155446 347.778746 268.226776 323.058898 338.647427 309.478872 354.232361 315.144089 345.372738 351.182558 345.690755 308.074906 344.848014 371.265918 359.8501 315.410202 338.821929 360.184285 347.006511 363.393836 312.956976 359.01416 353.819395 369.741016 374.487657 361.988518 349.963291 354.023216 372.19976 364.460411 367.215422 366.688966 347.069641 363.68837 358.860059 366.385962 361.616931 362.010201 381.188656 374.755375 363.34437 376.193605 366.940263 380.345785 365.630473 356.64177 365.830381 374.765259 380.78698 364.714467 371.554551 379.259962 387.459942 362.000771 392.67915 385.801661 398.721404 369.106267 387.173681 392.709557 400.952009 380.480125 384.893997 394.281294 403.424482 387.197484 386.009716 410.37915 383.821065 388.53967 397.583934 387.490865 416.603538 398.211755 400.471745 419.870252 420.894679 398.164664 391.925199 389.302025 
