 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
1 1571.934259 1339.18171 875.504581 633.444218 499.21224 402.621133 334.065599 292.885741 251.392358 225.201948 208.634156 196.167286 184.794581 178.086655 171.182284 163.696351 155.145956 152.872685 148.761436 146.667734 137.117803 141.491831 130.870318 136.112108 135.382023 129.533196 134.725394 127.313752 125.904395 124.325217 122.364509 119.622201 118.659106 123.16927 118.914762 119.431405 115.896973 114.892047 118.249538 127.325558 122.87294 117.503352 120.519924 118.263396 112.409823 125.229996 121.00545 121.724818 116.027658 118.368355 124.368971 122.803073 117.783836 117.431112 128.628162 117.616073 121.362921 129.36492 127.228426 130.076208 128.901655 133.331821 124.325923 128.874966 122.092171 130.379723 129.653554 132.372316 135.709021 132.610203 131.517003 135.385167 148.379005 140.391445 139.779405 145.700724 136.381109 135.494743 141.399832 142.643157 149.831349 143.907911 155.059026 154.226421 146.175601 147.70108 150.117096 149.944711 149.058216 159.226152 167.700333 159.817663 155.639435 154.662741 153.265635 158.363911 152.194887 163.463853 161.321971 159.216851 156.407435 165.284381 161.312028 164.061523 157.606496 171.659599 155.811051 173.684783 172.537498 165.873517 171.770972 176.384365 180.316814 174.650252 170.082026 186.744703 172.801881 178.741998 175.4792 175.862589 186.838306 181.761778 179.450911 198.142751 186.207275 191.644097 197.198515 197.976846 192.823331 196.103387 211.204272 196.430323 203.504508 190.60209 208.220099 192.879275 203.291128 205.01799 198.739713 201.259081 197.907109 207.253924 215.98761 220.575468 216.621014 202.607621 220.291326 228.871361 221.668992 210.956249 229.297735 221.783316 212.575843 221.771768 234.800188 214.055966 224.996589 246.556926 231.879529 222.468812 255.834711 242.037135 242.800903 228.967209 226.407807 251.844715 247.841182 235.373413 235.515388 237.978431 249.051788 279.287624 252.815959 275.340804 245.129155 252.323377 269.952227 253.236238 245.787065 272.830096 279.297378 277.331985 285.3336 281.083645 266.65966 289.054464 266.205379 257.548742 295.95742 278.994563 286.234528 299.90886 296.395601 299.354112 301.679029 302.013788 309.809722 286.7674 308.751354 311.097121 304.311439 292.677364 291.154069 305.689683 305.678137 306.500219 300.597567 300.973579 316.699913 330.651396 296.980375 294.906178 294.058946 318.723941 330.890757 288.187472 292.621358 314.677681 318.467641 328.380882 329.696575 329.866907 322.287434 315.727833 319.280356 330.620856 337.784092 335.125955 333.137789 325.689064 334.917195 331.094193 323.410726 326.487024 323.109967 333.547805 335.477717 346.420329 329.344235 354.133049 
2 2412.470669 1828.768444 1198.245655 884.674265 702.847113 586.603638 495.670879 431.379285 387.381224 341.154156 310.152117 285.74201 260.050919 239.889224 230.564927 220.899772 208.560828 198.208444 197.369297 188.340945 184.933734 178.080496 169.536323 171.061417 166.396125 167.437041 165.679705 155.548592 156.754772 147.298634 151.926909 149.74442 146.53134 149.814798 146.541285 142.993959 148.34276 145.740756 143.469539 145.07733 137.470207 139.529137 143.229921 138.433624 142.699422 140.882551 138.894962 146.55187 140.863817 134.894766 133.592737 137.076679 141.670246 133.509722 140.295081 152.361691 144.736794 141.145139 141.722405 144.671164 151.217867 150.128835 135.696639 148.274048 145.926808 149.241765 140.266278 147.291579 151.399684 143.202526 143.267644 151.676706 144.748536 143.473454 149.700153 145.74403 163.048578 161.678096 160.636025 162.795678 151.285039 161.406399 163.930196 159.261953 161.977059 164.806299 154.880739 157.975256 166.502813 162.577359 169.9482 159.1645 157.084659 165.578724 165.160754 159.23674 170.653006 163.689166 168.28793 175.456489 176.857443 169.701457 173.660339 170.698684 179.599304 173.567379 175.021326 178.456507 176.814138 172.769547 185.56598 187.319597 175.909424 184.534561 191.79762 174.905204 193.063848 191.315237 187.997138 184.525257 188.441284 193.874769 199.025267 197.37616 194.497587 202.256692 190.507911 201.367054 202.834793 188.787465 197.810296 193.121138 217.704143 206.744277 203.420208 211.982666 204.099421 213.68502 203.840233 215.461475 213.565053 219.815358 222.433657 240.25831 231.00439 237.649698 219.589469 229.728793 228.257783 237.543202 231.34781 226.745711 220.571619 216.091284 240.995257 246.460115 237.625961 249.982614 241.5749 257.973512 244.024339 236.826783 255.011792 245.222116 230.660326 247.813145 266.989803 273.765284 272.873464 256.584556 243.758673 244.930339 305.403872 264.147476 271.671391 269.515524 272.522537 261.967422 271.20569 298.614981 276.360551 282.343781 270.614179 286.89276 293.29011 282.633055 298.387679 305.956182 274.310345 288.459363 257.306942 322.91872 296.767958 303.592967 303.77632 306.797127 321.135915 283.718943 303.30459 331.124155 326.651004 316.005754 303.875248 333.988228 321.054951 302.964438 330.406513 317.739674 311.150947 298.457994 325.082799 321.344675 312.368867 302.863266 335.627262 319.385251 307.241658 335.978768 325.547346 323.449411 336.394749 338.317542 341.311081 308.387276 335.038318 332.131644 357.600759 332.440873 338.380284 341.46069 339.387903 333.762979 325.534001 347.362572 351.166841 344.997046 348.193764 345.782882 352.960552 357.588763 
3 3322.224884 2255.28612 1507.409335 1113.577447 896.424074 745.97568 649.95735 555.496768 496.61056 442.648958 405.674785 367.636153 351.897182 318.830501 302.226849 289.792826 266.543348 252.956073 242.949741 232.034591 221.827583 215.658752 213.81564 210.177407 197.327595 195.575713 191.260001 192.298671 184.109981 183.664554 179.104218 183.30753 173.512654 171.363652 167.107732 169.486539 163.638225 169.383121 168.664327 163.100543 157.978722 160.647829 158.173048 162.047245 163.067695 155.273689 159.710845 160.812774 157.068106 155.819006 152.388892 165.459846 157.351221 157.978466 151.839916 166.390479 152.534971 161.550621 150.88548 160.122657 156.513998 151.376461 155.207544 159.391931 160.29889 154.638745 174.047324 162.806905 158.549254 159.927175 164.533703 160.43259 156.716023 166.32485 167.626362 166.531364 162.704129 166.207573 176.379744 164.540567 168.528382 165.066513 172.80913 170.830651 166.663394 172.413294 172.758191 164.536783 180.210444 175.406064 173.179175 172.157828 176.555978 175.550477 177.291067 183.085041 173.061708 179.129688 179.462781 192.095299 177.732454 183.459513 198.750041 188.051478 182.321402 188.132891 184.299688 189.928076 191.938439 184.450581 191.953454 193.500423 189.096563 194.734125 195.163388 187.342563 202.383077 199.144595 185.595941 190.73874 199.666559 207.403083 202.367168 199.4408 202.965477 218.020941 197.025811 201.852258 198.549877 205.409402 232.970613 213.715494 205.347493 210.361277 234.837142 219.169765 236.689683 234.187187 219.679157 219.598899 224.694032 237.170846 231.400609 232.283767 232.081297 221.581805 230.941005 236.35011 246.742334 251.453175 237.526907 230.502823 244.921291 258.911974 242.892131 233.697232 254.974841 237.075769 253.867139 245.851027 249.662095 259.427716 250.62269 264.917594 264.42931 274.275638 260.03347 230.299004 258.324569 258.874122 262.207364 267.799313 271.808554 260.587512 282.36399 278.461948 283.723627 285.144854 283.921288 264.355595 293.77814 302.746955 291.433206 312.9206 290.330189 304.16478 312.855547 310.412522 309.415553 304.099278 312.087033 310.36338 298.054588 321.573325 307.330064 317.451358 312.5954 353.081932 302.05889 328.391596 329.311709 295.400043 316.426226 318.574715 321.036215 316.241011 329.063365 307.560572 324.262575 316.461574 314.002319 333.197581 327.882655 326.001116 327.015278 327.626996 335.056603 346.897641 357.044856 349.973683 348.237391 351.143295 335.37834 347.419157 341.606066 352.881513 347.689249 336.287739 353.533521 353.556937 338.883196 356.502553 341.822846 350.694595 353.342403 332.371778 349.644055 344.127425 365.579212 344.184907 
4 4133.717456 2665.57186 1823.056204 1356.890883 1080.27551 901.910422 772.854666 680.694557 604.789227 561.825152 488.596371 460.217696 418.813423 394.362002 368.183332 348.914805 330.911029 313.960746 296.92148 285.431114 271.960025 265.229581 258.099513 240.969018 238.757466 236.904217 229.814952 221.60195 213.072661 213.155487 219.829537 202.966056 204.897573 199.025137 198.927814 198.391993 191.655452 190.723278 188.38534 186.243522 182.295036 183.51905 179.883639 179.46092 178.693112 179.201605 180.410993 176.217753 181.185922 177.428167 169.182893 180.383343 172.18009 181.809573 173.224086 173.946022 178.853949 177.505858 175.448791 166.230539 167.337151 172.147563 172.637323 182.114503 183.501857 176.451277 178.678165 167.993008 171.249392 177.126381 171.526285 173.518493 173.385691 173.869549 177.097576 172.300765 167.097274 179.144571 178.886283 172.96708 177.902851 181.127669 192.87921 182.992721 182.72667 186.978997 179.26358 183.023323 179.238238 176.523196 181.94 185.36832 195.685289 196.838156 191.149461 197.886641 193.809907 190.149027 195.009863 186.654629 189.670431 188.79157 187.300542 185.576504 195.44304 201.669609 195.101734 196.396448 201.428453 198.681332 191.674378 198.353691 201.641638 201.054107 200.027048 199.93877 200.327936 207.946928 206.98351 205.654474 203.874365 210.946242 211.858333 213.900966 199.978483 218.29251 207.486678 224.670294 223.141865 219.463275 219.206913 214.971907 236.34331 233.156983 231.474774 225.626655 227.688148 231.414082 239.599179 249.222953 224.666254 228.773077 243.042896 238.274378 232.519347 253.925072 236.962214 261.179406 233.708781 255.338408 253.438327 259.049907 259.35336 263.02611 254.250787 272.391916 243.686434 253.997693 253.909995 272.07775 272.542618 247.501865 267.176366 253.719133 257.689114 254.773138 250.14948 272.010516 293.239107 284.964195 257.590828 272.660855 286.761498 292.99365 280.99755 283.931296 304.324911 292.857128 287.274162 257.382453 318.547835 320.296574 307.090445 297.947962 306.502719 314.537116 315.934479 312.39158 288.078475 335.26607 311.635573 299.665073 322.485608 348.031646 318.644453 298.213819 307.715701 336.904525 323.951616 325.871456 334.753469 330.037751 306.578872 342.769518 323.73195 334.247544 347.989625 335.754803 332.131389 331.327588 350.172821 353.169248 332.971885 361.573627 346.300998 346.463759 347.351922 322.775077 341.875517 355.018005 321.427627 317.860092 339.448209 338.743339 323.039204 353.173417 345.464801 347.663268 345.443823 356.692516 362.402832 357.969202 347.110123 363.492312 341.167759 370.216726 349.579644 360.962036 355.966346 359.541835 
5 5019.340446 3116.843774 2101.749496 1567.993214 1254.027401 1053.309914 906.700176 788.08226 705.040894 634.639429 581.308663 534.652977 490.482532 458.508349 433.66558 409.260734 387.872074 372.028209 348.938927 336.955978 317.435707 309.584025 303.228243 288.585235 278.902695 266.999811 264.716468 251.666108 247.927728 239.916106 233.206383 234.295737 229.668488 221.484161 222.344611 220.878023 217.240366 215.636809 213.429172 207.108357 208.331729 203.397819 206.111259 207.183161 197.440314 191.638066 201.957347 193.179906 189.880987 197.943675 196.964284 193.616225 185.284533 196.555873 185.064994 181.767231 199.503928 178.470558 181.248602 181.153396 179.830518 191.245631 180.846799 184.918272 185.807204 191.208741 199.899188 183.736856 187.940937 187.209635 182.495904 185.861414 194.186883 186.063889 197.971328 188.701881 183.356866 191.36406 191.765734 202.235331 198.046388 194.435611 188.996417 190.543772 206.590559 193.927825 186.39294 208.351617 193.867007 206.775134 201.154509 202.883232 194.993505 199.695558 198.701347 197.869897 202.508631 194.801681 199.660851 194.01219 202.173485 204.655453 197.962986 213.945618 201.794136 209.127444 224.498616 195.792942 207.174692 215.376534 207.64046 222.050588 207.384223 216.684465 213.505708 219.536604 221.161395 207.822658 234.789026 212.842792 219.897671 219.224235 231.823648 226.704137 210.15938 219.199598 224.202667 216.740213 219.338623 225.659375 231.219821 230.163443 233.861342 248.892619 243.159336 232.176952 241.928136 240.11274 239.779518 231.857395 256.797808 241.739074 264.517908 259.212861 232.945979 234.031096 275.572661 251.204896 255.660274 263.589521 275.914031 256.307278 263.49951 245.611857 261.782657 259.139211 261.068868 257.304826 270.736203 276.563922 282.072019 266.858991 268.609591 305.540331 244.664737 267.887525 290.051049 285.449654 285.01167 302.831126 278.88319 291.293734 292.773728 285.563274 312.151573 299.726277 313.918083 285.402051 296.8137 310.382948 306.174632 319.448378 312.474724 318.14616 301.457115 311.424055 319.266692 338.354365 321.760978 331.667546 319.377615 332.319619 323.403348 302.418929 340.918708 348.802019 318.553993 331.876307 343.833145 338.379387 336.146084 336.259254 354.832724 308.130976 337.981369 354.95648 347.137131 356.618481 346.569744 334.662178 352.931361 335.733759 334.069897 363.118482 355.022879 346.49064 358.965465 340.06551 338.67899 354.917987 370.61667 354.752851 372.541835 362.643283 385.187825 345.670033 356.806776 349.722324 373.332354 374.956566 360.299249 343.943749 348.116716 369.107101 360.591989 361.64779 345.87379 357.489835 375.177581 364.443539 
6 5876.661873 3555.610388 2375.162056 1798.903937 1434.168235 1197.646061 1034.725407 903.464964 805.236747 730.082097 666.081702 615.084963 565.306145 529.162138 492.376708 468.404077 445.176539 421.861047 403.117756 383.395653 364.274683 353.090786 341.34797 325.258006 320.159538 308.994823 302.231852 288.054735 282.561842 277.564163 269.278407 266.182283 258.525439 251.912078 247.011721 255.973351 244.322403 235.76938 230.467027 235.974675 230.759187 218.988915 218.073678 220.665157 221.137273 212.972451 214.500366 217.086586 213.591934 206.008416 206.673834 217.475432 208.906623 207.694668 208.79153 208.521884 202.869374 200.1177 212.201755 202.425486 212.312359 200.182368 204.722301 203.832725 197.08509 197.979796 198.41156 200.169088 201.181968 212.334813 209.404851 201.013689 205.6879 202.452431 205.830643 217.341348 206.95785 205.799337 201.052503 195.436945 214.650362 198.418296 205.226624 209.675395 204.898919 202.140315 206.308279 213.593666 212.640898 207.909525 204.628827 213.655893 208.96616 204.369 210.065006 205.2698 205.885561 215.030353 216.262194 204.46985 213.074137 211.567645 216.344504 224.590998 225.217346 211.200553 211.399688 224.451461 215.171751 219.369545 211.879376 214.837824 220.395577 219.28653 234.820526 218.597246 229.306459 233.966107 223.586971 231.027741 223.866816 216.46531 236.131663 231.517309 239.788308 227.231687 238.230174 232.043765 230.308307 244.424603 249.1724 246.220882 239.855672 258.832485 236.75326 252.690471 264.938509 237.04908 246.070244 255.478779 240.619566 260.778694 257.969407 263.8063 246.154995 254.458392 257.245225 274.135265 264.64346 265.707471 270.998917 264.438227 265.920917 278.91065 268.929789 278.065149 292.58774 292.777192 267.108555 303.280531 291.89942 262.301287 287.601094 289.756834 304.860863 295.229392 295.075227 291.116409 286.916433 288.069813 300.287182 309.069309 327.043377 292.520249 299.737055 319.807455 315.820539 316.221057 314.55296 295.62529 325.149329 328.714747 302.413795 294.197457 319.624229 319.245841 311.421872 324.289009 328.432141 334.982312 341.386912 345.132605 348.577541 329.689966 349.021237 338.301823 346.006205 324.002171 322.327787 345.841263 332.161219 349.699356 345.005514 324.207082 367.501876 358.642125 324.848568 356.785476 334.676805 350.978993 326.076303 368.309844 362.28902 366.157891 379.651178 367.57065 335.928598 372.195013 364.614128 337.742904 357.92455 364.795494 373.357437 362.432535 377.411588 374.012269 384.343418 350.385495 380.341936 367.887768 372.638515 379.481103 392.815864 376.977901 389.446375 367.549479 377.480685 384.488664 360.257357 386.919821 
7 6722.535663 4021.556744 2656.922283 2014.699787 1618.672643 1346.641727 1160.365484 1017.39122 906.958337 823.862891 746.527094 685.365303 638.02162 595.73483 560.035161 526.988243 498.920076 474.920241 452.145576 436.858386 412.218283 401.807324 381.188078 367.556729 356.919882 344.96606 335.216284 325.801398 314.868539 309.082009 302.287282 295.209504 288.060317 281.338278 273.073179 270.507874 261.997191 263.562895 261.633816 249.588381 250.425283 248.134562 245.272285 241.949887 249.784119 236.859759 238.83612 231.309767 235.777396 223.073026 224.280487 226.286554 229.777809 222.071179 228.321039 226.667955 220.82792 215.422277 213.572109 219.742863 213.89128 215.856798 225.242942 221.409999 219.080014 216.81566 212.345784 216.344185 209.259604 212.313385 215.390262 208.774463 218.714585 223.299171 216.963154 209.550228 215.404826 220.670352 214.238167 219.898698 219.621997 215.082512 217.918166 221.47255 224.696854 212.758493 216.423929 219.102661 206.902933 207.296267 218.012282 215.943086 216.641543 221.803653 222.808449 229.689274 228.081485 220.943846 228.820934 222.648448 225.652637 232.729966 235.485877 217.854074 220.282024 227.266265 222.039553 226.596871 223.070204 230.523419 225.760415 220.640265 233.320131 229.148832 234.31017 229.101997 234.988996 238.274826 232.669984 225.388576 224.900291 227.150787 241.367165 235.778551 236.071549 247.559733 252.77259 244.036208 257.687509 245.996276 253.287242 247.436621 253.298854 258.947323 256.895194 254.239496 271.451082 257.252667 265.139122 255.560512 255.544089 268.508353 264.140933 278.548109 258.575159 270.575751 284.309748 278.233044 291.818843 285.483079 265.56216 279.138914 282.859331 282.44059 291.25986 305.180612 282.534129 289.054272 277.165438 300.68886 279.604359 302.853 292.754159 291.588653 296.097537 292.431782 285.957057 297.074813 298.397046 293.966692 298.562951 294.854213 310.118435 302.362086 294.34591 330.761806 308.104223 317.9578 315.220174 317.919307 342.207584 338.531754 306.981316 313.910835 314.209605 325.547859 324.626527 352.210707 347.067651 342.091527 344.060061 317.485746 316.8177 352.081306 353.673057 349.94783 345.949557 358.391663 365.248301 347.725818 353.26131 355.046874 350.706527 337.214908 360.753724 362.646171 360.044041 359.99554 338.221374 355.539071 370.654906 367.755994 367.120152 381.025316 364.285268 367.376581 378.568241 379.969644 368.968845 364.909305 383.376023 349.705772 380.990864 377.699773 352.52064 369.496457 393.918882 369.400161 353.399694 378.294426 381.667188 381.430072 376.008325 388.087121 394.932854 392.936477 388.727838 381.325625 386.544961 381.700229 
8 7576.278394 4430.590372 2956.303851 2238.880515 1794.355341 1499.231743 1281.320122 1131.574099 1004.702632 920.569091 823.398343 762.39675 706.265807 664.964056 618.758353 583.131179 551.013355 524.655307 500.463328 477.282817 459.188201 443.020352 425.298797 405.020083 396.459999 382.181456 366.368768 370.040236 346.567179 340.812082 330.241381 326.767127 318.133458 308.892559 300.819351 297.217299 297.838896 287.149507 286.624142 276.888096 268.725133 269.593665 264.972767 262.060063 264.729106 260.626775 252.619516 251.154342 247.078826 245.213261 246.90054 248.318175 244.298218 242.248912 241.426059 240.399642 235.328952 227.748583 228.35472 235.743779 228.406365 231.419279 230.674118 241.944175 231.440259 226.773105 232.511392 237.210752 231.237464 222.742755 232.76955 233.396473 217.375669 222.506856 225.325638 226.774003 236.835958 233.273618 228.979719 223.332853 231.077396 231.734152 227.813829 229.816751 222.285009 232.088095 231.895373 235.10948 231.409528 229.868202 233.984841 228.291143 228.95919 229.399165 228.162127 225.924142 241.8022 235.257486 238.752141 236.267351 231.817105 230.630557 231.482665 239.372647 240.874774 240.012787 240.13558 238.553261 239.585771 253.821589 241.578043 237.813424 240.95856 246.90439 244.187871 239.83296 234.431745 245.249253 251.833103 241.719503 249.286017 261.311694 256.544076 245.340353 246.520935 256.615606 256.235872 245.627382 275.752873 257.697646 257.051091 273.251787 275.567465 271.043377 270.51012 280.544551 282.108266 267.78661 267.074552 284.37711 287.280192 284.728232 266.868679 282.693425 284.265738 285.245641 282.976861 296.019397 295.410566 293.867248 279.030235 284.608326 293.86122 308.386955 290.04502 287.142065 298.899446 297.059221 308.870556 299.843296 284.794119 296.711949 306.399109 305.73074 300.226944 311.185847 316.454199 303.870692 302.912729 313.117043 296.392137 314.684288 323.239431 323.54821 305.521146 301.961631 322.714579 309.823578 321.630038 341.574179 343.571009 341.799557 312.111412 358.555258 362.648608 326.854697 332.944104 361.156042 333.57058 355.283093 351.696569 369.385148 364.083629 356.255813 350.234217 344.638804 360.132575 369.034668 350.759327 361.680507 386.939194 386.790421 368.469335 370.960347 354.651357 376.464211 356.173244 366.950077 388.253731 354.883406 386.92816 356.08824 348.424723 348.059553 370.500614 386.360708 357.320722 392.579901 381.295217 385.123541 377.206613 391.199092 365.363973 378.10998 390.038847 380.688695 360.189545 403.283661 383.688458 381.573843 395.921803 387.453719 389.86845 392.418294 396.040683 386.56652 387.305137 413.70437 386.295848 405.209533 
9 8505.19252 4846.617283 3230.407939 2438.832244 1967.405118 1638.514973 1436.109311 1235.174148 1107.681594 999.266771 914.542237 834.776374 777.548574 732.34722 680.331185 643.334493 612.241032 573.13056 545.632091 518.454977 499.82351 483.734637 476.653906 446.442447 430.86784 416.828977 406.619791 388.631028 384.362215 377.191923 368.116289 358.467045 343.337933 336.432728 327.215956 325.519951 326.576841 310.727524 308.698811 308.090044 301.817668 294.62441 294.284707 292.568496 282.201676 279.577027 275.313793 269.040777 266.235659 263.966751 262.517553 262.860269 257.457513 247.870757 259.735662 250.039262 248.099599 252.475423 261.491969 258.886505 248.385987 238.311137 250.257134 244.290712 239.246389 249.703541 239.887943 238.18116 246.545633 233.321734 241.600946 244.332798 243.510972 241.808937 246.634168 235.336076 235.392211 232.594473 235.63523 239.045714 234.506102 245.088543 241.291206 246.739767 242.451833 240.661268 239.085939 231.608473 240.119926 237.511254 248.941441 249.201397 239.981673 248.686553 238.6978 248.379251 245.724065 244.496907 238.760288 249.627708 252.140021 242.076077 252.037629 237.622563 236.992559 235.761874 253.367692 253.500302 249.442043 234.695745 253.583319 255.556919 261.113903 246.706213 248.423069 243.739811 255.442212 246.54172 257.841225 264.568334 262.125565 257.84206 261.209432 259.183927 272.219531 269.384199 265.464516 259.213054 286.219132 276.19516 274.673077 279.606603 273.665652 256.700999 257.652031 277.321657 282.794789 270.130964 272.347009 290.367592 272.614599 279.5318 285.21568 298.489749 271.131076 293.717512 271.836718 308.851051 307.068824 291.046928 279.551047 307.336928 298.497641 307.785051 294.70364 297.572333 324.726674 324.566094 295.606816 310.807844 323.99537 318.557585 308.934261 318.770709 325.041354 315.361892 325.797293 327.660613 301.705589 323.899778 331.188309 311.189825 320.132273 332.626538 332.032525 312.012294 315.735661 334.752765 316.249736 330.005996 359.585139 364.720882 352.121339 351.836363 353.841081 341.179627 354.831121 360.105247 354.930368 338.489926 358.363949 352.362176 360.258703 358.861985 355.873064 352.667106 375.645081 356.775598 354.847864 379.321807 361.814337 380.211574 364.582243 368.786262 384.23493 382.891394 358.616077 376.288298 393.991441 373.363981 378.81774 380.933702 395.350439 368.63357 380.818481 364.922715 396.741192 398.648522 390.888389 372.641595 382.960041 394.720051 405.894774 406.351301 374.083673 355.476457 389.809813 403.498067 410.758177 388.941477 394.874855 393.937809 394.163249 385.227987 407.952675 414.17668 398.400947 405.72489 397.312108 415.312867 
10 9323.170403 5289.447994 3535.236019 2648.645121 2140.717287 1788.565732 1535.84254 1346.705496 1205.04667 1082.833564 989.575442 909.826645 853.860518 795.432122 741.550841 701.496841 655.384421 625.357088 598.359284 569.883801 548.131253 520.443848 504.320972 481.207055 474.835365 452.918709 443.479575 437.254415 419.620624 402.580138 394.60624 384.810146 373.719848 367.067996 353.189199 356.308741 342.837971 341.364136 328.199258 326.124484 319.059728 314.390136 315.912666 314.558928 303.796275 294.702228 300.003682 297.928651 289.79924 283.654211 291.465732 276.549744 278.21848 273.309975 272.868524 274.069059 266.11755 267.143199 262.334519 260.059193 274.637985 275.66344 259.579764 270.777261 259.506819 261.076309 252.461823 261.28629 261.731397 255.129839 259.00147 262.210765 259.799174 255.776524 264.245122 253.623285 254.355423 256.535478 255.726737 259.442087 255.312939 255.747333 254.918705 251.21144 256.264229 248.789843 246.415527 254.617242 255.544924 253.192036 242.827463 261.772263 253.891582 254.80823 255.601059 256.781384 251.497057 254.815607 266.032096 259.50483 271.598896 265.334473 253.947398 269.574803 260.295735 263.664196 258.434595 269.043407 268.419241 256.622792 268.794292 256.992839 273.63986 275.210377 263.973744 256.569287 245.788026 259.76049 263.244238 255.305753 271.01239 270.314703 269.058803 275.799447 265.741409 280.395261 269.331527 275.761982 283.162463 281.809497 284.920055 277.023078 291.759435 278.54317 295.161256 296.213401 285.783648 282.866131 289.181107 278.478951 294.022635 299.332043 288.254898 305.161943 302.182068 301.140767 288.493108 302.080896 312.414995 317.02165 310.537882 293.347722 295.48954 315.779352 324.548707 300.265693 311.777999 320.158127 323.412586 339.133016 312.061693 330.132187 320.607789 317.140658 329.508408 337.37889 322.367754 335.324641 321.428268 327.113948 346.603105 338.823085 358.250009 362.548975 350.60343 336.793921 341.512913 336.950846 349.459738 349.890923 350.114056 336.20992 331.369289 352.844559 379.382817 357.765702 358.510863 362.137933 353.109198 360.302585 363.98759 371.507654 353.262786 366.735159 367.446509 372.895393 363.978351 359.197773 365.612958 367.861787 370.167777 375.597156 391.992368 389.266807 352.630729 383.001487 395.92148 374.112801 398.74546 376.897578 392.134985 387.90922 384.088014 401.639496 396.820616 390.450081 412.943362 398.686118 406.490517 398.387924 376.859857 405.564119 404.586586 398.613878 404.22501 404.573308 405.754337 390.147397 417.236106 412.263512 402.218944 393.886034 416.190057 407.021079 414.517665 409.967273 411.052072 414.264444 414.384029 401.813421 
