 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
1 1551.937766 1805.235785 1664.024634 1610.483824 987.42227 815.337451 785.071398 782.21842 610.528026 511.989812 516.329969 500.591959 418.077436 366.688648 383.447108 373.187939 316.453942 289.711156 291.666923 289.966301 260.363675 243.217332 237.197214 244.134111 224.711162 219.157064 214.444041 216.107837 205.096259 201.062575 203.076339 200.867609 191.029621 192.901985 192.563505 190.887133 179.709008 182.471782 181.19407 190.0612 179.714526 176.851861 182.486538 176.567783 176.371147 176.553411 174.071445 178.829377 172.609352 169.73854 171.285831 174.685731 172.438828 165.373107 185.112534 183.888326 176.499908 173.107002 176.533075 176.463019 168.568481 176.803103 170.642806 173.873012 167.278513 167.090154 171.786627 181.441643 180.938476 177.894961 167.626557 178.723008 179.998156 188.832308 183.672187 172.306475 177.170135 173.503543 175.901533 192.391311 180.767888 167.404643 168.005326 184.993141 182.057406 174.79813 188.635545 189.25509 179.724854 187.827834 184.28397 181.52466 185.300571 186.908299 196.712927 180.084828 181.090267 186.32006 195.5292 185.37095 190.061007 194.584195 192.981154 196.538745 201.458154 184.294171 203.217739 195.487242 204.927406 202.61872 194.003209 203.105145 199.612543 204.165372 200.268783 205.926043 211.833571 195.498342 212.855046 211.092321 201.699505 208.013198 210.72388 214.463221 207.399622 215.570988 211.625193 229.114573 227.19762 217.723647 228.638093 214.76103 221.413204 223.423696 221.711589 211.498874 226.508656 221.817831 230.232733 220.962581 236.386677 227.497673 232.983508 238.960967 236.559577 238.465111 236.130121 228.171044 232.299359 233.307109 266.021318 244.485679 254.673248 243.467409 260.320755 240.600191 233.881229 281.198867 277.956535 250.296909 280.348942 246.147807 271.508822 276.007505 295.1159 278.747054 240.768598 300.126669 264.220037 289.449787 285.707558 260.678804 282.414478 286.701513 278.427561 284.497786 289.002757 266.533596 291.70548 297.397191 280.366841 284.547185 283.607184 304.78208 297.920311 289.450302 288.49022 309.628482 285.702426 299.779202 302.819127 303.043415 291.120964 298.048684 322.958302 300.076179 304.849057 304.744871 312.481523 304.018827 301.883683 312.133803 331.409709 306.320264 321.584873 319.083208 321.816023 317.334021 334.489344 323.986324 321.231313 322.41786 331.67717 335.817161 325.387409 332.186882 335.635538 333.314729 338.545997 319.907408 333.105775 338.81949 323.058448 334.123723 311.735465 344.679288 356.155604 349.838892 354.775178 326.189987 342.647495 369.063218 370.67056 342.271482 363.408847 366.532364 340.16681 344.534552 354.830222 354.47628 
2 2417.464948 2342.913482 2211.65105 2185.946934 1342.071896 1110.186787 1075.493264 1061.971426 813.442245 718.929506 705.08452 704.633638 576.561829 539.656559 547.559502 521.754729 458.571028 425.453924 421.904479 427.179181 376.689396 357.587415 362.489377 362.17752 331.348632 322.80927 303.690098 312.287709 283.793942 279.638232 283.603529 272.930627 252.2521 245.888879 251.808275 252.411911 242.856846 244.456936 242.357721 237.328604 231.227072 226.282383 224.473082 227.766289 217.299712 211.839153 248.219183 216.234158 221.720766 220.565847 209.425316 216.354194 211.723544 215.86841 208.397296 209.680077 214.162462 209.915397 210.274281 202.302756 203.580725 204.401845 206.854945 202.851539 202.344202 195.893152 203.690945 205.596737 197.433003 204.28534 203.413345 207.127731 204.865239 198.442546 206.347029 210.014389 204.031735 213.062398 213.995662 204.321074 197.424275 194.258609 199.235247 204.962176 208.306324 204.358604 207.313396 212.82451 202.656058 188.918661 211.25194 210.300711 205.794268 207.603441 203.342645 212.900983 209.698168 206.376218 210.690005 205.810627 212.792238 219.351454 213.444377 219.180736 218.609307 216.373503 227.552076 213.219256 217.151511 217.132972 223.027027 224.017773 224.890795 224.066723 224.080516 233.05934 227.162334 222.841169 226.571207 225.921576 231.168369 240.323105 214.590506 224.847104 236.579656 240.87965 224.7297 226.879536 222.079328 229.893995 225.530228 235.401705 231.368532 240.435183 243.485629 252.303103 248.597505 249.737221 237.42984 224.210751 242.181678 237.573996 259.683375 256.246267 264.713453 265.564021 255.825025 278.040451 256.634276 245.328357 288.910117 276.513303 288.946108 252.05431 279.306872 253.205251 279.34947 263.25277 278.911742 276.287541 283.545855 276.790387 265.936633 275.097915 272.312428 296.969083 290.672968 289.452034 292.640605 298.991509 266.825181 314.00418 301.586453 292.47592 297.595493 289.98792 310.599599 284.698591 300.531486 306.815668 298.291706 314.467443 299.644221 278.078687 302.503034 308.577496 302.304924 322.287435 319.828305 316.36855 316.11751 332.520681 310.780581 292.923529 324.7064 315.656878 313.129747 334.893521 306.553019 305.74646 320.71602 326.420045 326.466368 336.825999 322.494271 318.600441 327.529737 319.185664 327.609482 343.400933 327.033435 328.638079 319.539416 316.479924 325.56255 336.585611 338.329537 336.010203 332.371135 347.180693 344.766215 349.334763 346.541452 339.549831 343.212122 337.515218 355.74565 348.729332 343.719655 351.11744 334.601166 346.456768 364.485818 358.669583 364.616118 370.610124 359.211565 363.716663 366.458136 358.453959 
3 3272.22537 2833.40198 2649.236311 2623.197307 1676.905818 1387.890037 1337.007944 1338.222015 1026.706539 914.942434 897.339952 893.041303 745.436778 710.662996 700.790043 675.345887 585.167334 545.168892 543.010075 539.84184 482.819528 466.137158 453.098152 460.327145 413.983958 400.097787 400.131852 396.946039 370.524606 358.239232 358.371583 364.368799 336.999923 323.217104 326.68552 320.490003 312.05284 293.569121 297.268495 304.442701 283.243042 287.060717 284.18548 280.317443 274.080991 263.522157 262.510817 263.483087 260.303754 252.713439 258.627638 251.567563 261.964408 253.798493 249.300646 251.836568 253.455906 232.213583 252.145347 243.945109 235.555422 226.779457 233.484046 238.434123 230.190773 237.837481 223.928596 233.104378 250.411234 226.469781 226.615413 230.628504 222.925533 233.218958 231.293919 250.314873 235.346659 231.173694 228.184005 231.425117 239.400043 229.0236 231.591601 231.67436 226.773876 225.727506 233.650273 231.281282 227.549446 236.38777 227.453535 229.181359 229.789291 234.052525 228.074875 252.789014 231.396247 233.040735 227.255423 220.359523 237.332131 246.495658 234.333909 226.463171 233.239809 238.342126 231.826345 238.225364 230.34526 244.851298 230.194368 233.47282 236.065711 237.14281 232.878357 234.526182 241.161612 233.962452 245.588634 253.725806 245.879833 241.502659 241.624234 263.857752 242.315057 256.859397 247.066253 261.579028 256.681557 248.667691 258.180669 246.5797 245.265677 258.545969 250.779164 250.99357 249.779435 262.324766 273.321397 259.867563 263.167829 246.461271 276.31763 275.280499 274.282567 266.986274 295.412744 282.090432 274.891911 268.596887 276.090199 287.543099 283.865538 255.351239 275.477456 290.828672 288.311355 275.491825 279.611543 303.368168 289.022132 266.988391 300.454307 300.051671 306.133251 300.436986 288.774813 294.359382 311.106295 314.403482 292.050699 307.390114 310.402514 321.61618 307.891293 292.027283 315.612419 292.646444 288.460966 309.517045 320.154085 293.947571 324.559551 308.43231 327.383079 319.85615 309.195181 318.614301 316.166077 327.549369 318.058269 327.12755 325.020504 329.551713 317.262361 315.392688 332.981443 326.938227 326.834552 323.132676 329.113343 351.1517 333.118927 329.066507 336.973428 333.308763 328.951027 332.712953 331.902805 339.297189 359.080881 339.967546 335.017597 325.061243 355.515207 350.947237 336.708724 354.929471 353.521459 342.132586 370.287105 356.035312 342.431165 357.148658 355.678225 355.622731 351.139253 372.147986 361.573754 380.343669 376.146515 359.132205 384.367668 363.845421 371.872119 368.695097 376.522656 374.811898 377.741924 352.541426 
4 4137.536414 3378.753841 3166.927843 3146.225065 2004.153463 1644.932403 1593.967486 1589.816011 1261.937078 1089.193706 1080.04391 1061.726611 904.5871 820.697028 813.073931 809.973703 719.317516 666.168887 666.067714 659.600628 583.520475 561.329875 551.049795 555.289098 507.630156 479.901177 489.15715 483.902402 441.680473 430.769171 427.994464 439.964967 398.588472 387.457759 390.117951 387.194983 366.53756 354.913623 359.961474 363.306968 341.795964 342.340256 337.976043 340.753316 317.693801 309.929756 317.222261 322.055193 308.946513 305.036903 307.318966 311.883662 295.402609 293.122474 292.64779 296.54996 280.279141 281.448175 283.555285 286.497434 275.613399 277.308697 282.251139 280.103932 266.477782 280.273431 269.278535 269.266025 278.054885 266.285445 257.652673 271.784561 255.052532 266.232323 258.213774 266.233608 253.224112 251.52535 257.243621 260.789985 250.340921 259.513813 252.148424 247.984248 260.710369 255.528051 252.152274 264.269821 259.50592 239.569348 249.113697 266.137632 258.525311 255.117009 264.773439 266.756344 256.775931 246.637826 256.711519 254.979397 253.295646 258.465325 248.189545 262.499846 249.439413 242.936012 260.693303 278.382204 247.435466 268.06177 255.063952 246.392432 260.913483 259.665988 265.623171 270.886005 264.290221 277.894625 270.847446 261.091642 268.750218 260.823217 274.708364 279.387706 262.751784 276.284783 259.909135 276.819579 269.184228 261.49614 294.584121 259.474743 282.336337 270.057828 280.050748 281.364131 285.687414 262.294742 288.802655 277.546906 295.474397 281.019875 270.292058 302.0655 283.601926 266.386233 298.876478 292.389183 276.838248 291.039616 280.893361 287.357116 279.866752 289.752409 294.764203 306.530051 295.806979 320.30748 278.186147 302.572966 311.77447 314.523899 291.260308 300.659028 322.200889 307.378436 325.504042 297.328994 318.516013 319.924152 307.742196 324.516566 306.144284 323.648678 325.77176 313.631633 309.776233 325.268913 317.607706 312.727879 330.20295 322.355822 333.530417 325.268334 318.342347 318.097592 338.246585 331.159375 331.126849 330.449563 331.505042 318.879388 327.357479 320.110523 340.659523 343.725622 334.252804 335.221095 339.546432 329.735581 341.095712 348.387514 329.946973 342.675145 367.895531 342.173068 341.290294 349.69076 346.532471 347.950426 350.542354 346.904953 347.812043 358.802512 375.686845 356.551567 352.909676 348.075848 350.140872 368.278153 372.625686 376.721666 366.196705 394.657306 363.303246 364.50949 377.529057 370.358765 376.0694 356.709196 379.373708 376.829896 366.417142 389.262185 387.65151 370.302437 371.748172 375.374794 380.22466 403.19173 
5 5018.649495 3911.631712 3696.626765 3633.529609 2328.623198 1905.68704 1860.306372 1852.125509 1431.263743 1266.870667 1238.795765 1240.613728 1049.623885 956.676464 960.418951 937.925606 826.275249 769.86902 762.661132 759.636221 690.991511 648.603228 654.09439 639.167108 586.559241 560.431898 554.547466 562.196933 512.79791 501.323777 497.840799 503.427485 462.890909 449.008008 457.509903 444.445941 425.123074 414.747404 413.445889 413.459424 395.738962 387.903574 385.85106 393.038033 373.02691 363.760866 368.660259 365.42524 351.655766 348.100355 350.041688 353.260733 341.013657 340.434145 335.452888 330.696239 317.764693 319.314936 324.863003 324.98323 321.390674 305.756082 316.898535 316.903796 314.809839 299.66039 300.490235 294.208554 298.824706 307.622035 297.72637 299.803777 288.143976 291.047698 287.091384 294.297795 285.255522 282.382081 277.03469 292.217053 282.548113 283.97935 281.73405 285.008333 282.562613 285.05106 280.81676 283.815689 264.930553 281.569429 285.015775 272.758691 280.234747 269.9385 281.948457 276.260148 275.379298 269.083312 276.591829 260.361814 280.439143 276.690627 279.96151 276.882964 291.515581 284.593249 273.133999 281.882827 270.660114 294.855174 280.211458 274.245551 284.268689 276.641485 287.91674 278.145408 283.315535 277.611893 284.614677 273.164023 281.351302 270.8112 275.835183 278.915012 289.055749 301.512739 292.030364 289.257451 284.847239 301.290568 292.917948 290.21195 290.624276 295.820772 309.667874 297.1985 305.668383 288.660168 300.716574 296.462706 298.875259 307.897067 283.350821 316.836435 295.056173 306.339958 300.157397 306.964507 314.612563 307.421162 309.866177 309.27191 311.607796 316.829122 319.197727 329.648971 326.075469 315.955583 333.873648 306.329116 341.622297 295.883324 305.489071 318.674347 337.188603 316.206045 312.645182 334.156828 336.829271 320.342507 324.207403 326.763854 329.573653 331.020478 330.113647 341.483337 328.179436 335.947718 326.696554 332.294599 313.343254 337.291252 341.094494 337.676312 341.079224 341.75112 339.022862 333.877818 367.197908 354.340271 346.037193 343.359232 351.300538 333.443039 343.74211 332.925563 338.277315 348.008613 349.287801 350.110077 362.159042 343.314773 345.578932 347.74622 355.807561 350.694145 363.160695 377.261209 362.325011 341.616523 348.102472 385.366947 361.196909 356.931943 354.767159 366.146407 367.641413 370.544879 350.52901 367.772226 373.100946 355.237286 351.252166 373.171835 384.411164 373.08959 363.774465 375.437794 379.863917 372.850612 368.147982 389.121559 377.948568 382.071492 360.005228 392.763065 376.369455 385.592773 385.421991 397.037909 
6 5881.521172 4437.37464 4205.392144 4154.050829 2617.925169 2178.331857 2116.960984 2110.204494 1639.277133 1452.248545 1415.503664 1412.703808 1185.803483 1102.964657 1072.978385 1070.629667 936.676376 873.929572 864.864652 864.072083 776.871031 729.896047 734.320178 730.420256 664.02893 639.478645 636.109991 638.946543 592.78389 562.88461 563.22399 570.127075 535.14742 513.974643 512.049092 510.4771 483.194257 470.584516 472.493065 471.462734 452.677294 440.54217 446.003884 439.777825 422.042219 408.236561 420.984303 416.034481 400.920061 388.791994 390.904683 392.965731 379.68191 380.853894 372.151195 378.239896 369.856302 366.116382 371.404366 367.515219 358.781534 359.425521 352.767189 345.987729 334.137005 332.991837 338.701124 346.790117 329.227793 334.851242 333.903735 326.954459 332.098925 317.541689 328.466401 334.75129 314.320079 306.798731 315.054012 322.833457 305.987617 318.159182 315.832214 315.79045 306.043434 304.262745 312.767977 306.694479 296.744478 296.386426 319.429454 308.194103 293.637768 291.930472 300.464251 310.049212 306.396223 294.111487 295.593853 309.663704 283.846998 299.58738 308.311186 302.643535 299.430009 294.109116 303.618628 289.946733 308.262749 304.338706 300.821979 300.910643 295.319336 302.41848 300.590316 317.69746 305.488237 296.213785 301.539042 301.874251 301.156615 299.619844 305.606408 310.23231 293.770826 295.954406 304.34044 305.34068 304.90468 291.110121 292.810103 310.477446 315.337705 314.752741 307.802051 314.580166 321.310031 308.430258 310.017518 313.882478 298.947754 314.366465 306.896631 322.091505 309.994681 320.041043 330.180817 318.427929 316.675599 330.931752 337.053816 325.227212 342.068944 307.943514 319.16629 322.939248 322.643302 312.817568 352.2245 323.857886 330.920268 329.949537 334.483058 328.221457 323.62032 323.975995 335.539434 343.65845 338.272119 321.3466 329.969491 329.379392 335.849752 330.613352 345.680298 354.863968 340.157637 338.461761 348.104141 354.102126 328.850305 339.688663 353.758898 342.491085 356.222517 341.455815 371.151465 349.944942 359.4465 351.822633 342.643581 353.88156 353.587667 342.054767 335.887218 362.115864 354.720197 359.284894 340.541477 346.143754 353.673763 363.887187 377.229516 361.579464 378.576837 377.872031 382.567221 356.013499 376.72808 371.602732 355.780937 352.680065 367.673427 378.675699 365.333691 373.930728 374.613337 372.320626 381.903023 378.117358 377.873891 398.083508 388.304223 387.311167 365.486444 382.177991 390.923931 375.509969 403.141752 379.957198 392.337781 392.06743 387.353958 406.605357 372.370732 424.45612 415.417568 380.084032 390.39279 398.393122 
7 6745.100993 4949.958147 4716.210038 4664.711029 2954.972763 2420.599695 2376.292791 2356.49742 1890.064317 1614.045202 1592.708443 1578.619026 1331.127104 1219.623921 1195.700366 1202.546739 1055.125055 987.853586 965.009182 969.449227 871.628137 820.319029 816.780105 815.581175 753.6417 718.111016 710.68898 709.621631 664.412448 632.113643 638.009236 631.432315 589.321054 570.350273 571.222332 572.61546 546.272296 534.173354 526.670739 520.241374 512.110809 481.738644 484.579109 488.076588 464.714261 462.271365 459.928999 470.793852 441.756945 427.551345 435.638155 449.255006 417.665819 418.952447 411.578785 412.42762 402.305876 391.724457 393.637177 403.945228 378.829672 388.155125 379.940583 383.42093 374.01214 358.66028 369.343576 362.580669 354.349701 364.156768 365.445577 362.833889 354.290485 342.197703 367.687863 354.955903 344.760185 335.208521 342.259485 341.217286 339.099784 337.466588 345.331295 343.257931 329.532338 337.480959 332.111244 332.705896 331.394184 320.076136 332.240773 335.577157 325.925924 323.682807 333.229788 323.300891 331.425618 333.061443 328.56674 316.723713 337.756697 323.615251 332.793725 328.358556 324.318454 327.571695 325.838224 319.813485 311.655333 325.431353 319.899968 339.357238 323.926146 323.37005 302.889636 326.505054 320.43855 324.44747 316.151962 323.008472 314.68589 333.394857 315.886874 317.069638 342.864917 323.549236 324.445289 316.108082 318.565029 314.319631 334.67642 328.634745 320.075496 323.194714 338.717548 311.457608 336.928455 328.332703 322.508575 319.654509 332.04202 325.130145 342.150421 328.61569 334.10916 332.929863 321.762774 327.448197 333.555503 335.944893 336.898238 326.740372 333.63172 315.032392 342.272509 338.089854 341.745026 326.968574 333.207459 345.537232 351.286552 348.200051 331.404062 348.807152 335.707777 347.47696 350.615748 352.813443 361.050762 357.765767 344.729327 336.090268 338.700803 354.542166 356.768027 360.907762 363.736615 368.226122 341.079481 351.883453 333.916183 377.845471 350.033669 366.659456 341.960907 351.41512 360.460343 350.987975 368.818018 364.840145 360.735377 368.962878 359.530094 360.565429 364.183839 358.347461 375.582462 368.948829 358.854543 375.11227 363.300487 367.088011 361.398547 371.086668 370.997492 388.485333 368.753349 371.936787 369.032296 358.664066 365.199607 372.904887 389.801409 371.479876 374.376861 391.216542 381.956786 380.486541 355.111607 376.294394 395.123136 396.917297 389.828484 403.076056 388.260917 384.240126 407.947929 403.963451 404.422157 403.896407 383.309235 411.406786 391.705917 397.887065 394.869275 382.86336 412.031205 407.359177 400.902033 405.988056 
8 7580.157594 5494.748714 5185.991008 5142.067175 3251.926257 2664.054915 2589.265689 2579.251147 2086.297235 1894.642168 1758.708345 1754.143969 1470.512725 1356.355318 1341.675546 1326.725873 1161.745715 1082.629618 1074.368432 1075.413068 968.433716 910.16282 903.936889 905.340151 835.295451 787.111721 786.122386 788.786168 732.039147 702.13762 695.876472 703.297994 651.698133 637.628413 627.518534 624.884393 603.063135 581.142695 573.788021 587.100519 550.254915 532.400748 533.081885 534.663178 521.558798 499.067635 498.316763 502.917131 486.2984 470.197146 464.571515 476.838992 463.432697 445.813728 446.214826 457.771912 441.833033 428.252174 437.464522 431.199073 417.056856 417.224495 411.144646 416.479911 413.767177 402.809618 396.908249 410.04984 394.944144 395.757885 398.725765 393.340459 386.203913 383.943731 385.264555 393.320956 371.877058 378.402785 372.617279 377.032303 361.561117 374.132688 363.366248 361.858669 360.074388 350.491607 366.65984 369.347039 355.966408 354.057796 357.199919 357.4371 351.58802 349.322445 341.843888 338.454833 334.097164 342.675211 340.784752 343.717217 346.266417 350.562435 355.699461 346.416028 347.892363 350.136574 346.90149 341.167822 353.1679 341.676187 350.806352 353.14089 339.140137 352.923599 332.936149 351.643641 342.403384 341.470121 325.96012 340.126456 336.285109 351.556006 353.333871 346.085951 354.217862 345.657651 349.482834 344.095988 328.82028 335.074759 343.337739 345.808417 340.720919 334.938493 349.39943 339.187292 347.581469 332.537874 337.589253 328.981568 350.077357 325.49756 332.788271 337.990799 339.755129 331.29455 359.374775 359.871592 362.127092 345.556158 352.539438 338.450085 350.715123 344.20967 356.105047 346.713322 350.720255 369.146812 364.011712 355.131687 346.544789 352.36423 368.085623 363.40859 367.835224 350.512649 346.550497 361.615327 364.82924 366.419708 351.971024 358.155187 348.745949 355.50122 361.945147 366.216016 370.803552 363.003195 373.646971 375.081477 366.980104 366.356517 364.335502 375.198305 363.5369 383.105802 355.876206 380.797309 378.431654 377.709269 368.834185 380.561924 375.989334 370.379616 366.29807 374.93392 384.380243 369.406896 381.806917 383.876495 366.957071 390.999249 379.57522 366.656441 384.120605 380.772289 389.244353 379.163601 383.408935 371.052923 380.561283 386.591922 383.243606 379.915177 409.803165 402.038026 398.712164 374.389692 400.772056 388.26297 391.869832 400.312834 389.185136 383.756976 404.651128 405.30923 404.12961 410.412959 397.955968 394.30317 418.499065 418.789622 406.75599 382.142063 418.82061 429.340566 415.65943 421.281404 410.919399 421.086567 
9 8441.071514 6023.106798 5704.38908 5652.773758 3597.058669 2926.700135 3067.509036 2842.11116 2223.741137 1953.769919 1929.094147 1931.443377 1616.198309 1485.453799 1483.863139 1456.507738 1278.515134 1183.692909 1175.589098 1179.314262 1061.914841 993.816605 995.707832 986.190237 909.405276 869.559137 860.310799 864.209694 799.312733 764.122264 765.013698 760.433668 715.822861 698.944111 694.152174 695.105006 653.118271 634.362598 644.5868 631.079207 602.025683 585.558745 585.246693 583.392421 558.381117 544.928374 549.689771 557.303054 525.04505 521.166362 517.860324 516.77469 499.450833 492.559552 497.515916 487.129532 480.269748 481.271468 469.378783 473.104719 455.208852 455.610272 446.412294 457.889894 444.301722 447.82191 422.048829 436.968475 429.894802 423.786598 422.371978 423.676764 415.519511 412.109732 415.026671 403.325232 406.611515 397.014108 393.786658 405.388333 391.760128 399.944775 393.901046 392.563989 389.108342 384.562121 381.175953 379.487968 375.185537 382.138791 365.448144 380.920487 378.543094 373.485426 373.704261 372.550174 370.19825 362.048758 357.984341 382.256709 378.774949 368.819429 363.447212 370.025288 363.372598 356.106396 372.10834 358.939611 372.766377 356.647094 376.543058 359.811672 364.660062 355.321842 361.966063 372.175446 360.802804 348.433193 344.670753 369.126539 363.621135 358.765173 347.717927 365.217185 352.672624 356.572225 367.706018 361.899276 359.704789 354.987788 372.387605 351.88403 341.124197 346.830662 355.074461 376.241079 369.871123 348.607374 346.108919 369.477852 359.60118 361.580683 349.063258 357.29705 363.469666 355.001196 370.894461 393.078066 365.642086 374.636432 360.949526 357.619492 360.266465 386.870549 370.613718 353.649191 366.38994 367.064532 380.952049 373.113135 372.972701 358.911897 389.439767 355.100508 364.295213 363.185458 369.641512 374.732602 374.594604 368.933817 365.204738 390.446423 374.901778 355.867802 371.966556 383.01932 387.790855 373.714333 391.927637 363.174232 371.670928 364.492296 369.469833 378.92764 381.253131 379.528706 374.178429 374.70046 389.031164 382.75776 375.472376 381.032117 384.21748 380.04663 372.875249 387.972348 385.95666 378.659022 392.006483 380.981819 383.326686 373.997769 397.93454 390.923288 391.722147 405.743624 388.557185 392.265477 386.860605 393.702488 401.54185 396.320207 376.928052 397.363688 388.972204 402.033665 411.823215 405.178419 400.628219 416.701311 410.031428 408.747172 404.134615 405.9971 406.377284 405.922169 406.429121 405.070701 415.35399 389.681375 400.833451 411.411916 397.438109 429.340053 404.059874 415.5453 410.127083 402.788065 425.612706 429.389002 
10 9296.854119 6521.85077 6193.060128 6154.644135 3908.244775 3178.144009 3099.804635 3092.808333 2411.15273 2135.339424 2097.935541 2100.86807 1768.867109 1600.466907 1600.983549 1588.31382 1392.741893 1291.579416 1278.751288 1281.633712 1149.731268 1088.730442 1072.966964 1074.549349 989.379641 936.904641 932.714929 939.443835 871.496492 827.442423 832.828626 832.626217 778.302202 762.061089 746.178988 742.837281 707.36254 687.027819 687.226122 691.347123 650.581001 633.666773 628.882088 626.917466 609.508923 589.410808 596.1954 593.551505 567.970951 561.082044 555.134936 550.536811 536.639924 525.161555 527.251278 525.388407 518.617354 499.677941 505.758175 500.953986 491.582213 488.813601 479.928572 483.468458 476.341856 470.800653 462.34155 466.602664 448.489763 452.08078 444.646169 453.29068 444.879117 439.286462 437.681239 427.319489 428.730129 431.564758 426.066669 420.912642 422.642648 412.417225 410.26277 415.528941 415.881217 411.323831 404.167719 408.242722 399.151305 402.197259 400.797074 394.672512 382.541238 391.326762 391.526667 390.956969 391.913074 389.033987 387.854816 380.495267 390.58949 380.710378 381.02987 391.085473 382.917119 385.939338 374.517169 377.301627 376.971292 367.739955 386.33357 386.443085 376.741168 383.173226 378.059748 376.319411 379.297812 379.033494 375.230829 379.111441 379.255661 364.576919 368.860936 367.254367 370.483675 375.024443 379.883613 388.397631 368.091525 369.405485 367.349123 392.428945 364.16626 372.232671 369.783744 372.250122 373.013951 378.863867 365.515955 373.14194 380.633776 375.036377 356.88466 374.679545 367.409363 357.895296 381.633059 387.902675 380.107193 377.875815 373.884919 393.495908 376.773952 356.242404 378.370452 386.045964 364.863114 379.413807 391.636245 372.505972 375.43016 382.601799 385.991112 367.582903 383.876688 379.800533 391.511013 385.724161 375.240839 377.392727 368.601365 389.74752 378.965233 406.534016 391.205315 384.272396 380.190147 400.199535 390.252996 395.903263 393.117585 386.461046 395.946951 384.495335 395.768408 410.77428 383.451276 384.642443 396.520242 400.546293 403.533546 385.237352 393.870445 397.43952 394.706897 391.814403 393.045731 376.705818 399.630482 400.048771 415.015894 387.709631 400.107665 394.005426 419.73636 394.640753 409.415217 390.400619 399.738131 393.37087 415.901232 420.164017 413.17368 404.127879 411.729742 414.367862 400.928465 404.105362 402.447785 436.328079 394.856379 393.675158 410.866471 403.39972 417.429727 412.689115 409.396036 410.115279 413.211019 415.179293 416.946062 426.306352 412.45123 410.394866 409.752995 433.034615 435.229231 428.430141 433.524118 426.665619 
