 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
1 1573.975097 1353.443319 879.749722 641.372375 496.176614 411.73712 337.719936 286.471902 247.475113 226.340121 207.136136 193.420616 186.82573 177.643407 174.425196 167.934883 157.192053 157.047897 148.091977 143.756826 139.691255 139.035718 138.305633 138.288954 135.737314 132.484202 129.458905 131.777341 127.913731 127.358019 125.189514 128.677947 123.915588 122.0497 127.335886 117.654181 127.613679 121.559235 124.456351 114.467663 118.271095 127.049434 125.908629 126.965712 129.122605 129.205751 121.963799 127.214698 129.264966 127.486523 126.93325 135.429306 132.407792 129.783274 128.939892 124.280631 129.356387 133.79983 137.401369 127.383427 127.969097 133.577342 128.983646 134.231848 134.806295 132.623609 134.779608 134.859288 135.170055 141.009644 140.378806 140.117759 152.102696 139.875894 140.067524 144.220412 154.000017 146.067628 150.631555 144.434303 151.91254 147.035152 147.415204 158.653249 150.437039 153.64306 154.108889 144.833605 158.788425 152.546584 160.84562 155.194008 175.919303 161.017685 173.586946 162.195636 160.742908 150.905625 176.780585 163.160656 171.799201 169.447853 164.820026 170.366489 174.233501 166.334022 180.804457 181.485398 171.354479 175.621432 185.339129 181.886689 179.37104 199.937424 194.611335 186.255135 181.196379 190.687609 195.364897 191.589179 189.539618 196.985712 193.314053 196.356735 212.082556 202.767174 193.376669 189.983636 195.198996 194.650595 197.562915 210.013555 203.974444 202.018806 212.800259 204.954479 209.474267 215.956943 216.911765 215.696283 219.211018 218.586148 214.204293 216.153965 229.582647 222.996681 228.940456 219.508057 211.404629 226.531626 230.950562 224.084366 225.540687 248.062196 234.788319 246.041438 242.074474 237.368059 237.750935 245.469497 235.738906 259.432592 252.70773 262.827037 269.219641 271.510363 259.1131 258.164247 250.914853 281.741106 268.468257 259.646741 269.131555 244.176195 269.800308 273.667513 281.650265 269.384647 289.648156 274.147649 284.434659 283.930591 285.858452 290.983159 284.396935 291.988981 277.33019 295.956652 293.790201 298.759651 279.602047 300.651778 291.184734 293.002055 296.467647 302.766521 309.791821 308.290466 297.98761 294.747587 305.868611 290.697412 308.644986 307.623187 315.197335 309.164449 302.745542 306.108422 323.369281 321.18557 321.143613 340.624108 312.551773 308.670969 323.919859 296.087915 331.7011 304.763282 335.126725 349.993187 344.070584 327.650284 330.911352 333.478388 335.772959 330.428775 344.191194 343.533605 342.724609 349.209405 336.817017 346.484802 353.996591 349.162636 355.116675 347.361225 351.866323 349.102652 350.286376 363.016475 
2 2437.486656 1813.855469 1204.089477 898.476651 705.449948 584.111983 502.038077 430.665816 382.052696 343.082274 310.032147 282.768487 260.920541 243.580322 228.05563 216.872758 209.90109 202.588439 196.072592 188.761098 183.167993 184.138147 176.823505 172.153336 168.204593 166.180115 167.424852 163.321492 156.121113 153.049752 152.137916 147.657647 150.374807 149.139245 145.812548 151.608123 146.431388 148.762974 141.77514 139.072095 143.993559 144.817696 149.455658 137.931545 136.837254 142.665164 142.548657 141.090028 136.884472 141.312519 137.537377 144.546639 140.677768 141.140325 152.09012 151.668558 157.474784 147.778324 151.269577 148.339165 152.165952 146.481555 150.563871 152.667966 140.276671 157.94318 156.488657 152.113474 152.942679 148.601174 155.689799 159.303076 160.912277 150.760122 157.446491 163.05711 157.817627 166.941315 166.861057 165.634924 179.917318 159.507601 160.00057 167.852766 163.373137 180.756019 162.555611 170.891471 172.878417 170.64287 169.594385 175.819606 175.15156 176.503243 179.222391 182.937292 173.483785 164.795455 179.369821 176.665362 187.347374 178.363676 186.220492 181.386855 181.860642 197.452635 192.397599 190.106042 185.121385 198.980551 196.473756 202.308594 193.763847 198.08995 185.154106 194.009365 197.480927 202.864947 203.910482 198.216591 197.630343 194.978941 210.872269 194.179312 200.02846 206.220064 208.323902 198.437157 210.76141 204.122003 216.950065 212.399802 209.04 206.707964 212.093269 228.628021 223.710021 225.716599 211.433947 218.216037 222.317794 224.888422 224.726815 238.080373 229.176932 251.31813 248.260435 230.151255 247.496412 253.730168 232.463854 248.144316 236.331633 247.54902 232.925449 229.617421 261.940093 261.356538 274.820314 243.967563 238.705628 237.930056 250.285875 265.883127 284.226988 255.668614 276.883093 252.634335 285.610555 275.266064 270.770911 284.008539 266.219493 261.582043 265.836359 286.545167 286.924323 274.473171 296.427872 289.083013 289.821053 292.427225 289.308584 289.70673 302.778902 296.197619 284.181503 297.848649 296.331125 302.650529 294.085249 295.498649 289.873981 294.869801 310.393277 311.605101 314.170725 312.395556 302.009169 305.206144 329.635243 324.156271 325.345385 309.605643 314.089313 328.547943 320.88911 339.963696 342.619715 315.216647 318.920062 317.23394 334.424676 315.397693 321.526491 323.762937 353.946231 335.232838 342.468439 354.501043 322.816649 336.093478 363.315885 332.986961 327.291531 334.82032 350.652444 352.409844 356.550411 346.294133 363.888919 370.205305 343.732935 364.905519 353.464874 365.797211 359.820846 370.400658 381.9317 362.164752 
3 3294.548192 2257.094588 1503.141931 1138.129208 895.200765 745.846986 638.077243 561.617932 494.417483 447.550468 402.40557 373.497232 350.420587 322.587743 308.472986 283.031139 274.733066 254.158853 244.039159 232.656576 226.162926 218.382391 213.306185 208.791913 202.624238 198.249503 190.038232 193.715086 190.446449 183.080036 178.944343 183.142972 180.660942 173.976945 172.14134 169.021928 174.876977 168.572842 166.451169 167.124927 166.355515 160.489303 159.156546 159.874633 163.762239 162.109731 158.091058 158.222769 161.067405 161.37227 158.074378 161.07042 165.364447 158.420366 165.927471 161.949858 164.209013 165.525156 162.506211 158.706434 164.992989 163.361654 163.805798 161.191801 166.147588 157.148619 173.396084 168.540122 164.86346 175.018823 171.110432 168.953666 169.665212 166.865804 163.712645 168.912031 168.173799 172.670812 174.60528 184.38649 166.032686 169.291187 181.886366 182.717625 172.392121 176.256567 176.647079 177.50496 185.660226 181.373961 189.609227 184.868489 182.67156 176.884324 185.107143 183.469779 187.315811 186.936205 189.794186 190.279262 192.836354 183.915913 187.533682 194.540122 200.583528 197.378279 197.308413 196.114295 192.995268 199.997921 211.147239 205.549132 198.720466 204.793385 193.779948 193.959966 206.339393 210.776808 208.934274 203.938004 206.45994 210.375965 220.448314 207.415531 214.278584 217.359118 208.579433 214.21077 214.465211 214.974091 223.220775 224.847363 226.727748 222.964604 224.359207 217.787866 233.653224 217.164022 224.456017 232.649453 221.158253 231.626628 226.688805 235.808448 232.991848 238.224208 248.032749 254.498041 258.216661 253.534175 242.099752 256.817311 255.740019 289.728543 262.35415 256.940744 247.062273 263.125935 265.58115 256.187884 284.973176 266.070717 265.370465 265.460346 276.724821 285.678944 274.88293 290.689649 296.612767 286.27437 293.107334 269.736347 279.611799 283.507939 280.526266 287.723373 286.26141 271.665231 305.862196 288.73741 310.927752 301.174 300.208914 315.019755 291.311314 296.351656 302.236537 303.922978 321.011839 320.119377 307.167943 307.110075 312.958964 337.261419 326.753652 322.658892 315.078391 313.354097 322.723239 331.764678 321.226372 342.61484 323.237378 336.546155 330.112172 323.391478 335.587101 331.245793 329.248259 350.199445 328.1301 337.384341 326.716826 335.679805 346.072029 344.638355 329.867676 347.614573 341.886359 328.848893 341.14139 333.014226 336.16392 351.472025 360.027296 361.659466 363.37523 371.928768 343.513781 355.21586 354.352845 365.304692 358.233071 377.121094 367.106488 370.475078 359.031675 379.850059 380.404489 391.591273 
4 4160.244873 2664.684276 1814.529867 1351.831424 1079.593607 896.03215 773.527781 680.259073 605.729035 550.667817 494.31124 456.683393 419.415518 400.296922 376.349758 352.286474 329.4737 315.056835 298.089294 284.370311 275.318287 266.038962 256.83521 241.200362 236.415356 229.565326 226.211938 222.2299 219.584977 213.933238 208.808017 204.193985 199.006085 200.399791 196.697912 191.495577 194.905164 192.603536 191.46427 186.560641 188.777071 186.337381 179.65794 185.453582 179.421465 181.238337 182.780304 181.988566 173.119897 183.443218 179.927648 172.692304 178.690611 176.653752 175.758338 171.785087 175.675708 180.088229 179.553624 172.896189 182.711337 179.244013 176.059995 173.376581 185.189328 177.751893 174.414547 184.033444 180.301865 180.38809 181.928966 179.719208 178.755087 178.578147 185.54436 184.415746 187.651983 193.87015 175.731715 186.726162 182.995608 182.391653 193.566695 195.402623 188.11159 187.927787 188.370585 187.34962 196.634912 186.740147 189.537181 196.11083 198.02682 190.253214 189.136468 183.165875 193.495612 215.168608 195.726927 204.96327 204.399087 209.0665 199.558717 213.542341 202.91191 218.345246 195.613884 201.486382 217.478704 219.996791 212.749771 207.684983 201.989872 216.883345 222.545286 210.290896 221.975783 212.181355 207.99748 218.096261 216.477885 216.293376 229.718466 223.33542 229.287793 236.199731 219.165469 219.511071 224.167125 222.79671 222.6863 229.613314 234.536061 224.922104 252.808003 225.320571 255.874423 239.175244 243.860424 236.947459 246.345276 245.198826 248.494986 257.096448 263.832412 250.67119 255.793972 259.66772 251.210863 269.57057 251.800704 260.012041 249.44602 261.872153 258.673829 252.820641 258.763775 267.851405 282.875304 261.871576 256.54061 256.258712 283.471241 287.633945 291.200837 295.323313 290.18738 274.059692 282.2675 288.68089 287.428582 280.184833 282.191282 282.953189 301.992619 306.67536 290.056567 291.456303 300.191658 299.140539 311.219529 308.640689 294.014549 306.927106 314.661641 312.896737 327.476808 315.299728 319.883287 316.548633 306.19067 309.648113 321.749495 329.703889 332.339699 309.231171 318.241045 321.707279 342.983603 324.301133 329.187312 335.24432 346.616513 332.822018 335.060645 341.04163 341.097059 343.022546 349.489954 357.292301 349.692108 349.677351 363.490451 361.61937 347.436351 342.479664 342.266415 363.224271 352.14482 336.471671 354.463064 364.274107 371.134272 370.895936 371.570077 349.857626 339.310533 376.920482 372.498338 369.649209 363.514702 377.729477 375.540636 386.278976 360.398754 385.095957 377.896152 382.823133 363.310048 386.491135 
5 4999.932254 3111.861555 2106.592754 1572.87503 1253.93694 1043.459352 905.506571 790.916566 701.768858 635.778308 580.05828 535.873527 494.144245 466.819188 436.798463 411.989057 391.653889 366.89221 351.333323 336.316032 324.00371 309.942972 299.81436 289.929796 285.24654 265.473691 261.093439 260.013067 249.237517 251.084221 239.140534 236.700846 229.828041 226.169918 223.49754 223.685834 222.186465 213.498522 211.27388 212.130286 207.399684 205.343965 201.574405 201.529751 200.931314 206.005852 200.938049 202.607621 192.967551 188.298474 195.937161 193.585236 188.764176 201.55195 197.078354 181.333351 190.569051 194.957195 192.69887 191.0284 188.735242 188.357753 196.146627 198.692428 189.278186 188.636699 191.050213 188.846616 198.339001 192.926428 191.535611 194.981765 208.548446 196.141817 207.915554 195.595087 201.593714 197.901142 196.270128 206.842433 199.007047 193.660747 196.993733 200.666418 196.636324 194.052672 201.51506 203.757407 199.55461 204.644673 204.099867 199.772544 204.499426 209.028198 205.650176 199.680995 204.936067 198.591643 210.665499 206.55566 199.849595 200.044883 211.587022 208.658407 220.651556 225.43098 201.803182 220.80476 214.921418 226.318951 214.917762 222.657878 220.345087 219.812858 229.603499 230.889421 223.762307 222.002341 223.579915 241.452041 220.341751 247.3418 227.011377 229.591758 230.94697 244.299887 224.193239 233.489628 251.505014 236.681664 249.596722 230.731728 240.043262 243.883136 259.488406 229.325386 248.241638 252.713567 251.378564 241.432089 250.014755 261.18595 261.38836 261.216809 265.028071 263.992286 273.413329 266.723111 281.012498 278.785611 268.958786 262.71021 258.932952 292.819471 277.883656 280.032336 274.105756 274.647095 295.62356 297.782378 268.034505 294.906241 297.188623 296.56619 290.042132 291.157211 289.822402 277.650579 301.557647 285.860825 289.122918 302.712502 309.688532 304.283981 315.092441 311.54704 302.689406 312.501475 323.925955 321.889415 310.553984 330.020174 320.161847 323.840435 321.190319 308.281869 320.106034 328.511118 333.449646 320.48442 321.881269 321.864972 337.987333 334.360648 357.283384 328.530427 345.360676 343.180815 354.552624 339.361215 341.89842 354.653924 361.369869 361.311489 350.105907 338.318502 341.266941 334.89737 357.567656 359.058619 340.976834 355.00973 352.024401 366.888683 376.522207 352.140522 377.107237 342.317224 373.886269 366.694869 359.566599 361.576514 364.872095 376.51098 371.892521 376.250513 381.255633 373.249914 391.513774 383.424075 373.943557 387.701676 366.182335 383.425807 383.637645 382.711439 389.297857 382.379566 388.329372 380.842923 
6 5894.576921 3557.522273 2390.456175 1791.137964 1433.228234 1197.138723 1030.21274 906.547101 805.672938 727.37289 661.888784 618.412558 567.285841 533.002268 496.215042 475.053684 439.121647 416.716131 405.907861 387.256378 365.324709 354.000762 342.619587 327.602873 316.897509 306.148839 296.66101 292.069177 283.765777 273.343464 272.225434 266.000275 258.515238 250.429455 251.555055 253.481119 241.770765 235.708496 234.604836 228.5545 236.035045 230.291498 220.15397 219.813305 218.682508 222.378931 217.911942 209.690019 221.947554 217.917204 215.169889 202.423175 212.102316 215.912742 211.086742 211.089948 209.622211 212.615556 209.926112 202.078791 208.034177 206.390975 208.403777 207.462879 202.386608 211.724316 212.445033 203.028863 207.020015 209.793888 205.805301 209.525464 210.056475 208.156072 212.595282 208.604711 209.419287 204.360595 209.673148 214.923149 207.475515 217.137397 205.323498 226.322096 218.570173 215.909917 207.49053 216.31538 212.44933 215.657467 207.849604 222.867215 225.360475 213.483575 225.324033 224.308909 219.720988 209.612778 231.384314 221.349051 219.92083 227.592043 226.736599 217.275139 225.54152 226.597514 222.403695 230.90437 228.280108 224.441775 220.70211 228.981709 236.763975 233.842289 238.360987 223.808883 231.847579 257.05013 240.592043 229.301199 231.983524 237.787506 218.241763 235.037241 246.934414 226.683737 237.853585 248.326385 250.205616 243.403576 255.801607 239.187625 252.021335 263.092061 256.181726 242.879429 265.808387 272.457869 250.96329 250.348169 255.704349 256.331399 282.84714 258.854747 258.277545 278.69034 267.842616 271.779429 280.159107 294.812319 294.77312 301.413169 276.246931 262.605189 291.410302 286.684191 288.525569 286.387219 285.028862 292.925903 289.183032 301.051719 297.061081 285.709932 276.193617 296.409909 292.496128 296.578892 299.302788 315.209076 292.479703 300.801193 324.661364 303.503789 326.077137 314.285628 303.847661 335.587551 318.138719 316.50719 317.485105 320.856519 319.630131 329.316262 323.66651 353.323669 339.269345 331.956565 340.325723 321.65788 329.269174 339.626434 356.982562 337.772543 345.779738 333.579369 331.414903 356.387908 344.12582 353.848586 351.78414 360.101589 351.05258 334.633564 364.464839 351.017358 359.759257 355.269237 358.738037 357.110809 353.402259 359.441882 358.340147 354.559553 372.70126 369.287888 377.824554 373.460279 366.27876 394.243955 371.478464 385.492369 376.100451 365.26434 384.93204 386.288663 377.802871 383.526402 381.677965 390.962168 378.557655 378.407598 401.425603 397.85056 387.694751 404.135834 385.358606 404.942905 414.236793 386.277691 
7 6720.067746 4012.361978 2654.18767 2011.117625 1615.943292 1342.73526 1157.930928 1032.900453 905.709236 819.922292 742.126632 688.199483 634.449914 597.784071 569.312562 526.329499 497.218748 471.993809 456.271326 433.687329 417.279541 399.353394 382.41344 374.562911 353.244887 346.000239 334.801907 323.188107 323.272789 305.684678 305.656129 297.187723 288.507093 279.89774 278.888068 282.897055 272.946922 267.110542 264.839262 259.023412 258.337849 246.356698 244.518718 241.887977 240.386492 240.088748 234.702866 235.752121 230.3604 234.20887 236.544692 223.909929 228.454995 230.634661 224.143197 219.723552 219.381031 224.563283 226.551 220.589646 222.799853 219.093037 219.703601 212.833298 228.256179 212.947431 216.181552 212.502065 224.436898 218.161441 215.229297 217.00248 218.991415 221.640057 218.005673 221.596048 220.475194 224.216716 222.554526 221.635247 227.536103 227.43756 222.596225 224.816505 220.20972 226.068233 227.443524 224.067879 221.755345 220.628267 218.620215 231.292123 226.705613 215.207165 230.023777 234.418722 231.953435 225.686445 227.947657 225.99869 233.079806 226.727811 228.712065 240.958626 231.501206 227.519035 244.315027 227.024207 236.632648 242.599777 233.349448 232.090148 235.393428 239.8311 246.836642 240.318551 253.502418 250.340921 241.929356 253.667681 255.120153 242.281376 244.477211 237.026753 250.714176 255.382033 255.872562 250.870841 253.580623 268.482563 254.217169 271.018806 270.751472 262.324703 260.292399 268.845938 271.635786 288.190361 279.086819 270.599104 261.603278 280.874115 263.928772 274.871318 293.444916 294.339816 273.369513 285.161278 281.849402 278.050137 297.962973 289.740347 294.304018 293.39924 300.928221 293.960722 295.624779 312.427184 317.401641 295.121675 304.666795 306.303904 307.522274 301.285309 316.467095 308.720304 300.434612 314.969329 312.104034 309.015161 310.28139 308.010879 308.295855 327.370825 335.764362 328.741498 332.178348 322.324067 340.056464 326.538221 332.962838 336.958223 319.597667 340.664975 340.672097 357.521977 354.478589 338.112886 332.049461 339.042365 354.105527 354.017121 347.416912 353.738881 352.327854 345.4963 357.29506 357.152636 359.198285 354.611069 372.073374 368.594564 359.887502 374.64856 368.9879 350.63756 372.785367 366.848841 389.907842 378.421966 362.853264 371.311981 370.433249 386.687899 366.468786 357.617697 399.07682 368.305868 366.765824 389.116489 395.190885 389.972382 379.677032 387.016502 380.433807 394.464521 397.098407 380.99497 408.594998 395.94567 392.848455 406.638265 384.481993 383.868221 382.599811 391.57767 389.906561 386.260626 421.034088 407.672189 
8 7602.724333 4438.471052 2937.677645 2231.208402 1790.672713 1491.870911 1286.849969 1122.342633 1020.451035 923.659442 829.648329 759.730016 709.486713 667.552841 623.12494 585.369614 551.831717 526.815152 512.768913 482.681915 459.023449 435.705711 421.417156 407.969933 394.044432 384.081792 381.179418 364.663399 351.143039 344.169831 334.249468 330.769634 318.730099 314.667479 302.568858 302.61409 296.107032 288.145965 289.275993 281.073767 274.786762 272.02989 264.998045 262.605509 265.41332 259.717311 258.398475 255.144402 252.649734 257.196403 258.983892 253.325222 248.877736 236.240855 240.874005 235.265697 239.790297 240.931488 237.434585 234.100383 237.600234 227.840195 240.864253 237.069931 232.644962 237.748497 232.918392 231.38425 233.792311 234.913101 229.492703 234.156069 234.362264 238.193607 234.017688 235.26589 243.20059 242.147805 235.069318 226.486973 233.283753 226.721718 231.255233 237.453385 242.556408 235.611686 231.730174 250.973104 231.897363 241.193303 231.956771 243.636009 236.184077 240.119157 236.652986 232.054223 238.576035 239.256016 256.931378 245.047165 240.118193 235.512053 242.532542 243.933561 246.804372 259.202596 253.26466 249.55085 244.304696 249.037611 262.454232 246.903684 268.579181 251.748547 254.664138 254.442612 255.579374 255.617739 249.903704 254.210754 255.563208 256.733588 266.086178 260.258139 263.518822 265.33473 268.74656 269.745839 271.453392 264.620748 267.939555 286.444379 277.1707 268.912145 262.929044 274.239005 285.310247 277.139842 281.114184 307.558264 286.778819 278.299636 288.515112 289.673498 302.747853 288.582155 294.207015 282.790236 294.175258 284.659138 304.722609 291.461435 297.921594 317.290267 309.84969 313.355638 295.786771 309.821396 313.780342 327.908187 302.283175 330.049749 319.411104 315.244234 320.557941 330.49877 324.445547 315.343033 328.053691 322.78964 333.178592 325.70119 323.01354 341.583354 338.152021 324.525868 329.879033 335.967733 342.53516 339.813381 338.973718 346.136632 346.539336 335.568881 326.648055 357.344845 349.204721 348.811899 354.296131 350.078513 360.485747 362.663493 365.480863 353.957648 358.707113 374.143401 361.270046 360.552022 371.447668 359.654877 357.910694 356.251642 371.720457 375.850183 375.623844 391.788998 376.199893 361.203899 369.60565 377.973908 397.274897 375.65265 367.482373 399.484077 371.769534 385.982515 389.847088 373.180049 413.072827 375.386278 399.426339 390.448862 392.822216 394.851567 388.781214 402.581228 403.132513 404.400794 414.380436 389.870889 388.47449 414.741822 394.008635 410.015582 424.07722 436.316018 416.370976 406.557943 418.981316 415.502317 
9 8438.945479 4837.03059 3242.319548 2444.58503 1967.30401 1644.072405 1428.924777 1243.06073 1104.496487 997.460679 911.417819 836.844606 781.659759 723.620783 690.254884 644.665711 610.493255 575.388177 549.674245 523.988608 506.40351 483.501176 466.0764 450.548693 433.642292 414.544672 407.617786 397.158329 389.397681 370.005849 361.521788 353.598959 346.711014 337.504568 337.530486 330.073872 324.125156 318.619816 309.629893 307.669189 302.172251 296.659215 297.407007 292.051982 281.282848 287.01876 280.55488 271.164117 280.61897 280.242893 266.759614 268.832209 261.362762 266.314763 259.843504 252.650758 259.713464 254.248028 256.327999 260.258717 250.159491 251.78319 249.856164 254.691661 253.65376 251.493915 250.157694 245.978888 253.804588 253.459625 248.286547 246.575208 250.204206 250.137869 251.390691 243.811472 247.667707 248.500697 252.128922 253.942715 250.570083 244.871635 262.505813 248.348712 243.613362 241.088154 234.696642 250.668367 255.919204 246.653673 250.95931 251.021799 248.793693 259.541336 237.380055 253.013042 258.154365 255.965139 253.123068 254.043887 260.831878 264.163194 246.822913 246.964697 246.812711 256.140795 253.191137 262.789187 261.085997 251.082745 257.091444 273.801724 264.635889 266.748643 256.172039 259.825991 262.558421 271.606209 267.7945 269.413775 263.040096 263.20953 285.539023 277.357584 263.479494 264.282137 272.109316 269.889869 265.655827 266.034211 288.131337 282.920919 286.993291 288.004631 295.769895 285.957955 279.191968 291.079905 289.701405 294.709799 296.700145 306.702691 291.124299 320.910987 300.765011 319.295241 302.120864 318.042165 299.20925 289.943141 312.817055 307.484871 302.343803 322.981079 303.115332 317.494473 315.067551 334.011195 320.04547 316.893212 316.835729 323.486364 317.29758 324.416035 331.449355 314.955023 320.745723 323.062299 338.462018 342.2242 337.227417 333.063049 329.913163 337.210546 356.794715 338.122892 343.566004 327.238922 338.126295 344.83313 359.823476 344.983318 354.05863 352.343057 350.212918 352.725615 353.470328 368.988285 361.026705 346.540359 358.888095 372.847405 373.497104 350.165763 374.514346 366.990753 379.683578 349.591638 382.128204 394.074073 370.427155 362.863143 379.403091 359.369643 384.679396 366.994088 389.39088 375.631736 381.613938 376.801925 386.424798 388.025917 391.259268 404.393482 401.693387 388.938075 402.848884 384.063893 392.01803 412.926169 420.846049 387.605189 395.238423 406.746624 403.683412 407.282449 412.518271 396.672932 439.082834 412.588841 427.575337 409.884448 405.150958 407.6362 415.187314 422.374095 417.977163 421.933411 435.940711 430.810359 
10 9323.515876 5304.537393 3532.109486 2648.413009 2141.696679 1779.837948 1533.593328 1346.675792 1200.605407 1085.090604 988.345847 908.43974 844.023107 789.348873 740.202815 695.752652 657.777341 625.459991 599.170654 577.421122 541.716836 523.139964 506.49801 484.392417 475.686254 458.31922 437.028269 426.558223 415.430783 404.268122 396.841147 383.239436 373.658581 368.869406 357.026956 354.856206 346.198478 340.729003 340.270358 332.909461 327.214414 320.979888 313.046667 309.933604 311.657773 302.801356 299.892695 299.521557 289.223576 284.784751 287.551759 289.736369 284.571564 278.755265 275.231804 274.983077 270.84347 271.471099 262.158605 272.386848 258.970226 270.90416 268.976813 276.865707 268.375808 261.736272 269.967754 264.795957 260.832648 251.04778 268.738157 265.870488 261.553109 252.268523 262.174003 256.189168 262.972798 265.684504 268.170128 251.782548 261.702399 255.032773 249.25208 258.54013 251.27521 267.277025 255.68709 254.430678 253.606991 266.650423 272.60844 258.913257 263.183546 261.218606 260.852471 257.350888 262.415995 265.764377 262.540649 276.781729 263.895089 269.694258 272.57508 271.345034 259.393715 273.170631 272.445677 267.432858 277.013712 269.24049 265.320552 270.525838 255.458763 258.925125 276.951481 276.088019 282.794211 271.500547 269.7767 282.560304 273.783633 287.251451 272.025719 270.38027 286.432125 282.359371 274.654282 295.864588 279.987493 303.687724 285.4442 282.732495 296.789 302.618962 283.428706 322.813056 313.329204 295.687648 303.730516 307.446633 288.090343 319.340921 319.027586 316.732117 303.119117 308.868246 315.752856 310.873091 298.507715 331.045627 335.297954 329.880056 312.735449 331.686921 327.048509 323.184643 330.683152 314.852568 315.806488 322.664538 330.989043 333.62819 340.887272 339.769113 348.996409 316.484158 331.882788 340.465967 339.222385 350.446121 330.865095 339.99109 326.430376 337.549476 328.134784 346.801344 350.690617 357.897412 365.203905 356.472594 353.328353 349.356254 368.862477 353.504394 371.255142 360.069959 361.921668 368.480497 378.602757 364.78433 365.945411 367.615752 393.308767 379.710843 375.580924 379.199271 376.391523 403.633178 361.067892 383.128833 383.703211 382.649402 392.772498 372.946269 389.746621 382.991221 392.148332 410.800712 394.647813 402.409293 389.525993 375.756644 414.79013 396.621606 404.109018 410.343158 405.310065 407.296433 421.064497 421.999174 404.329132 422.880726 402.690934 412.732805 403.407096 431.57823 409.229105 413.237643 419.381325 427.332256 427.55282 432.290865 429.304895 402.242426 429.357823 439.923844 417.30796 441.450734 443.380646 423.375042 
